keywords,sentence,article_no,source,title or content,
峨眉山,而在电商渠道，原价198元的250g峨眉山雀舌，狂欢价仅99元；原价800元500g袋装安溪高山铁观音，仅售128元；湘丰壶瓶山高山茶为人民服务50g罐装，到手价59元；某销售平台，近一个月，1.9万人购买的龙井茶售价仅为35元，总量50g,0,国内博客,c,0
峨眉山,据有关规定，目前旅游景点类门票收入不得计入上市公司收入，但是，黄山旅游、峨眉山等个股由于上市较早，目前的主营业务收入仍然包含门票收入，其业绩弹性更为乐观，因此，这类旅游股的投资机会值得关注,1,国内博客,c,1
峨眉山,此外，范冰冰、刘涛、杨幂等20多个明星，纷纷在新疆霍尔果斯开公司，被质疑“只为上市圈钱”；普陀山、九华山、峨眉山、五台山这四大佛教名山也纷纷筹谋上市，其中，峨眉山已成功上市，其余三家已在上市的路上,2,国内博客,c,2
峨眉山,正所谓“靠山吃山，靠水吃水”，A股中的峨眉山、黄山旅游等均属于景点旅游一类,3,国内博客,c,1
峨眉山,"
周一上午以峨眉山A（000888）为首的旅游板块出现了异动，恰逢清明小长假，短期资金可能会有一个炒作的机会",4,国内博客,c,1
峨眉山,"当前涨幅(%) 5日涨幅(%)
603630 拉芳家化 9699230 99302 10.00 61.07
601002 晋亿实业 27078940 419836 2.72 11.70
000888 峨眉山Ａ 7931235 166377 8.27 2.25
603969 银龙股份 17240735 380602 4.22 13.62
002696 百洋股份 4067921 95660 -2.69",5,国内博客,c,1
峨眉山,"
1、旅游：
可关注：中青旅、黄山旅游、峨眉山A等；
2、医药：
可关注：益佰制药、人民同泰、德展健康等；
3、公共交通：
可关注：锦江投资、交运股份、强生控股等",6,国内博客,c,1
峨眉山,"07 -309272.75 164 70 3 87
7 电子元器件 0.45% 三雄极光 61.07% 974120.94 -337535.37 158 52 0 103
8 餐饮旅游 -0.06% 峨眉山Ａ 11.85% 111369.86 -30006.58 31 15 0 16
9 机械设备 -0.19% 克来机电 61.06% 2497531.73 -1001481.93 465 141 ",7,国内博客,c,0
峨眉山,"
    旅游板块投资机会显现：建议按四条主线配置：①新世代崛起，出境游、自由行高增长：凯撒旅游、众信旅游、中青旅、桂林旅游等；②老龄化加深，旅游养老、邮轮概念股受益标的：金陵饭店、渤海轮渡等，推荐峨眉山A；③受益消费升级品牌力量崛起：首旅酒店、锦江股份、中国国旅、全聚德等；④受益跨界旅游市场空间打开标的：宋城演艺、丽江旅游、三湘印象",8,国内博客,c,1
峨眉山,益新世代崛起+居民收入水平提高，出境游、自由行、周边游高增长：众信旅游、凯撒旅游、中青旅、桂林旅游等；2）人口老龄化加深叠加银发族消费能力提升，旅游养老、邮轮概念股受益标的：金陵饭店、渤海轮渡等，推荐峨眉山A、；3）居民消费升级下，受益品牌力量崛起（中端酒店、高档消费免税）：首旅酒店、锦江股份、中国国旅、全聚德等；4）受益多样化、个性化旅游需求和体验，跨界旅游市场空间打开标的：宋城演艺、丽江旅游、,8,国内博客,c,1
峨眉山,"
  　000651格力电器4.13
  　002419天虹商场4.01
  　000880潍柴重机3.13
  　600505西昌电力3.11
  　601099太平洋 2.43
  　000888峨眉山A2.18
  　601992金隅股份2.08
  　600295鄂尔多斯1.73
  　002185华天科技1.31
  　600350山东高速1.27
  　601231环旭电子1.21
 ",9,国内博客,c,1
峨眉山,"
投资策略
1.国内休闲和主题公园： 看好景区+休闲模式需求， 迪士尼对长三角周边游的正向外部性效应明显，建议关注大连圣亚、宋城演艺、三湘股份、中青旅、 新华联、 峨眉山、长白山",10,国内博客,c,1
峨眉山,不仅可以省下巨大的广告费用，而且还可以与同行业其他上市公司达到差异化竞争目的，比如景点旅游股，景点自然不可复制，黄山就是黄山，峨眉山就是峨眉山，没有第二座，所以，此类资源的门票价格也是相对坚挺，随着物价的上涨而上涨,11,国内博客,c,1
峨眉山,") 、同仁堂(600085) 、古越龙山(600059) ；深市主板有9只股票，分别为华润三九(000999)
 、隆平高科(000998) 、华东医药(000963) 、山大华特(000915) 、峨眉山A 、承德露露(000848) 、北新建材(000786) 、小天鹅A 、华侨城A ；中小板以及创业板的股票有12只，分别为迪安诊断(300244)
 、北陆药业(300016) 、奥瑞金(00",12,国内博客,c,1
峨眉山,"涉及个股：湖南发展、永安药业、宜华健康、世联行、旷达科技、澳洋科技、华天酒店、海南海药、峨眉山Ａ、鱼跃医疗；
据新华社报道，中广核投资建设的英国欣克利角C项目主体工程已正式动工",13,国内博客,c,1
峨眉山,投资主线主要包括以下三个方面：其一，关注低基数格局下的弱反弹机会以及中端酒店业绩贡献情况；其二，关注国有企业引入战略投资者之后的资本运作；其三，受益于消费升级且具有强 IP 创造力的休闲旅游标的，推荐三特索道.峨眉山A.张家界以及中青旅.(祝福朋友们好运常在.),14,国内博客,c,1
峨眉山,据有关规定，现在旅游景点类门票收入不得计入上市公司收入，今日推荐黑马股票资金小幅流入景点旅游股，但是，黄山旅游、峨眉山等个股因为上市较早，现在的主营业务收入依然包括门票收入，其效果弹性更为达观，因而，这类旅游股的出资机会值得重视,15,国内博客,c,1
峨眉山,此外，范冰冰、刘涛、杨幂等20多个明星，纷纷在新疆霍尔果斯开公司，被质疑“只为上市圈钱”；普陀山、九华山、峨眉山、五台山这四大佛教名山也纷纷筹谋上市，其中，峨眉山已成功上市，其余三家已在上市的路上,16,国内博客,c,2
峨眉山,但拥有6大景区的西藏旅游却陷入亏损泥淖，此外，在所有的旅游景区类上市公司中，西藏旅游市值常年不足20亿元，市值排名始终垫底，2015年由于收购拉卡拉的资本动作，使其市值在2个月内攀升至40亿元，但即使如此，相对于黄山旅游124亿元、峨眉山A 63亿元、丽江旅游61亿元、长白山51亿元，西藏旅游市值依然垫底,17,国内博客,c,1
峨眉山,"涉及个股：云南旅游、首旅酒店、黄山旅游、北京文化、张家界、峨眉山Ａ、西安旅游、九华旅游、桂林旅游、丽江旅游；
08:19:56
【奔向亿万富翁】圈子网址：http://g.cnfol.com/libowengs ",18,国内博客,c,1
峨眉山,"
  中国国旅、黄山旅游、峨眉山A
  能源局局长努尔白克力透露，油气体制改革 方案已经获通过，预计在两会后发布",19,国内博客,c,1
峨眉山,".6711.625.90
000859国风塑业0.02840.000.1006.666.6513.07
000877天山股份0.10230.000.36014.9514.91118.57
000888峨眉山A-0.000.80012.4212.34-3.57
000890法尔胜0.35560.001.00011.7011.60-3.23
600765中航重机0.33420.000.40015.52",20,国内博客,c,1
峨眉山,"
想当年我在峨眉山顶闭关的时候，山峰顶上，不要说人影没有，连鬼影子都
没有",21,国内博客,c,0
峨眉山,"
　　5. 峨眉山A:2016年盈利微降前海人寿持股不变",22,国内博客,c,1
峨眉山,峨眉山A(000888)3月17日晚间披露年报，公司2016年实现营业收入10.42亿元，同比下降2.25%；净利润1.91亿元，同比下降2.57%,22,国内博客,c,1
峨眉山,景点及旅游板块走盘活跃，力盛赛车涨停，峨眉山接近涨停，桂林旅游、中青旅、张家界等涨逾居前,23,国内博客,c,1
峨眉山,份2207起 +1.0 6.保罗 002070众和股份1540起 +5.4 7.五月 002328新朋股份1079起 +0.2 8.火之鸟 002623亚玛顿 3973起 停牌 9.乐乐 000888峨眉山 1270起 +10.0 第一名乐乐 第二名保罗 第三名老花猫,24,国内博客,c,1
峨眉山,"
周二可关注:603668天马科技
300349金卡智能
000888峨眉山a",25,国内博客,c,1
峨眉山,"
昨天布局了峨眉山a今天赚5个点出，趋势突破，有加速上的意思，所以回调到5日线附近回补",26,国内博客,c,1
峨眉山,"
　　具体来看，在目前社保基金持有5只休闲服务股中，社保基金在去年四季度继续对北京文化（000802）、峨眉山A、宋城演艺（300144）等3只个股进行加仓，增持股份数量分别为319.97万股、200.00万股和156.60万股，最新持股数量分别为2749.42万股、3398.28万股和1043.08万股",27,国内博客,c,1
峨眉山,"
　　二级市场表现方面，上述5只个股中，今年以来股价实现上涨的个股有3只，分别为峨眉山A、丽江旅游、岭南控股，期间累计涨幅分别为12.14%、8.19%、0.26%",27,国内博客,c,1
峨眉山,"楹润科教参考消息
一、盘中题材概念和热点追踪
港口航运：连云港
造 纸：银鸽投资
包装印刷：陕西金叶
纺织制造：众和股份
景点旅游：峨眉山
二、重要资讯和财经汇总
前两月国企利润同比增长四成
“一带一路”引领全球化发展新潮流
国家统计局：三因素拉升1-2月中国工业企业利润增速
李克强：大力实施林业重点生态工程
三、掘金板块
农业部全国农垦将于本周末召开“深化农垦改革现场推进会”",28,国内博客,c,1
峨眉山,"
　　这个颠倒众生的王林大师，据称7岁离家，拜峨眉山道士学艺，差不多是文盲，最多小学学历",29,国内博客,c,0
峨眉山,"
关注：
创投：鲁信创投、钱江水利、大众公用、金字火腿等；
社保重仓：峨眉山A、华侨城A、小天鹅A、健民集团、华策影视等",30,国内博客,c,1
峨眉山,"社保重仓、创投相关个股：000069华侨城Ａ、000418小天鹅Ａ、000888峨眉山Ａ、002515金字火腿、300133华策影视、300372欣泰电气、600283钱江水利、600635大众公用、600783鲁信创投、600976健民集团
早间信息汇总刘士余阐明资本市场改革重",31,国内博客,c,1
峨眉山,除丽江旅游以索道为主业外，黄山旅游、峨眉山、九华旅游和张家界的主业为当地旅游资源的开发和经营，索道业务所占比例较低，平均不超过30%，明显低于三特索道65.35%的收入占比,32,国内博客,c,2
峨眉山,居(600337)、同仁堂(600085)、古越龙山(600059)；深市主板有9只股票，分别为华润三九(000999)、隆平高科(000998)、华东医药(000963)、山大华特(000915)、峨眉山A(000888)、承德露露(000848)、北新建材(000786)、小天鹅A(000418)、华侨城A(000069)；中小板以及创业板的股票有12只，分别为迪安诊断(300244)、北陆药,33,国内博客,c,1
峨眉山,不仅可以省下巨大的广告费用，而且还可以与同行业其他上市公司达到差异化竞争目的，比如景点旅游股，景点自然不可复制，黄山就是黄山，峨眉山就是峨眉山，没有第二座，所以，此类资源的门票价格也是相对坚挺，随着物价的上涨而上涨,34,国内博客,c,1
峨眉山,"
长江证券建议把握三条主线进行布局：
（1）稳健景区个股，推荐受益交通改善且布局休闲古镇的低估值自然景区黄山旅游、张家界、峨眉山A以及异地项目加速复制的休闲景区宋城演艺和中青旅；
（2）确定性高成长股，推荐出境游条线众信旅游、凯撒旅游、腾邦国际（增资喜游及荷杭假期切入出入境市场）以及打造“田野牧歌”品牌三特索道；
（3）主题投资机会，建议关注体育旅游相关股国旅联合和国企改革相关股岭南控股、金陵饭店",35,国内博客,c,1
峨眉山,"
相关公司：黄山旅游、峨眉山A、张家界、丽江旅游、长白山、宋城演艺",36,国内博客,c,1
峨眉山,"
老牌的旅游概念股有中国国旅、峨眉山A、宋城演艺、黄山旅游等等",36,国内博客,c,1
峨眉山,"涉及个股：黄山旅游、张家界、峨眉山A、宋城演艺、中青旅、众信旅游、凯撒旅游、腾邦国际、三特索道、国旅联合、岭南控股、金陵饭店；
英国政府科学办公室近期发布量子技术报告《量子技术：时代机会》，提出重视量子应用五大领域，促进量子领域竞争",37,国内博客,c,1
峨眉山,老牌的旅游概念股有中国国旅、峨眉山A、宋城演艺、黄山旅游等等,38,国内博客,c,1
峨眉山,可关注：中国国旅、中青旅、三特索道、云南旅游、长白山、西藏旅游、丽江旅游、西安旅游、北京旅游、桂林旅游、国旅联合、北京文化、峨眉山A、九华旅游、众信旅游、黄山旅游、首旅股份等,39,国内博客,c,1
峨眉山,"
热点展望：1.旅游板块将迎旺季行情，潜力股:峨眉山(000888)、黄山旅游(600054)、张家界(000430)",40,国内博客,c,1
峨眉山,"
热点展望：1.旅游板块将迎旺季行情，潜力股:峨眉山(000888)、黄山旅游(600054)、张家界(000430)",41,国内博客,c,1
峨眉山,"
热点展望：1.旅游板块将迎旺季行情，潜力股:峨眉山(000888)、黄山旅游(600054)、张家界(000430)",42,国内博客,c,1
峨眉山,投资组合推荐中青旅.中国国旅和峨眉山 A，同时建议关注：首旅酒店.北部湾旅.黄山旅游.张家界.三特索道.(祝朋友周末愉快，下周投资好运.),43,国内博客,c,1
峨眉山,综上，推荐峨眉山A、中国国旅、黄山旅游及张家界,44,国内博客,c,1
峨眉山,"122.39 -31878.39 66 17 1 48
8 食品饮料 -1.54% 绝味食品 35.51% 337244.78 -244344.81 81 10 0 71
9 餐饮旅游 -1.62% 峨眉山Ａ 7.87% 127898.21 67356.84 31 6 1 24
10 有色金属 -1.91% 寒锐钴业 58.31% 905341.53 77896.12 96 12 0 83
11 ",45,国内博客,c,0
峨眉山,旅游板块的龙头中国国旅涨停后目前高位整理，丽江旅游、黄山旅游、峨眉山A等个股都可以关注,46,国内博客,c,1
峨眉山,4、四川板块：旭光股份、四川路桥、峨眉山、川大智胜、大西洋、茂业商业、四川成渝、乐山电力,47,国内博客,c,1
峨眉山,"4
'002040'
南 京 港
23.86
-2.65
-10.00%
13.673
5
15
'000963'
华东医药
92.65
4.66
5.30%
5.404
5
16
'000888'
峨眉山Ａ
13.7
0.08
0.59%
7.874
5
17
'000557'
西部创业
7.63
0.26
3.53%
15.606
5
18
'000151'
中成股份
23.02
-0.78
",48,国内博客,c,1
峨眉山,"
1、有色：
可关注：金贵银业、中金黄金、赤峰黄金等；
2、旅游：
可关注：凯撒旅游、峨眉山A、中青旅等；
3、军工航天：
可关注：中航动力、中兵红箭、洪都航空等",49,国内博客,c,1
峨眉山,"
1、有色：
可关注：金贵银业、中金黄金、赤峰黄金等；
2、旅游：
可关注：凯撒旅游、峨眉山A、中青旅等；
3、军工航天：
可关注：中航动力、中兵红箭、洪都航空等",50,国内博客,c,1
峨眉山,"
　　赵扬还表示，光大证券3月投资组合为清新环境、通光线缆、万达院线、隆基股份、天虹商场、九强生物、锡业股份、广弘控股、广汇汽车、*ST黑豹、安阳钢铁、银信科技、华泰股份、瑞泰科技、跨境通、峨眉山A.
　　3
  　银河证券首席分析师杨华超：
　　沪深300市盈率仅13倍 政府托底力度较强
　　银河证券研究部投资策略委员会中小盘首席分析师杨华超认为，外围市场或仍是影响A股的重要因素，特朗",51,国内博客,c,1
峨眉山,"
中国国旅、黄山旅游、峨眉山A
能源局局长努尔白克力透露，油气体制改革 方案已经获通过，预计在两会后发布",52,国内博客,c,1
峨眉山,峨眉山A（600818）、黄山旅游（600054）等独特的自然旅游资源无可替代，苏宁电器（002024）、美的电器（000527）等受益国民收入增长和城市化进程，在激烈市场竞争中不断壮大,53,国内博客,c,1
峨眉山,"
具体来看，在目前社保基金持有5只休闲服务股中，社保基金在去年四季度继续对北京文化（000802）、峨眉山A、宋城演艺（300144）等3只个股进行加仓，增持股份数量分别为319.97万股、200.00万股和156.60万股，最新持股数量分别为2749.42万股、3398.28万股和1043.08万股",54,国内博客,c,1
峨眉山,"
二级市场表现方面，上述5只个股中，今年以来股价实现上涨的个股有3只，分别为峨眉山A、丽江旅游、岭南控股，期间累计涨幅分别为12.14%、8.19%、0.26%",54,国内博客,c,1
峨眉山,"
大盘大跌了，前边布局的峨眉山a今天又大涨了4%，这就是趋势的力量，有向上的趋势就有向上的行情",55,国内博客,c,1
峨眉山,旅游板块异动上涨，峨眉山A逼近涨停，张家界、黄山旅游也有不错表现,56,国内博客,c,1
峨眉山,"
今天上午以峨眉山A（000888）为首的旅游板块今天上午已经开始出现了异动，恰逢清明小长假，短期资金可能会有一个炒作的机会",57,国内博客,c,1
峨眉山,"受益个股：
　　黄山旅游、峨眉山a、长白山
　　三、最后，就是一些这辈子必去的点要踩一下，如北京、云南、桂林、丽江……受益个股:
　　丽江旅游、桂林旅游、云南旅游、西藏旅游
　　以上个股中，形态比较好的是：中国国旅、海南航空",58,国内博客,c,1
峨眉山,有抄底可能性的是众信旅游、峨眉山a,58,国内博客,c,0
峨眉山,"
券商研究报告选读网络传闻仅供参考：
避寒、赏雪或“躲霾” 旅游过年催热A股旅游板块
峨眉山A(000888);桂林旅游(000978);黄山旅游(600054);长白山(603099)
一号文件发布在即 有望聚焦农业供给侧改革
北大荒(600598)、海南橡胶(601118)、象屿股",59,国内博客,c,1
峨眉山,"
08:51:29【避寒、赏雪或“躲霾” 旅游过年催热A股旅游板块】可关注峨眉山A(000888)、桂林旅游(000978)、黄山旅游(600054)、长白山(603099)等",60,国内博客,c,1
