keywords,sentence,article_no,source,title or content
广生堂,    中证网讯 广生堂（300436）7月30日晚间发布公告，基于对公司未来发展前景的信心以及对公司价值的认可，公司实际控制人暨董事长李国平先生拟于本公告披露之日起6个月内按照中国证券监督管理委员会和深圳证券交易所相关规定，通过法律法规允许的方式（包括但不限于集中竞价和大宗交易等）择机通过二级市场以不高于60元/股的价格增持公司股份，增持金额不低于3000万元人民币,0,媒体新闻,c,1
广生堂,广生堂实控人暨董事长计划增持金额不低于3000万元,0,媒体新闻,t,1
广生堂,证券时报网（www.stcn.com）07月30日讯广生堂(300436)7月30日晚间公告，公司实控人暨董事长李国平拟于6个月内择机通过二级市场以不高于60元/股的价格增持公司股份，增持金额不低于3000万元,1,媒体新闻,c,1
广生堂,广生堂：实控人拟不低于3000万元增持股份,1,媒体新闻,t,1
广生堂, 　　北京商报讯（记者 孙麒翔 王潇立）广生堂正借力资本市场进一步加码推进“医药制造+医疗服务”战略,2,媒体新闻,c,1
广生堂,7月27日广生堂发布公告称，拟向特定对象非公开发行不超过2837.51万股，募集资金总额不超过10亿元，除发行费用后的募集资金净额拟投入国际化制药基地建设项目和福州和睦家广生妇儿医院建设项目,2,媒体新闻,c,1
广生堂,　　广生堂披露，预计到2020年，我国治疗乙肝用药市场规模将达到200亿元,2,媒体新闻,c,1
广生堂,广生堂在核苷类抗乙肝病毒药物领域具有多年积累，并在今年5月拿到CFDA颁发的替诺福韦酯生产注册批件，是目前国内惟一同时拥有恩替卡韦和替诺福韦酯两大抗乙肝病毒一线用药的企业,2,媒体新闻,c,1
广生堂,　　不过，广生堂却正在承受业绩方面的压力,2,媒体新闻,c,1
广生堂,广生堂2016年年报显示，2016年净利润仅为0.66亿元，同比下降35.83%,2,媒体新闻,c,1
广生堂,广生堂表示，此次业绩下降主要由于新药替诺福韦酯上市推介及市场开发费支出500万元等原因所致,2,媒体新闻,c,1
广生堂,广生堂募资10亿加码主业,2,媒体新闻,t,1
广生堂,　　□本报记者 王威　　停牌近半个月的广生堂昨日复牌后跳空低开，开盘价35.33元刷新了2015年5月5日以来新低（前复权），随后股价缓步上行，午后围绕5%跌幅窄幅震荡，最终下跌4.76%，收于37.00元，合计成交8773万元,3,媒体新闻,c,1
广生堂,　7月26日晚间，广生堂发布公告称，拟以非公开发行股票（定增）的方式，向特定对象非公开发行不超过2837.51万股，募集资金总额不超过10亿元，在扣除发行费用后，投入“国际化制药基地建设项目”（5亿元）和“福州和睦家广生妇儿医院建设项目”（5亿元）,3,媒体新闻,c,1
广生堂,龙虎榜数据显示，昨日卖出广生堂金额最大前五席位中，机构专用席位分别卖出了1723.29万元和184.65万元，居于第一位和第五位，第二大卖出席位则为华泰证券江阴分公司席位，卖出436.68万元，三者合计占当日总成交的26.72%,3,媒体新闻,c,1
广生堂,　广生堂停牌期间创业板出现明显下跌，因此本身补跌压力就较大,3,媒体新闻,c,1
