keywords,sentence,article_no,source,title or content
得利斯,　　得利斯超跌引发反弹 得利斯涨幅逾6%　　公司股价从14元跌至7元附近，累计跌幅巨大技术上严重超跌，今日展开超跌反弹,0,媒体新闻,c,1
得利斯,得利斯超跌引发反弹 得利斯涨幅逾6%,0,媒体新闻,t,1
得利斯,据经济导报记者统计，今年以来，便有得利斯（002330）、金晶科技（600586）、瑞茂通（600180）、山东高速（600350）等 6 家上市鲁企发布相关公告，披露其控股股东及重要股东以所持有的公司部分股票为标的，发行可交换债券，融资总额有望超过 160 亿元,1,媒体新闻,c,1
得利斯,　　今年 1 月 21 日，得利斯公告称，收到控股股东诸城同路人投资有限公司（下称“同路人投资”）的书面通知，其向合格投资者非公开发行的可交换债券已发行完成,1,媒体新闻,c,1
得利斯,　　若以得利斯 1 月 20 日 12.20 元的收盘价计算，彼时，同路人投资持有得利斯 2.59 亿股的总市值为 31.60 亿元,1,媒体新闻,c,1
得利斯,　　之后，因发行可交换债券业务需要，同路人投资多次将其持有的得利斯无限售流通股，划转至质押专用证券账户进行质押,1,媒体新闻,c,1
得利斯,”2 日，得利斯董秘王松对经济导报记者表示,1,媒体新闻,c,1
得利斯,　　值得注意的是，2015 年 6 月 11 日，得利斯曾收到同路人投资及第二大股东庞海控股有限公司的通知，两者拟于未来 6 个月内，通过大宗交易或协议让方式减持公司无限售条件流通股，比例将达到或超过公司总股本的 5%，但两者合计减持数量不超过公司总股本的 18.16%（两股东减持数量不超过其各自持有上市公司股份数量的 25%），即两者合计不超过 9118 万股,1,媒体新闻,c,1
得利斯,　　建议短期保持观望　　除得利斯外，瑞茂通控股股东郑州瑞茂通供应链有限公司也表示，拟以所持有本公司部分 A 股股票为标的非公开发行可交换债券，发行期限不超过 3年，拟募集资金规模不超过 20 亿元,1,媒体新闻,c,1
得利斯,得利斯等恐遭“曲线减持”,1,媒体新闻,t,1
得利斯,"<IMAGE SRC=""http://epaper.bjnews.com.cn/images/2017-06/16/B08/lid76359_b.jpg"" >2014年，在北京举行的第十二届中国国际肉类工业展览会上的得利斯集团展台",2,媒体新闻,c,1
得利斯,图/视觉中国　　新京报讯 （记者李云琦）几个月内，沪深两市300多家上市公司年报被问询之后，6月15日，深交所发布再对得利斯的2016年年报问询函，深交所对得利斯提出了关于业绩变动、政府补助收入、现金流下降、净利率浮动较大等8个问题表示关注,2,媒体新闻,c,1
得利斯,　　深交所要求得利斯说明，2016年公司营业收入与上年同期基本持平情况下，净利润同比下降60%的具体原因以及2017年一季度营收和利润大幅下降的原因等问题,2,媒体新闻,c,1
得利斯,　　数据显示，得利斯2016年营业收入微增的情况下，净利润反而下滑60.05%,2,媒体新闻,c,1
得利斯,　　记者注意到，收入微增同时，得利斯在2016年的营业总成本为15.79亿元，较2015年增长4.08%，但销售费用、管理费用、财务费用分别下滑5.42%、4.02%、11.94%,2,媒体新闻,c,1
得利斯,　　在资产上，得利斯2016年发生资产减值损失767万元，较2015年同期增长526%,2,媒体新闻,c,1
得利斯,证监会要求，得利斯结合资产减值具体构成和减值测试具体过程说明资产减值大幅增长的原因，以及计提资产减值的合理性和充分性,2,媒体新闻,c,1
得利斯,　　记者注意到，2015年、2016年的经营数据与2014年对比，明显能看出得利斯的收入和利润在下滑,2,媒体新闻,c,1
得利斯,净利润下滑之时，得利斯扣非后的净利润为-559万元,2,媒体新闻,c,1
得利斯,深交所要求得利斯说明政府补助收到的时间、发放主体、发放原因、计入当期损益的合规性,2,媒体新闻,c,1
得利斯,　　记者注意到，得利斯这1430万元的政府补助来源自18个项目，但是得利斯只披露了领到的补助金额，对补助金额原因、性质类型、发放主体并未披露,2,媒体新闻,c,1
得利斯,政府补助超净利润 深交所8问得利斯,2,媒体新闻,t,1
得利斯,        中国证券网讯（记者 徐晶晶）得利斯2016年营收持平、净利润却下降六成，资产减值增长逾5倍，期末货币资金较期初增长3倍,3,媒体新闻,c,1
得利斯,得利斯因多项财务指标波动幅度较大于15日收到深交所年报问询函，被要求一一做出解释说明,3,媒体新闻,c,1
得利斯,多项财务指标波幅大 得利斯年报被问询,3,媒体新闻,t,1
得利斯,　　15日，得利斯（002330）收到深交所年报问询函，深交所要求公司说明，在报告期内，公司营业收入与上年同期基本持平情况下，净利润同比下降60%的具体原因以及2017年一季度营收和利润大幅下降的原因；报告期内，公司发生资产减值较上年同期增长526%的原因，以及计提资产减值的合理性和充分性等问题,4,媒体新闻,c,1
得利斯,得利斯年报营收持平而利润大幅下滑 收到深交所问询函,4,媒体新闻,t,1
得利斯,【得利斯放量涨停】周一早盘，得利斯以8.19元低开，短暂低位徘徊后股价迅速拉高，成交量亦出现放量,5,媒体新闻,c,1
得利斯,由此，得利斯全日成交额为1.05亿元，是前一交易日的近3倍,5,媒体新闻,c,1
得利斯,其中，得利斯上涨10.06%或0.83元，收报9.08元，创近1月新高,5,媒体新闻,c,1
得利斯,　　周一早盘，得利斯以8.19元低开，短暂低位徘徊后股价迅速拉高，成交量亦出现放量,5,媒体新闻,c,1
得利斯,由此，得利斯全日成交额为1.05亿元，是前一交易日的近3倍,5,媒体新闻,c,1
得利斯,(原标题：得利斯放量涨停),5,媒体新闻,c,1
得利斯,得利斯放量涨停,5,媒体新闻,t,1
得利斯,　　得利斯超跌引发反弹 得利斯涨停　　公司股价近期从14.6元跌至8元附近，累计跌幅巨大，技术上严重超跌，今日展开超跌反弹,6,媒体新闻,c,1
得利斯,得利斯超跌引发反弹 得利斯涨停,6,媒体新闻,t,1
得利斯,　　今日走势：得利斯（002330）开盘报8.19元，截止10:00分，该股涨10.06%报9.08元，封上涨停板,7,媒体新闻,c,1
得利斯,【得利斯今日大单净额】　　涨停原因揭秘：据中国养猪网数据，6月11日猪价全国范围内全线上涨，外三元为13.53元/公斤，较6月2日12.95元/公斤涨逾4%,7,媒体新闻,c,1
得利斯,　　历史回测：根据i问财回测数据显示，得利斯近2年涨停26次(不包含今日)，涨停后次日的平均涨跌幅是2.44%，上涨概率是61.54%,7,媒体新闻,c,1
得利斯,　　后市分析：得利斯今日强势涨停，后市有望进一步走强,7,媒体新闻,c,1
得利斯,涨停股揭秘：养殖业个股走强 得利斯封涨停,7,媒体新闻,t,1
得利斯,截止发稿，得利斯涨停，益生股份盘中冲击涨停，民和股份涨6.66%,8,媒体新闻,c,1
得利斯,　　新浪财经投资易显示，得利斯主力净流入：1751.11万,8,媒体新闻,c,1
得利斯,快讯：畜禽养殖板块超跌反弹 得利斯强势涨停,8,媒体新闻,t,1
得利斯,"<IMAGE SRC=""http://chart.jrjimg.cn/pngdata/kpic/pic430/002330.png"" >　　0 位投资顾问已告知得利斯(002330)后市如何操作立即查看　　金融界网站讯 6月12日早盘， 得利斯( 002330，诊股)涨停， 益生股份( 002458，诊股)触及涨停， 仙坛股份( 002746，诊股)、 圣农",9,媒体新闻,c,1
得利斯,超跌畜禽养殖股表现活跃 得利斯等2股涨停,9,媒体新闻,t,1
得利斯,　　2017年06月12日早盘09时45分，得利斯（002330）出现异动，股价大幅拉升5.21%,10,媒体新闻,c,1
得利斯,　　得利斯所在的食品饮料行业，整体跌幅为0.06%，其相关个股中天润乳业，华统股份，安井食品跌幅较大，分别下跌3.5%，3.3%，2.9%；深深宝Ａ，煌上煌，盐津铺子较为活跃，换手率分别为8.3%、1.5%及1.4%；深深宝Ａ，得利斯，煌上煌明显放量，量比分别为35.5，9.9，8.9；振幅较大的相关个股有深深宝Ａ，煌上煌，得利斯，振幅分别为10.0%，6.3%，5.9%,10,媒体新闻,c,1
得利斯,　　得利斯公司主营业务为生猪屠宰，冷却肉及冷冻肉、低温肉制品的生产与销售,10,媒体新闻,c,1
得利斯,得利斯（002330）早盘大涨5.21% 量比达10.31,10,媒体新闻,t,1
得利斯,"<IMAGE SRC=""http://chart.jrjimg.cn/pngdata/kpic/pic430/002330.png"" >279 位投资顾问已告知得利斯(002330)后市如何操作立即查看　　得利斯(行情002330，诊股)控股股东诸城同路人投资有限公司近日因业务需要将其持有的24，000，000股股份补充质押给齐鲁证券（上海）资产管理有限公司",11,媒体新闻,c,1
得利斯,得利斯：控股股东补充质押2400万股并办理质押展期,11,媒体新闻,t,1
得利斯,根据得利斯(8.71 +0.46%，买入)集团的官网介绍，该公司已经建立起150万吨粮油加工物流基地，从事粮油饲料加工和粮食仓储物流，年可加工小麦20万吨，大豆50万吨，饲料50万吨，粮食仓储30万吨,12,媒体新闻,c,1
得利斯,　　熟悉我的人都知道，本人所有选出的个股都是经过精心挑选的，不说成功率百分之百，但也是经常能抓到涨停，像栖霞建设（600533）、得利斯（002330）这样的仅仅是其中两只而已，像这样的牛股还有很多,13,媒体新闻,c,1
得利斯,此外，去年以来，对中鑫富盈、吴峻乐合谋操纵“特力A”、“得利斯”案、黄信铭等人控制多个账户操纵上市公司股价案、任良成操纵多只股票案、瞿明淑因操纵恒源煤电、中科英华、东风汽车、安阳钢铁等股价案、唐隆操纵“渤海活塞”股票案作出处罚，部分案件给予违法所得“没一罚三”、“没一罚二”的罚款,14,媒体新闻,c,1
得利斯,　　曾经的妖股背后其实是有人兴风作浪，证监会查明，2015年7月10日至8月28日，深圳市中鑫富盈基金管理有限公司、吴峻乐通过集中资金及持股优势连续买卖、在所控制账户之间交易等方式，合谋操纵“特力A”、“得利斯（002330）”股票价格，反向卖出获利,15,媒体新闻,c,1
得利斯,　　曾经的妖股背后其实是有人兴风作浪，证监会查明，2015年7月10日至8月28日，深圳市中鑫富盈基金管理有限公司、吴峻乐通过集中资金及持股优势连续买卖、在所控制账户之间交易等方式，合谋操纵“特力A”、“得利斯”股票价格，反向卖出获利,16,媒体新闻,c,1
得利斯,　　4月下旬，我省另一肉食企业得利斯（002330）连续三个交易日收盘价格跌幅偏离值累计超过20%,17,媒体新闻,c,1
得利斯,委托商：陕西大荔景璧肉类食品有限公司 委托商：陕西省宝鸡市秦兴商贸有限公司被委托商地址：陕西省大荔县西二环路中段 委托商地址：陕西省宝鸡市群众路243号被委托商：陕西恒源食品有限责任公司 委托商：西安得利斯食品有限公司被委托商地址：咸阳三原县西关三淳路18号 委托商地址：西安市经济技术开发区草滩生态是产业园9尚稷路4499号被委托商：富平县流曲镇任老永食品厂 委托商：陕西北方谷雨特产食品有限公司被,18,媒体新闻,c,0
