keywords,sentence,article_no,source,title or content
木林森,　　近日，木林森（002745）发布《第三届董事会第十三次会议决议公告》，审议并通过了三项议案，其中一则为《关于拟清算并注销子公司的议案》,0,媒体新闻,c,1
木林森,木林森拟清算注销部分子公司 净资产总额不超2500万,0,媒体新闻,t,1
木林森,"<IMAGE SRC=""http://i8.hexun.com/2017-07-28/190234740.png"" >木林森股份有限公司　　和讯股票（微信号：istocknews）消息 木林森7月28晚间公告，公司第三届董事会第十三次会议审议并通过，同意聘任甄志辉先生为公司证券事务代表，协助公司董事会秘书工作",1,媒体新闻,c,1
木林森,现任职于木林森股份有限公司董事会办公室,1,媒体新闻,c,1
木林森,木林森聘任甄志辉为证代 曾于中山证券就职,1,媒体新闻,t,1
木林森,本土厂商也逐渐成为照明LED的主要供应商，前十大厂商中，木林森（002745）稳居第一，鸿利智汇（300219）紧随其后，天电光电第三,2,媒体新闻,c,1
木林森,"<IMAGE SRC=""http://e.thsi.cn/img/fbb761d1b2e6a860"" >　　2016年，木林森中山小榄基地和江西吉安基地产能不断释放，凭借成本优势，市占率进一步扩大，中国本土厂商龙头地位难以撼动",2,媒体新闻,c,1
木林森,木林森蝉联中国本土照明LED封装冠军 鸿利智汇第二,2,媒体新闻,t,1
木林森,尤其中国大陆LED封装市场规模同比增长6%至89亿美元，在营收前十大厂商中，日亚化学蝉联冠军，木林森（002745）窜升至亚军，Lumileds排名第三,3,媒体新闻,c,1
木林森,LEDinside分析师余彬表示，从排名中可以观察到，中国大陆厂商市占率提升，排名也随之提升，预估2017年随着木林森、国星、鸿利光电在江西南昌大举扩产，中国大陆厂商崛起之势会更明显,3,媒体新闻,c,1
木林森,排名第二的木林森2016年产能继续扩大，在照明、显示屏市场的市占率也有提升,3,媒体新闻,c,1
木林森,2016中国大陆市场LED封装营收前十出炉 木林森晋升第二,3,媒体新闻,t,1
木林森,　　背景　　2016年上半年，国内LED封装巨头木林森（002745）(SZ:002745)、IDG资本以及义乌国有资本运营中心等普通合伙人组成的中国财团，共计以4亿欧元(约合人民币29.31亿元)，成功赢得欧司朗光源业务——朗德万斯(LEDVANCE)的竞标,4,媒体新闻,c,1
木林森,　　针对这一备受行业瞩目的收购事件相关问题，以及一年以来这一收购对该公司业务运营的影响，华泰证券（601688）日前以调研形式走进木林森，就投资者关注的多个问题与公司相关人士进行了深入互动,4,媒体新闻,c,1
木林森,　　Q：对木林森的长期定位,4,媒体新闻,c,1
木林森,木林森：海外收购之后的战略变轨,4,媒体新闻,t,1
木林森,”据调查反馈，东芝的市场份额跃升至第六位，东芝的电子收入从2015年的11亿美元增长到2016年的14亿美元，　　值得一提的是，LED照明厂商表现出色，共有四家厂商登榜，分别是日亚化学、欧司朗、木林森（002745）和科锐，对应排名为第十二、十六、十八和二十,5,媒体新闻,c,1
木林森,　　IHS特意提到了木林森，称中国对LED制造能力的大量投资推动了木林森进入2016年度20强半导体供应商行列,5,媒体新闻,c,1
木林森,Galoso分析道，“木林森公布2016年LED封装产值增长27%，达到6.4亿美元，与前20的照明类竞争企业分享市场，包括欧司朗、日亚和科锐,5,媒体新闻,c,1
木林森,欧司朗、木林森、科锐等四家照明厂商登榜2016年全球工业半导体厂商前20,5,媒体新闻,t,1
木林森,　　二十年成长为行业巨头，木林森继续上下游扩张　　公司伴随中国LED产业的兴盛而崛起为封装巨头，是LED民营企业发展壮大的一个缩影,6,媒体新闻,c,1
木林森,公司以4亿欧元的价格收购年营收超过20亿欧元的业务、两个百年品牌、以及覆盖全球的营销渠道，不仅财务上具备投资价值，而且有利于木林森品牌的提升，同时获得极好的国际化出海口，双方优势互补，未来的协同效应值得期待,6,媒体新闻,c,1
木林森,　　踏上新周期的起点，木林森有望再上新台阶　　LED封装行业向中国大陆转移明显，由中国引领的下一个新周期已经来临,6,媒体新闻,c,1
木林森,　　致：木林森股份有限公司　　根据中国证监会发布的《上市公司股东大会规则》（以下简称“《股东大会规则》”）的有关规定，上海市锦天城（深圳）律师事务所（以下简称“本所”）接受木林森股份有限公司（以下简称“公司”）的委托，指派律师出席公司2016年度股东大会（以下简称 “本次股东大会”），并就本次股东大会的召集和召开程序、召集人资格、出席和列席会议人员资格、表决程序及表决结果等事宜发表法律意见,7,媒体新闻,c,1
木林森,本次股东大会审议通过了如下议案：　　1、《关于<木林森股份有限公司2016年度董事会工作报告>的议案》　　表决结果：365，177，100股同意，1，300股反对，2，300股弃权（其中，因未投票默认弃权1，500股）,7,媒体新闻,c,1
木林森,　　2、《关于<木林森股份有限公司监事会2016年度工作报告>的议案》　　表决结果：365，177，100股同意，1，300股反对，2，300股弃权（其中，因未投票默认弃权1，500股）,7,媒体新闻,c,1
木林森,　　3、《关于<木林森股份有限公司2016年度财务决算报告>的议案》　　表决结果：365，177，100股同意，1，300股反对，2，300股弃权（其中，因未投票默认弃权1，500股）,7,媒体新闻,c,1
木林森,上海市锦天城（深圳）律师事务所关于木林森股份有限公司2016年度股东大会的法律意见书,7,媒体新闻,t,1
木林森,然而最大的惊喜莫过于多年来没有参展的木林森（002745）此次携朗德万斯在光亚期间举办新闻发布会，同时朗德万斯更是携众多新品出征光亚展,8,媒体新闻,c,1
木林森,而笔者应邀参加了木林森与朗德万斯的新闻会并在展馆现场体验了朗德万斯的尖端照明产品,8,媒体新闻,c,1
木林森,　　2017年3月，继LEDVANCE从德国照明公司欧司朗分拆出来后，迎来了包括全球最大LED封装与应用产品生产商之一的木林森股份有限公司在内的中国所有者,8,媒体新闻,c,1
木林森,在新闻发布会上，林纪良先生， Thomas Dreier先生及 Josef Martin先生分别从亚太地区特别是中国市场的发展战略、创新行动、市场地位和策略、未来合作和协同效应等角度分享了木林森与朗德万斯的设想,8,媒体新闻,c,1
木林森,　　木林森执行总经理林纪良在发布会开场中表示，期望朗德万斯在光源和照明灯具产品市场扮演更积极的角色，2～3年内重新打造新的全球前三大照明厂商，为全球消费者带来更好的照明产品和更好的品牌,8,媒体新闻,c,1
木林森,"<IMAGE SRC=""http://e.thsi.cn/img/d10e7c0d6759f95e-1"" >　　　　对于木林森牵手朗德万斯，中国照明电器协会理事长陈燕生先生和中国照明学会秘书长窦林平先生到场代表照明行业对双方表达了支持与祝福",8,媒体新闻,c,1
木林森,　　陈燕生先生表示，通过这次并购，朗德万斯成为木林森LED照明事业的一部分，LEDVANCE有多年的技术的积累，无论在全球市场还是中国市场都占有一席之地，衷心祝愿整并之后轻装上阵的朗德万斯发展得更好,8,媒体新闻,c,1
