keywords,sentence,article_no,source,title or content
比亚迪,此外，该车可享受3.6万元政策支持（含国家补贴、地方补贴、比亚迪电动未来基金）， 补贴后售价区间为14.99万元,0,媒体新闻,c,1
比亚迪," ><IMAGE SRC=""http://www.afinance.cn/qc/UploadFiles_2315/201708/20170807160908115.jpg"" >　　此次推出的2017款比亚迪秦插电式混动版在外观和内饰上设计与现款秦100基本一致，中控台处装配了超大尺寸液晶显示屏，具备360度全景影像、导航、娱乐等功能",0,媒体新闻,c,1
比亚迪,"<IMAGE SRC=""http://www.afinance.cn/qc/UploadFiles_2315/201708/20170807160908787.jpg"" >　　『配图为2017款比亚迪秦 100』　　动力方面，该车依然采用的是一台1.5T发动机和电动机组成的插电式混动系统，其综合最大输出功率为295马力（217千瓦），峰值扭矩479牛·米",0,媒体新闻,c,1
比亚迪,补贴后售14.99万 2017款比亚迪秦上市,0,媒体新闻,t,1
比亚迪,见强大中国——比亚迪(行情002594，诊股)王朝之旅”第三站目的地,1,媒体新闻,c,1
比亚迪,我相信，作为中国制造的基础之一，比亚迪凭借新能源技术的发展和进步，也会帮助中国汽车赶超欧美发达国家，把更多的产品打进欧美主流市场，甚至参与制订国际技术标准，成为掌握制造业规则的企业,1,媒体新闻,c,1
比亚迪,那些来自外国的专家也会觉得我们代表制造业的未来，到中国给我们做锦上添花的工作——这种由比亚迪创造出不逊于矮寨大桥的‘中国制造’奇迹，值得期待,1,媒体新闻,c,1
比亚迪,”　　（知乎知名科普达人“马前卒”）　　比亚迪：汇聚全球优秀资源 制造强大中国车　　正如人们所期待的，比亚迪正在全力书写“中国制造”的新篇章,1,媒体新闻,c,1
比亚迪,　　（比亚迪汽车销售有限公司总经理助理 杜国忠）　　“对此，比亚迪深有感悟,1,媒体新闻,c,1
比亚迪,”在“自强精英论坛”的讨论中，比亚迪汽车销售公司总经理助理杜国忠表示，在比亚迪开拓海外市场的过程中，同样遇到过外国客户对made in china的顾虑,1,媒体新闻,c,1
比亚迪,但正是因为掌握了新能源汽车的核心技术，以及一直以来坚持对产品品质的改善和提升，使得比亚迪的新能源大巴和出租车能够接连敲开欧洲、美国、日本等严苛市场的大门，怒刷“中国制造”的存在感,1,媒体新闻,c,1
比亚迪,　　尤其是在“中国制造2025”的国家发展战略之下，面对新时期的市场竞争以及市场日益增长的产品需求，比亚迪在提升新能源汽车整体制造实力上会采用“筑巢引凤”的思路，利用全球领先的新能源技术作为筹码，吸引、汇聚全球优质资源并加以整合，全面提升比亚迪的制造水平，打造国际品牌,1,媒体新闻,c,1
比亚迪,　　杜国忠表示：“因为比亚迪的新能源发展战略，以及诸如‘542’、超长纯电续航里程、‘移动电站’等黑科技，让许多业内优秀的大师、企业看见了新能源汽车未来发展的无限可能性，因此愿意和比亚迪走到一起,1,媒体新闻,c,1
比亚迪,”　　如其所言，当“王朝”车队见证、热议“强大中国造”的情怀之时，来自奥迪的设计大师、新任比亚迪设计总监沃尔夫冈,1,媒体新闻,c,1
比亚迪,如果说此前发布的惊艳“王朝”概念车和宋MAX只是艾格的小试牛刀，那么由他带领比亚迪年轻设计团队共同推动的“2025设计路线”则将为比亚迪未来新产品的画风带来全面飞跃,1,媒体新闻,c,1
比亚迪,戴姆勒公司，也是一位因为新能源汽车未来前景而与结缘比亚迪的底盘调校专家，正带着超过200名底盘工程师，为比亚迪新车的动态性能争分夺秒地反复调试,1,媒体新闻,c,1
比亚迪,“打造以安全为前提，舒适为主，兼顾驾驶乐趣的底盘”是汉斯为自己设立的一个小目标；引领中国乃至世界新能源汽车的驾控趋势，则是汉斯与比亚迪共同拥有的“大心愿”,1,媒体新闻,c,1
比亚迪,　　在引入国际优秀人才驱动制造实力提升的同时，一场大刀阔斧的内部改革也在比亚迪制造体系悄然发生,1,媒体新闻,c,1
比亚迪,据杜国忠介绍，比亚迪将逐步建立起一个开放化、市场化、国际化的生产体系，让企业可以更加灵活地响应市场变化，把握市场机会，在产品的质量、价格和体验上更具竞争力，为客户创造更多价值,1,媒体新闻,c,1
比亚迪,最近比亚迪推出的2017款唐、宋DM、2017款秦正是最好的例子：21.99万元、16.99万元，13.99万元的终端实际支付价（含比亚迪提供的10000元电费补贴）全面拉低了国内插混新能源车的购买门槛，一场新能源汽车的普及热潮或将由此掀开,1,媒体新闻,c,1
比亚迪,　　而造就这一切的，是比亚迪对新能源发展战略和“技术至上”情怀的坚持,1,媒体新闻,c,1
比亚迪,比亚迪因此才有资本去整合全球的优势资源，才有底气去改革体系、提升实力,1,媒体新闻,c,1
比亚迪,和本站走过的矮寨大桥一样，比亚迪用创新的智慧科技、日益提升的工匠精神、全球化的造车水准，为客户打造更多“强大中国车”，帮助中国消费者跨越传统燃油车到新能源车的鸿沟，连接低碳、环保的未来绿色移动生活梦想,1,媒体新闻,c,1
比亚迪,　　（比亚迪王朝车主、资深迪粉“古道清风”）　　现场分享观点的王朝车主、资深迪粉“古道清风”非常认同比亚迪的决心,1,媒体新闻,c,1
比亚迪,因此，“古道清风“直言：随着艾格、汉斯等国际优秀团队的加入，让他看到了比亚迪深下苦功、不满足于现状的一面，感受到了比亚迪希望进一步引领“中国制造”新高度的志向，以及与比亚迪一颗誓要睥睨天下的王者之心共鸣,1,媒体新闻,c,1
比亚迪,　　“愿我们每一个人都和比亚迪一样自强而上，做我们伟大复兴祖国的强国之民,1,媒体新闻,c,1
比亚迪,”这位对比亚迪爱得深沉的“自强精英行动者”如是说,1,媒体新闻,c,1
比亚迪,比亚迪王朝之旅飞跃千米峡谷 驭见强大中国“飞虹”,1,媒体新闻,t,1
比亚迪,　　继6月3日在比亚迪(行情002594，诊股)的地盘深圳高调上市之后，近日上汽荣威ERX5又在北汽新能源的地盘开始“搞事情”,2,媒体新闻,c,1
比亚迪,　　作为中国新能源(行情600617，诊股)汽车市场的领军企业，比亚迪与北汽新能源一直是深圳与北京两大新能源汽车市场的“地头蛇”，“卧榻之旁不容他人酣睡”，此次荣威ERX5先是深圳上市，后又高调进京，其欲和比亚迪与北汽新能源一争高下的野心表露无遗,2,媒体新闻,c,1
比亚迪,　　在产品方面，荣威对ERX5的产品力可说是信心满满，甚至没把比亚迪与北汽新能源作为竞争对手，在宣传方面直接对标特斯拉,2,媒体新闻,c,1
比亚迪,”　　尽管信心十足，但眼下比亚迪与北汽在销量上领先的事实却不容忽视,2,媒体新闻,c,1
比亚迪,数据显示，今年上半年，比亚迪以3.46万辆的成绩位列国内新能源汽车销量榜首，而北汽新能源则已3.02万辆的成绩紧随其后,2,媒体新闻,c,1
比亚迪,　　此前，在上海，荣威的插混车型推出时间晚于比亚迪；在北京，荣威的纯电动车型又晚于北汽新能源，所以在销量的比拼上，上汽新能源仍处于追赶的阶段,2,媒体新闻,c,1
比亚迪,对于已经向比亚迪和北汽新能源下战书的荣威ERX5来说，到底是不是一匹拥有实力的黑马,2,媒体新闻,c,1
比亚迪,搞事情？荣威ERX5要“挑衅”比亚迪，对标特斯拉,2,媒体新闻,t,1
比亚迪,　　8月4日消息，元盛光电（839417）昨日发布公告，称签下比亚迪(行情002594，诊股)2230万元订单,3,媒体新闻,c,1
比亚迪,　　公告显示，元盛光电近日与深圳市比亚迪供应链管理有限公司签署《销售订单》，销售金额2230万元,3,媒体新闻,c,1
比亚迪,元盛光电签下比亚迪2230万订单,3,媒体新闻,t,1
