keywords,sentence,article_no,source,title or content
沈阳化工,"<IMAGE SRC=""http://i1.hexun.com/2017-07-20/190125145.png"" >沈阳化工股份有限公司　　和讯股票（微信号：istocknews）消息 沈阳化工7月19日晚间公告，公司第七届监事会收到监事李忠先生提交的书面辞职报告，李忠先生因工作原因，请求辞去公司第七届监事会监事职务",0,媒体新闻,c,1
沈阳化工,曾任沈阳胶管总厂财务处处长，沈阳银象橡胶制品有限责任公司财务部长、副总会计师、总会计师，现任沈阳化工集团有限公司副总会计师、公司监事,0,媒体新闻,c,1
沈阳化工,沈阳化工监事李忠辞职 曾任银象橡胶总会计师,0,媒体新闻,t,1
沈阳化工,　　证券时报网（www.stcn.com）05月25日讯　　沈阳化工（000698）5月25日晚间公告，根据淄博市政府《关于印发2017年度生态建设高新区实施方案的通知》的要求,1,媒体新闻,c,1
沈阳化工,沈阳化工：控股子公司部分装置关停,1,媒体新闻,t,1
沈阳化工,（百川资讯）　　相关个股：沈阳化工（000698）、阳煤化工（600691）、茂化实华（000637）　　海绵城市：住建部数据显示，全国62%城市发生过内涝，且频率呈上升趋势,2,媒体新闻,c,1
沈阳化工,丙烯酸相关上市公司主要有卫星石化、沈阳化工等,3,媒体新闻,c,1
沈阳化工,　　丙烯酸相关上市公司主要有卫星石化(002648)、沈阳化工(000698)等,4,媒体新闻,c,1
沈阳化工,　　库存处于低位国内龙头厂商上调丙烯酸价格　　丙烯酸相关上市公司主要有卫星石化（002648）、沈阳化工（000698）等,5,媒体新闻,c,1
沈阳化工,丙烯酸相关上市公司主要有卫星石化（002648）、沈阳化工（000698）等,6,媒体新闻,c,1
沈阳化工,丙烯酸相关上市公司主要有卫星石化（002648）、沈阳化工（000698）等,7,媒体新闻,c,1
沈阳化工, 相关概念股 ： 沈阳化工：丙烯酸及脂产能为13万吨/年,8,媒体新闻,c,1
沈阳化工,　　相关概念股：　　沈阳化工：丙烯酸及脂产能为13万吨/年,8,媒体新闻,c,1
沈阳化工,最后得到的24家的公司是： 鲁商置业、东方集团、恒源煤电、郑州煤电、远兴能源、阳泉煤业、亚泰集团、中国高科、新钢股份、华联控股、沈阳化工、山东路桥、爱施德、海马汽车、华锦股份、*ST南电A、广宇发展、创元科技、安迪苏、博汇纸业、恒邦股份、鄂武商A、吉鑫科技、武汉中商,11,微信,c,1
沈阳化工,【招生宣传】2017沈阳化工大学本科招生计划    快，关注这个公众号，一起涨姿势～                                 一波火热的招生计划来袭，你准备好了吗~    专业名称    科类  ,12,微信,c,0
沈阳化工,【招生宣传】2017沈阳化工大学本科招生计划,12,微信,t,0
沈阳化工,【招生信息】沈阳化工大学2016年辽宁省份录取分数线        辽宁省各专业录取分数线    专业    科类    辽宁批次    最低    平均    材料化学    理工    一本    508  ,13,微信,c,0
沈阳化工,【招生信息】沈阳化工大学2016年辽宁省份录取分数线,13,微信,t,0
