keywords,sentence,article_no,source,title or content
珠海港,　　我想问一句，应该没有人在珠海港（000507）上亏钱吧,0,媒体新闻,c,1
珠海港,既然昨天强烈推荐了，那今天就应该没有人在珠海港上亏钱把,0,媒体新闻,c,1
珠海港,【8月3日操作回顾】珠海港小赚一笔 分析后续资金走向！,0,媒体新闻,t,1
珠海港,深赤湾A(行情000022，诊股)、盐田港(行情000088，诊股)、东旭蓝天(行情000040，诊股)、珠海港(行情000507，诊股)均有不错表现,1,媒体新闻,c,1
珠海港,其中，涨幅超过7%的深赤湾A与珠海港俨然有成为龙头之势,1,媒体新闻,c,1
珠海港,　　新华网北京8月1日电 1日早盘，港口航运板块持续走高，其中，珠海港涨逾6%，海峡股份涨逾4%，盐田港、深赤湾A、广州港、南京港等均有所拉升,2,媒体新闻,c,1
珠海港,港口航运板块早盘持续走高 珠海港涨幅居前,2,媒体新闻,t,1
珠海港,个股方面，珠海港(行情000507，诊股)涨逾5%，盐田港(行情000088，诊股)涨逾3%，广州港(行情601228，诊股)涨逾2%，深赤湾A(行情000022，诊股)、南京港(行情002040，诊股)、日照港(行情600017，诊股)均现上涨,3,媒体新闻,c,1
珠海港,"<IMAGE SRC=""http://i8.hexun.com/2017-07-18/190096246.png"" >珠海港高管列表　　和讯股票（微信号：istocknews）消息 珠海港7月18日晚间公告， 根据《公司法》和《公司章程》等有关规定，经公司职工代表民主选举，黄一桓先生当选公司职工代表监事，任期至公司第九届监事会届满",4,媒体新闻,c,1
珠海港,　　公告显示，黄一桓 男，32岁，硕士研究生学历，主要工作经历：2010年7月—2012年2月，任职于珠海港控股集团有限公司；2012年2月—2014年2月，任珠海港股份有限公司投资者关系专员；2014年3月—2015年5月，历任广西保利置业集团有限公司行政中心经理、行政中心高级经理；2015年6月至,4,媒体新闻,c,1
珠海港,珠海港选举黄一桓为职工监事 现任公司证代,4,媒体新闻,t,1
珠海港,　　粤港澳概念股早盘活跃，截至发稿，珠海港涨逾5%；塔牌集团涨逾4%；恒基达鑫、深赤湾A、盐田港等涨逾3%；粤高速A、深天地A、世荣兆业、深物业A等涨逾2%；广州港、珠江实业、广百股份、光弘控股等涨逾1%，其他多股亦有不错的表现,5,媒体新闻,c,1
珠海港,粤港澳概念股早盘活跃 珠海港领涨,5,媒体新闻,t,1
珠海港,证券时报网（www.stcn.com）07月11日讯今日早盘，粤港澳大湾区概念股活跃走强，截至发稿，塔牌集团涨4.82%，珠海港涨4.49%，盐田港，粤高速Ａ，恒基达鑫，深赤湾Ａ，格力电器，天健集团，深物业A，中远海特，珠江实业，广州港等股均跟风上涨,6,媒体新闻,c,1
珠海港,　　2017-07-11 09:52:00 来源：中国经济网　　分享　　字号: 大 中 小　　摘要：港口股早盘拉升，截至发稿，珠海港涨逾6%；盐田港、深赤湾A涨逾3%；北部湾港、广州港、南京港、厦门港务等涨逾1%，其他多股跟涨,7,媒体新闻,c,1
珠海港,　　港口股早盘拉升，截至发稿，珠海港涨逾6%；盐田港、深赤湾A涨逾3%；北部湾港、广州港、南京港、厦门港务等涨逾1%，其他多股跟涨,7,媒体新闻,c,1
珠海港,港口股早盘拉升 珠海港大涨6%,7,媒体新闻,t,1
珠海港,　□本报记者 常仙鹤　　珠海港7月5日晚间公告称，为积极拓展资源，以金融资本助推主业发展，公司拟与广发信德、广发信德智胜和珠海康远投资以及其他合作方共同设立“广发信德珠海港股权投资合伙企业（有限合伙）”,8,媒体新闻,c,1
珠海港,"珠海港
拟联合设立5亿元产业基金",8,媒体新闻,t,1
珠海港,　　珠海港(行情000507，诊股)（000507-CN）5日公告，公司拟与广发信德、广发信德智胜和珠海康远投资及其他合作方共同设立“广发信德珠海港股权投资合伙企业（有限合伙）”,9,媒体新闻,c,1
珠海港,珠海港(000507-CN)拟与专业投资机构合作设立股权投资基金,9,媒体新闻,t,1
珠海港,　　珠海港发布2016年年报,10,媒体新闻,c,1
珠海港,公司风电业务目前主要按照“并购为主，新建为辅”的原则不断发展壮大，据公告披露，其风电整合平台珠海港昇已于2016年3月登陆新三板市场，并在2016年收购内蒙古辉腾锡勒风电机组，加上原来的高栏岛、达里、黄岗梁和科啸公司等风场，形成了南北共五个风电场的发展格局,10,媒体新闻,c,1
珠海港,珠海港三板块协同发力 粤港澳发展带机遇,10,媒体新闻,t,1
珠海港,"<IMAGE SRC=""http://i7.hexun.com/2017-06-28/189819704.png"" >珠海港高管列表　　和讯股票（微信号：istocknews）消息 珠海港6月28日发布午间公告称，公司及公司监事会于2017年6月28日收到公司职工监事刘勇先生的书面辞职信，因个人工作调整原因， 刘勇先生向公司监事会申请辞去职工监事职务，辞职后将不在公司担任任何职务",11,媒体新闻,c,1
