keywords,sentence,article_no,source,title or content
祁连山,    在昨日，祁连山收到了上交所下发的《关于对甘肃祁连山水泥集团股份有限公司实际控制人承诺事项的监管工作函》,0,媒体新闻,c,1
祁连山,然而，在2015年9月23日，祁连山召开临时股东大会，关于实际控制人中材集团延期一年履行承诺的议案未获通过,0,媒体新闻,c,1
祁连山,随后在2015年10月21日，祁连山又收到函，称中材集团将在2016年9月7日前履行前述解决同业竞争的承诺,0,媒体新闻,c,1
祁连山,实控人屡食言 祁连山收监管函,0,媒体新闻,t,1
祁连山,祁连山（600720）预计盈利1.8亿元，同比扭亏，本期业绩预盈的主要原因:一是上半年区域水泥市场需求回暖，水泥销量和价格同比均有所上升;二是公司持续加强成本管控力度，上半年主要产品毛利率同比上升,1,媒体新闻,c,1
祁连山,操作热点中，同比扭亏是有可介入性的，何为扭亏，就是指原来出现了亏损，现在事情发生了扭转，扭转了亏损的局面，一般中报中出现扭亏的，股价有望开启新的上涨行情            从图上的走势中可以看到，祁连山前期一直处于下跌走势中，下跌走完后出现横盘且横盘过程中量能较低，直至出现了中报扭亏消息，在利好的冲击下放量开启了一波上涨信号，今天直接高开高走强势封住涨停，明显的多头行情，并有加速上涨的迹象，该,1,媒体新闻,c,1
祁连山,祁连山：绝地反击,1,媒体新闻,t,1
祁连山,2016年Q3归属净利润2.22亿元，同比+127%，业绩出现转折；2016年Q4归属净利润亏损3722万元，同比转亏（2015同期1.16亿元），主要原因是子公司红谷祁连山、夏河祁连山、甘谷祁连山以及天水祁连山计提资产减值大幅增加所致，2016Q4计提资产减值1.32亿元（2016全年计提1.54亿元），剔除减值影响后（以20%所得税率计）净利润为4438万元，同,2,媒体新闻,c,1
祁连山,消息面上，10日晚间，祁连山(行情600720，诊股)发布中期业绩预告，称上半年将同比大幅扭亏,3,媒体新闻,c,1
祁连山,    业绩预喜助推涨停    7月10日晚间，祁连山称预计其2017 年上半年，将实现约1.8亿元盈利，这个额度远远超过2016年同期1864万元的亏损额,3,媒体新闻,c,1
祁连山,    市场或受此消息影响，11日开盘，祁连山股价即快速上涨，并伴有大额成交量，早盘盘中即上封涨停板，此后均未开板,3,媒体新闻,c,1
祁连山,    根据光大证券(行情601788，诊股)11日发布的报告中的数据，通过上述预期盈利数据，可以预计祁连山第二季度单季实现的净利润为3亿元，这个数据仅次于祁连山2014年同期3.4亿元的净利润,3,媒体新闻,c,1
祁连山,    此外，据光大证券陈浩武分析师此前在研报中表示，祁连山的实际控制人为中材集团，该股存在一定的资产整合预期,3,媒体新闻,c,1
祁连山,    祁连山在10号的业绩预告中表示，业绩的大幅增长，源于上半年区域水泥市场需求回暖，水泥销量和价格同比均有所上升，以及持续加强成本管控力度，上半年主要产品毛利率同比上升,3,媒体新闻,c,1
祁连山,    事实上，当天祁连山所在的建筑材料板块内的其他一些个股涨势也不错，其中，宁夏建材(行情600449，诊股)虽然盘中有过几次开板，但最终依旧以涨停板收盘，11号收盘，同是水泥股的宁夏建材报收11.25元/股，上涨9.97%,3,媒体新闻,c,1
祁连山,    水泥行业下半年或继续向好    根据祁连山上述关于业绩预增原因的表述，主要是由于成本降低导致毛利率上升和当地水泥销量、价格上升,3,媒体新闻,c,1
祁连山,    据悉，祁连山位于甘肃省兰州市，主要从事水泥、混凝土等产品的生产、加工和销售,3,媒体新闻,c,1
祁连山,    截至2017年一季度，祁连山亏损1.21亿元，同比增长37.34%,3,媒体新闻,c,1
祁连山,中期业绩预喜祁连山封涨停 水泥行业下半年或将继续向好,3,媒体新闻,t,1
祁连山, 祁连山上半年扭亏预计盈利约1.8亿 祁连山涨停    经财务部门初步测算，预计公司 2017 年半年度经营业绩将实现盈利，实现归属于上市公司股东的净利润为18，000万元左右,4,媒体新闻,c,1
祁连山,祁连山上半年扭亏预计盈利约1.8亿 祁连山涨停,4,媒体新闻,t,1
祁连山,新华网(行情603888，诊股)北京7月11日电 周二早盘，见诸材料板块快速拉升，祁连山(行情600720，诊股)开盘后快速涨停，截至发稿，宁夏建材(行情600449，诊股)、福建水泥(行情600802，诊股)、西部建设(行情002302，诊股)等个股纷纷拉升,5,媒体新闻,c,1
祁连山,建筑材料快速拉升 祁连山涨停,5,媒体新闻,t,1
祁连山,祁连山(行情600720，诊股)预计公司2017年半年度经营业绩将实现盈利，实现归属于上市公司股东的净利润为18，000万元左右，上年同期亏损1863.76万元,6,媒体新闻,c,1
祁连山,祁连山：预计半年度扭亏为盈,6,媒体新闻,t,1
祁连山,祁连山(600720)7月10日晚发布《2017年半年度业绩预盈公告》称，经财务部门初步测算，预计公司2017年半年度经营业绩将实现盈利，实现归属于上市公司股东的净利润为18，000万元左右,7,媒体新闻,c,1
祁连山,    业内人认士分析，祁连山属于建材行业，主营业务为水泥、商品混凝土的研发、制造、销售，现有水泥产能2800万吨，商品混凝土产能635万立方米，余热发电装机容量98MW，其水泥主要布局在甘肃、青海两地,7,媒体新闻,c,1
祁连山,祁连山：预计上半年经营业绩将实现扭亏为盈,7,媒体新闻,t,1
祁连山,、中工国际（25.00 -0.32%，买入）、中钢国际（17.24 -3.04%，买入）等；建材可关注天山股份（15.12 -1.05%，买入）、青松建化、宁夏建材（10.82 -2.61%，买入）、祁连山（8.24 -2.83%，买入）、金圆股份（10.82 -2.08%，买入）等；机械设备可关注徐工机械（3.52 -1.68%，买入）、柳工（8.25 -0.36%，买入）、三一重工（6.78 ,8,媒体新闻,c,1
祁连山,    迎接明日的一带一路大会新疆板块尾盘直线拉升，一带一路板块震荡走高，龙头北新路桥（002307）结束了两个交易日的下跌，午后两点半直线拉升，收涨8.73%；神火股份（000933）、北方创业（600967）、达刚路机（300103）、福建水泥（600802）、祁连山（600720）、西部建设（002302）多股跟涨,9,媒体新闻,c,1
祁连山,    哪些一带一路战略投资机会值得关注    据市场研究中心根据数据统计显示，在“一带一路”主题中，周五，八一钢铁、中昌数据、广州港、天山股份、兰石重装、*ST新赛等6只概念股涨停，此外，法兰泰克、中成股份、北新路桥、新疆城建、丰林集团、*ST青松、祁连山、如通股份、厦门港务等概念股周五也表现出色，当日涨幅均超过4%,10,媒体新闻,c,1
祁连山,    本周区域水泥价格基本稳定；甘肃兰州地区受宁夏低价水泥进入影响，个别企业价格回落，主导企业祁连山水泥价格稳定（P.O42.5散到位价375元/吨），后续价格变动情况需进一步跟踪；5月5日，平凉地区水泥价格上调15-20元/吨，是3月份以来第三次上调，累计上调达45-60元/吨（P.O42.,11,媒体新闻,c,1
祁连山,    一大产业是“一带一路”基建链，最主要的是海外工程、建材、机械设备、交运，这些企业已经进入了“一带一路”战略带来的业绩兑现期，主要公司如下：    海外工程包括中工国际、中材国际、中国建筑等；建材类有天山股份、宁夏建材、祁连山等；机械设备公司较多，明显受益的公司包括徐工机械、柳工、三一重工、达刚路机等；交运类个股关注中远海特、连云港、宁波港等等,12,媒体新闻,c,1
祁连山,青海祁连山水泥价格上调20元/吨，其他企业价格稳定（P.O42.5散出厂价380元/吨），价格上调主要是盐湖海纳水泥厂出现故障后，受环保检查影响，目前生产线仍在停产，预计要在5-6月才能恢复正常，祁连山水泥供应略显紧张，主动发起第三轮价格上调，其他企业仍有部分库存，短期预计不会及时跟进，后期或将跟涨,13,媒体新闻,c,1
祁连山,有止跌信号，如:收阳，十字星等.(注意，在即将白黄粘合时就要开始盯盘囗，观察卖方力量)，若此时能止跌称其为”底背驰”. 底背驰是买入的最佳时机!!! 可随意取例，无数个股底部均有此现象.例600720祁连山 99年5月19日 0768西飞国际99年5月18日和6月4日 0542TCL通讯2000年1日18日等等，举不胜举,14,媒体新闻,c,1
