keywords,sentence,article_no,source,title or content
第一医药,　　中国证券网讯（记者 张良）百联集团筹划对其下属公司所持有第一医药(行情600833，诊股)的股份进行无偿划转的事项再获进展,0,媒体新闻,c,1
第一医药,第一医药14日发布公告称，中国证监会已豁免百联集团因国有资产行政划转而增持公司股份所应履行的要约收购义务,0,媒体新闻,c,1
第一医药,2016年11月，为了理顺股权管理关系、加强股权的集中管理，百联集团于去年11月开始筹划对其下属公司所持有的第一医药股份进行无偿划转,0,媒体新闻,c,1
第一医药,根据第一医药股权结构，百联集团直接持有第一医药19.95%股份；百联集团下属控股子公司新路达持有第一医药23.39%股份；百联集团下属全资子公司华联集团持有第一医药0.60%股份,0,媒体新闻,c,1
第一医药,新路达为第一医药的大股东，百联集团为第一医药实际控制人,0,媒体新闻,c,1
第一医药,数天后，初步方案出炉：新路达和华联集团分别将其持有的第一医药股份无偿划转给百联集团,0,媒体新闻,c,1
第一医药,　　今年3月27日，百联集团就无偿划转新路达和华联集团所持有的第一医药股权与相关方分别签署协议,0,媒体新闻,c,1
第一医药,6月24日，新路达和华联集团分别所持第一医药股股份无偿划转给百联集团的事项获得国务院国资委和上海市国资委批复同意,0,媒体新闻,c,1
第一医药,7月14日晚间，第一医药发布公告称，公司近日收到百联集团转来中国证监会《关于核准豁免百联集团有限公司要约收购上海第一医药股份有限公司股份义务的批复》：核准豁免百联集团要约收购义务,0,媒体新闻,c,1
第一医药,百联集团整合第一医药提速,0,媒体新闻,t,1
第一医药,上海第一医药股份有限公司董事会审计委员会实施细则（2017年6月修订）第一章 总则第一条 为强化董事会决策功能，做到事前审计、专业审计，确保董事会对经理层的有效监督，完善公司治理结构，根据《中华人民共和国公司法》、《上市公司治理准则》、《公司章程》及其他有关规定，公司特设立董事会审计委员会，并制定本实施细则,1,媒体新闻,c,1
第一医药,上海第一医药股份有限公司董事会,1,媒体新闻,c,1
第一医药,[董事会]第一医药:董事会审计委员会实施细则（2017年6月修订）,1,媒体新闻,t,1
第一医药, 　　北京商报讯（记者 刘宇）通过股权无偿划转，上海新路达商业集团与华联集团退出，百联集团成为上海第一医药最大股东,2,媒体新闻,c,1
第一医药,6月24日，上海第一医药发布公告称，国务院国有资产监督管理委员会及上海国有资产监督管理委员会已同意上海新路达商业集团与华联集团通过无偿划转股份形式，将持有的所有上海第一医药股份（占总股本23.99%）转至百联集团持有,2,媒体新闻,c,1
第一医药,根据公告披露，百联集团持有物资贸易股份、百联集团股份、第一医药股份和华联集团股份四家上市公司以及百联集团资产经营管理公司和新路达商业公司两家非上市公司,2,媒体新闻,c,1
第一医药,　　收购前，上海新路达商业公司与华联股份分别持有第一医药23.39%和0.6%股份，百联集团为第一医药实际控制人，持股占第一医药总股本的19.95%,2,媒体新闻,c,1
第一医药,收购完成后，百联集团将成为第一医药控股股东，占第一医药总股本的43.94%,2,媒体新闻,c,1
第一医药,百联集团成为第一医药最大股东后，不仅将股权集中管理，对于集团业绩拉动也将起到一定作用,2,媒体新闻,c,1
第一医药,去年，第一医药营业收入为15.19亿元，同比增长1.88%，主营业务收入14.62亿元，同比增幅1.6%；净利润为4603.42万元，同比增幅11.82%,2,媒体新闻,c,1
第一医药,　　第一医药拥有大型医药零售旗舰店上海第一医药商店，专业药店冠心药房、特色药房五洲大药房、老德记药房等；在专业经营方面，有上海长城华美仪器化剂有限公司,2,媒体新闻,c,1
第一医药,　　今年一季度，第一医药药店门店数共有89家，营业收入为1.75亿元，同比减少4.43%,2,媒体新闻,c,1
第一医药,第一医药方面曾提到，电商经营因受药监对“第三方平台售药叫停” 的规定影响，借助多平台引流的拓展途径受到影响,2,媒体新闻,c,1
第一医药,第一医药重塑了药店经营模式，构建了网上旗舰店“第一医药网上商城”及“送药到家平台”，并以业态形式导入百联集团全渠道电商平台,2,媒体新闻,c,1
第一医药,上海第一医药引百联集团控股,2,媒体新闻,t,1
第一医药,【第一医药：国有股无偿划转获国资委批复 百联集团成控股股东】第一医药(600833)6月23日晚公告，公司第一大股东新路达和股东华联集团分别将所持公司的5219万股和133万股股份无偿划转给公司实控人暨第二大股东百联集团事宜已获国资委批复,3,媒体新闻,c,1
第一医药,"（证券时报）<IMAGE SRC=""http://hqpick.eastmoney.com/k/6008331.png"" >　　第一医药(600833)6月23日晚公告，公司第一大股东新路达和股东华联集团分别将所持公司的5219万股和133万股股份无偿划转给公司实控人暨第二大股东百联集团事宜已获国资委批复",3,媒体新闻,c,1
第一医药,第一医药：国有股无偿划转获国资委批复 百联集团成控股股东,3,媒体新闻,t,1
第一医药,第一医药（600833）6月3日连发数份公告称，公司原副董事长陆琨、原董事王兆忠、原监事长吴健钢提交辞呈,4,媒体新闻,c,1
第一医药,请求辞职的三位高管除在第一医药任职外，目前主要还在新路达集团任职,4,媒体新闻,c,1
第一医药,第一医药将高管变动新增进即将召开的2016年年度股东大会临时提案公告中，同时，临时提案提名了新的董事候选人徐子瑛、赵陈斌，以及新的监事候选人陶清,4,媒体新闻,c,1
第一医药,本次人事变动调整，第一医药高管有明显的年轻化调整趋势,4,媒体新闻,c,1
第一医药,今年3月28日，第一医药发布公告称，公司实际控制人百联集团与大股东新路达以及股东华联集团分别签订协议，拟将新路达所持公司5218.5万股股份、华联集团所持公司133.2万股股份分别无偿划转至百联集团直接持有,4,媒体新闻,c,1
第一医药,交割完成后，百联集团将直接持有第一医药9802万股，占公司股份总数的43.94%，新路达和华联集团将不再持有第一医药股份，控股股东变更为百联集团,4,媒体新闻,c,1
第一医药,分析人士称，本次第一医药人事变动与控股权转移有关,4,媒体新闻,c,1
第一医药,此外，在近半年左右时间，第一医药还发生过另外两起高管辞职，同样呈现明显的年轻化调整趋势,4,媒体新闻,c,1
第一医药,第一医药高管“年轻化调整” 与百联更密切,4,媒体新闻,t,1
