keywords,sentence,article_no,source,title or content
美丽生态,【治国理政新实践· 浙江篇】“多规合一”谋格局之变 开化开出美丽生态之花,0,媒体新闻,t,1
美丽生态,　　每经记者 曾剑 每经编辑 叶峰　　美丽生态(行情000010，诊股)7月6日晚间宣布，全资子公司江苏八达、风景园林联合体与贵州钟山扶贫旅游文化投资有限公司签署《建设工程施工合同》，合同金额为16.33亿元,1,媒体新闻,c,1
美丽生态,　　添升宝注意到，合同金额占美丽生态2016年经审计营业收入10.54亿元的比例为155.01%，合同的实施对公司今明两年的业绩影响可见一斑,1,媒体新闻,c,1
美丽生态,美丽生态子公司签署超级合同,1,媒体新闻,t,1
美丽生态,"<IMAGE SRC=""http://i4.hexun.com/2017-07-06/189929429.png"" >美丽生态信披违规被深圳证监局责令限期整改　　和讯股票（微信号：istocknews）消息 7月6日晚间，美丽生态发布公告称，于2017年7月6日收到深圳证监局下发的《深圳证监局关于对深圳美丽生态股份有限公司采取责令改正措施的决定》（[2017]30 号）",2,媒体新闻,c,1
美丽生态,　　深圳证监局对美丽生态2015 年年报相关事项进行了专项检查，检查中发现：2015年3月25日，美丽生态及其子公司浙江深华新(000010，股吧)生态工程建设有限公司（以下简称“浙江深华新”）与宁波市映山红投资有限公司（以下简称“宁波映山红”）、林斌四方签订了《债权、债务转让协议》（以下简称“协议”）,2,媒体新闻,c,1
美丽生态,2015年12月，美丽生态判断《协议》已经履行生效，并据此终止确认了《协议》约定转让的债权、债务,2,媒体新闻,c,1
美丽生态,　　深圳证监局指出，在《协议》履行过程中，美丽生态债权、债务转移相关程序不完备，可能导致上市公司资产、负债产生较大变化，属于影响投资决策的重大事项，美丽生态应在财务报告的其他重要事项章节披露上述债务转移中存在的程序问题,2,媒体新闻,c,1
美丽生态,　　但美丽生态未予披露，违反了《公开发行证券的公司信息披露编报规则第 15 号——财务报告的一般规定》（证监会公告[2010]1 号）第五十五条的有关规定，深圳证监局决定，对美丽生态出具责令改正决定书，责令公司按照要求采取有效措施进行整改，并于2017年7月30日前提交书面整改报告　　美丽生态表示，公司董事会将根据深圳证监局的要求进行整改，尽快形成整改报告，并根据相关规定及时履行信息披露义务,2,媒体新闻,c,1
美丽生态,美丽生态信披违规 被深圳证监局责令限期整改,2,媒体新闻,t,1
美丽生态,　　美丽生态：信披违规 深圳证监局责令改正　　美丽生态(000010)7月6日晚公告，公司收到证监会深圳证监局下发的行政监管措施决定书，因公司违反信披规定，深圳证监局决定对公司出具责令改正决定书，责令公司采取有效措施进行整改，并于7月30日前提交书面整改报告,3,媒体新闻,c,1
美丽生态,【重组曝出误导性陈述 美丽生态触碰法律红线将受罚】美丽生态今日公告披露，公司、八达园林(并购标的)及一干责任人于6月6日收到证监会的《行政处罚事先告知书》,4,媒体新闻,c,1
美丽生态,"（上海证券报）<IMAGE SRC=""http://hqpick.eastmoney.com/k/0000102.png"" >　　误导性陈述、重大遗漏、虚假记载，围绕美丽生态一年多前的一桩并购，竟然曝出了诸多信息披露违法情形，相关“后遗症”亦使中小投资者损失惨重，公司及相关责任方也终将因此受到责罚",4,媒体新闻,c,1
美丽生态,　　美丽生态今日公告披露，公司、八达园林(并购标的)及一干责任人于6月6日收到证监会的《行政处罚事先告知书》,4,媒体新闻,c,1
美丽生态,　　停滞项目“增厚”预测业绩　　据查，信息披露违法行为主要发生在美丽生态(时名“深华新”)收购八达园林的重组过程中,4,媒体新闻,c,1
