keywords,sentence,article_no,source,title or content
贵人鸟,　　注意罗平贵人鸟优惠来了,0,微信,c,1
贵人鸟,"3PQ0u88nS7ic6Tw202mcjU4eDqPPjtGuz4odnzahLcZld15ib8zBruWaLCwbMGOKzRltAQ/0?wx_fmt=jpeg"" >　　赶快 长按二维码 加入贵人鸟　　罗平贵人鸟　　面向罗平　　诚聘精英　　在这里你有个舞台　　你看你敢不敢上台　　在这里你有个平台　　就看你敢不敢挑战　　敢，你将来",0,微信,c,1
贵人鸟,"　　地址:罗平振兴街贵人鸟　　联系电话:0874-8250400　　手机：134 0875 6374　　微信同号　　<IMAGE SRC=""http://mmbiz.qpic.cn/mmbiz_png/b00juHoyl",0,微信,c,1
贵人鸟,注意罗平贵人鸟优惠来了！！！！,0,微信,t,1
贵人鸟,"　　上市圈|再出资3.67亿贵人鸟成名鞋库唯一股东（外一则）　　晋江经济报记者|柯国笠　　<IMAGE SRC=""http://mmbiz.qpic.cn/mmbiz_jpg/A6adNNvTlVic94sLDvyu6nIV7B",1,微信,c,1
贵人鸟,本次对外投资不构成关联交易，也不构成《上市公司重大资产重组管理办法》 规定的重大资产重组事项，无须提交贵人鸟股东大会审议,1,微信,c,1
贵人鸟,"　　<IMAGE SRC=""http://mmbiz.qpic.cn/mmbiz/8fbA6bMTCeLib6GuYQxv8LSEXPH5a3uF9B9R9b3hkTRpbEiarnKZvEfRicZLnS1abg6iakLfnVIxRqmxDmicdFkgJlQ/640?wx_fmt=png"" >　　据悉，在此之前，贵人鸟于2016年9月就以3.83亿元收购名鞋库51%股权，成为控股股东",1,微信,c,1
贵人鸟,对于控股名鞋库，贵人鸟彼时在公告中表示，控股是为推动公司对运动鞋服线上渠道的布局，通过与目前公司的线下渠道整合优化，实现多品牌、多市场、多渠道的布局，进一步推动公司体育产业运营战略的升级,1,微信,c,1
贵人鸟,　　距离成为名鞋库控股股东8个多月，贵人鸟增资收购剩余股份成为唯一股东，贵人鸟公告表示，旨在进一步推动公司对运动鞋服线上渠道的布局,1,微信,c,1
贵人鸟,在贵人鸟2016年年报中却未能直接体现,1,微信,c,1
贵人鸟,业内人士认为，名鞋库作为线上渠道，此次贵人鸟增资收购从一个侧面表达了贵人鸟在线上渠道上的关注度,1,微信,c,1
贵人鸟,名鞋库拥有代理销售和运营品牌超过20个，这也成为其在贵人鸟当前多品牌战略布局中的主要部分,1,微信,c,1
贵人鸟,　　自2016年11月1日起将名鞋库纳入合并报表范围后，在2016　　年年底2个月时间里，名鞋库实现营业收入1.10亿元，占贵人鸟2016全年度营业收入的4.81%；实现净利润 1657.57万元，实际净利润影响占其2016　　年度实现归属上市公司股东净利润的2.89%,1,微信,c,1
贵人鸟,若将计入报表时间长度拉长，名鞋库对贵人鸟总体营收贡献则更为明显,1,微信,c,1
贵人鸟,　　值得注意的是，自4月份起，贵人鸟发布27亿元总价收购威康健身具体方案公告后，该收购案尚未有任何进展消息，贵人鸟股价也受挫未能回到复牌价,1,微信,c,1
贵人鸟,　　● ● ● ● ●　　又讯 昨日，贵人鸟发布《贵人鸟第三届董事会第一次会议决议》公告，通过了包括《关于选举公司董事长的议案》《关于聘任公司董事会秘书的议案》在内的多个聘任议案，除林天福继续担任董事会董事长、公司总经理外，新聘任洪再春代替周世勇为公司董事会秘书,1,微信,c,1
贵人鸟,　　贵人鸟证券部门相关负责人告诉记者，周世勇卸任董秘，仍为公司董事，此次更换董秘是换届的正常职务流转,1,微信,c,1
贵人鸟,"ldzQTl6C8B9JiaItZQCL1OzjxncOaXnodyVZXGTiajibx0GRlLewhLDSbItiaD2wqg/640?wx_fmt=jpeg"" >　　上市圈|再出资3.67亿 贵人鸟成名鞋库唯一股东（外一则）",1,微信,c,1
贵人鸟,上市圈|再出资3.67亿贵人鸟成名鞋库唯一股东（外一则）,1,微信,t,1
贵人鸟,贵人鸟一季度营收暴涨四成多 多品牌运营初见成效天伦鞋业交易中心微信号： tianlunmarket新朋友点上方蓝字“天伦鞋业交易中心”关注更多精彩内容,2,微信,c,1
贵人鸟,       近日，贵人鸟发布了一季度业绩报告，营收同比猛增46.5%，达到7.68亿元，净利润增加1.49%达8300多万元,2,微信,c,1
贵人鸟,       贵人鸟迅速增长的业绩得益于去年年底新增并表子公司,2,微信,c,1
贵人鸟,从去年10月开始，贵人鸟将体育品牌零售商杰之行、名鞋库陆续纳入合并报表范围，公司也从单一的贵人品牌扩展至多品牌运营,2,微信,c,1
