keywords,sentence,article_no,source,title or content
阳光城,如果生活亏待了你，阳光城·君山墅给你一个桃花源,0,媒体新闻,c,1
阳光城,密云首届山水园游会，阳光假日，约会君山8月，我们在阳光城·君山墅恭候您的到来，不见不散,0,媒体新闻,c,1
阳光城,"咨询电话 : 4008185005 - 10385阳光城·君山墅400-818-5005 转 10385<IMAGE SRC=""http://s2.ifengimg.com/2017/06/27/21eff3ff7a1953d426d8b031224",0,媒体新闻,c,1
阳光城,如果生活亏待了你 阳光城·君山墅给你一个桃花源,0,媒体新闻,t,1
阳光城,当然是阳光城君山墅,1,媒体新闻,c,1
阳光城,现在起，关注阳光城君山墅官方微信，活动动态实时掌握，全北京度假新领地，等你来玩,1,媒体新闻,c,1
阳光城,8月，我们在阳光城·君山墅恭候您的到来，不见不散,1,媒体新闻,c,1
阳光城,"咨询电话 : 4008185005 - 10385阳光城·君山墅400-818-5005 转 10385<IMAGE SRC=""http://s2.ifengimg.com/2017/06/27/21eff3ff7a1953d426d8b031224",1,媒体新闻,c,1
阳光城,比军装照更火、战狼2更燃 阳光城君山墅一夜刷爆帝都朋友圈！,1,媒体新闻,t,1
阳光城,阳光城以395.8亿的销售金额排名第23位，较去年同期增长127%,2,媒体新闻,c,1
阳光城,年报显示，阳光城去年全年销售额487.2亿元，近三年复合增长率达45%,2,媒体新闻,c,1
阳光城,　　根据阳光城历年的年报和新出的业绩预增公告，其业绩除2016年略有下滑，基本处于上升态势,2,媒体新闻,c,1
阳光城,　　然而，《国际金融报》记者却发现阳光城业绩大爆发之下，深埋着一个个地雷……　　周边风险264条　　在天眼查网站上，记者惊讶地发现，阳光城的周边风险达264条之多(子公司参股公司涉及的经济纠纷合同纠纷等)，不少子公司部分股权处于出质状态，被列入企业经营异常名录，尤其福建省新湖集团公司和福建阳光房地产开发有限公司是最高人民法院所公示的失信公司,2,媒体新闻,c,1
阳光城,　　然而，就算如此，2017年阳光城还是替自己的51家子公司做了一个实实在在的600亿担保计划,2,媒体新闻,c,1
阳光城,　　巨额担保，“并购”成瘾　　除去2017年600亿的担保计划，观察阳光城长长的公告名单，可以发现其常年为公司全资子公司、控股子公司和参股子公司进行担保(8月2日，阳光城又一次发布公告，为子公司佛山信财置业和武汉盛景房地产提供担保,2,媒体新闻,c,1
阳光城,　　虽然到目前，阳光城的担保暂时未出问题，然而面对如此多的周边风险和远超其盈利的担保额度，一旦发生问题，阳光城如何抵挡,2,媒体新闻,c,1
阳光城,　　买买买，囤囤囤　　在房地产行业的“白银时代”实现快速崛起的阳光城，并购成瘾(合作并购是阳光城战略布局的核心手段).　　阳光城集团2016年报显示，公司通过公开招拍挂获取12个项目，成交价格156.27亿元，计容建面141.9万平方米；此外，在地皮老本连续升高,2,媒体新闻,c,1
阳光城,　　2016年底，阳光城以超过13.51亿的价格竞得物产中大旗下15家公司股权组成的股权资产包，总成交金额(包括股权竞得价款及承接转让方对标的公司的债权金额)为104.69亿元，超过阳光城最近一期经审计合并报表归属于母公司所有者权益之50%，构成公司重大资产重组,2,媒体新闻,c,1
阳光城,　　2017年，阳光城扩张脚步也从未停止,2,媒体新闻,c,1
阳光城,　　1月，阳光城31.8亿元拿下汉国置业旗下的广州天河区2宗宅地后，5月相继宣布以17.9亿元的价格收购广州广信江湾新城项目、以约29.63亿元人民币收购位于武汉市江汉区香港路的中华城项目A地块,2,媒体新闻,c,1
阳光城,　　6月14日，在北京土地出让政策愈发收紧的情况下，阳光城通过收购一次性获取了逾百万方的项目资源，并且收购北京慧诚房地产100%股权,2,媒体新闻,c,1
阳光城,　　然而，房产(土地储备和项目)毕竟不是那么好消化的，阳光城并购策略直接的结果之一，就是存货大增：2013年末阳光城存货219亿元，2014年末350亿元，2015年末424亿元，2016年末747亿元，占总资产比例始终在60%以上,2,媒体新闻,c,1
阳光城,　　而其累积的土地储备也在2016年末达到了2285.2万平方米(土地款743.09亿).　　然而，这么多的土地，这么多的存货，2016年归属母公司净利润12.3亿元的阳光城究竟是怎么囤货呢,2,媒体新闻,c,1
阳光城,　　2016年，阳光城融资合计高达693.76亿(银行贷款295亿，债券154亿，非银行类贷款245亿).　　据了解，一直以来阳光城通过银行类开发贷、发行债券、信托贷款、基金合作等多种融资渠道进行资金筹集,2,媒体新闻,c,1
阳光城,　　在担保计划中，阳光城表示其担保是为了满足公司及公司全资子公司、控股子公司、参股子公司2017年度的融资需求，增强其资金配套能力，确保生产经营的持续、稳健发展,2,媒体新闻,c,1
阳光城,　　而不论是阳光城的子公司，还是其自身，它的融资需求都是大得惊人,2,媒体新闻,c,1
阳光城,　　并购的钱、囤货的钱，阳光城一直保持着高负债高杠杆的生存之道，2014年以来，其资产负债率基本保持在80%以上，而销售毛利率、净利率、总资产报酬率等均在下滑,2,媒体新闻,c,1
阳光城,　　有分析人士表示，伴随着阳光城的极限扩张和溢价拿地，其毛利率下滑是必然，而部分资金融资成本较高，也相对削弱了公司的盈利能力,2,媒体新闻,c,1
阳光城,　　与此同时，阳光城主要资产的重大变化及原因，也让不少财会人士看得有些“提心吊胆”,2,媒体新闻,c,1
阳光城,　　2016年，阳光城的融资净流入大于经营和投资净支出，其应收账款同比大增41%，商誉增长1679%(投资师汇优创教育投资(北京)有限公司增加6000万元)……最显眼的一个数据是，其经营性现金流连续四年为负数,2,媒体新闻,c,1
阳光城,　　在未来，阳光城会刷爆它的信用卡吗,2,媒体新闻,c,1
阳光城,　　一位不愿具名的注册会计师告诉《国际金融报》记者，阳光城这样的行为具有一定的“赌性”，也是房地产公司的无奈之举，房地产公司必须不断拿地，这在近几年都是趋势，而且一波房价上涨说不定就翻倍回本,2,媒体新闻,c,1
阳光城,阳光城惊现三高风险：担着870多亿的保 囤着700多亿的货,2,媒体新闻,t,1
阳光城,（腾讯房产 陈梦琴 发自北京）第二梯队的阳光城斗志满满，四处攻城掠地，即便是竞争最激烈、对手最强劲的北京市场，也是厮杀出一条血路,3,媒体新闻,c,1
阳光城,从2015年11月入京伊始，已拿下4个项目，如今，阳光城北京已到相继交答卷时期,3,媒体新闻,c,1
阳光城,"<IMAGE SRC=""http://img1.gtimg.com/house/pics/hv1/194/178/2229/144986309.jpg"" >8月2日的下午，阳光城·檀悦首次对媒体开放",3,媒体新闻,c,1
阳光城,作为阳光城进京的首个高端标杆项目，檀悦这次的开放颇费了一番心思,3,媒体新闻,c,1
阳光城,在阳光城北京区域负责人看来，它与项目的气质也是极为匹配，故而择址于此,3,媒体新闻,c,1
阳光城,一个小小的举动，道出了阳光城北京的许多心思，它需要一个高品质的项目在北京市场中证明自己,3,媒体新闻,c,1
阳光城,落地的玻璃窗，美色尽收眼底，喝着阳光城精心准备的Perrier，眼前关于檀悦的PPT不停翻动着，历史与未来交织,3,媒体新闻,c,1
阳光城,"<IMAGE SRC=""http://img1.gtimg.com/house/pics/hv1/199/178/2229/144986314.jpg"" >檀悦是阳光城在北京加速跑马圈地的重要产物，也将是北京区域业绩的重点贡献者，操盘手设定的期限是8—10个月清盘",3,媒体新闻,c,1
阳光城,2016年6月，阳光城力挫众敌，18.5亿一举拿下檀悦项目地块——顺义后沙峪SY-0019地块，住宅部分的楼面价高达4.46万元/平方米，刷新区域此前的地王记录,3,媒体新闻,c,1
阳光城,这是阳光城进京的第二个猎物，当时留给众人的印象是，凶猛的闽系房企,3,媒体新闻,c,1
阳光城,阳光城北京区域的负责人坦言，能在中央别墅区拥有一席之地，很荣幸，阳光城是怀着敬畏之心来做的,3,媒体新闻,c,1
阳光城,不少房企为了保利润而延后出货，阳光城则采取了一贯的姿态，高周转,3,媒体新闻,c,1
阳光城,一位业内人士坦言，阳光城需要一线城市的业绩，这样在融资市场上才能有更大的话语权,3,媒体新闻,c,1
阳光城,进入了“张海民时代”的阳光城，在“3+1+X”战略引领下，并购途中一路狂奔，目前北京、深圳广州相继进入，形成全国化布局,3,媒体新闻,c,1
阳光城,一个很有意思的现象是，阳光城还在冲刺千亿的路上，但城市与城市之间的较量似乎已经开始,3,媒体新闻,c,1
阳光城,今年5月有媒体报道，阳光城在广州不到一年拿下6个项目欲打造100亿级城市销售规模,3,媒体新闻,c,1
阳光城,阳光城在北京已有4个项目：京兆府、檀悦、君山别墅以及梵悦108(楼盘资料)，货值约为300亿元,3,媒体新闻,c,1
