keywords,sentence,article_no,source,title or content
黑牡丹,　　证券时报网（www.stcn.com）07月31日讯　　黑牡丹(行情600510，诊股)7月31日晚间公告，公司拟向中国境内不超过200名特定投资对象，非公开发行不超过15亿元公司债券，募集资金拟用于补充流动资金和偿还有息债务,0,媒体新闻,c,1
黑牡丹,同时，公司直接控制的、注册在香港的全资子公司黑牡丹（香港）控股有限公司拟向机构投资者发行不超过1亿元美元或等值货币公司债券，募集资金用于补充流动资金及偿还贷款、参与境内PPP项目、贸易业务、建筑工程施工以及科创园区建设等,0,媒体新闻,c,1
黑牡丹,黑牡丹：拟境内发行不超15亿元公司债,0,媒体新闻,t,1
黑牡丹,　　证券代码：600510 证券简称：黑牡丹 公告编号：2017-025　　黑牡丹（集团）股份有限公司　　2017 年第二季度房地产经营情况简报　　本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任,1,媒体新闻,c,1
黑牡丹,　　根据《上市公司行业信息披露指引第二号——房地产》等要求，现将黑牡丹（集团）股份有限公司（以下简称“公司”）2017 年第二季度房地产项目主要经营情况披露如下：　　1、重大变动情况：2017 年第二季度，未发生房地产储备的重大变动、重大项目　　投资成本的重大变动、重大项目股东权益的重大变化、重大工程质量问题、收购或出售子公司达到重大披露标准等应当披露的请况,1,媒体新闻,c,1
黑牡丹,　　黑牡丹（集团）股份有限公司董事会　　2017 年 7 月 11 日,1,媒体新闻,c,1
黑牡丹,黑牡丹2017年第二季度房地产经营情况简报,1,媒体新闻,t,1
黑牡丹,2016年6月，公司100万元设立黑牡丹（香港）发展公司，同时6.5亿元设立全资子公司牡丹新龙公司,2,媒体新闻,c,1
黑牡丹,2016年9月，公司拟增资黑牡丹发展（香港）有限公司2.3亿元,2,媒体新闻,c,1
黑牡丹,2016年11月，公司子公司黑牡丹建设签订17亿元的PPP项目特许经营协议,2,媒体新闻,c,1
黑牡丹,万亩小杂粮种植园区，种植优质谷子8000亩，栽植“黑牡丹”马铃薯2000亩，甘薯500亩,3,媒体新闻,c,0
黑牡丹,游客不仅可以观赏到各色牡丹名种，如二乔、藏枝红、晶玉等，还能看到珍稀的绿牡丹和黑牡丹,4,媒体新闻,c,0
