关键词,模型,类别,准确率,召回率,f-值,样本数,类别,准确率,召回率,f-值,样本数
三棵树,randomforest,1,1.00,1.00,1.00,91,0,1.00,1.00,1.00,11
新华网,randomforest,1,0.94,0.84,0.89,19,0,0.86,0.95,0.90,20
视觉中国,naivebayes,1,1.00,1.00,1.00,74,0,1.00,1.00,1.00,10
广深铁路,randomforest,1,1.00,1.00,1.00,1688,0,1.00,1.00,1.00,1
祁连山,randomforest,1,1.00,0.74,0.85,19,0,0.97,1.00,0.98,154
北大医药,randomforest,1,1.00,1.00,1.00,20,0,1.00,1.00,1.00,2
东方市场,randomforest,avg / total,1.00,1.00,1.00,4,1,1.00,1.00,1.00,4
太阳鸟,randomforest,1,1.00,1.00,1.00,33,0,1.00,1.00,1.00,5
九芝堂,randomforest,1,1.00,1.00,1.00,19,0,1.00,1.00,1.00,1
多喜爱,randomforest,1,1.00,1.00,1.00,127,0,1.00,1.00,1.00,14
美丽生态,randomforest,1,1.00,1.00,1.00,19,0,1.00,1.00,1.00,14
TCL集团,randomforest,avg / total,1.00,1.00,1.00,114,1,1.00,1.00,1.00,114
二三四五,randomforest,1,1.00,1.00,1.00,23,0,1.00,1.00,1.00,2
第一医药,randomforest,avg / total,1.00,1.00,1.00,20,1,1.00,1.00,1.00,20
广汽集团,randomforest,1,1.00,1.00,1.00,159,0,1.00,1.00,1.00,7
东方园林,randomforest,1,1.00,1.00,1.00,3645,0,1.00,0.62,0.76,13
西安旅游,randomforest,1,0.93,1.00,0.97,84,0,1.00,0.68,0.81,19
大西洋,svm,1,0.91,0.92,0.91,1506,0,0.87,0.87,0.87,1016
深圳机场,svm,1,0.89,0.88,0.89,797,0,0.84,0.86,0.85,589
大连港,randomforest,1,0.99,1.00,1.00,117,0,1.00,0.91,0.95,11
东方财富,naivebayes,1,1.00,1.00,1.00,1247,0,1.00,1.00,1.00,131
星期六,randomforest,1,1.00,1.00,1.00,3,0,1.00,1.00,1.00,9
湖南发展,randomforest,1,1.00,0.63,0.77,19,0,0.74,1.00,0.85,20
东方网络,randomforest,avg / total,1.00,1.00,1.00,22,1,1.00,1.00,1.00,22
新大陆,randomforest,1,1.00,1.00,1.00,19,0,1.00,1.00,1.00,3
向日葵,randomforest,1,1.00,1.00,1.00,1,0,1.00,1.00,1.00,1
红旗连锁,randomforest,1,1.00,1.00,1.00,32,0,1.00,1.00,1.00,5
老凤祥,randomforest,1,1.00,1.00,1.00,115,0,1.00,1.00,1.00,4
海澜之家,randomforest,1,0.99,1.00,0.99,99,0,1.00,0.95,0.97,19
连云港,randomforest,1,1.00,1.00,1.00,19,0,1.00,1.00,1.00,4
北京文化,randomforest,1,1.00,1.00,1.00,245,0,1.00,1.00,1.00,4
江苏有线,randomforest,avg / total,1.00,1.00,1.00,19,1,1.00,1.00,1.00,19
东方电气,randomforest,avg / total,1.00,1.00,1.00,20,1,1.00,1.00,1.00,20
全新好,randomforest,avg / total,1.00,1.00,1.00,28,1,1.00,1.00,1.00,28
神州信息,randomforest,avg / total,1.00,1.00,1.00,33,1,1.00,1.00,1.00,33
老板电器,randomforest,avg / total,1.00,1.00,1.00,95,1,1.00,1.00,1.00,95
华谊兄弟,randomforest,1,1.00,1.00,1.00,154,0,1.00,1.00,1.00,7
金融街,randomforest,1,1.00,1.00,1.00,19,0,1.00,1.00,1.00,1
北京城乡,randomforest,1,0.97,0.99,0.98,310,0,0.88,0.68,0.76,31
