keywords,sentence,article_no,source,title or content,
探路者,2011年，美国空军授权3家公司研发RBS体系架构的合同，其中包括波音公司、洛克希德·马丁公司、安德鲁斯太空系统公司，空军原计划从中选择一家承包商建造被称为“RBS探路者”演示验证飞行器,0,国内新闻,c,0
探路者,探路者：您好，截至12月15日，公司股东人数为32，952人，感谢关注,1,国内论坛,c,1
探路者,对此，有业内人士指出，“两桶油”在央企市场化改革中一直担当“探路者”的角色，依照目前“两桶油”所释放出的改革信息，不仅说明国企改革是2017年的“重头戏”，也意味着国企改革已经进入深水区,2,国内新闻,c,0
探路者,　　对此，有业内人士指出，“两桶油”在央企市场化改革中一直担当“探路者”的角色，依照目前“两桶油”所释放出的改革信息，不仅说明国企改革是2017年的“重头戏”，也意味着国企改革已经进入深水区,3,国内新闻,c,0
探路者,开发区做开放型经济的探路者开发区历史悠久已走过30年，“改革”、“开放”是开发区两个标志性符号，也是开发区有别于其他各类园区的最明显特征,4,国内新闻_电子报,c,0
探路者,当前，开发区面临的国内外形势、肩负的历史使命都在发生深刻变化，开发区将继续充当构建开放型经济新体制的“探路者”，为高水平全面建成小康社会作出更多贡献,4,国内新闻_电子报,c,0
探路者,： 华讯首页> 财经频道> 大视觉>  正文 钟晖离职背后 探路者旅游业务现危局： 华讯首页＞ 财经频道＞ 大视觉＞ 正文钟晖离职背后探路者旅游业务现危局2016年12月15日 10:59:52 www.lvjie.com.cn  　新旅界讯 12月11日晚间，前易游天下董事总经理兼探路者集团旅行事业群副总裁钟晖在朋友圈发状态表示：与其错误的坚持，不如有尊严的放下,5,国内论坛,c,2
探路者,　　而钟晖的离职背后，是被探路者收购一年多以来，易游天下的经营危局,5,国内论坛,c,2
探路者,　　2014年3月，探路者（300005.SZ）对外表示，以2.3亿元拿下易游天下74.56%股权，这是探路者在投资新加坡在线旅游平台Asiatravel、中国老牌户外活动网站绿野和极地旅行机构“极之美”之后加码旅游业务的重要动作，而户外旅行也是探路者三大业务板块中被寄予厚望的板块，这其中，易游天下承担了重要的使命,5,国内论坛,c,1
探路者,　　4亿与40亿　　对于离开易游天下的原因，钟晖对新旅界（LvJieMedia）三缄其口、不想多谈，更多地表达了对老东家的敬重与感谢，“感谢探路者集团和探路者董事长盛发强一年多的悉心栽培与照料,5,国内论坛,c,2
探路者,2015年，探路者以13073.9 万收购易游天下，后又增资1亿元，合计取得易游天下74.56%股权，2015年7月并表，当年为探路者贡献19.58亿元营收,5,国内论坛,c,2
探路者,　　对易游天下寄予厚望的探路者入股前曾给其下了“军令状”,5,国内论坛,c,2
探路者,　　根据探路者与易游天下及其原股东甄浩签署的《投资补充协议》，易游天下在2015年至2017年预计的营业收入分别不低于15亿元、40亿元和60亿元，毛利分别不低于4500万元、1.2亿元和1.8亿元，净利目标2015年亏损不超过2500万，2016年持平，2017年盈利6000万,5,国内论坛,c,2
探路者,2016年上半年探路者主要参股公司经营情况　　探路者业绩报告显示，2016年前三季度，以易游天下为主的旅行服务事业群营业收入同比下降约20%,5,国内论坛,c,2
探路者,　　探路者方面表示，今年前三季度旅行服务事业群的营收下降，主要系下属重要子公司易游天下继续推进业务转型，增强体验式旅行产品的研发力度，大幅缩减了盈利水平较低的普通旅行产品业务规模，导致其营业收入规模同比下降,5,国内论坛,c,2
探路者,”2016年上半年主营业务经营情况　　截至今年6月30日，探路者旗下的旅游服务业务营收只有不到4亿，即便全部算作易游天下的收入，距离对赌协议中要求的2016年末40亿元的营收要求，还有36亿元的差距,5,国内论坛,c,2
探路者,但探路者这边给出的命令确是：减少预付款比重，精简团队，降低运营成本,5,国内论坛,c,2
探路者,　　探路者探路　　在服装行业整体不景气的状况下，从2015年起，探路者试图通过建设“户外+旅行+体育”的生态圈寻找更多增长点，不过，转型期间的大量投入使其净利润在2015年出现自2009年以来的首次下滑,5,国内论坛,c,2
探路者,　　作为重要战略进入板块，探路者在旅游领域的探索陷入僵局,5,国内论坛,c,1
探路者,事实上，从 2012 - 2015 年，探路者净利润的增幅已经在连年放缓，而库存方面的压力也非常大，截至去年底，存货数量约 118万件，过季产品库存不断增加,5,国内论坛,c,2
探路者,　　应对市场变化，探路者在增加产品研发、提升产品效率、通过社群经营和粉丝经济增加市场销量方面下功夫,5,国内论坛,c,2
探路者,但提到市场销售，新旅界（LvJieMedia）发现，探路者的代言人一直在变化，从之前的王石、到汪峰、高圆圆,5,国内论坛,c,2
探路者,　　户外与体育有天然的结合点，近两年，探路者在用资本的形式进入体育产业,5,国内论坛,c,2
探路者,　　2015年1月，探路者宣布与江西和同投资管理公司共同出资设立探路者体育产业并购基金，开始在体育行业进行布局，今年1月，这只基金完成了首期1.1亿元的资金募集，并完成了对乐动天下、Fittime、奥美健康以及冰世界等重点项目的投资,5,国内论坛,c,2
