"摘要：醉美企业携手万科，闪耀BAZAAR明星慈善夜!
7月28日，在“为爱分享，愿爱永恒”主题的慈善拍中，一辆由万科董事长郁亮捐赠的单车上演激烈竞价。经过107轮竞买，三棵树以88800元成功拍得。据了解，此次公益活动云集诸多明星和企业家，所得善款将全数捐赠给BAZAAR明星慈善夜的公益项目。
<IMAGE SRC=""http://img0.utuku.china.com/320x0/jykx/20170801/29157fd8-3107-48f4-a1fa-ff777c4a924d.jpg"" >
说起这辆单车，故事可不一般~~它出自荷兰著名设计师Herman Van   Hulsteijn之手，流线型外观设计，全弧形钢架连接，曾斩获国际性设计大奖。2012年初，设计师为郁亮量身定制，从此在办公室陪伴了他五年的奋斗时光。
<IMAGE SRC=""http://img1.utuku.china.com/322x0/jykx/20170801/bad3aa81-70b5-4252-8ec2-24e9d39188a2.jpg"" >
作为全国领先的地产公司，肩负“为普通人盖好房子，盖有人用的房子”的社会责任，万科的品牌早已深入人心。推送健康、传递快乐、分享友谊，是郁亮先生崇尚的理念——热爱运动的他，不仅曾成功登顶珠峰，还致力于推动城市乐跑和全民健身。郁亮先生对健康生活的不懈追求、对慈善事业的亲力亲为，与健康企业三棵树不谋而合。
<IMAGE SRC=""http://img2.utuku.china.com/315x0/jykx/20170801/36530f4a-7031-4f62-9ea9-ad9576536ecf.jpg"" >
以“做世界最健康的产品，建世界最美的企业”为动力，三棵树始终坚持可持续发展与生产。企业首创涂料“健康+”五项新标准，率先在行业发起绿标行动，自主研发墙清霾净罩面涂料和太阳热反射隔热涂料，践行内外墙绿色涂装整体解决方案，真正做到“让家更健康，让城市更美丽”!
同时，三棵树积极参与各项公益慈善事业，累计捐赠近5000万元，“中国鲜呼吸公益行”、“全国空气质量关注活动”、“助力一亿棵梭梭”、“成立金淼慈善基金会”……正如郁亮先生所说，慈善是一场永不停歇的马拉松，而三棵树正是那个不忘初心的奔跑者!
<IMAGE SRC=""http://img3.utuku.china.com/555x0/jykx/20170801/6b23737e-0473-4d4e-b7f3-907d4e9baaa4.jpg"" >
秉持“源于社会，归于社会”的共享理念，凭借匠心质造与极致服务，三棵树与众多百强地产实现强强联手的战略合作，让“健康、自然、绿色”的涂料走进千家万户!",媒体新闻,17608297553987187607_0_590333,三棵树参与慈善拍，88800元拍得万科郁亮捐赠单车,三棵树,1
"　　中国证券网讯（记者 史文超） 三棵树18日晚间公告，公司到实际控制人、控股股东洪杰将其持有的公司限售流通股股票500,000股（占公司总股本的0.5%）质押给兴业证券股份有限公司用于办理股票质押式回购交易业务，初始交易日为2017年7月18日，购回交易日期为2019年9月27日，作为前期股票质押式回购交易的补充质押。本次补充质押手续于2017年7月18日办理完毕。截至目前，洪杰累计质押公司股票数量为16,300,000股，占其持股总数的24.31%，占公司总股本的16.30%。",媒体新闻,5677189851438566033_0_588887,三棵树控股股东补充质押50万股,三棵树,1
证券时报网（www.stcn.com）07月18日讯三棵树(603737)7月18日晚公告，公司实际控制人、控股股东洪杰将其持有的50万股（占公司总股本的0.5%）进行了补充质押。截至公告日，洪杰持有公司6705万股，占公司总股本67%。本次股份补充质押后，洪杰累计质押1630万股，占其持股总数24.31%，占公司总股本16.3%。注：二级市场上，公司股价自7月6日以来持续下跌，累计跌幅超16%。,媒体新闻,2725826952518298137_0_65836,三棵树股价持续下跌 实控人补充质押50万股,三棵树,1
"　　习惯成自然的“首堵”，永远靠人推才能关上门的早晚高峰地铁......年复一年在城市拼搏，大山深处的小山村离我们越来越远，老家成了心中遥远的乡愁。纵使生活熙熙攘攘、匆匆忙忙，也抵挡不了人们心中对归隐田园的向往。
　　当逆城市化的生活方式和市场消费趋势已出现，对于走出农村的新一代来说，故乡与他乡应该何去何从?
　　今年5月，中国健康涂料先行者三棵树在微博发起了话题#回不回家是个难题#，在网友中引发热议;继而上线的微电影《回家是道送分题》则真实再现了城市候鸟的回家之路。也许，回家才是更好的选择。
　　6月22日，三棵树归乡互动H5感动上线(http://h5.yuncii.com/card/)，替已经远离很久的故乡发出这声呼唤“我们需要你”，正是我们身边大多数人的写照。回到淳朴的故乡，完成父辈未完成的梦想，这一方养育我们长大的山水不该随着时间的流逝而变得陈旧黯淡。
　　乐园虽好，奈非吾家。是时候回家了!当越来越多的城市移民已逃离北上广，走在返乡之路。今日农村将以何种模样迎接离家多时的游子?
　　不久之前，杭州富阳东梓关村新落成的40幢杭派民居刷爆朋友圈。白墙黛瓦的房子坐落在青翠田野边，通过对水乡元素的抽象提取，将江南建筑外轮廓完美刻画。
　　不同于城镇化的小区安置房，东梓关村将农民的回迁安置房建成了设计与文化并重的新社区。当传统老宅和现代城市化居住模式取得平衡，古老的村落焕发新生之美。
　　落根故乡，乡愁无需漂泊。促进农村的城镇化健康发展，就要坚持以人为本，提升居住品质，使""居者有其屋""。而乡村改造正在成为政府针对供给侧改革与创新施策的关键着力点。
　　除了东梓关村的杭派民居，石塘村的互联网小镇，三甲屯南院等都是最美乡村的缩影。这不仅是设计师的神来之笔，也代表了新农村建设中的无限可能性，农村自建房、乡野文化社区、民宿酒店等......中国乡村其实可以更美。
　　面对城乡居民日益增长的对居住环境的改善需求，三棵树紧紧围绕“富民、强乡、兴业”这一总体目标，抱着建设美丽乡村的美好愿景，在2017年推出自建房/别墅整体涂装服务，用健康安全有保障的产品和专业可信赖的服务，为城乡居民打造一个中国式的“美丽乡村”。
　　据悉，2016年A股上市的三棵树以健康涂料先行者的姿态跨入资本市场后，便迅速展开“马上住”服务和“O2O”体系，布局产品一站式和整体涂装业务，打造361服务体系，融入互联网，从单一涂料生产商向涂料+服务咨询+施工服务的综合服务商转变，实现“三棵树下，健康人家”的品牌价值主张。
　　每一位游子就是故乡最好的设计师。归乡的步伐近了，牵手三棵树自建房/别墅整体涂装服务，打造国人心目中的最美家乡。
　　厌倦了大城市的嘈杂、拥堵与空气污染，“采菊东篱下，悠然见南山”不失为另一种选择。三棵树种下的“美丽乡村”中国梦，也将在不久的将来实现。
　　责编：海闻",媒体新闻,1484711284959444535_0_595922,回家也许是最好的选择，三棵树助力打造最美乡村,三棵树,1
"<IMAGE SRC=""http://e.thsi.cn/img/4b48c2f034e58828"" >
　　三棵树（603737）变更保荐代表人 中信证券（600030）王家骥接替白恒飞消息 7月5日晚间，三棵树发布 
　　公告称，日前，公司收到中信证券通知，原指派的保荐代表人之一白恒飞先生因工作变动，将不再负责公司本次发行持续督导工作。为保证持续督导工作的有序进行，中信证券委派保荐代表人王家骥先生接替白恒飞先生履行持续督导职责。
　　三棵树表示，本次保荐代表人变更后，公司的保荐代表人为周益聪先生和王家骥先生，持续督导期至2018年12月31日止。
　　三棵树公告王家骥先生个人简历：
　　王家骥先生，保荐代表人，哥本哈根大学硕士。2010年加入中信证券，曾作为项目主要成员参与了北京恒通创新赛木科技股份有限公司首次公开发行A股项目工作、金石资源（603505）集团股份有限公司首次公开发行A股项目工作、北京合康新能（300048）科技股份有限公司并购财务顾问工作、北京当升材料科技股份有限公司非公开发行项目工作等。",媒体新闻,10752321195080084756_0_39558,三棵树变更保荐代表人 中信证券王家骥接替白恒飞,三棵树,1
"6月22日，由世界品牌实验室主办的“世界品牌大会”在北京举行，会上发布了2017年“中国500最具价值品牌”分析报告。在这份基于财务、消费者行为和品牌强度的监测报告中，三棵树再度荣膺“中国500最具价值品牌”，品牌价值148.65亿元，比上一年度品牌价值大涨22.27亿元。
这也是“醉美企业”第十一次入围“中国500最具价值品牌”，书写了三棵树独具健康特色的品牌发展之路。
<IMAGE SRC=""http://img1.utuku.china.com/uploadimg/jykx/20170704/467e48d7-dfcb-4f5e-9b59-89982a6508f8.gif"" >
本届“中国500最具价值品牌”发布会的主题是“品牌策略再思考：互动与体验”，来自法国欧洲工商管理学院(INSEAD)首席教授琼克劳德拉里齐指出，“品牌和客户之间的动态关系，已经发生了巨大的变化。”
教授认为，消费者对品牌将越来越重视，所有行业品牌与消费者的对话，会让消费者对品牌产生积极情绪。这种持续的情绪将为客户带来品牌忠诚度，从而产生不断增长的价值创造。可以说，品牌已成为企业突围与蜕变的关键因素。
<IMAGE SRC=""http://img2.utuku.china.com/369x0/jykx/20170704/993bf5fa-8508-48b9-921e-78f643b5171c.jpg"" >
近年来，随着我国经济发展，中等收入群体持续扩大，消费者对产品和服务提出了更高的要求。新一代消费者讲究品牌消费，更加注重品质。这也对企业品牌带来了全新的思考——发挥品牌引领优势，推动供给侧改革升级，贯彻落实“创新、协调、绿色、开放、共享”的发展战略，是“中国品牌”脱颖而出的必然要求。
在此背景下，国家将每年5月10日设立为“中国品牌日”，意在进一步孵化优秀“中国品牌”，鼓励企业讲好品牌故事，提升“中国品牌”在世界上的知名度和影响力。不难预见，“中国品牌”的未来十分可期。
<IMAGE SRC=""http://img0.utuku.china.com/389x0/jykx/20170704/c0d14855-b145-4697-a5ce-b68bb0b9e6ee.jpg"" >
作为中国健康涂料的先行者，三棵树通过品牌和文化的相辅相成，使“三棵树下，健康人家”、“三棵树，马上住”在消费者中广为流传。如今，只要提到三棵树，人们自然而然想到了健康——这是品牌深入人心的最好印证。
自成立以来，三棵树凭借坚毅执着，迅猛发展，写下了一个又一个精彩而优雅的故事。在三棵树的年轮上，记载着许多涂料行业的传奇：首倡“健康漆”概念并全力推广;多次发起“中国鲜呼吸公益行”;举办“全国空气质量关注活动”;成立涂料行业首家商学院;建设亚洲最大单厂水性涂料基地之一;结缘神舟六号、神舟七号搭载涂料品牌;牵手诺贝尔化学奖得主开展技术创新……
在2016年成功登陆A股市场后，三棵树制定行业健康+新标准，实现新专卖店和新LOGO的双线升级，健康+系列产品的上市，掀起新一轮健康风暴;同时，企业布局产品一站式和整体涂装业务，全面打造361服务体系;以培养“未来CEO”为导向，三棵树为深刻认同企业文化的“奋斗者”提供广阔舞台与资源共享，队伍正日益壮大…
2017年，企业凭借多个有想法、有亮点的走心品牌专案，大力开拓品牌年轻路线，打造新媒体突破思维，运用多维度的品牌内容营销，以新颖、精准、创意的品牌推广手段，在消费者心中画下闪亮的一笔——三棵树的品牌蓝图正扎根中国，放眼世界!
<IMAGE SRC=""http://img3.utuku.china.com/442x0/jykx/20170704/415be79a-cdc4-44d2-92f7-ae08b27016df.jpg"" >
中国力量，改变世界，让你我共同见证!",媒体新闻,4412171828127464562_0_590333,三棵树再度荣膺“中国500最具价值品牌”：中国力量，改变世界,三棵树,1
"我们这一代人，大都为了梦想离开家乡，去追求更广阔的天地，却顾不上回头看看自己的家乡，看看自己的老家。但终于有天，当你厌倦了城市的拥挤和喧嚣，抛下了开不完的会和做不完的工作，想回归那个日思夜想的老家时，才发现它早已不如记忆中的那般美好，被岁月摧残得满目苍夷。
三棵树关注离家在外这一群体的需求，推出三棵树自建房/别墅整体涂装服务，给予离家游子最大的鼓励和支持，告诉广大漂在异乡打拼的游子们，回家不是难题，而是一道送分题。三棵树能助力，让故乡以更加美丽的姿态呈现。
痛点与共振：用情感对话，建立品牌信任
基业长青在于道法自然。一直以来，三棵树以“健康漆”的概念引领市场，健康、绿色、环保是品牌主要的诉求点。但要与竞品区隔，让消费者记住，就要从情感要素出发，找出品牌与消费者的情感链接，从而指引消费者寻找内心需求。
但是，想要真正做到与消费者“感情共振”，并不十分容易。
三棵树通过大量的调研和思考后，找到了绝妙的消费者“情绪痛点”——回家。北上广里全力打拼，过着不错生活的年轻人，如何平衡“老家这么破，怎么办”的焦虑跟压力?城与乡、美好与破旧的反差牵扯出背后“有家不敢回”的痛点。
5月12日，三棵树通过社交平台发起了“回不回家是个难题”讨论，开始话题造势。6月2日，微电影《回家是道送分题》再一次刷爆社交圈，线上点击量近300万，巧妙地把“老房”前后刷新的明显对比植入视频内容，将三棵树整体涂装服务的效果直观形象地展现出来。之后，三棵树趁势追击，仍旧抓住“回家”的痛点，通过真人互动式H5进行传播，让品牌声量在短时间内得到了极大的曝光。
<IMAGE SRC=""http://img1.utuku.china.com/459x0/jykx/20170627/d496d9c7-b1f5-48f2-a5ca-5224b2e2ac82.jpg"" >
三棵树微电影《回家是道送分题》
<IMAGE SRC=""http://img3.utuku.china.com/288x0/jykx/20170627/11e5413a-07a8-437c-9606-75956de1d892.jpg"" >
三棵树H5
长达一个月的线上营销，三棵树把“回家”这个点做足文章。微博话题讨论、各大视频平台上线感人至深的品牌微电影、延续微电影的互动H5，通过一系列的走心传播，告诉广大漂在异乡打拼的游子们，回家不再是难题，而是一道送分题。
三棵树的这次品牌传播，唤起了消费者的情感认同，网友纷纷留言被这个有些苦情但结局温情的微电影打动，想起自己的老家，也想做点什么为老家去改善。同时三棵树自建房/别墅整体涂装服务也在消费者认知中留下了印象，潜移默化地影响着他们日后的决策。
情感永远是最能打动人的东西，三棵树把握住了情感要素，也就准确抓到了消费者跟市场。
坚持高品质和服务，实现健康漆品牌战略
如今环保已经渗入各行各业，油漆涂料行业急需转型才能跟上市场的脚步。
作为涂料行业的先行者，三棵树在2012年发表企业五年总体战略就表明：做中国健康漆的领导品牌，以水性涂料作为未来产品发展战略，开始了转型之路。2015年，三棵树推出了新版logo，把打造“健康漆”的形象上升到企业战略高度。
而在今年，三棵树“自建房/别墅整体涂装服务”作为品牌开拓新市场的又一重大举措，通过情感共鸣的差异化品牌营销，寻求走到消费者心中品牌认知的制高点。此次“回家”系列活动的推广，三棵树通过整体涂装服务为基点，进而持续深入建设新农村，最终全面推进“健康+”品牌理念的新布局。
相信三棵树这个“美丽乡村”的中国梦，在不久的将来就能实现。",媒体新闻,17606162095508379860_0_590333,三棵树有个“美丽乡村”的中国梦,三棵树,1
"　　中国上海消息，2017年6月22日，由慧聪涂料网、慧聪化工网、慧聪表面处理网、买化塑主办，慧聪防水网、慧聪家具材料网、慧聪建材网联合主办，驱动原力·智融赋能“2017中国涂料品牌盛会”暨第十一届“创新、和谐、责任、影响力”中国涂料高峰论坛、慧聪网第十一届中国涂料“华彩奖”影响力品牌颁奖盛典于上海国际会议中心胜利召开。
<IMAGE SRC=""http://www.chinahqjjw.com/d/file/fangchan/2017-06-26/1498441291720042.jpg"" >
2017中国涂料品牌盛会现场
　　出席本次盛典的嘉宾除了获奖单位代表外，还有来自全国各地涂料企业代表、地产公司代表、渠道代理商、家具企业代表、行业专家，以及众多新闻媒体记者共500余人，共同见证第十一届“华彩奖”影响力品牌最高殊荣品牌企业的荣耀时刻。三棵树涂料股份有限公司董事副总裁林德殿先生受邀出席本次盛会。
<IMAGE SRC=""http://www.chinahqjjw.com/d/file/fangchan/2017-06-26/1498441347451822.jpg"" >
三棵树涂料股份有限公司董事副总裁林德殿先生走红地毯秀
　　盛典中，中国涂料品牌盛会上进行了隆重的中国涂料“华彩奖”影响力品牌颁奖盛典，肯定并褒奖为中国涂料产业做出贡献的品牌企业。三棵树涂料以雄厚的实力、强大的品牌影响力荣获“华彩奖墙面漆影响力民族品牌”、“华彩奖工程建筑涂料影响力品牌”、“华彩奖家装木器漆影响力品牌”。此外，三棵树涂料助力的“阿拉善SEE·一亿棵梭梭”在本次盛会中荣膺“中国涂料慈善公益奖”!
<IMAGE SRC=""http://www.chinahqjjw.com/d/file/fangchan/2017-06-26/1498441385664600.jpg"" >
<IMAGE SRC=""http://www.chinahqjjw.com/d/file/fangchan/2017-06-26/1498441396485022.jpg"" >
　　中国涂料品牌盛会，历久弥新，11年间从中国涂料高峰论坛和十佳涂料品牌评选活动升级、发展而来，已经成为行业内最受关注的活动，其内容、观点和思想已经引领行业发展，成为全行业最具行业成长价值与市场影响力的活动。三棵树历年积极参与品牌盛会活动与行业上下游互动，并凭借强大的品牌实力、优势的市场占有率和优质的服务屡获殊荣，今年更是硕果累累，显示了三棵树在行业、媒体、消费者中不可替代的行业地位!
<IMAGE SRC=""http://www.chinahqjjw.com/d/file/fangchan/2017-06-26/1498441419120692.jpg"" >",媒体新闻,6780611558242562755_0_320073,三棵树斩获2017中国涂料影响力品牌四大殊荣,三棵树,1
"　
　　由世界品牌实验室主办的“世界品牌大会”于6月22日在北京举行，会上发布了2017年 《中国500最具价值品牌》分析报告。在这份基于财务、消费者行为和品牌强度的监测报告中，三棵树第十一次荣登“中国500最具价值品牌排行榜”，品牌价值148.65亿元，比上一年度品牌价值大涨22.27亿元。
<IMAGE SRC=""http://yuqing.china.com.cn/Uploads/ueditor/image/20170623/594cd5edcc0b6.jpg"" >
　　作为中国涂料健康的领跑者，自首次入围“中国500最具价值品牌”以来，三棵树的品牌价值翻了10倍有余，这与企业深入人心的“健康”品牌形象密不可分。作为首家提出“健康漆”概念，首家以绿色为品牌主基调，首家呼吁回归本心，亲近自然的涂料企业，三棵树在行业内卷起一股清流。三棵树坚持围绕“健康、绿色、自然”的品牌核心价值，专注一个品牌策略，让“三棵树，马上住”、“三棵树下，健康人家”广为传播，赢得市场青睐，走出了一条独具健康特色的品牌发展之路。
　　2016年 6月，三棵树在上交所登陆A股市场（603737SH），标志着企业迈进又一个新天地。三棵树延续了健康的品牌基因，更以新颖、精准、创意的多元化品牌组合拳，开拓品牌年轻路线——不论是书写电商造节新公式的517健康漆节，还是俘获亚健康白领内心的健康+生态游，抑或是颠覆涂刷师傅刻板形象的马上住代言人大赛，都显著提升了企业的品牌价值与美誉口碑。
　　一路走来，三棵树坚持“让家更健康，让城市更美丽”的企业使命，在不断羽化蜕变的追梦路上，为实现“全球十大涂料品牌”不懈奋斗！　　南方财富网微信号：南财",媒体新闻,1775460202447912404_0_464746,　三棵树以148.65亿元连续第十一次荣膺中国500最具价值品牌,三棵树,1
"<IMAGE SRC=""http://i1.hexun.com/2017-06-21/189734916.png"" >
安信证券 杨勇
　　和讯股票（微信号：istocknews）消息 玲珑轮胎6月21日晚间公告，近日收到本公司首次公开发行股票保荐机构安信证券送达的《关于变更保荐代表人的通知》。安信证券原指派的持续督导保荐代表人为杨勇先生、王时中先生,持续督导期至2018年12月31日止。
　　近日，由于杨勇先生工作变动，为保证持续督导工作的有序进行，安信证券决定指派具有保荐代表人资格的韩志广先生接替杨勇先生担任本公司持续督导保荐代表人，继续履行相关职责。本次变更后，本公司持续督导保荐代表人为韩志广先生、王时中先生，持续督导期至2018年12月31日止。
　　公告显示，韩志广先生，保荐代表人，安信证券投资银行部业务总监，主要参与或负责了玲珑轮胎（601966.SH）IPO项目、奇信股份(002781,股吧)（002781.SZ）IPO 项目、国泰君安（601211.SH）公开发行可转债项目、文登市城市资产经营有限公司2011年公司债券项目、西北轴承收购财务顾问项目等。
（责任编辑：陈晓伟 HF093）",媒体新闻,12350334526031522763_0_588860,玲珑轮胎变更保荐代表人 安信证券韩志广接替杨勇,三棵树,1
