"摘要：基于互联网平台的一流综合服务商,坐拥优质流量入口。公司传统主营为互联网导流与推广服务,以2345网址导航为核心产品。截至目前,其产品用户规模突破4800万,位居行业第三。2015年,2345网址导航为百度带去超180亿次搜索,是百度联盟目前最大的合作伙伴。依托巨大...
    基于互联网平台的一流综合服务商,坐拥优质流量入口。公司传统主营为互联网导流与推广服务,以2345网址导航为核心产品。截至目前,其产品用户规模突破4800万,位居行业第三。2015年,2345网址导航为百度带去超180亿次搜索,是百度联盟目前最大的合作伙伴。依托巨大的平台流量优势,公司2015年底积极切入消费金融领域,推动流量变现模式再升级。目前,公司与中银消费携手推出的小额消费信贷产品“2345贷款王”发展势头迅猛,2017年有望迎来业绩爆发式增长。
    转型“内容导航”深挖用户价值,移动端多入口布局成效渐显。面对互联网流量日趋饱和的新环境,公司持续助推从网址导航向内容导航转型,提供游戏、影视等基于内容的增值服务,深挖单个用户价值。同时,移动端多入口卡位布局,产品矩阵策略成效渐显。相关业务单月营收从2015年末的500万增至2016年超1,500万元。其特色线下推广平台“王牌联盟”成为公司各产品渗透率稳步提升的竞争优势所在,目前王牌联盟注册推广技术员已达460万,日装机量15万台,将长期保障公司产品流量优势,促使公司寡头市场地位日益稳固。
    现金贷业务快速增长可期,布局创新金融全面打开成长空间。公司消费金融目前以“2345贷款王”为核心产品,为面向蓝领、大学生等的短期小额消费信贷,市场空间广阔。相比同类产品,公司优势在于:1)与中银消费合作在资金规模及成本上优势明显;2)业务背靠公司传统流量分发平台,获客优势突出;
    3)“央行征信+互联网大数据”相结合的风控模式,成效显著,产品坏账率已持续下降至3%;4)公司未来有望与江苏银行、凯基银行及海澜之家共设消费金融公司,产品在放贷资金方面或将获得进一步补充,为业务快速扩张提供条件支持。2016年,公司贷款王产品放贷总规模为62.74亿元,实现归母净利润1.11亿元。根据测算,我们预计公司2017年贷款王产品放贷规模有望达到300亿,成为公司重要的利润增长点。目前,公司在创新金融方面布局逐步完善,设立互联网小贷及互联网信用保险公司等,未来更多创新金融产品落地有望助力公司成长空间全面打开。
    长尾客户需求不断发掘,利好政策不断,大数据、人工智能等技术推动消费金融行业发展正当时。2016年,互联网消费金融交易规模达到4367亿元,同比大幅增长269%。根据智研咨询机构预计,2017年这一规模将达到9983亿元,在2016年基础上同比增长128.6%,行业发展正迎来爆发期。
    盈利预测与投资建议:预计公司2017-2019年实现归母净利润8.91、12.28、15.05亿元,同比增长40.4%、37.8%、22.6%,EPS 分别为0.27、0.37、0.46。首次覆盖给予公司“买入”评级,目标价8元,对应29*2017PE。
    风险提示事件:现金贷政策收紧风险、消费金融业务进展不达预期。（中泰证券）
让更多人知道事件的真相，把本文分享给好友：
更多",媒体新闻,12294908301008562285_0_223269,二三四五：转型“内容导航”深挖用户价值,二三四五,1
"　　二三四五业绩大增+加码互联网金融 二三四五涨幅逾7%
　　二三四五发布上半年业绩快报，营收10.7亿元，同比增长33%；净利4.5亿元，同比增长93%。公司表示，业绩增长主要系互联网消费金融业务的快速增长所致。公司相关负责人日前在“第三届移动互联网大会”上透露，二三四五计划在互联网消费金融业务“贷款王”的基础上，进一步推出商贷王、车贷王等产品，进一步加码互联网金融业务。
　　公司是一家定位于打造“网民首选的上网入口”平台的互联网企业，核心业务包含网址导航、桌面软件、移动互联网和王牌联盟四大类，是国内为数不多的拥有亿万级用户平台的公司。
　　二级市场走势：该股今日强势上涨，后市有望继续冲高。　　南方财富网微信号：南财",媒体新闻,419137551759841434_0_322943,二三四五业绩大增+加码互联网金融 二三四五涨幅逾7%,二三四五,1
"　　证券时报网（www.stcn.com）07月31日讯
　　二三四五(行情002195,诊股)（300295）7月31日在互动平台表示，爱租哪是公司正在培育的针对租赁以及未来资产管理方向的业务，目前主要仍是在重点城市进行试点，上海市场拓展正在筹备论证中。注：截至目前，7月27日至今，二三四五股价上涨逾20%。
　　（证券时报·e公司）",媒体新闻,15697668692399227726_0_439912,二三四五：爱租哪是公司正在培育的针对租赁等的业务,二三四五,1
"　　本报讯（记者 王延）26日，二三四五第三届移动互联网大会在张江举行，消费金融成为本次大会关注的焦点之一。
　　据悉，本届大会以“新科技改变生活”为主题，以“开放—互联—专注—分享”为关键词，旨在为业界交流、前瞻分享、合作共享搭建平台，并探寻移动互联网的新定位、新价值和新机遇。
　　与过往两届大会不同的是，此次大会不仅邀请了阿里、腾讯、百度、360、搜狗、朵唯、科大讯飞等二三四五多年以来的合作伙伴，互联网消费金融上下游合作伙伴也汇聚一堂，包括现金超人、TalkingData、拍拍贷、融360、西部证券、算话征信、现金白卡等40余家业内同行共聚，展现了二三四五集团战略方向的转变。
　　会上，二三四五互金事业部总经理彭亚栋与魔法现金、信用管家、算话征信、西部证券等4家合作伙伴，就“互联网消费金融”这一话题展开充分讨论，从政策规范、行业监管、用户流量、数据支持、发展趋势等多个方面分享了观点，并进行了前瞻讨论。
　　据了解，“普惠金融”成为金融领域的一片蓝海。由于低、小、散用户往往存在财务状况欠佳、信用信息不完整、抵押担保不足、风险抵御和处置能力弱等特点，重抵押、重担保、重历史数据的传统金融服务模式难以为其提供更多服务，而建立普惠金融体系的主要任务，就是为传统金融机构服务不到的这些用户提供机会，各类小额信贷或微型金融公司就此应运而生。
　　前述业内人士表示，尽管小额信贷和微型金融公司有广阔的前景，但“安全规范、风险防控”一直是金融服务的试金石。普惠金融客户数量多、分布广、单笔额度小，传统风控技术成本相对较高，所以一定要在符合政策监管的前提下，尽可能在前期流量导入和信用信息上做好功课，不要让90%信用良好的客户为剩余10%信用不良的客户埋单利息成本。只有这样，小额贷款业务才有可能成为未来消费者选择的消费方式之一。",媒体新闻,6775299209920869159_0_2340,二三四五移动大会聚焦消费金融,二三四五,1
"　　基于互联网平台的一流综合服务商，坐拥优质流量入口。公司传统主营为互联网导流与推广服务，以2345网址导航为核心产品。截至目前，其产品用户规模突破4800万，位居行业第三。2015年，2345网址导航为百度带去超180亿次搜索，是百度联盟目前最大的合作伙伴。依托巨大的平台流量优势，公司2015年底积极切入消费金融领域，推动流量变现模式再升级。目前，公司与中银消费携手推出的小额消费信贷产品“2345贷款王”发展势头迅猛，2017年有望迎来业绩爆发式增长。
　　转型“内容导航”深挖用户价值，移动端多入口布局成效渐显。面对互联网流量日趋饱和的新环境，公司持续助推从网址导航向内容导航转型，提供游戏、影视等基于内容的增值服务，深挖单个用户价值。同时，移动端多入口卡位布局，产品矩阵策略成效渐显。相关业务单月营收从2015年末的500万增至2016年超1,500万元。其特色线下推广平台“王牌联盟”成为公司各产品渗透率稳步提升的竞争优势所在，目前王牌联盟注册推广技术员已达460万，日装机量15万台，将长期保障公司产品流量优势，促使公司寡头市场地位日益稳固。
　　现金贷业务快速增长可期，布局创新金融全面打开成长空间。公司消费金融目前以“2345贷款王”为核心产品，为面向蓝领、大学生等的短期小额消费信贷，市场空间广阔。相比同类产品，公司优势在于：1)与中银消费合作在资金规模及成本上优势明显；2)业务背靠公司传统流量分发平台，获客优势突出；3)“央行征信+互联网大数据”相结合的风控模式，成效显著，产品坏账率已持续下降至3%；4)公司未来有望与江苏银行、凯基银行及海澜之家共设消费金融公司，产品在放贷资金方面或将获得进一步补充，为业务快速扩张提供条件支持。2016年，公司贷款王产品放贷总规模为62.74亿元，实现归母净利润1.11亿元。根据测算，我们预计公司2017年贷款王产品放贷规模有望达到300亿，成为公司重要的利润增长点。目前，公司在创新金融方面布局逐步完善，设立互联网小贷及互联网信用保险公司等，未来更多创新金融产品落地有望助力公司成长空间全面打开。
　　长尾客户需求不断发掘，利好政策不断，大数据、人工智能等技术推动消费金融行业发展正当时。2016年，互联网消费金融交易规模达到4367亿元，同比大幅增长269%。根据智研咨询机构预计，2017年这一规模将达到9983亿元，在2016年基础上同比增长128.6%，行业发展正迎来爆发期。
　　盈利预测与投资建议：预计公司2017-2019年实现归母净利润8.91、12.28、15.05亿元，同比增长40.4%、37.8%、22.6%，EPS分别为0.27、0.37、0.46。首次覆盖给予公司“买入”评级，目标价8元，对应29*2017PE。
　　风险提示事件：现金贷政策收紧风险、消费金融业务进展不达预期",媒体新闻,7685666280705557489_0_590318,消费金融业务爆发，势不可挡,二三四五,1
"证券时报记者 刘宝兴
二三四五（002195）相关负责人日前在“第三届移动互联网大会”上透露，二三四五计划在互联网消费金融业务“贷款王”的基础上，进一步推出商贷王、车贷王等产品，进一步加码互联网金融业务。
二三四五日前披露的上半年业绩快报显示，今年上半年，二三四五的营业总收入、营业利润、利润总额、归属于上市公司股东的净利润分别较去年同期增长33.85%、127.09%、125.71%、93.75%，而业绩的增长主要得益于互联网消费金融业务的快速增长。
据悉，二三四五旗下运营“贷款王”的上海二三四五金融科技有限公司，去年实现营业收入2.06亿元，实现归属于母公司所有者的净利润1.11亿元，互联网消费金融业务成为二三四五重要的利润来源。资料显示，“贷款王”于2014年上线，2016年该平台发放贷款总金融接近63亿元；截至去年12月底，该平台贷款余额接近14亿元。
二三四五前述负责人表示，除了计划推出的车贷王、商贷王，未来3-5年内，二三四五在金融行业内会有更丰富的产品。但他同时强调，目前关于互联网金融的监管政策并没有最终落地。",媒体新闻,518021762900502166_0_588987,二三四五加码互联网金融业务：拟推出车贷王、商贷王,二三四五,1
"　　原标题：创业板大涨主力资金尾盘抢筹 业绩预增的二三四五涨停
　　界面新闻 吴绍志
　　A股二八行情逆转来袭。7月27日，沪深两市双双低开，保持低位震荡。临近午间收盘行情出现分化，沪指由于权重股回调长时间飘绿，午后跌幅收窄尾盘翻红；创业板指经过连续多日低迷状态，盘中直线拉升，一举突破1700点，计算机、传媒板块大涨。截至收盘，沪指报收3249.78点，上涨0.06%；深证成指报收10395.19点，上涨0.95%；创业板指报收1742.19点，大幅上涨3.62%。
　　今日沪深两市成交额为5524.87亿元，较昨日增加918.01亿元，量能释放表现市场活跃度充足，创业板大涨产生强烈刺激作用。
　　Wind资讯提供的数据显示，两市主力净流出96.49亿元，较前四个交易日出逃力度大幅缩减。早盘时分，市场震荡下行，主力资金大力度离场观望，净流出112.04亿元，午后盘中回暖，主力资金回场抢筹，尾盘时分主力净流入12.70亿元。盘面数据显示，超大单、大单资金分别净流出57.20亿元、39.29亿元。而散户坚持做多，但热情有所消散，中单、小单分别净流入15.96亿元、81.97亿元。
　　外资方面，数据显示，北上资金今日净流入高达28.40亿元，沪股通净流入15.14亿元，深股通实现13.26亿元净流入。
　　Wind一级行业资金数据显示，今日信息技术板块主力资金大量涌入，以43.00亿元净流入强势占据行业榜首，可选消费、电信服务分别实现主力净流入4.11亿元、1.25亿元。材料板块成为主力抛售的重中之重，主力净流出额高达96.76亿元，能源、工业板块也成“重灾区”，分别遭遇主力净流出21.43亿元、11.68亿元。
　　具体到细分行业，软件、互联网软件与服务、信息技术服务成为主力净流入前三甲，分别实现主力净流入15.97亿元、10.72亿元、9.04亿元。金属、非金属与采矿行业再次“霸占”主力净流出行业榜首，其净流出额为53.13亿元，化工行业和石油、天然气与供消费用燃料行业主力净流出额均超20亿元，分别为27.39亿元、21.90亿元。此外，建材板块主力净流出额亦超10亿元，为12.21亿元。
　　个股方面，今日共有1602只个股实现主力净流入，1440只个股遭遇主力净流出，时隔一个半月，主力净流入个股数再次超越净流出个股数，市场主力资金热度刷新纪录，高达53%。
<IMAGE SRC=""http://n.sinaimg.cn/translate/20170727/1j8Y-fyinvyk1487345.png"" >
　　创业板大涨带动主力资金热情，主力净流入个股前十中创业板占据四席。其中，东方财富（300059.SZ）、掌趣科技（300315.SZ）、华谊兄弟（300027.SZ）均属于传媒板块，分别实现主力资金净流入2.93亿元、1.89亿元、1.61亿元，电子板块个股思创医惠（300078.SZ）亦实现净流入1.70亿元，并以涨停报收。计算机板块个股二三四五（002195.SZ）趁势吸金3.03亿元，盘中涨停，位居个股净流入榜首，此前公司公布的业绩快报显示，上半年预计实现营业利润5.34亿元，同比增长127.09%。
<IMAGE SRC=""http://n.sinaimg.cn/translate/20170727/4wEv-fyinvyk1487353.png"" >
　　有色金属板块在主力净流出个股前十中占据半数席位。洛阳钼业（603993.SH）、格林美（002340.SZ）、江西铜业（600362.SH）、中国铝业（601600.SH）、驰宏锌锗（600497.SH）分别净流出4.55亿元、4.28亿元、2.69亿元、2.38亿元、2.31亿元。资源股今日多数回调，尽管河钢股份（000709.SZ）午间公告称钒产品价格上涨对公司业绩有积极影响，股价呈上涨趋势，但主力资金却大量抛售4.61亿元。西水股份（600291.SH）盘中曾被大量资金集中抛售致其跌停，随后跌幅收窄，其主力净流出额为3.98亿元。
<IMAGE SRC=""http://n.sinaimg.cn/finance/fed3bc0b/20160317/jiemianbanner20160317.jpg"" >
新浪声明：此消息系转载自新浪合作媒体，新浪网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。文章内容仅供参考，不构成投资建议。投资者据此操作，风险自担。",媒体新闻,16027688144643311385_0_103050,创业板大涨主力尾盘抢筹 业绩预增的二三四五涨停,二三四五,1
"　　2017年7月23日晚间,二三四五（002195）披露了2017年半年度业绩快报。该业绩快报经过二三四五审计,但尚未经过会计师事务所审计。该半年报显示,二三四五上半年营业收入10.7亿元,同比增长33.9%;营业利润5.3亿元,同比增长127.1%;利润总额5.4亿元,同比增长125%;净利润4.5亿元,同比增长93.8%。二三四五称,2017年上半年度,该司的营业总收入、营业利润、利润总额、归属于上市公司股东的净利润的大幅增长,主要系互联网消费金融业务的快速增长所致。
<IMAGE SRC=""http://u.thsi.cn/fileupload/data/Input/2017/e086c3ede1be00d8b1086638b685276b.jpeg"" >
　　截至2017年6月末,二三四五总资产达到了80亿元,较2016年12月末增长8.6%;归属于上市公司股东的所有者权益为70亿元,同比增长6%。
　　据二三四五一季度报告,该公司一季度营业收入4亿元,同比增长11.5%;归属于上市公司股东的净利润为2亿元,同比增长123.9%;归属于上市公司股东的扣除非经常性损益的净利润为1.9亿元,同比增长100.8%;总资产为77.4亿元,同比增长5%;归属于上市公司股东的净资产为67.8亿元,同比增长2.1%。和半年报对比会发现,二三四五的消费金融业务发展速度二季度明显快于一季度。
　　二三四五年报显示,二三四五2016年度营业收入17.4亿,净利润6.4亿。2017年半年度二三四五的营业收入数据和净利润数据,分别相当于该公司2016年全年的营业收入和净利润的61.5%、70.3%。这显示出消费金融业务对该公司强劲的创造利润的能力。
　　二三四五的消费金融业务是现金贷。二三四五2016年年报显示,“2345贷款王”2016年度净利润1亿元,实现扭亏为盈。2016年,2345贷款王发放贷款笔数为411.8万笔,同比增长2937%;贷款总金额62.7亿元,同比增长2160%;2016年12月单月发放贷款14亿元;截至2016年12月末,贷款余额超13.8亿元,同比增长1713%。
<IMAGE SRC=""http://u.thsi.cn/fileupload/data/Input/2017/ca030d79a239c0875ae48305d944605d.jpg"" >
　　7月23日晚,二三四五还发布了《关于向银行申请综合授信额度的公告》,拟向银行等金融机构申请合计不超过15亿元的综合授信额度,授信品种包括但不限于短期流动资金、开立银行承兑汇票和国内延期信用证等。
　　除了业务的强劲增长,二三四五在申请牌照方面一点也没怠慢。二三四五旗下拥有网络小贷牌照广州二三四五互联网小额贷款有限公司,注册资本10亿元。在上海,二三四五于今年4月7日完成对上海杨浦杨科小额贷款有限公司的30%的股权的收购,作价3261万元。
　　2017年4月12日,江苏银行（600919）发布《关于发起设立消费金融公司进展情况的公告》,宣布与凯基银行(2837.TWSE)、二三四五和海澜之家（600398）共同发起江苏苏银凯基消费金融有限公司(筹)。其中,二三四五出资额0.54亿元,出资比例9%,为一般出资人。
　　据二三四五发布的《关于深圳证券交易所中小板公司管理部2016年年报的问询函回复的公告》,该公司与持牌消费金融公司中银消费金融在放贷和征信方面均有合作。二三四五称,2345贷款王与中银消费金融合作开发了信用金业务,另外还通过与中银消费金融、上海银行（601229）等持牌金融机构合作,实现了央行征信 互联网征信相结合的双重征信模式。这大概是2345能快速跑量的重要原因,自有浏览器带来的流量,加上持牌金融机构的资金优势。
<IMAGE SRC=""http://u.thsi.cn/fileupload/data/Sns/2017/b42cdb22ac27fa403cac52a6a9fb0e07_344_344.jpg"" >
第一消费金融
第一消费金融
欢迎关注微信公众号第一消费金融",媒体新闻,9443282422620754219_0_590324,暴利啊！二三四五上半年净利润4.5亿元 同比增长94%,二三四五,1
"证券代码：002195 证券简称：二三四五公告编号：2017-058
上海二三四五网络控股集团股份有限公司
2017年半年度业绩快报
本公司及董事会全体成员保证信息披露的内容真实、准确和完整，没有虚
假记载、误导性陈述或重大遗漏。
特别提示：
本公告所载2017年半年度的财务数据仅为初步核算数据，已经公司内部审
计部门审计，未经会计师事务所审计，与2017年半年度报告中披露的最终数据
可能存在差异，请投资者注意投资风险。
一、2017年半年度主要财务数据和指标
单位：元
项目
本报告期
上年同期
增减变动幅度（%）
营业总收入
1,066,077,322.53
796,467,405.28
33.85
营业利润
534,188,713.57
235,232,803.03
127.09
利润总额
539,989,977.24
239,240,946.35
125.71
归属于上市公司股东的净利润
449,680,029.97
232,094,173.13
93.75
基本每股收益
0.14
0.07
100.00
加权平均净资产收益率
6.58%
3.92%
增加2.66个百分点
-
本报告期末
本报告期初
增减变动幅度（%）
总资产
7,992,062,306.91
7,361,254,648.26
8.57
归属于上市公司股东的所有者权益
7,038,638,360.75
6,639,561,402.78
6.01
股本
3,285,446,248.00
1,932,615,440.00
70.00
归属于上市公司股东的每股净资产
2.14
3.44
-37.79
注1：公司于2017年4月，公司实施2016年度利润分配方案（以资本公积向全体股东每
10股转增7股，派0.50元人民币现金），因此，公司根据《企业会计准则》重新列报了上
年同期的基本每股收益，归属于上市公司股东的每股净资产未作调整。
注2：上述数据以公司合并报表数据填列。
 
二、经营业绩和财务状况情况说明
（一）、公司报告期的经营情况、财务状况及影响经营业绩的主要因素
2017年上半年度，公司营业总收入、营业利润、利润总额、归属于上市公
司股东的净利润分别较去年同期增长33.85%、127.09%、125.71%、93.75%，
主要系互联网消费金融业务的快速增长所致。
（二）、增减变动幅度达30%以上的项目情况说明
1、营业总收入、营业利润、利润总额、归属于上市公司股东的净利润及基
本每股收益较上年同期分别增加33.85%、127.09%、125.71%、93.75%及
100.00%，主要系报告期内互联网消费金融业务的快速增长所致。
2、股本较期初增加70%，主要系2017年4月18日公司实施2016年度利
润分配方案，以资本公积转增股本（每10股转增7股，派0.50元人民币现金）
所致。
3、归属于上市公司股东的每股净资产较期初减少37.79%，主要系前述公
司净资产增加、公司因资本公积转增股本导致股本增加共同影响所致。
三、与前次业绩预计的差异说明
公司在2017年第一季度报告中披露的2017半年度业绩预告为：归属于上
市公司股东的净利润变动幅度80%～120%。本次业绩快报披露的业绩在业绩预
计范围内。
四、备查文件
1、经公司现任法定代表人、主管会计工作的负责人、会计机构负责人（会
计主管人员）签字并盖章的比较式资产负债表和利润表；
2、内部审计部门负责人签字的内部审计报告。
特此公告。
上海二三四五网络控股集团股份有限公司
董事会
2017年7月24日",媒体新闻,8268373945251871351_0_588940,[业绩预告]二三四五:2017年半年度业绩快报,二三四五,1
"<IMAGE SRC=""http://hqpick.eastmoney.com/k/0021952.png"" >
　　二三四五(002195)7月23日晚间发布上半年业绩快报，营收10.7亿元，同比增33.85%；净利4.5亿元，同比增93.75%。业绩增长主要系互联网消费金融业务的快速增长所致。",媒体新闻,8988340164615030122_0_584796,二三四五：互金业务快速增长 上半年净利同比增94%,二三四五,1
