"　　锂电池概念股盘中快速拉升，动力源、横店东磁等2股涨停，截至发稿，先导智能、天齐锂业涨逾7%，赣锋锂业、创新股份涨逾5%，雅化集团、诺德股份涨逾4%，东方精工、新宙邦、西部资源、东方精工等10余股涨逾3%，石大胜华、天赐材料、江特电机、富临精工、星云股份等涨逾2%，其他相关个股纷纷跟涨。
　　责编：海闻",媒体新闻,9115821114609662868_0_595922,锂电池概念股拉升 动力源等2股涨停,动力源,1
"<IMAGE SRC=""http://chart.jrjimg.cn/pngdata/minpic/pic430/600405.png"" >
　　291 位投资顾问已告知动力源(600405)后市如何操作立即查看
　　金融界网站讯 6月20日早盘，充电桩概念暴力拉升，截止发稿， 动力源( 600405,诊股)涨停， 奥特迅( 002227,诊股)涨6%， 和顺电气( 300141,诊股)等涨5%。
　　数据显示，截至2016年底，我国已建成公共充电桩15万个，其数量为2015年底的3倍。今年我国还计划建成80万个充电桩，其中私人充电桩与公共充电桩的计划建设比例为7:1。此外，国家发改委等联合印发的《电动汽车充电基础设施发展指南（2015-2020）》明确提出，到2020年我国将建成集中充换电站1.2万座、分散充电桩480万个。
　　上证报记者调研获悉，多家上市公司相关业务今年前5月稳步增长，行业进入发力期。 科士达( 002518,诊股) 新能源汽车行业部相关负责人透露，今年前五月，公司新能源充电设备产品总出货量同比增长20%至30%。下半年，公司很多项目及订单将逐步落地，预计今年公司充电设备业务出货量同比增长50%。
　　 科陆电子( 002121,诊股)电动汽车充电业务相关负责人则表示，今年前5月，公司新能源汽车充电业务销售额同比增长20%左右，下半年有望集中爆发，保守估计全年销售额同比增长30%。
　　多位业内人士指出，从往年行情来看，上半年一般是新能源相关政策逐级落地期，而6月至11月主要为新能源充电项目落实期，政府、企业为完成年初目标，将加速推动相关项目的招标和实施，因此下半年行业有望发力。
　　与此同时，行业竞争形态也悄然改变。“现在有的大企业订单满负荷，忙不过来，而有的企业则没有订单，逐渐退出市场，整个行业更新换代速度在加快。”广东省充电设施协会常务副会长张学山认为，今明两年将是行业洗牌期，未来充电设备行业将出现少数大企业瓜分市场的格局。",媒体新闻,7764917825384482843_0_602731,充电桩暴力拉升 动力源涨停,动力源,1
"　　动力源什么时候复牌？动力源600405复牌时间公布　　南方财富网为大家介绍动力源什么时候复牌，具体如下：
　　本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。
　　经中国证券监督管理委员会（以下简称“中国证监会”）“证监许可［2017］100号”文核准，北京动力源科技股份有限公司（以下简称“本公司”、“发行人”或“动力源”）以股权登记日2017年5月26日（T日）上海证券交易所收市后公司总股本438，767，802股为基数，按每10股配售2.99435股的比例向全体股东配售人民币普通股（A股），共计可配售股份131，382，840股。本次配股网上网下认购缴款工作已于2017年6月6日（T+5日）结束。现将发行结果公告如下：
　　一、认购情况
　　本次配股共计可配售股份总数为131，382，840股。经上海证券交易所交易系统主机统计，并经中国证券登记结算有限责任公司上海分公司提供的网上认购数据验证，结合主承销商网下认购数据，本次配股公开发行认购情况如下：
　　无限售条件 占可配售股 有限售条件 占可配售股 A股东认购 占可配售
　　项目 股东认购 份总数比例 股东认购 份总数比例 合计 股份总数
　　（%） （%） 比例（%）
　　有效认购股 121，055，378 92.14 2，777，268 2.11 123，832，646 94.25
　　份（股）
　　有效认购资
　　金总额（人民 484，221，512 92.14 11，109，072 2.11 495，330，584 94.25
　　币元）
　　二、发行结果
　　根据本次配股发行公告，本次动力源配股共计可配售股份总数为131，382，840股，其中，无限售条件流通股股份采取网上定价发行方式，通过上海证券交易所交易系统进行；有限售条件流通股股份采取网下定价方式发行，由主承销商负责组织实施。本次公司原股东按照每股人民币4元的价格，以每10股配售2.99435股的比例参与配售。
　　发行人为内地与香港股市互联互通标的公司。上海证券交易所根据有关规则按照精确算法原则取整，即先按照配售比例和每个账户股数计算出可认购数量的整数部分，对于计算出不足1股的部分（尾数保留三位小数），将所有账户按照尾数从大到小的顺序进位（尾数相同则随机排序），直至每个账户获得的可配股票数量加总与可配股票总数量一致。香港投资者通过内地与香港互联互通持有发行人股份并参与本次配股的，对配售股份不足1股的部分，香港交易及结算所有限公司将根据中央结算系统有关规则的规定将该等零碎股份的数额调整至整数单位。
　　最终的发行结果如下：
　　1、截至股权登记日2017年5月26日（T日）收市，公司股东持股总量为438，767，802股，截至认购缴款结束日2017年6月6日（T+5日）有效认购数量为123，832，646股，占本次可配股份总数131，382，840股的94.25%，认购金额为495，330，584元。
　　2、承诺认购履行情况：公司控股股东何振亚已履行了其全额认购的承诺，全额认购了其可配股数（合计14，318，897股），占动力源本次可配股份总数131，382，840股的10.90%。
　　3、本次配股认购数量合计为123，832，646股，占本次可配股份总数131，382，840股的94.25%，超过了中国证监会《上市公司证券发行管理办法》中关于“原股东认购股票的数量未达到拟配售数量百分之七十”视为发行失败的认配率下限，故本次配股发行成功。
　　4、本发行结果公告一经刊出，即视同向认购获得配售的所有股东送达获配的通知。
　　三、配股除权与上市
　　本公告见报当日2017年6月8日（T+7日）即为发行成功的除权基准日（配股除权日），除权价格依据上海证券交易所的相关规定确定。本次配股的获配股份上市时间将另行公告。
　　四、本次发行的信息披露
　　有关本次发行的详细情况，请投资者查阅2017年5月24日（T-2日）在《上海证券报》、《中国证券报》上刊登的《北京动力源科技股份有限公司配股说明书摘要》和《北京动力源科技股份有限公司配股发行公告》、《北京动力源科技股份有限公司关于配股比例的补充公告》，投资者也可以到上海证券交易所网站
　　（http://www.sse.com.cn）查询《北京动力源科技股份有限公司配股说明书》全文及有关本次发行的相关资料。公司股票自2017年6月8日起复牌。
　　五、发行人及保荐机构（主承销商）
　　1、发行人：北京动力源科技股份有限公司
　　法定代表人：何振亚
　　董事会秘书：胡一元
　　办公地址：北京市丰台区科技园区星火路8号
　　电话：010-83681321
　　传真：010-63783054
　　2、保荐机构（主承销商）：华西证券股份有限公司
　　法定代表人：杨炯洋
　　保荐代表人：周晗、杜国文
　　项目协办人：何猛
　　项目经办人：邹明春、陈军、杨鑫、唐澳
　　办公地址：北京市西城区复兴门外大街A2号中化大厦8层
　　电话：010-68566670、010-68566685
　　传真：010-68566707、010-68566708
　　特此公告。
　　发行人：北京动力源科技股份有限公司
　　保荐机构（主承销商）：华西证券股份有限公司
　　2017年6月8日　　南方财富网微信号：南财",媒体新闻,7934779880530577441_0_590276,动力源什么时候复牌？动力源600405复牌时间公布,动力源,1
"<IMAGE SRC=""http://chart.jrjimg.cn/pngdata/kpic/pic430/600405.png"" >
620 位投资顾问已告知动力源(600405)后市如何操作立即查看
　　金融界网站讯动力源(行情600405,诊股)6月7日晚间公告称，经证监会“证监许可[2017]100号”文核准，公司以股权登记日2017年5月26日（T日）上海证券交易所收市后公司总股本438，767，802股为基数，按每10股配售2.99435股的比例向全体股东配售人民币普通股（A股），共计可配售股份131，382，840股。本次配股网上网下认购缴款工作已于2017年6月6日（T+5日）结束。
　　截至股权登记日2017年5月26日（T日）收市，公司股东持股总量为438，767，802股，截至认购缴款结束日2017年6月6日（T+5日）有效认购数量为123，832，646股，占本次可配股份总数131，382，840股的94.25%，认购金额为495，330，584元。",媒体新闻,6591202422935269350_0_491374,动力源：配股网上网下认购缴款工作结束,动力源,1
"　　动力源为什么停牌？动力源600405停牌原因　　南方财富网为大家介绍动力源为什么停牌，具体如下：
　　本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。
　　北京动力源科技股份有限公司（以下简称“动力源”或“公司”）实施配股，拟向截至股权登记日2017年5月26日（T日）上海证券交易所收市后，在中国证券登记结算有限责任公司上海分公司登记在册的公司全体股东配售。根据上海证券交易所的相关规定，公司股票将于本次配股缴款及网上清算期间，即2017年5月31日（T 1日）至2017年6月7日（T 6日）停牌，于2017年6月8日（T 7日）开市起复牌。
　　特此公告。
　　发行人：北京动力源科技股份有限公司
　　保荐机构（主承销商）：华西证券股份有限公司
　　2017年5月24日　　南方财富网微信号：南财",媒体新闻,10213750024790140130_0_590276,动力源为什么停牌？动力源600405停牌原因,动力源,1
"　　今天是动力源(600405)配股的最后一个交易日。如果无意配股，还有最后半个小时可供卖出。如果今日收盘持有而又不参加配股的投资者，每一手会亏损92元，亏损比例为12%。
　　今日大多数时间，动力源下跌2%以上，动力源股价午后有所回升，但随后又下跌，不过总体还算平稳，投资者应该早已知晓该公司要配股，而且愿意参加配股。
　　早在2015年12月29日，动力源就发布配股预案， 中国证监会发行审核委员会去年6月17日审核通过。动力源从宣布配股到现在，股价下跌超过50%，远高于上证指数同期跌幅。最近两个月，动力源破位下行，下跌25%。
　　配股有风险，参与需谨慎。
　　已经配股结束的西部证券(002673)，3月29日是股权登记日，在此之前股价也是节节下降，华意压缩(000404)股权登记日是5月18日，现在已经停牌，正在配股缴款进行中，股权登记日之前几个交易日股价也是瀑布般下跌。
　　在动力源之后要进行配股的是特变电工(600089)，特变电工股权登记日是5月31日，该公司股价在宣布股权登记日之后还有所上涨，但是在此之前，股价也经历过一轮急跌。
　　最近个股下跌有大盘影响，不过将时间拉长，可以看到，宣布配股的公司大多走势不佳。配股是一个长期过程，如动力源，从发布预案到现在已经一年半。
　　在宣布股权登记日后，股价变动也不同，比如特变电工就有所上涨。特变电工计划按每10股配1.5627股的比例向股东配售，配股募集资金总额不超过36.29亿元，由于配股比例比较小，而且配股价格为7.17元/股，而截至发稿的市场价为9.80元/股，相差并不大，即使没有参与配股，损失也只有3.6%。
　　但是动力源就完全不同，根据方案，动力源按照每10股配售2.9943592股的比例向全体股东配售，配股价格4元/股。
　　按照这个方案，按动力源股价8.34元/股计算，如果参与配股，除权价为7.33元/股，这样亏损就达12%，要一个跌停板还多。
　　配股是向所有股东的非强迫性募资，但如果不参与就面临损失，所以也是对公司股价的一场考验，如果所有人都参与配股，参与配股者持有公司的股权比例不会增加，不想参加配股者就会规避，但对大股东而言，如果短期不减持，不用考虑股价变动，配股是一个很好的可确保募资成功的方案。这同时也是一个筛选，认同配股的留下，不认同的离开。
　　特变电工之后，市场短期会进入一个配股真空期，有10个公司的配股方案获得股东大会通过，但还没有被监管部门审核批准，还有4个公司的配股方案还在董事会通过的阶段。",媒体新闻,13342717015134928267_0_590042,动力源今日收盘后停牌若不参与配股将亏12%,动力源,1
　　中证网讯（记者 江钰铃） 5月24日，北京动力源科技股份有限公司发布一系列公告，公司配股工作正式开始启动。公告显示，动力源拟向股权登记日（5月26日）登记股东，按照每10股配售2.9943592股的比例向全体股东配售，配股价格4元/股，募集资金不超过8亿元用于安徽生产基地技改及扩建项目、研发中心升级建设项目、偿还银行贷款及补充流动资金等项目。 动力源目前主营业务为电力电子技术及其相关产品的研发、制造、销售和相关服务等，主要产品和服务有直流电源、交流电源、以高压变频器为核心的综合节能业务、光伏业务等。公司产品广泛应用于通信、电力、冶金、石化、矿山、油田、水利、公共建筑、轨道交通、轻工制造等行业。在现有核心产品中，通信电源产品市场占有率较高，公司是三大运营商及铁塔公司的主要供应商之一；在新产品开发方面，公司未来计划围绕新能源开发利用，推出非车载充电设备、电动汽车电控设备、光伏逆变器、功率优化器等新产品，以形成合理的产品梯队。 本次公司募集资金募资用于安徽生产基地技改及扩建项目总投资1.62亿元，拟投入募集资金1.5亿元。研发中心升级建设项目总投资2.94亿元，拟投入募集资金2亿元，项目具体研发方向包括光伏并网、锂电池、矢量控制、新能源汽车充电系统等技术。此外，公司拟分别投入募集资金2.5亿元和2亿元用于偿还银行贷款、补充流动资金。2016年1月，股东大会通过公司配股方案。2017年3月配股申请获得证监会核准。公司大股东何振亚先生承诺将全额认购可配售股份。 公告显示，动力源将于5月25日进行网上路演，5月26日作为股权登记日，5月31日至6月6日开始为配股缴款日，6月7日网上清算并验资。 动力源也将成为西部证券和华意压缩之后年内实施配股的第三家企业。今年二月再融资新规出台以后，很多企业开始转向对中小股东相对公平的可转债和配股等其他再融资方式。年内已经有国轩高科、国信证券、新奥股份等十多家企业提出了配股预案。,媒体新闻,10066310409539948112_0_439912,动力源启动配股实施工作 募集资金增强主业发展,动力源,1
"　　中国证券网讯 5月24日，动力源发布公告称，公司配股工作正式开始启动。公告显示，动力源拟向股权登记日（5月26日）登记股东，按照每10股配售2.9943592股的比例向全体股东配售，配股价格4元/股，募集资金不超过8亿元，用于安徽生产基地技改及扩建项目、研发中心升级建设项目、偿还银行贷款及补充流动资金等项目。
　　资料显示，动力源目前主营业务为电力电子技术及其相关产品的研发、制造、销售和相关服务等，主要产品和服务有直流电源、交流电源、以高压变频器为核心的综合节能业务、光伏业务等。公司产品广泛应用于通信、电力、冶金、石化、矿山、油田、水利、公共建筑、轨道交通、轻工制造等行业。在现有核心产品中，通信电源产品市场占有率较高，公司是三大运营商及铁塔公司的主要供应商之一；在新产品开发方面，公司未来计划围绕新能源开发利用，推出非车载充电设备、电动汽车电控设备、光伏逆变器、功率优化器等新产品，以形成合理的产品梯队。
　　公司表示，本次募集资金用于安徽生产基地技改及扩建项目总投资1.62亿元，拟投入募集资金1.5亿元。研发中心升级建设项目总投资2.94亿元，拟投入募集资金2亿元，项目具体研发方向包括光伏并网、锂电池、矢量控制、新能源汽车充电系统等技术。此外，公司拟分别投入募集资金2.5亿元和2亿元用于偿还银行贷款、补充流动资金。2016年1月，股东大会通过公司配股方案。2017年3月配股申请获得证监会核准。公司大股东何振亚先生承诺将全额认购可配售股份。
　　公告显示，动力源将于5月25日进行网上路演，5月26日作为股权登记日，5月31日至6月6日开始为配股缴款日，6月7日网上清算并验资。
　　据了解，动力源将成为西部证券和华意压缩之后年内实施配股的第三家企业。今年2月再融资新规出台以后，很多企业开始转向对中小股东相对公平的可转债和配股等其他再融资方式。年内已经有国轩高科、国信证券、新奥股份等十多家企业提出了配股预案。（侯利红）",媒体新闻,1945437791806295341_0_79300,动力源启动配股实施工作 募集资金增强主业发展,动力源,1
"　　中证网讯（记者 王维波）动力源（600405）5月23日晚发布《配股说明书》称，拟以实施本次配股方案的股权登记日收市后的股份总数为基数，以4元/股的价格按照每10股配售2.9943592股的比例向全体股东配售。若以公司2017年3月31日的总股本438,767,802股为基数测算，本次可配售股份总数为131,382,840股。公司控股股东何振亚承诺以现金形式按持股比例全额认购其可获配售股份。本次配股募集资金总额预计不超过8亿元，扣除发行费用后，募集资金净额拟投资于以下项目：一是安徽生产基地技改及扩建项目拟使用募集资金额15,000万元；二是研发中心升级建设项目拟使用募集资金额20,000万元；三是偿还银行贷款25,000万元；四是补充流动资金20,000万元。
　　公告表示，公司所属行业为电力电子设备制造业，主要产品和服务有直流电源、交流电源、高压变频器及综合节能等。受国家节能减排政策的拉动，工业节能、新能源汽车、光伏发电等领域发展加快，公司将继续围绕电力电子技术做大做强现有业务，并积极拓展新能源汽车充电设备和光伏逆变器、功率优化器等新能源业务，做强主业，丰富产品线，培育新的利润增长点。
　　业内人士分析，动力源的产品主要应用在通信、节能环保、数据中心、城市轨道交通等领域，近年来国家密集出台有利于上述领域发展的政策方针，为相关行业快速发展提供有力支撑。受益于4G通信建设的快速推进、城市轨道交通和数据中心投资建设力度加大、工业节能、新能源汽车、光伏发电领域发展提速等有利因素，市场对通信电源、工业节能用高压变频器、UPS、EPS、新能源汽车充电系统、光伏逆变器、功率优化器等产品的需求旺盛，并且伴随着技术的发展进步，市场对于新一代产品的需求也将逐步增长，因此，该公司的产品具有良好的市场前景。通过实施上述配股项目，可以满足该公司扩充产能、优化产能布局的需要，有利于培育新的利润增长点，提高该公司核心竞争力，实现可持续发展。",媒体新闻,1544033010293156542_0_54757,动力源：拟配股募资8亿元加码主业,动力源,1
"<IMAGE SRC=""http://chart.jrjimg.cn/pngdata/kpic/pic430/600405.png"" >
611 位投资顾问已告知动力源(600405)后市如何操作立即查看
　　金融界网站讯动力源(行情600405,买入)5月23日晚间公告称，公司实施配股，拟向截至股权登记日2017年5月26日（T日）上海证券交易所收市后，在中国证券登记结算有限责任公司上海分公司登记在册的公司全体股东配售。根据上海证券交易所的相关规定，公司股票将于本次配股缴款及网上清算期间，即2017年5月31日（T+1日）至2017年6月7日（T+6日）停牌，于2017年6月8日（T+7日）开市起复牌。
　　根据配股方案，本次配股以股权登记日2017年5月26日（T日）上交所收市后公司总股本438，767，802股为基数，按每10股配2.9943592股的比例向全体股东配售，共计可配股份数量131，382，840股。配股价格：4元/股。
　　本次配股拟募集资金不超过8亿元人民币（具体发行规模视发行时市场情况相应调整），扣除发行费用后将用于安徽生产基地技改及扩建项目、研发中心升级建设项目、偿还银行贷款和补充流动资金。",媒体新闻,5333584301081518904_0_55423,动力源实施配股 5月31日至6月7日停牌,动力源,1
