"　　最新数据显示，上半年，天津港(行情600717,诊股)煤炭发运量大降，在北方港口的煤运市场份额由以前的17.1%下降到14.2%。
　　上半年，北方港口煤炭运输几乎全面飘红，整个环渤海港口合计发运煤炭3.33亿吨，同比增长5450万吨。其中秦皇岛、国投京唐港、京唐港、国投曹妃甸港煤炭吞吐量均出现大幅或者小幅的增长，唯独天津港煤炭发运量出现负增长。
　　受汽运煤被叫停影响，天津港煤炭运输主要依靠天津神华煤码头。今年上半年，天津港完成煤炭吞吐量4770万吨，同比下降1050万吨；其中，天津港神华煤码头完成煤炭吞吐量2101万吨，而天津老港区仍承担部分煤炭运输任务。
　　5月份开始，天津港禁止公路运煤后已有约470万吨/月的量回流，而在10月份，将新增530万吨/月的公路煤炭回流铁路量。
　　天津港煤炭设计能力8500万吨，包括：天津老港和神华天津南疆煤码头；天津老港设计能力为4000万吨/年，装船采用抓斗。神华天津南疆码头设计能力为4500万吨/年，与其配套的集港铁路为朔黄线和黄万线。
　　天津港后方铁路通道建设滞后已经成为制约港口煤炭运输进一步发展的主要因素。根据天津港发展规划，煤炭运输将全部由南疆港区承担，但南疆港区目前主要依靠黄万线承担煤炭进港运输。
　　为了缓解秦皇岛煤炭运输压力，分流1000万吨煤炭的蓟港铁路受多方面因素影响，至今未能发挥其作用。由于后方铁路通道建设滞后，天津港大量通过公路集运煤炭，不仅增加了运输成本，而且污染了城市环境。今年，汽运煤被叫停，天津港煤炭运输不可避免的受到影响。
　　此外，天津港煤炭价格的涨跌变化同样受煤炭业内人士的关注，天津港市场煤比例较大，在一定程度上影响着北方港口煤炭交易价格的走势。下水煤炭主要流向为浙能、国电、深能源、上电、广州恒运、华电等耗煤企业，部分流向水泥、建材、化工的企业。
　　今年，在国家加大“大秦线—秦皇岛港”运量，蒙冀线、朔黄线也保持增长态势，以及汽运煤受限的情况下，无铁路专线支持的天津老港煤炭运输受到很大影响，，煤炭吞吐量出现下滑。
　　而天津神华煤码头依靠铁路专线运输和高效率的机械化煤码头，依然保持着强劲的发展态势。预计今年天津港完成煤炭吞吐量会保持在8000万吨左右，同比去年出现一定幅度的回落。（来源：煤炭网）
　　（责任编辑：yanhanping）",媒体新闻,6433165959055835653_0_588751,上半年天津港在北方港口的煤运市场份额降至14.2%,天津港,1
"　　中新社天津7月26日电 （记者 刘家宇）天津国际邮轮母港26日对外披露，今年上半年，天津港(行情600717,诊股)接待国际邮轮90艘次，旅客40.7万人次，分别同比增长73.1%、102.4%，双创历史新高。
　　2010年6月投入使用的天津国际邮轮母港，是亚洲设计规模最大的国际邮轮码头，亦是目前中国内地唯一坐落在自贸区内的邮轮母港，有着先天的政策优势和通关便利化条件。
　　天津国际邮轮母港提供的数字显示，今年上半年，皇家加勒比邮轮公司、歌诗达邮轮公司和地中海邮轮公司继续在天津运营母港邮轮航线。今年2月，地中海邮轮公司旗下的“抒情号”豪华邮轮在天津开启“环中国海”航线邮轮，探索出一条“南北邮轮游互通、海上游与内陆游互动”的新路。
　　今年下半年，诺唯真邮轮旗下首艘专为中国量身定制的邮轮――诺唯真喜悦号也将于8月开启6艘次天津母港航线运营。据介绍，诺唯真喜悦号总吨数为16.77万吨，船长333米，宽41米，载客数为3850人，是目前在亚洲运营最大的国际豪华邮轮之一。
　　天津港预计2017年接待国际邮轮数量逾160艘次，旅客逾80万人次。
　　天津国际邮轮母港有限公司招商市场部经理杨亮表示，今年以来，根据国际邮轮到港艘次快速增长和多船同靠情况增加等新情况，天津港科学制定各类船舶靠泊计划，合理调配人力、设施、设备资源，科学规划旅客进出线路，旅客满意度和市场竞争力不断提升。（完）",媒体新闻,1618994298168798480_0_54757,天津港上半年豪华邮轮旅客接待量快速增长,天津港,1
"原标题：京津企业联手合作
日前，天津新港船舶重工有限责任公司与北京环达公司签订4060台中置轴轿运车车架定制合同，合同金额2亿多元。
中置轴轿运车是按照国家公路运输轿车新规范研发的新型轿运车挂车，是目前公路上常见的轿运车的替代产品。该产品采用中置轴组合式设计，既可单挂使用，也可组合使用，具有拐弯半径小，装载车辆效率高、安全性能好等特点，将成为轿运车的主流车型，具有很大的市场空间。
据了解，天津新港船舶重工有限责任公司始建于1940年，隶属于中国船舶重工集团。公司拥有临港和新港两个厂区。其中。新港厂区占地面积50万平方米，码头岸线1200米，拥有40000和15000载重吨级造船船台各一座，3000吨级海洋工程模块、重机装备总组滑道三座，30000载重吨、3000载重吨级修船干船坞、15000载重吨浮船坞各一座，并具有与之相配套的各种加工、运输设施设备，具备中小型船舶建造及修理、海洋工程模块建造以及重机装备制造能力。
“该合同的签订，对于港船重工调整非船产品结构，打造几个批量制造定型产品，做强做大非船有重要意义。”港船重工相关负责人表示，目前，公司正在与北京环达公司探讨进一步深化合作，研发系列轿运车挂车，适应各型轿车的运输需求，并扩展至整车装配制造，打造轿运车品牌，形成年10亿元以上的产业。（记者 刘长海）
(责编：唐心怡、魏炳锋)",媒体新闻,7499396916078136197_0_589945,京津企业联手合作 港船重工签订2亿元非船合同大单,天津港,1
"　　天津港(行情600717,诊股)实现无人机监控航空污染 打造绿色智慧港口
　　中国网新闻7月1日讯（记者 张艳玲 赵晓雯）天津港已实现无人机航空污染常态化监控，大大提升海上污染预警监控能力。近日，中国网记者跟随交通运输部举办的“21世纪海上丝绸之路”沿海港口行重大主题宣传采访活动采访团来到天津港，见证天津港的建设发展成就。
　　近年来，随着环渤海地区及其经济腹地的经济迅速增长，渤海海域港口货物吞吐量呈快速增长态势，船舶大型化、专业化趋势明显。
　　据统计，天津港拥有集装箱班轮航线123条，每月集装箱航班可达550余班。除此之外，天津港2016年全年共接待国际邮轮142艘次，接待进出境邮轮旅客71.5万人次，分别较去年增长47.9%和66.3%。
　　“越来越高的通航密度，加上频发的灾害性天气，使天津海域发生船舶交通事故进而导致海洋污染的风险大大增加。”天津海事局危防处副处长朱国欣说。
　　船舶溢油事故对自然环境、生态环境和旅游资源等造成的损害是难以弥补的，而在“十二五”初期，天津市海上一次溢油控制清除能力仅仅200吨左右。
　　为此，天津海事局与空军和民航空管部门联合开展了辖区无人机航空污染常态化监控工作，并施行了“海空一体”及夜间巡航新模式，使得海上污染预警监控能力得到极大提升。
　　在此基础上，天津海事局还建设了“无人机监控数据采编系统”，实现了无人机监控数据对海事专网的接入，能够实时查看监控现场画面，为海上溢油应急处置决策工作提供了有力支持。
　　几年来，在“海空一体”及夜间巡航新模式下，天津港完成了无人机航空污染监控646架次，飞行时间825小时，飞行里程约55000公里，协助查处各类船舶违章20余起。以天津港主航道为中心，“南北两翼”海上污染应急处置新局面基本形成。
　　“这一先进技术对提升天津港海上船舶污染的应急决策指挥能力、预警和处置能力、溢油应急效率都带来积极的推动作用。以‘政府主导、海事组织、企业运营、全社会共同参与’为特点的海上溢油应急能力建设模式——‘天津模式’逐渐成形。”朱国欣说。
　　天津市交通运输委副主任、港航管理局局长杨树海表示，在下一步的工作中，将严格落实《交通运输部关于印发船舶与港口污染防治专项行动实施方案（2015—2020年）的通知》重点任务，以互联网信息平台为载体，创新“互联网+安全监管”模式，打造港口安全动态监控平台，着力打造绿色智慧港口，实现港口绿色、平安、高效、和谐发展。",媒体新闻,9160232263208527493_0_54757,天津港实现无人机监控航空污染 打造绿色智慧港口,天津港,1
"　　2017年6月29日，天津市。天津市交通运输委副主任、港航管理局局长杨树海在“21世纪海上丝绸之路”沿海港口行天津市座谈会上发表讲话。中国网记者 赵晓雯 摄
　　中国网新闻天津6月30日讯（记者张艳玲 赵晓雯）自2002年朝阳无水港建设以来，天津港(行情600717,诊股)陆续辟建了25个无水港，服务辐射9个省市及自治区，初步形成了多层级的内陆物流网络体系。
　　据天津市交通运输委副主任、港航管理局局长杨树海介绍，近年来，天津市紧紧抓住“一带一路”建设以及落实京津冀协同发展等重大国家战略机遇，全力打造“一带一路”东西双向海陆交汇航运枢纽，推进北方国际(行情000065,诊股)航运核心区建设，努力提高航运要素的集聚能力和航运资源的配置能力。
　　据统计，2016年天津无水港完成操作量33万箱，同比增长3.13%;今年前5个月无水港完成操作量16.08万标准箱，同比完成15.08%。
　　“天津港将以‘优化功能定位、加强合资合作、推进资源共享’为重点，着力打造通达全球、衔接高效、功能完备的国家中心港口，充分发挥港口对区域经济发展的基础性作用。“天津港集团公司集装箱板块运营中心筹备组副组长、集装箱业务部副部长宋天威说。
　　此外，为了促进津冀港口协同发展，天津港集团先后和河北省港口集团、唐山港(行情601000,诊股)集团和沧州港集团签订了合作框架协议，共同开发建设码头项目。天津市同京冀两地合作建设10个无水港项目，全面实现区域通关通检一体化，平均节省通关时间8小时，降低成本20%。
　　经过多年的建设，天津港已经成为等级最高的人工深水港，30万吨级船舶可以自由进出港口，拥有集装箱泊位26个，已成功接卸世界最大可装载2万标准箱的集装箱船。
　　“当前，天津港正处于转型升级和新一轮发展的关键时期，无水港在促进区域经济协调发展、提升港口服务辐射能力、增强市场竞争力等方面的重要作用将会进一步凸显。“天津港集团有限公司副总裁赵明奎说。",媒体新闻,4991507161384278540_0_54757,天津港加快无水港转型升级 打造国家中心港口,天津港,1
"　　天津港进口巴西铁矿石注水充数缺斤短两
　　界面新闻 周小飏
<IMAGE SRC=""http://n.sinaimg.cn/translate/20170626/vHxq-fyhneam2902169.jpg"" >
图片来源：视觉中国
　　猪肉可以注水缺斤短两，没想到铁矿石也被这般操作。
　　根据央广网报道，近日，天津检验检疫局南疆办事处工作人员在水尺计重工作中，检出某货轮装载的巴西进口铁矿严重短重，短重量高达2314.4吨，短重率14.64‰，短重货值共计18.2万美元。
　　央广网从天津检验检疫局获悉，该货轮为今年以来排出“货物明水”最多的船舶，在进口巴西铁矿中被检出短重比例最大、短重货值最高的船舶。
　　今年以来，自天津港进口巴西铁矿的货船共17船次，其中货物短重10船次，比例高达58.8%。其中所有短重船次均排出大量“货物明水”，平均每船排出“货物明水”1303吨。
　　我的钢铁网资讯总监徐向春对界面新闻记者说，这种对铁矿石“注水”的事情偶有发生，主要看进出口两地的检验是否严格。
　　据天津检验检疫人员介绍，因巴西进口铁矿含水量较高，在运输过程中会大量渗水，前述货轮对货物进行了相应的排水处理，共排出明水2161.77吨，以致货物重量“缩水”严重。
　　天津检验检疫方称，湿态货物重量短少是导致全船货物干态短重的主要原因，该轮在航行过程中排出大量“货物明水”是湿态重量短少的主要原因。
　　一般来说，铁矿石的粉矿品种具有一定含水量，含水量的多少由买卖双方在合同里商定并且确定价格，之后将粉矿装船，付款结算。
　　铁矿石从巴西运输到中国，大致需要40天，一般用载重20万吨的好望角型散货船运输。上述用货轮运输铁矿石的买家多为小型钢厂。
　　“一种可能是在巴西装船时水分就已经高了，但巴西当地的检验机构认为不高”，徐向春说，“另外一种可能是，在运输过程中加水，将压舱水打进来”。
　　根据货物谁来承运的分类，如果是按照FOB离岸价格，装船由买方租船，运输过程和卖方无关；如果是按照CFR在岸价格，需要由卖方租船，卖方来承担运费。
　　但无论卖方是否承担租船和运费，卖方都必须按照此前和中国买家签订的贸易合同扣除水分来计算价格。
　　徐向春称，不好断定这是否是卖方有意为之，也有可能是疏忽导致。如果检验检疫不严格的话，买方会受亏损。
　　中国是全球最大的铁矿石生产国和消费国，需要进口的铁矿石占消费总量的80%以上，占到全球海运铁矿石的三分之二，主要从澳大利亚和巴西进口。
　　根据海关统计，2016年，中国进口了10.24亿吨铁矿石，增长7.5%，首次突破10亿吨。今年前5月，中国进口铁矿石4.45亿吨，同比增长7.9%。",媒体新闻,107720923143331522_0_589478,天津港进口巴西铁矿石注水充数缺斤短两 短重率14‰,天津港,1
"    国内首条采用复式交通组织方式、世界最大集装箱船舶可便捷进出港、双进双出“四车道”大幅提升通行效率……我国首条人工开挖的复式航道在天津港正式启用两年多来，开启了渤海湾航海新时代，港口船舶通航效率大幅提升。
    2013年12月29日，随着一个集装箱稳稳地在五洲国际集装箱码头卸下，天津港年货物吞吐量正式突破5亿吨，集装箱吞吐量突破1300万标准箱，成为我国北方第一个5亿吨级港口。
    随着货物吞吐量稳步提升，进出港口船舶数量激增的状况开始出现。据当时预测，到2020年天津港年货物吞吐量将达到7亿吨。如果维持现有航道不变，不但难以承载进一步增长的船舶数量，而且航道上大小船舶混行，交通“肠梗阻”愈发突出。
    未雨绸缪，经过精心谋划设计，天津港复式航道建设的构想最终敲定，施工任务由中交天津航道局承担。2014年末，全国首条采用复式交通组织方式、等级最高的人工深水航道——天津港复式航道正式启用。新航道可满足30万吨级船舶和1.9万标准箱的世界最大集装箱船舶自由进出港，原有“两车道”变身“四车道”，大小型船舶实现双进双出。
    从试通航一年的数据看，天津港航道面貌发生了巨大变化。这期间，天津港累计有近3.8万艘次生产型船舶进出港口，其中15万至30万吨级大型船舶近900艘次，同比增长25％。
    “过去大量小船拥堵在主航道上，锚地平均有10条船等候接卸，最长时一艘矿船需排队等10天。”天津港调度指挥中心副主任余雷说，从试运行一年情况看，累计压缩船舶等候时间近3000小时，通行效率提高了27％，船公司成本降低，减少燃油也更利于环保。
    业内专家认为，复式航道有效助推了天津港在世界航运业发展波动背景下率先转变发展方式、提质增效，更为促进“一带一路”和京津冀协同发展提供了更加便捷、高效的港口基础设施保障。
    在复式航道保驾护航下，天津港已经同世界上180多个国家和地区的500多个港口实现贸易往来，120条集装箱航线和每月550余班航班直达世界各地。随着大航海时代的开启，天津港的国际大港梦想正一步步成为现实。
    据新华社天津6月16日电",媒体新闻,7268487133985398090_0_1580,天津港：“两车道”变身“四车道”,天津港,1
"  天津港股东大会将于6月26日召开，若相关议案得以顺利通过，其与控股股东天津港发展之间的同业竞争问题将会得到化解，集团内定位得以明确，主营业务的发展基础夯实，为后续发展打下良好基础。
  天津港发展与天津港均为天津港（集团）有限公司（下称“天津港集团”）所控制，其中天津港集团持有天津港发展53.50%股份，天津港发展则持有天津港56.81%股份。天津港发展通过其直接持股及通过其全资附属公司持股的五家装卸及物流领域的参、控股公司，在天津港区内经营集装箱码头、粮食、钢材等散杂货码头及物流业务；天津港主要经营煤炭、矿石等散杂货码头、集装箱码头及物流等业务，两者存在同业竞争，使得天津港无法进行资本运作，相关资源整合也无法进行。
  回查公告，2014年5月16日，天津港发展承诺，在2016年内，以实现天津港进一步做大做强战略为指导，按市场发展情况，在不影响其他股东利益的情况下，通过将天津港的港口业务和资源进一步划分和整理，细分业务市场，梳理和优化业务结构，解决天津港发展和天津港的同业竞争问题。在此期间内，天津港发展承诺不利用控股股东或实际控制人地位损害天津港的利益。
  2016年12月9日，天津港发布重大事项停牌公告称：“接到控股股东天津港发展控股有限公司通知，称其正在筹划与本公司相关的重大事项。”
  根据相关公告，天津港本次重组包含资产收购及资产出售两部分：资产收购方面，天津港拟以支付现金的方式，向天津港发展及其附属公司收购其所持有的天津港联盟国际集装箱码头有限公司40%股权、天津港集装箱码头有限公司100%股权、天津港第二港埠有限公司100%股权、天津港欧亚国际集装箱码头有限公司际40%股权及天津港海丰保税物流有限公司51%股权；资产出售方面，天津港拟向天津港发展附属公司出售其所持有的天津港轮驳有限公司100%股权。
  目前相关议案已经董事会通过，等待股东大会表决。
  重组完成后，天津港合并报表口径的资产及营业收入规模将明显提升，这将进一步夯实上市公司主营业务的发展基础，提升上市公司主营业务实力；天津港利润规模提升明显，盈利能力指标得到改善，股东即期回报有所增厚，有利于维护上市公司股东的利益。
  此外，重组后天津港的装卸业务收入规模也将有较大幅度提升，装卸业务收入占上市公司营业收入的比重将明显上升，上市公司“天津港装卸物流产业板块运营主体”的定位更加突出，业务特色更加鲜明。
  天津港发展和天津港的同业竞争问题化解后，其发展定位将明确：天津港是天津港集团范围内装卸物流产业板块的运营主体，天津港发展是天津港的控股股东、拓展海外业务的平台及港口拖轮业务等非装卸物流业务的运营主体，天津港及天津港发展分别直接负责各自板块业务运营管理。
  本次交易后，天津港港区内的主要装卸及物流业务企业股权及资产将整合至天津港，这将为后续进行资源深度整合、优化业务发展、激发协同效应奠定良好基础。
  （胡焱）",媒体新闻,14989015330783031197_0_1731,"天津港股东大会将召开
审议解决同业竞争方案",天津港,1
"<IMAGE SRC=""http://ww1.sinaimg.cn/large/710c95f3ly1fgkiw6m2ipj208i05o3z6.jpg"" >
<IMAGE SRC=""http://ww1.sinaimg.cn/large/710c95f3ly1fgkiwg6mqfj20rs0fmmzf.jpg"" >
　　天津港集团原董事长于汝民涉嫌受贿罪被检察机关立案侦查
　　来源：正义网
　　日前，天津市检察院依法对天津港（集团）有限公司原党委书记、董事长于汝民（正局级）以涉嫌受贿罪立案侦查，并采取强制措施。@最高人民检察院 据此前媒体报道，2015年8月12日，天津港爆发火灾爆炸，造成165人遇难。其后，天津港集团一批高层落马，其中就包括于汝民。",媒体新闻,14604366509442802843_0_104943,天津港原董事长于汝民因涉嫌受贿罪被立案侦查,天津港,1
"　　本报讯（记者 韩爱青）大型运煤车辆过境运输，对空气质量造成影响较大。为此，本市对煤炭运输方式进行调整，天津港禁止煤炭公路运输，港区环境因此大变样。
　　为改变持续了几十年的货车运散煤模式，市交通运输委与市公安局、市环保局、滨海新区政府和天津港集团等单位通力合作，加快推动煤炭运输方式调整。截至今年4月，散货物流中心煤炭基本出清，散货煤炭全部实现铁路进港。5月1日起，天津港不再接收公路运输煤炭，预计此举每年将减少运煤大货车约200万辆次。市交通运输委还会同天津港集团与北京铁路局、太原铁路局、乌鲁木齐铁路局制定铁路煤炭增运方案，在天津港集团设立海铁联运办公室，统筹协调煤炭公路转铁路运输。天津港铁路煤炭运输车辆3月日均开行10列，4月达到日均16列。如今，港区内来往穿梭的运煤车辆没了，一堆堆小山高的煤炭不见了，取而代之的是一片片新种植的绿地，港区环境大为改善。
　",媒体新闻,15796970922195406923_0_452,告别煤炭公路运输 天津港环境大变样,天津港,1
