"山西汾酒大涨逾8% 距创历史新高一步之遥
2017年08月07日 15:19来源：新浪
8月7日消息，白酒股走强，山西汾酒(43.990, 3.37, 8.30%)大涨，距创历史新高一步之遥。截至收盘，报43.99元，涨8.30%。
[责编:lvxianwei]",媒体新闻,12760213069429208782_0_202401,山西汾酒大涨逾8% 距创历史新高一步之遥,山西汾酒,1
"2016年以来，茅台集团率先开启了与行业兄弟企业相互交流的新模式，茅台集团在董事长袁仁国，党委书记李保芳的率领下，频频走访兄弟酒企，一年多来，兄弟酒企之间气氛融洽，交流升华，合作和友谊都不断朝着深入发展，对整个白酒行业的良性发展起到了有力的促进作用。
为巩固友谊，深化交流，8月6日上午，山西汾酒集团党委书记、董事长李秋喜，汾阳市市委书记武跃飞率考察团一行到访茅台集团，并正式邀请茅台集团参加将于9月在汾阳市举办的“2017山西(汾阳·杏花村)世界酒文化博览会”。茅台集团党委书记、总经理李保芳热情接待李秋喜、武跃飞一行，并与考察团一行在茅台集团会议在召开以“交流互鉴碰撞时代新命题、包容并蓄驱动增长新活力、求同存异迎接市场新挑战、竟合共进开创白酒大未来”为主题的座谈交流会，茅台集团副总经理、总会计师杨建军，茅台集团总法律顾问刘汉林，茅台酒股份有限公司副总经理万波、王崇琳、钟正强，茅台酒股份有限公司总经理助理涂华彬等参加座谈。
<IMAGE SRC=""http://img3.utuku.china.com/650x0/jykx/20170807/491bc10c-3e67-4c87-98ed-088e26367832.jpg"" >
李保芳对李秋喜、武跃飞一行表示热烈欢迎，随后发表讲话。李保芳在讲话中对去年访问汾酒集团的经历进行回顾，对现阶段汾酒集团的发展表示看法，对目前白酒行业的态势进行分析，对茅台集团当前的形势和重点工作进行介绍，并对白酒行业的深化合作提出建议。
李保芳深情地回顾起去年9月到访汾酒集团的情形，汾酒人的热情，汾酒对传统工艺的坚守，深厚的文化，锐意改革的意识无一不给到访者留下深刻的记忆。李保芳表示，从茅台集团的角度来说，我们对汾酒当前取得的新业绩叫好，为汾酒深化改革的决心和气魄喝彩，为汾酒因势而为的新战略加油，并为汾酒实现“大布局、大胸怀、大责任”的新未来表示衷心祝福!对于当前白酒行业的整体态势，李保芳认为，目前白酒行业整体回暖态势明显，茅台、汾酒等名优酒企抓住了发展机遇，业绩实现了新突破，并远超预期!从行业来看，酒企之间步入了从竞争到竞合的新时代，过去同行是冤家，现在携手是常态。白酒行业已经开启互访互动互促的包容合作模式。行业领先企业正以更友好的策略、更有效的措施，努力营造行业发展的新生态、新环境，推动行业持续健康发展。事实上，各企业都有各自相对传统固定的消费群体，市场竞争不会有过度的“挤出效应”。我们提别提议：今后茅台和汾酒要形成一个不成文的规矩，以后每年相互都要走动一次，以相互学习，取长补短，共同进步。
在介绍茅台集团的情况时，李保芳指出，近年来，茅台集团紧紧围绕“一看三打造”发展战略和“三个转型，五个转变”的总体要求，积极主动适应新常态，深入贯彻省委、省政府决策部署，坚守发展、生态和安全“三条底线”，扎实推进供给侧结构性改革和“十企”战略，顶住压力，稳中求进，主动转型，创新实干，推动茅台发展步入了新的发展期。今年上半年，茅台实现销售收入317亿元，同比增长7.5%，实现利润总额169亿元，完成增加值276亿元，取得了可喜的业绩。同时，我们也注意到，茅台出现了两个上扬，一是股价上扬，二是价格上扬。由于茅台集团坚守工艺品质不放松，坚决不用不到年份的茅台酒包装上市，导致的市场供应偏紧，市场供需矛盾则导致茅台酒价格出现上涨。为此，我们站在讲政治的高度，将稳定价格当成当前茅台最主要的任务，采取一揽子措施，力图稳定价格，保障供应，让更多的消费者买得起，喝得上。
对当前及未来一段时间茅台的主要工作，李保芳介绍指出，近日茅台集团召开党委会，就有关重大事项作了研究，决定成立茅台研究院，广泛吸纳各界精英、智囊为茅台战略发展出谋划策，指导规划;决定在2019年实现茅台酒基酒产能5.5万吨。我们进行了反复地、科学地论证，茅台稀缺的环境资源和承载能力致使茅台酒基酒生产不能无限扩大，2019年实现5.5万吨产能后，较长时间茅台不再增加产能!我们决定组建贵州茅台金融控股公司、组建茅台资产管理公司，有效管理集团公司日益增长的资产，让闲钱变活钱，让金融促增长，为实现产融结合的千亿茅台打造重要力量。此外，李保芳还介绍了茅台集团在生产、文化、生态、人才等方面的重点工作部署。
在对白酒行业的深化合作方面，李保芳提出两个倡议：一是恪守匠心、坚守工艺，让中国酒类品牌更受信任。我们都把质量视为发展的命根子、生命线，茅台坚持“以质求存、恪守诚信”与汾酒“用心酿造、诚信天下”不谋而合，作为国内白酒业界的重要一员，我们要一如既往坚守传统工艺，尊崇社会诚信，遵守商业道德，严守质量底线，在技术攻关、质量把控方面多交流、多探讨，一起筑牢品质基础，让老百姓喝好酒，喝健康酒，让中国品牌走出去的腰杆更硬;二是深度对接“一带一路”战略，携手更多中国酒类品牌走出去。“一带一路”中国方案为国内白酒企业“走出国门，走向世界”提供了新的重要机遇。我们要紧扣习近平总书记提出的“一带一路”战略，营造“竟合”氛围，在业界形成一个相互尊重，互相借鉴，取长补短，互助共赢的行业发展导向，携手更多中国酒类品牌走出去，为做强做大做优白酒产业不断探索和努力。
<IMAGE SRC=""http://img2.utuku.china.com/650x0/jykx/20170807/77f7442e-80da-45be-98bb-ad60b70f9074.jpg"" >
李秋喜讲话表示，汾酒对茅台发展、茅台成就的“奥秘”充满了学习的心态，希望通过相互间的友好交流，茅台能为汾酒“传经送宝”。对茅台的发展思路、管理制度、品牌推广策略、市场策略，李秋喜表示高度认同与赞赏。也非常赞成茅台提出的每年一次的互访倡议，并表示茅台与汾酒每年的互访既能增进了解、增进互信、增进合作、增进友谊，又能为整个白酒行业的合作发展开创一种新模式。李秋喜积极认同李保芳提出的围绕着国家“一带一路”战略，营造“竟合”氛围，携手共同走出国门的战略建议。李秋喜指出，中国白酒走出去，需要茅台这样的大企业把大旗扛起来，树立起中国白酒“走出去”的典范，汾酒与茅台是兄弟企业，双方必然携手“一带一路”发展战略下开创中国白酒新格局。最后，汾酒集团作为“2017山西(汾阳·杏花村)世界酒文化博览会”的承办单位，李秋喜代表汾酒集团对茅台发出诚挚邀请。
汾阳市委书记武跃飞在座谈会上介绍了“2017山西(汾阳·杏花村)世界酒文化博览会”的有关情况，并代表本次酒博会诚挚邀请茅台参展。
李保芳现场表示茅台将积极参加“2017山西(汾阳·杏花村)世界酒文化博览会”，并将全力配合组委会的各项工作，鼎力支持“2017山西(汾阳·杏花村)世界酒文化博览会”成功举办。",媒体新闻,10857909057520020599_0_590333,山西汾酒集团、汾阳市委考察团一行赴茅台集团友好交流,山西汾酒,1
"　　证券时报网（www.stcn.com）07月24日讯
　　今日早盘，白酒板块表现抢眼，贵州茅台(行情600519,诊股)大涨逾2%再创新高，截至发稿，山西汾酒(行情600809,诊股)涨5.82%、泸州老窖(行情000568,诊股)涨4.36%，酒鬼酒(行情000799,诊股)涨4.33%、五粮液(行情000858,诊股)、口子窖(行情603589,诊股)、今世缘(行情603369,诊股)、古井贡酒(行情000596,诊股)、贵州茅台等股涨超2%。
　　长江证券(行情000783,诊股)分析认为，7月虽然是白酒淡季，但当前白酒价格继续表现出淡季不淡趋势，在基本面见顶之前白酒行情不会见顶，而白酒基本面至少还有1-2年的持续周期，原因在于渠道库存增加等因素未大范围发生，企业盈利水平仍有提升空间。预计8月中旬后消费旺季的带来，有望催化价格进一步上涨。
　　东兴证券(行情601198,诊股)分析认为，上半年酒类CPI区别食品CPI走势主要是白酒价格上涨的贡献，短期看白酒价格上行的格局不会被改变。相比食品CPI下半年预期温和上涨的趋势，白酒内生逻辑驱动的价格上升将更加独立，价格趋势确定的投资逻辑也将更加清晰。
　　（证券时报网快讯中心）",媒体新闻,3980041378731130065_0_54757,白酒板块表现抢眼 山西汾酒涨逾5%贵州茅台再创新高,山西汾酒,1
"　　中国证券网讯 24日早盘，白酒板块表现抢眼，截至发稿，山西汾酒(行情600809,诊股)涨5.68%，泸州老窖(行情000568,诊股)涨4.32%，酒鬼酒(行情000799,诊股)、五粮液(行情000858,诊股)、口子窖(行情603589,诊股)涨逾3%，今世缘(行情603369,诊股)、金徽酒(行情603919,诊股)、古井贡酒(行情000596,诊股)、贵州茅台(行情600519,诊股)等个股均有不错表现。",媒体新闻,8079012036150716772_0_54757,白酒板块表现抢眼 山西汾酒涨逾5%,山西汾酒,1
"　　17年是进击元年，国企改革动力足。1）新周期商务消费+民间消费助力汾酒16年步入回暖通道，省内外收入同比分别+5.4%，+8.5%。高端茅五挺价，次高端纷纷提价，汾酒旗下青花瓷也两度提价。2）17年是汾酒集团酒类三年“责任状”元年，目标分解下放，经营自主权、薪酬管理及绩效考核等权利下放，将带动公司业绩释放。3）组阁聘任用人机制开酒企先河，销售人员规模扩大，销售自营队伍年底扩大至1000人规模，地推人员以同等规模扩大，后发制人补齐销售力短板。4）渠道合作积极性提高。
　　收入端：省内经济复苏带动青花瓷高增长，省外渠道理顺全面进攻。1Q17迎来开门红，收入21.8亿，同比+48.3%。省内：1）历年省内收入占比约6成，16年底大本营市场煤炭经济触底回升，带动商务消费和高端餐饮恢复，引领省内青花瓷系列高增长。2）省内消费结构升级，中高端产品明显提升，1Q17汾酒高端产品增速高于中低端；3）渠道下沉，“百县千镇”计划加速渗透。省外：1）省内外产品区分切割，省内主打低度老白汾、青花瓷等，省外以高度产品为主，品类、价格壁垒有力防止内外窜货。2）环山西市场无强势地产酒竞争，渠道力推动业绩高增长。渠道调整-取消五大事业部，省区独立管理扁平化授权；原有团购商转型为经销商，重新招商扩充渠道数量。16年汾酒实现省外收入同比+8.5%，高于省内增速3pct。经过16年省外渠道调整理顺，我们判断17年理顺后省外收入扩张将有望加速。
　　利润端：高端占比恢复性增长，净利率弹性较大。1）14-16年青花瓷萎缩玻汾放量，产品结构降级。14年毛利率67.4%，同比-7.7pct。高端萎缩的趋势一直延续到16年，根据公司年报披露，15年中高端酒占比60.9%，16年占比57.01%，下滑3pct。2）4Q16起青花瓷系列回升，逆转毛利率连续3年下滑趋势，据调研，300元价格带以上产品增速快于普通汾酒。4Q16、1Q17毛利率分别为71.9%，71.5%，同比回升4.2pct,1.5pct。伴随青花瓷占比持续提升+公司力控玻汾占比30%以内，毛利率有望加速恢复至历史高点。3）17年费用绝对值同比上升，费用率同比有望下降。16年汾酒收入复苏，销售费用后置，销售费用率为17.6%，同比-4.6pct。1Q17仍有销售费用后置问题，判断全年费用率前低后高。但未来伴随收入提升，费用率有望下降。4）17年正式迈入高端占比提升，中低端产品稳定阶段，我们判断毛利率将率先恢复到历史高点，伴随收入扩张带动费用率下降，净利率稍滞后恢复至高点（20%）左右。
　　盈利预测与估值：国改元年带动业绩释放，省内外收入端齐发力，同时青花瓷系列占比提升+提价，毛利率持续向上，未来收入提升后费用率下降，净利有更大弹性。我们预计17-19年EPS为1.04元、1.37元、1.82元，同比+48%、+32%、+33%。考虑到公司收入高速增长和结构升级带来的利润弹性，结合次高端带白酒其他可比公司的估值水平，给予18年30XPE，维持“买入”评级。
　　风险提示：宏观经济增长低于预期；山西省煤炭经济低于预期；高端白酒需求回落；青花增长不达预期。",媒体新闻,10716666950371348532_0_590318,忽如一夜春风至，步入国改新纪元,山西汾酒,1
"　　山西汾酒股票分析：改革效果逐渐显现，战略性看好改善空间
　　山西汾酒(600809)
　　事件：公司发布中报业绩预告，预计2017 上半年公司的净利润同比增长50%-70%。披露增长的原因为：公司的营业收入增加及加强成本费用控制。
　　投资评级与估值：维持盈利预测，预测17-19 年EPS 为0.95、1.21、1.52 元，增长35%、28%、26%，对应17-19 年PE 为34x、27x、21x，维持“增持”评级。我们看好公司的核心逻辑是：1、汾酒是清香鼻祖，具有深厚的品牌底蕴，品质得到行业及社会一致认可，尽管行业调整期收入大幅下滑，但品牌和市场仍在，具备快速恢复的基础;2、白酒行业进入景气通道，消费升级明显，公司核心产品青花系列、金奖陈酿等中高端产品将会受益;3、经营思路逐步清晰，产品方面，主导产品采取“抓两头，稳中间”的策略，青花系列、玻汾系列持续增长，老白汾系列力争稳步发展;营销管理方面，加强激励力度，推进扁平化管理;市场费用方面做到精准投放，落实到位;4、公司是山西国企改革的排头兵，已承诺2019 年6 月底前制定管理层股权激励计划，改革将激发企业潜力和活力，助力企业发展进入快车道。
　　国改激发公司动力，收入净利润有望大幅提升。汾酒成为山西省国改打出的第一枪，汾酒股份公司国资占比近70%，此次改革自上而下，省国资委领导改革决心很大。预计国企改革将可能采用引入战略投资者、员工持股、股权激励等形式。我们认为此次国改将激发管理层及员工的积极性、改善管理体制，有利于公司长远发展，收入利润也将迎来大幅提升。
　　品牌底蕴深厚，香型独特酒质出众，受益白酒消费升级。汾酒做为清香型白酒的鼻祖，是最老的四大名酒之一，具有很强的品牌历史底蕴。其清香型的口感在行业独树一帜，品牌具有很强的消费粘性，品质也赢得了消费者的一致认可。同时，白酒行业复苏以来，消费升级明显，今年上半年次高端品牌普遍销售情况较好。汾酒的青花系列、金奖陈酿等都定位于次高端，我们预计增速40%以上。
　　公司基本面逐渐改善，省内渠道进一步下沉，省外积极转型升级。去年以来公司采取产品聚焦策略，重点发力青花系列、金奖陈酿、老白汾、玻汾等核心产品。省内渠道下沉，进一步精细化运作。省外主要集中在环山西地区，公司对省外市场的费用投放力度加大，坚定不移向中高端转型。河南、北京、内蒙、天津、陕西等省份今年都保持了高速增长。公司基本面正在发生积极变化，值得持续重点关注。
　　股价上涨的催化剂：国企改革进程加快、收入利润增长超预期
　　核心风险假设：国企改革受阻，收入利润未达标　　南方财富网微信号：南财",媒体新闻,8371168503756383027_0_322942,山西汾酒股票分析：改革效果逐渐显现，战略性看好改善空间,山西汾酒,1
"　　事件：公司公布2017年半年度业绩预增公告，经财务部门初步测算，预计2017年半年度实现归属于上市公司股东的净利润与上年同期相比，将增加50-70%。
　　业绩快速增长逐步兑现，我们前期观点持续得到验证。我们在2016年12月12日发布深度报告《调整结束，加码成长》重点推荐山西汾酒，2017年以来又以多篇公司和行业跟踪报告持续重点推荐，一季度公司业绩强劲增长验证加速成长核心逻辑，目前来看公司中报业绩靓丽表现亦与我们的判断相一致。站在当前时点，我们认为公司已进入快速增长通道，管理机制加速优化进行中，未来2-3年仍有望保持高速增长势头。
　　青花瓷系列动销强劲，二季度收入增速有望超预期。Q2淡季公司逐步消化渠道库存，发货量增速环比有所降低，但高端酒青花瓷系列动销势头强劲，其中青花30年供不应求，3月末公司尚有5万件订单缺口，其高增长表现有望超预期。渠道走访显示，Q2省内市场增速在20%以上，河南、北京等省外核心市场增速超过30%，我们预计Q2收入增速在25%左右，对应上半年收入增速约39%。综合产品结构上移和费用投放趋势，我们保守预计Q2公司利润增速在20%以上。
　　混改进程加速推进，次高端清香鼻祖强势回归。1）机制优化：在签署目标责任书后，二季度公司内部机制改善逐步显现，销售公司层面集体解聘副处级领导，改为组阁聘用制，人事市场化改革已经开启，同时销售人员奖金等激励力度也有大幅提高，工作积极性显著增强，我们认为后续存在进一步推出股权相关的激励措施的可能。2）受益次高端：白酒行业高端酒提价周期确立，以汾酒为代表的次高端产品紧随受益，渠道反馈上半年青花瓷实现高速增长，二季度末青花20年价格顺利上调20元，清香鼻祖汾酒的品牌张力正在加速提升。长期来看，我们认为未来2-3年汾酒有望持续受到消费者青睐，收入规模和行业排位也将逐步提升。
　　投资建议：目标价36元，维持“买入”评级。我们预计2017-2019年公司分别实现营收54.8、64.5、74.1亿元，同比增长24.44%、17.70%、14.85%；实现净利润8.1、10.4、12.0亿元；同比增长34.26%、27.74%、15.75%；对应EPS为0.94、1.2、1.39元。目标价36元，对应2018年30X，给予“买入”评级。
　　风险提示：限制三公消费力度加大、改革进度不及预期、食品品质事故。",媒体新闻,12297016410581631118_0_590318,高增长持续验证，清香鼻祖加速回归,山西汾酒,1
"　　事件：
　　公司发布业绩预增公告，预计2017年半年度实现归属于上市公司股东的净利润与上年同期相比，将增加50-70%。
　　投资要点：
　　国改元年动力足，时间过半任务超半。根据山西日报报道，1H2017年，汾酒集团酒类收入37.2亿元，完成国资委年度考核指标66.5亿元的55.9%，同比+39%；其中酒类利润9.6亿元，完成国资委年度考核指标10.5亿元的91.5%，同比+79.1%。时间过半，集团完成任务超半，收入和利润增速均超目标责任状指标，预计全年完成目标无虞。结合调研，股份公司占集团酒类资产的80%-90%，因此判断股份公司1H17收入增速约35%-45%，中报业绩预增50%-70%快过收入，主因产品价格带上移带动毛利率上行。
　　收入端：省内经济复苏带动青花高增长，省外渠道理顺全面进攻。1Q17收入21.8亿，同比+48.3%，预计1H17收入同比+35%-45%，延续高增长态势。省内：1）16年底大本营市场煤炭经济触底回升，带动商务消费和高端餐饮恢复，引领省内青花系列高增长。2）省内消费结构升级，中高端产品明显提升，1Q17青花增速高于中低端。省外：2）环山西市场无强势地产酒竞争，渠道力推动业绩高增长。渠道调整-取消五大事业部，省区独立管理扁平化授权；原有团购商转型为经销商，重新招商扩充渠道数量。经过16年省外渠道调整理顺，同时费用更多倾斜投放至省外，我们判断17年理顺后省外收入扩张将正式加速。
　　利润端：高端占比恢复性增长，净利率弹性较大。1）14-16年青花萎缩玻汾放量，产品结构降级。2）4Q16起青花系列回升，逆转毛利率连续3年下滑趋势，据调研，4Q16以来300元价格带以上产品增速快于普通汾酒。4Q16、1Q17毛利率分别为71.9%，71.5%，同比回升4.2pct,1.5pct。伴随青花占比持续提升+公司力控玻汾占比30%以内，毛利率有望加速恢复至历史高点。3）17年费用绝对值同比上升，费用率前低后高。16年汾酒收入复苏，销售费用后置，销售费用率为17.6%，同比-4.6pct。1Q17仍有销售费用后置问题，判断全年费用率前低后高。4）17年正式迈入高端占比提升，中低端产品稳定阶段，我们判断毛利率将率先恢复到历史高点，伴随收入扩张带动费比下调，净利率稍滞后恢复至高点（20%）左右。
　　盈利预测与估值：茅五泸率先回到并超过12年峰值水平，次高端中古井贡等也超过峰值水平，汾酒仍有补涨空间。国改元年动力足带动业绩释放，省内外收入端齐发力，同时青花系列占比提升+提价，毛利率持续向上，收入提升后费比下降，净利有更大弹性。我们预计17-19年EPS为1.04元、1.37元、1.82元，同比+48%、+32%、+33%。考虑到次高端带白酒其他可比公司估值均偏高，给予18年30XPE，维持“买入”评级。
　　风险提示：食品安全风险，行业竞争加剧。",媒体新闻,18226069391395560842_0_590318,时间过半任务超半，预计全年完成目标无虞,山西汾酒,1
"　　山西汾酒(600809.CH/人民币32.54,买入)17年上半年净利同比增50-70%，再超市场预期，取中值估算，估计2季度净利增速超过60%。估计17年上半年收入增35%以上，汾酒正处于重新发力期，17年计划营收增长30%以上，青花系列和普通汾酒放量，省内外齐头并进。17年2月高要求的国资考核方案出台，预计17-18年激励机制有望突破，持续释放制度红利。预计17-18年净利同比增长29%、52%，每股收益为0.90、1.38元，维持买入的评级。
　　事项
　　山西汾酒发布预增公告，预计2017年上半年净利增加50-70%。公司业绩发生变动主要原因为营业收入增加及加强成本费用的控制。
　　我们的观点
　　1.估计17年上半年收入增35%以上，汾酒正处于重新发力期，17年计划营收增长30%以上，青花系列和普通汾酒放量，省内外齐头并进。根据《山西日报》报道，2017年上半年，汾酒集团酒类收入37亿，同比增长39%。由于集团酒类收入主要由上市公司贡献，我们判断17年上半年上市公司收入增35%以上，其中2季度收入增20-25%。分产品看，估计17年上半年青花系列和玻汾增速最快，特别是青花30年，一方面16年末开始公司聚焦资源主推，另一方面茅五挺价利好青花30年价位的次高端品种。随着政府工作重心转向经济，省内白酒消费继续恢复，预计17年山西可增长25-30%。环山西区域渠道调整到位，且有较好的市场基础，费用投入有倾斜，预计17年省外市场总体增30-40%。
　　2.17年上半年净利同比增50-70%，再超市场预期，取中值估算，估计2季度净利增速超过60%。产品结构升级，同时内部继续挖潜，估计17年上半年毛利率上升，管理费用率下降。2季度净利大增，除了毛利率和管理费用率的因素，我们判断由于所得税季度间确认不均衡，2季度所得税率同比可能出现下降。
　　3.17年2月高要求国资考核方案出台，预计17-18年激励机制有望突破，持续释放制度红利。2月下旬常建伟兼任销售公司法人、书记和执行董事，李俊任总经理，新的销售管理团队搭建完成。6月公司集体解聘汾酒销售公司经理层、部门负责人等副处级领导干部的职务，采用组阁聘任的用人机制，正式开启了汾酒市场化用人机制的改革序幕。我们判断高管和销售团队的激励机制将逐步得到完善。
　　盈利预测与投资评级
　　预计17-18年净利同比增长29%、52%，每股收益为0.90、1.38元。省内经济复苏消费反弹，省外渠道调整完成，重新进入发力期，国企改革将推动制度红利释放，业绩兑现将打消市场疑虑，维持买入评级，12个月目标价格50.00元。
　　风险提示
　　国企改革进度低于预期、4季度业绩低于预期。",媒体新闻,13373810185158302499_0_590318,2季度业绩再超预期，继续重点推荐,山西汾酒,1
"　　中国网财经7月17日讯 山西汾酒(600809,股吧)今日盘后发布上半年业绩预告，称预计2017年半年度实现归属于上市公司股东的净利润同比将增加50-70%。数据显示，2016年上半年，山西汾酒归属于上市公司股东的净利润为35893万元，每股收益0.41元。
　　山西汾酒表示，公司业绩发生变动主要原因是营业收入增加及加强成本费用的控制。",媒体新闻,8154305505011261462_0_584796,山西汾酒上半年净利预增逾五成 营收增加及成本控制成主因,山西汾酒,1
