"<IMAGE SRC=""http://news.xinhuanet.com/money/2017-08/07/1121445059_15021000484151n.jpg"" >
　　新华网北京8月7日电（石海平） 8月7日，中国民生银行与新华网在北京新华网总部举行了框架合作协议签约仪式。此举标志着新华网与民生银行的合作进入了一个新阶段，双方将秉承“携手发展、共同开拓”的原则，进一步深化在金融资讯、品牌宣传、服务民生等领域的合作，共同开创中央媒体和优秀企业融合发展的新局面。
　　下午3点，中国民生银行行长郑万春先和新华网股份有限公司董事长田舒斌出席了签约仪式，并进行了良好沟通。最后，由中国民生银行总行办公室总经理陈国强、新华网股份有限公司总裁助理兼产经中心总经理徐明伟代表双方签署了《框架合作协议》。
　　新华网股份有限公司常务副总裁魏紫川、中国民生银行总行个人金融部总经理王进军、中国民生银行总行网络金融部副总经理罗勇及其他相关负责人出席了签约仪式。",媒体新闻,4819641747689755493_0_640896,中国民生银行与新华网签署框架合作协议,新华网,1
"　　马若虎
　　2017年上半年国民经济运行数据显示：初步核算，GDP同比增长6.9%；高技术产业和装备制造业增加值同比分别增长13.1%和11.5%，单位国内生产总值能耗同比下降3.9%，全国居民人均可支配收入实际增长7.3%……这一组不乏亮点的数据，反映了中国经济稳中向好的发展态势更加明显，折射出经济新常态下新发展理念正产生越来越深刻的影响。
　　党的十八届五中全会提出创新、协调、绿色、开放、共享五大发展理念，既聚焦全面建成小康社会奋斗目标，又着眼“十三五”时期面临的诸多问题和挑战，充分体现目标导向和问题导向相统一。这为我们破解发展难题、增强发展动力、厚植发展优势，提供了思想的利器、实践的指南。
　　问题是时代的声音，行动是理念的诠释。新发展理念是指挥棒，如灯塔之光照亮前行道路。擘画未来发展，新发展理念结出了累累“硕果”：深化供给侧结构性改革，推进创新驱动发展，以创新之力撬动结构调整和转型升级；推进京津冀协同发展，高铁、高速公路、西气东输、南水北调，打造了日益紧密的城市“朋友圈”，推动了各地的协调发展；用最严格的制度、最有力的举措推动生态文明建设，中国经济社会发展更加绿色更有活力；“一带一路”从理念转化为行动，从愿景转变为现实，政策沟通不断深化、设施联通不断加强、贸易畅通不断提升、资金融通不断扩大、民心相通不断促进；加强社会保障、公共服务等民生举措，打响脱贫攻坚战，让人民在共建共享中有更多获得感……
　　党的十八大以来，以习近平同志为核心的党中央科学把握当今世界和当代中国的发展大势，顺应实践要求和人民愿望，统筹推进“五位一体”总体布局和协调推进“四个全面”战略布局，坚定不移贯彻新发展理念，有力推动我国发展不断朝着更高质量、更有效率、更加公平、更可持续的方向前进，全力推进脱贫攻坚，持续改善民生，各项事业取得历史性成就，极大增强了全党全国各族人民全面建成小康社会的信心与底气。
　　信心与底气，给我们提供了源源不断的动力。在已取得成绩的基础上，谋求更大发展，我们更要勠力同心、迎难而上。形势催人奋进，发展任重道远。只有坚持党的基本路线，把基本国情作为谋划发展的基本依据，以新发展理念为引领，在继续推动经济发展的同时，更好解决我国社会出现的各种问题，才能更好实现各项事业全面发展，更好发展中国特色社会主义事业，更好推动人的全面发展、社会全面进步。
　　相关评论：
　　新华网评：强军兴军迈出历史性步伐
　　新华网评：党的坚强领导引领复兴航船",媒体新闻,7883926556621609472_0_578408,新华网评：新发展理念结“硕果”,新华网,1
"　　点击图片，VR看“绿色寿安 五金小镇”寿安镇。
　　与大城市的十里长街、华灯璀璨不同，它们是“小而美”的精致空间，是城与乡的诗意联结。它们为特色而生，因特色而兴。它们来自四川，如漫天繁星般散布在川蜀大地上；它们是特色小镇，空间虽小，却承载着党中央治国理政新理念。你我的小镇，天下的四川，新华网(行情603888,诊股)推出VR小镇相册系列，带你身临其境看四川特色小镇。
　　本期VR带你走进成都市蒲江县寿安镇。寿安镇位于蒲江县城东部，是全县工业经济发展的重要承载地。近年来，寿安镇以千亿级“国际智能五金小镇”为发展目标，积极引进蒲东印务创业园、合联产业园等“园中园”项目，并挂牌西部首个“中德（蒲江）中小企业合作园”，发展精密机械制造产业，打造“国际生态精工新城”。寿安新城工业园区已成功创建成为“四川省新型工业化重点培育基地”“中国包装印刷产业基地”。点击这里，开启全景体验吧。
　　点击进入专题，查看更多相关内容。",媒体新闻,9568196747534413460_0_54757,新华网VR｜小镇相册之我是四川寿安镇,新华网,1
"　　8月4日，证监会新闻发言人在发布会上表示，经过充分准备，目前棉纱期货上市前的各项工作已经完成。综合考虑各方因素，棉纱期货合约将于2017年8月18日在郑州商品交易所(下称“郑商所”)挂牌交易。
　　据郑商所相关负责人介绍，棉纱交割厂库已经确定。郑商所在大量调研基础上，根据棉纱贸易流向和现货贸易习惯确定了交割厂库布局，即在棉纱主产销地山东、河南、江苏及浙江设立交割厂库。经过深入考察，郑商所择优遴选了35家10万锭以上大型纺织企业作为交割厂库。同时，郑商所选取了河南省纺织产品质量监督检验所和浙江省纺织检测研究院两家国家级服装质量检验中心作为棉纱期货的交割质量检验机构。
　　据了解，目前大宗商品市场和棉纺织市场整体运行平稳，但受进口棉纱冲击、消费和出口增长乏力等因素影响，棉纺织企业经营压力较大，期待棉纱期货尽快上市。“在8月份上市棉纱期货，顺应棉纺织市场特点，有利于在风险可控的基础上，实现棉纱期货稳起步。”郑商所负责人表示。
　　具体来看，在8月份上市棉纱期货的原因主要有两方面。首先，棉花供给稳定，市场风险较小。相关数据显示，2017/18年度棉花产量预计达到537万吨，国储棉花累计出库214万吨，棉花供给充足，影响棉纱价格较大波动的不确定因素减少。
　　另外，棉纱市场购销逐步转旺，利于市场培育。在棉纱现货市场中，通常有两个旺季，分别是5、6月份的夏季服装生产备货期和9、10月份的冬季服装生产备货期。在8月份上市棉纱期货，能够利用棉纱市场由淡转旺的时间窗口，提高培育棉纱期货市场的效果。
　　郑商所负责表示，郑商所将严格按照证监会工作要求，认真做好各项上市准备工作，加强市场宣传和投资者教育，确保棉纱期货平稳推出。",媒体新闻,4461004186597167290_0_637089,棉纱期货挂牌时间确定 8月上市时间有讲究,新华网,1
"　　新华网(行情603888,诊股)北京8月4日电（袁雅锦）盛夏在即，环渤海区域的东戴河、秦皇岛及烟台、青岛、大连等北方滨海旅游地产纷纷进入推盘旺季。尤其离北京较近的传统避暑胜地秦皇岛北戴河地带，聚集了万科、华贸、远洋、荣盛、佳兆业等一线知名房企，汇集观光、娱乐、休闲、商业配套等度假产品及配套，俨然北方滨海旅游地产的集中代表。
　　相比于深入人心的海南旅游地产，北方的滨海度假无论是在理念打造上、还是产品、配套、运营方面仍有很多未完善之处。如何破局旅游地产的“北方模式”？在消费升级时代，怎样占位运营与服务的深层市场？配套先行的存量时代，如何重构生态链，让旅游成为生活之上的另一重体验维度？
　　为此，新华网房产“品牌房企私董会”8月3日邀请众多南、北方的旅游地产房企代表齐聚一堂，共同探讨北方度假产业的发展问题及未来走势。
　　当代置业行销客服中心总经理朱锦绣、鸿坤集团地产开发公司执行合伙人兼北京公司运营总监兼项目总经理合贠志强、碧桂园控股北京区域营销策略总监王国建、五矿地产华北区域公司营销总监易才根、五矿地产华北区域公司香河项目副总经理李雪松、五矿地产华北区域公司设计总监晋晶、东汇置地投资管理有限公司CEO刘 东、远洋地产秦皇岛seatopia蔚蓝海岸项目常务副总经理丁伟、特房集团天津营销公司副总经理李贵平等十多位嘉宾出席本次私董会，均对南北方的旅游度假模式差异、消费习惯的区别及运营思维的共融发表了各自观点。
　　当代置业行销客服中心总经理朱锦绣分析了上半年北方旅游地产市场的客流走势，她认为应结合具体市场杀出一条可行之路，并谈到，在南方是“他乡度假”，如果在北方目标就是要让所有的客户“回乡度假”。做北方的度假产品里，就必须要解决四季问题和客户的粘性问题。作为开发商，很重要的一点就是放弃自己角色的认知和幻想。
　　重新构建文旅产业的生态链很重要，鸿坤集团地产开发公司执行合伙人、北京公司运营总监兼项目总经理贠志强认为，南方的度假类产品是用于居住的，北方则不适合居住而是游玩，没有把涉及游玩的配套作为一个重点来发展，开发商仍以传统的现金流的方式开发地产。另外，没有从生态链方面去考虑，比如软性服务等。
　　鸿坤集团地产开发公司营销总监赵逸陶则表示，做度假产品和项目，尤其是在北方，在于内容和服务上的打造和提升，只有这样，才能让业主在这里生活开心。未来，人们对于健康和旅游的需求会更高，关键是如何找到特点。让人们住得开心、让城市充满活力。
　　谈到何为文旅产业的内核，五矿地产华北区域公司营销总监易才根认为根本在于运营，做配套改善和服务植入，要摒弃传统的开发思维，“不能把房子卖了，时间一长变荒村，让度假生活难以为继。”
　　五矿地产华北区域公司香河项目副总经理李雪松举例表示，可以对标于欧洲同纬度地带的文旅小镇，如奥地利旅游项目，可在东戴河等地区尝试植入文化内核的东西，把必做配套集中性打造成经典模式，通过持续性的包装改进过程，把文旅项目做完善。
　　五矿地产华北区域公司设计总监晋晶则站在一个旅游者的立场表示，“那些团队完善和物业服务运营好的文旅项目，更能吸引我不止一次地去度假，环境、餐饮、运动、老人儿童配套等缺一不可。”
　　在客户的理性与审美升级后，如何去深度挖掘需求空间？ 东汇置地投资管理有限公司CEO刘东风趣地比喻道，在环渤海圈做旅游项目，要拥有让客户在这儿“坐月子”的产品思维，而非“过日子”模式。一个文旅项目是否成功，取决于你能让客户在这儿呆上多久，不是一两天，而是三到六个月。
　　在北方市场具有多年操盘经验的远洋地产秦皇岛seatopia蔚蓝海岸项目常务副总经理丁伟表示，文旅度假之于地产开发完全是另外一个领域，不能以赚快钱思维去做，只考虑销售和回款的话会做得很痛苦，而需要冷静沉淀后的运营思路。真正的文旅地产，并非脱离原本生活，而正是轻生活的补充与回归。
　　同时在南方和北方都开发运营过项目，特房集团天津营销公司副总经理李贵平认为好的文旅度假产业有两点非常重要，一是配套先行，二是服务好儿童。未来，旅游将是一种刚性需求，需深度考虑如何将文化、娱乐、体育运动等体验式配套结合好，真正好的旅游地产项目能让你的生活增加一个新的体验维度。",媒体新闻,11263419315436147973_0_55348,破局文旅地产的“北方模式” 新华网第八期私董会圆满落幕,新华网,1
"<IMAGE SRC=""http://i1.hexun.com/2017-08-02/190291592.png"" >
新华网董事、副总裁 汪金福
　　和讯股票（微信号：istocknews）消息 8月2日晚间，新华网发布公告称，董事会于近日收到公司董事、副总裁汪金福先生的书面辞职报告。因工作调动原因，汪金福先生向公司董事会提请辞去公司董事、副总裁职务，同时辞去公司编辑政策委员会委员、提名委员会委员职务。辞职后，汪金福先生不再担任公司其他任何职务。
　　新华网表示，汪金福先生的辞职报告自送达公司董事会之日起生效。公司将按照《公司法》、《公司章程》的规定，尽快完成新任董事的选举工作。
　　和讯股票(微信号：istocknews)上市公司数据库显示，汪金福先生，1964年11月出生，中共党员，安徽师范大学政教系、中国新闻学院研究生院毕业，高级编辑。1990 年7 月至1993 年10 月，任新华社国内部记者；1993年10 月至1994 年10 月，任新华每日电讯副主编；1994 年10月至1999 年4 月，任新华社国内部时政记者、主任记者；1999 年4 月至2001年7 月，任新华社香港分社中文部副主任、发稿人；2001 年7 月至2009 年6 月，任新华社国内部新华视点采编室副主任、终审发稿人、高级编辑；2009 年6月至2014 年6 月，任新华社国内部新华视点采编辑室主任、终审发稿人；2014年6 月至2014 年8 月，任新华社国内部编委、新华视点采编室主任；2014 年8月至今，任本公司党组成员；2014 年9 月至今，任本公司第二届董事会董事兼副总裁。于上市公司领取薪酬为62.55万元。
（责任编辑：邱光龙 HF056）",媒体新闻,18026472376538047461_0_588860,新华网副总裁汪金福辞职 其在新华社供职近27年,新华网,1
"<IMAGE SRC=""http://hqpick.eastmoney.com/k/0009952.png"" >
　　皇台酒业1日公告，因虚增2015年度利润500万元，构成虚假陈述，被法院判赔10名投资者2293万元。此案从立案到判决前后仅用了5个月的时间。近年来，股民索赔成功案例不断出现，维权意识不断提高。监管层在查处信披违规方面也一直保持高压态势，助力股民维权，让违法违规者付出沉重代价。
　　皇台酒业虚增500万判赔2293万负面消息不断
　　皇台酒业1日晚间公告，公司收到兰州市中级人民法院就10名自然人投资者诉公司“证券虚假陈述责任纠纷案”的民事判决书，法院判决公司赔偿原告损失2293万元。
　　在判决书中，皇台酒业虚增2015年度利润500万元的事实，公司在诉讼中并不持异议，且该事实也已经甘肃证监局于2016年12月12日行政处罚决定书认定。法院认为，上市公司年度报告，属于上市公司必须及时准确向投资者披露的重要信息，是投资者了解上市公司经营状况的重要信息来源，皇台公司虚增利润500万元占当年度利润总额967万元的51.7%，明显构成虚假陈述行为。法院同时认为，皇台酒业的虚假陈述行为的披露导致公司股票大幅下跌，投资者损失与此有因果关系。皇台酒业虚假陈述行为揭露后，股票复牌后连续6个交易日开盘跌停，同期沪深指数上涨。
　　根据法院判决，凡在2016年4月20日至2016年6月17日之间买入皇台酒业，且在2016年6月17日仍持有该股，存在损失的投资者符合索赔条件。
　　根据公司今年一季报通报的情况，目前仅有10名投资者起诉公司要求赔偿。该批投资者是在今年春节后向甘肃省兰州市中级人民法院提交的诉讼材料，从立案到判决前后仅用了5个月的时间。
　　皇台酒业表示，公司已委托律师将对此案提起上诉。
　　皇台酒业称，本判决结果将导致公司2017年半年报净资产可能为负值。如果2017年年度报告披露的净资产或净利润为负值，皇台酒业可能面临再次被*ST和退市的严峻形势。
　　其实，皇台酒业近年来一直在退市边缘挣扎，曾经反复带过三次ST的帽子。虽然6月份刚摘帽，但近期发布的2017年半年报业绩预告中称，上半年业绩将亏损。业绩预告显示，其属于上市公司股东的净利润亏损2200万~2600万元。此前，皇台酒业2017年一季度净利润为亏损1339.87万元，2016年度亏损1.27亿元。
　　此外，皇台酒业还面临一笔400万元的债务还款。7月4日，公司发布公告称，在6月29日收到案件的《执行通知书》，公司被责令偿还400万元借款，并负担案件受理费5.2万元，申请执行费4.24万元，而该笔债务已经拖欠将近10年。
　　多家上市公司信披违规遭索赔股民皆胜诉
　　上市公司因信息披露虚假陈述而被股民索赔已不是新鲜事，而且随着索赔成功案例的不断出现，股民维权意识不断提高，维权热情高涨。
　　查阅公开报道可以看到，最近一年，就有十几家上市公司因信息披露违规而被股民索赔，如安硕信息、益盛药业、宝利国际、华锐风电、京天利、勤上光电、创兴资源、海润光伏、天目药业、ST昆机、ST墨龙等。
　　大部分股民的索赔诉请也得到了法院的支持，并且从立案到判决，需要的时间越来越短，效率越来越高。
　　例如，截至目前，全国已有二百余位投资者对京天利提起诉讼，累计索赔金额超过七千万元。北京市第一中级人民法院已对多例案件进行判决，多位投资者斩获胜诉判决。律师表示，虽然京天利提起上诉，不过从案件的事实来看，二审改判的可能性极小。
　　创兴资源因5年前的证券虚假陈述被股民起诉，涉及相关诉讼达74起，涉诉总额1.02亿元。而创兴资源近5年的净利润总和为-2.7亿元，远不及涉诉赔偿金额。公司公告显示，已有19名投资者获得约419万元赔偿。目前陆续还有投资者提出索赔要求，索赔金额还在不断提升。
　　2016年底，投资者向华锐风电索赔的诉请，一审二审都获得了法院的支持。法院判决华锐风电向4名投资者共计支付经济损失赔偿人民币39万元。
　　2016年底，勤上光电因信披违规被广东证监局处罚后，引来大量投资者诉讼索赔，累计索赔金额超千万。法院已对部分案件作出一审判决，投资者的诉讼请求几近全部获得支持。
　　专门从事证券虚假陈述诉讼业务的韩友维律师表示，在2003年《关于审理证券市场因虚假陈述引发的民事赔偿案件的若干规定》施行前，股民维权法律意识淡薄，投资的股票即便有虚假陈述行为而产生损失，也都是忍气吞声认栽。《规定》施行以后，该类案件的司法解决途径有了明确、具体的审判标准，打通了股民维权的司法通道，越来越多的股民拿起法律武器，加入到向信披违规上市公司索赔的行列。
　　不少律师表示，符合索赔条件的投资者不在少数，但目前起诉的股民并不是很多，绝大多数适格股民并不知情。他们提醒广大受损投资者，切莫漠视自身权利，尽快依法挽回损失。
　　监管层查处信披违规绝不手软助股民维权
　　股民维权机制的完善还体现在证券市场监管层面。
　　证监会始终对各类违法违规行为保持高压态势。今年上半年，证监会启动初步调查和立案调查302起，新增重大案件70起；调查终结立案案件118起，其中移送公安机关19起。
　　韩友维律师表示，按照目前的法律规定，证券市场监管部门对信披违规行为的查处是股民维权非常重要的环节。今年以来查处力度明显加大，除了立案调查的案件增多以外，查处的效率明显提高。
　　上周五，证监会新闻发言人常德鹏在例行新闻发布会上说，近日证监会将启动第三阶段以“谨防违规信披”为主题的活动，通过对案例进行分析解读的形式，阐明规则红线、风险底线，帮助投资者了解证券期货法规知识，提升风险意识和自我保护能力，避免遭受不必要的损失。相关案例分为六种类型：一是上市公司夸大、渲染业务转型的影响进行误导性陈述，二是上市公司编造重大投资行为进行虚假陈述，三是上市公司利用“高送转”题材炒作股价，四是上市公司业绩预告“变脸”误导投资者决策，五是上市公司股东利用股份代持掩盖股权变动，六是新三板公司信息披露违规。
　　“我们希望通过这些案例告诉广大投资者，在进行股票投资时，应结合宏观政策、产业状况和企业实际情况等因素，综合分析上市公司披露信息的真实准确性，理性判断其背后的投资价值。”常德鹏说。
　　证监会在“投资者教育”的相关案例中表示，上市公司在发生经营方针和经营范围的重大变化，或者重大投资行为和重大购置财产的决定等事项时，应当真实、准确、完整的披露信息，说明事件的起因、目前的状态和可能产生的法律后果。如果不切实际的夸大事实，或者有选择性的披露信息，会造成上市公司与投资者之间的信息不对称，容易造成投资者依赖信息做出错误的投资决策。这就违背了《证券法》关于上市公司必须真实、准确、完整的披露信息，不得有虚假记载、误导性陈述或者重大遗漏的相关规定，违背了公开、公平、公正的市场交易秩序。更有甚者，一些上市公司通过编题材讲故事拉动股价上涨为高价减持股票做铺垫，这种侵害中小投资者利益为自己谋利的行为更是资本市场严厉打击的对象。
(原标题：皇台酒业被判赔偿10人2293万元 信披违规必须付出代价)",媒体新闻,8919301901504764204_0_584796,新华网评皇台酒业被判赔偿2293万元：信披违规必须付出代价,新华网,1
"　　点击图片，VR看“文旅融合 童话万春”。
　　与大城市的十里长街、华灯璀璨不同，它们是“小而美”的精致空间，是城与乡的诗意联结。它们为特色而生，因特色而兴。它们来自四川，如漫天繁星般散布在川蜀大地上；它们是特色小镇，空间虽小，却承载着党中央治国理政新理念。你我的小镇，天下的四川，新华网(行情603888,诊股)推出VR小镇相册系列，带你身临其境看四川特色小镇。
　　本期VR带你走进成都市温江区万春镇。万春镇是4000余年前鱼凫王朝国都驻地，川西林盘星罗棋布，拥有丰富的历史文化和自然生态资源。千年古蜀文化沉淀古朴气质，数万亩连片花卉苗木基地点缀馥郁万春，融现实体验、游乐休闲、科普教育于一体的主题乐园造就“童话天堂”。万春镇将立足“中国童话小镇”总体定位，依托小镇生态本底和古蜀文化发源地优势，努力构建规模大、产品全、形态美的“童话小镇”全产业链。点击这里，开启全景体验吧。",媒体新闻,9995688322981938357_0_54757,新华网VR｜小镇相册之我是四川万春镇,新华网,1
"　　政府网站瘦身：严重问题网站关停上移 2年砍掉5万个
　　新闻：截至2015年，各地区、各部门已开设政府网站84094个，政府网站数量庞大。然而，规模不小的政府网站运行情况却并不理想，超过九成的政府网站几乎没有访问量，不同网站间人员保障和资金投入差距较大。针对这些情况，国务院办公厅开始了政府网站的“瘦身”行动，通过开展常态化抽查，存在严重问题的网站被关停上移，两年多时间网站数量减少了5万余家。（新闻来源：新京报）
　　点评：通过政府网站“瘦身”行动，将大部分“僵尸网站”及时关停上移，较好地解决了部分政府网站“不及时、不准确、不回应、不实用”的问题。在“互联网+政务服务”大力发展的今天，相关部门更应思考和着力解决如何将信息化服务落到实处，让政府网站真正实现便民、利民，惠及更多群体。（新华网(行情603888,诊股)）",媒体新闻,14626629339739668630_0_54757,新华网评“政府网站瘦身” “僵尸网站”关停上移,新华网,1
"　　点击图片，VR看“建筑圣地 文化粮仓”李庄镇。
　　与大城市的十里长街、华灯璀璨不同，它们是“小而美”的精致空间，是城与乡的诗意联结。它们为特色而生，因特色而兴。它们来自四川，如漫天繁星般散布在川蜀大地上；它们是特色小镇，空间虽小，却承载着党中央治国理政新理念。你我的小镇，天下的四川，新华网(行情603888,诊股)推出VR小镇相册系列，带你身临其境看四川特色小镇。
　　本期VR带你走进宜宾市翠屏区李庄镇。李庄镇地处酒都宜宾东郊、长江南岸，素有“万里长江第一古镇”的美誉。这里是中国抗战大后方四大文化中心之一，中央研究院部分机构、同济大学等近10个文化教育科研单位曾迁驻至此长达6年之久。坚持文化抗战的四川李庄为中国学术命脉撑起了一处避风之所，被誉为“中国文化的折射点、民族精神的涵养地”。李庄古镇建筑群规模宏大、布局严谨，旋螺殿、东岳庙、张家祠等体现明清特色的古建筑至今保存完好，具有较高的历史人文与艺术价值。，开启全景体验吧。",媒体新闻,12098124241720173591_0_54757,新华网VR｜小镇相册之我是四川李庄镇,新华网,1
