"　　港股解码，香港财华社王牌专栏，20年专注港股，金融名家齐聚，做最有深度的原创财经號。看完记得订阅、评论、点赞哦。 空调热销，股价下跌！难道天气太热，把格力热死了？
　　今年入夏以来，全国各地持续高温，“非洲兄弟来华避暑被热晕”更是成了高温天气的真实写照。根据天气预报网预报的全国气温分布图显示，华南、西北多地普遍气温超过30℃，长江中下游地区气温更是接近40℃。对此，有网友吐槽说“这个夏天,命都是空调给的”。气温如此之高也引发了空调产品销量大涨。
　　据悉，2017年上半年空调线上销售同比增长了95.5%，可见空调市场的火爆，但是，格力电器作爲国內空调界的龙头，在如此喜人的销量面前，股价却一直阴跌，这让人感觉非常吃惊。
　　难道业绩的大涨也无法挽回格力了吗？难道是天气太热把卖空调的格力快“热死”了？
　　产品热销抵不过资本出逃
　　格力今年一季度的营业总收入以及净利润就较以往有了较大涨幅，在如今全国各地正式入夏，空调大卖，格力股价却在关键时刻“掉了链子”，由上月底41.79元的最高点已经跌至目前的38元附近， 5日线和10日线也不复前期向上的势头转而向下。
　　很多人苦恼于格力股价不隨业绩上升，其实究其原因，可能是最近炒作资本集体出逃白马股导致的。前段时间由龙头股贵州茅台带头掀起的一波“白马股”行情，而茅台借行情市值一举突破6000亿元，至于格力作爲国內数一数二的“白马股”自然也受到了炒作资本的青睐。但是隨著大量资本的进入，格力股价不断抬高，目前已经较之前估值提高了不少。
　　于是隨著“白马股”行情的结束，大批炒作资本开始“高价出货” ，于是出现了此次格力股价下跌的现象，也就是说格力此次股价变动並不是由公司或者业绩异动造成的波动，而只是股票层面资本买卖引发的价格变化。
　　中报业绩将助力格力创新高
　　如今股市的热点在于中报业绩发布。截至8月4日，沪深两市已有214家上市公司披露了2017年中报。而据媒体统计，共计有101家公司前十大流通股股东中出现了证金公司或彙金公司等“国家队”的身影，占比47%，可说是“国家队”的重心或已经转入了相关股票的中报行情。
　　公司可能于2017年8月31日前后发布公司的中报业绩，届时可能引发格力股价的一些波动。
　　一般而言，中报业绩行情看重的更多是公司在一季度业绩表现以及二季度的业务发展情况。就格力所处的空调行业来看，由于每年中报的时间都处在空调销售的旺季期，所以公司二季度的销售量与一季度的存货量就会直接影响公司中报的业绩表现。
　　图：格力电器经营数据（单位：万元人民幣）
　　从2017年一季度的季报来看，存货总量爲134.2亿元，同比增加151.3%，可见公司预测今年旺季销售量将会较往年有较大提升。而据家电市场权威调查机构统计数据显示，2017年上半年整体空调市场零售量爲3187万台，同比增长26.3%，其中线上市场增长强劲，零售量是915万台，同比增长95.5%；线下市场零售量是2272万台，同比增长10.5%，说明格力空调在上半年的销量较往年的確会有较大提高。
　　从财务方面看，格力电器一季度的营业总收入较去年同比增加19.67%，归母净利润同比增加27.05%，而经营性净现金流同比增加43.5%。这一系列数据都说明格力在业绩上实现了质和量的大涨，这都会成爲其中报行情的加分项。
　　图：格力十大流通股东数据
　　另外，从格力电器十大流通股东表中可以看到，中央彙金及社保基金等“国家队”並没有减持，相反社保基金还在增持股票，说明在未来行情中，“国家队”依然看好格力的后市发展，所以我们现在並不需要爲格力电器产生过多的担心。
　　作者：聂一洲
　　（责任编辑：finet）",媒体新闻,4709895860836320208_0_588774,空调热销，股价下跌！难道天气太热把格力热死了？,格力电器,1
"<IMAGE SRC=""http://i8.hexun.com/2017-08-07/190348540.png"" >
合众思壮 孟祥凯
　　和讯股票（微信号：istocknews）消息 合众思壮8月7日晚间公告，公司董事会近日收到独立董事孟祥凯先生的辞职申请。孟祥凯先生因个人原因辞去第三届董事会独立董事及董事会各专门委员会相关职务，孟祥凯先生辞职后将不在公司担任任何职务。
　　和讯股票(微信号：istocknews)上市公司数据库显示，孟祥凯,男,1961年出生,大学本科,研究员级高工。1982年7月毕业于西北工业大学航空电气工程专业,毕业后进入中航工业西安飞机工业有限责任公司设计所工作,历任西飞公司设计所设计员、特设系统设计研究室主任助理、副主任、主任,西飞飞行器改装工程公司副总经理,西飞航宇系统工程有限公司总经理,西飞集团公司飞机销售支援部副部长、质量保证部部长、副总经理兼质量保证部部长、副董事长、党委书记、副总裁,西飞国际总经理、董事长、总裁、党委副书记,中航工业通用飞机有限责任公司总经理、法定代表人、董事长、分党组书记,中航工业集团副总经济师、中航工业通飞董事长、中航工业重机董事长。曾任珠海格力集团党委书记,珠海格力电器股份有限公司董事、党委书记,威海广泰(002111,股吧)空港设备股份有限公司独立董事。于上市公司领取薪酬6万元。
（责任编辑：陈晓伟 HF093）",媒体新闻,11759750679636060124_0_588860,合众思壮独董孟祥凯辞职 曾任格力电器董事职务,格力电器,1
"　　DoNews 8月7日消息（记者 赵晋杰）格力集团8月7日发布公告称，为表达公司对员工的关怀，决定在8月8日向全员额外发放高温一次性补贴1000元。
　　之所以是额外补贴，是因为格力一直都有提供高温津贴，二者并不冲突。且只要在职满1个月以上的总部和各子公司员工，均可拿到这笔福利。
　　而这已不是格力第一次为员工谋福利了。去年11月，格力曾给集团7万员工每人每月加薪1000元。（完）",媒体新闻,9336215942066604740_0_54757,格力员工集体涨薪后 每人再获1000元高温补助,格力电器,1
"朱江洪：“有媒体炒作‘没有朱江洪就没有董明珠’，这话或许有一定道理。至于‘没有董明珠就没有格力’，恐怕就值得商榷了。”瞬间，“朱江洪开撕董明珠”的新闻刷爆了朋友圈。
近日，格力电器创始人、前任董事长朱江洪出版的一本自传《我执掌格力的24年》在业界掀起不小的浪花。
一向处事异常低调的朱江洪，突然浮出水面，变得高调起来。先是在书中回应“谁是格力创始人”，后是开办新书签售会，再是举办“格力老员工见面会”。
不过有意思的是，原定“格力老员工见面会”由于自传引发一些争议，从而被迫取消。也正是这一举动把格力新老领导推向舆论风口。
其实，无论在位，还是调休期间，朱江洪都选择低调姿态，为何选择在这个时候高调出现?这一次的出现是主动还是被动?
朱江洪的前半生
1945年出生于珠海郊区一个贫苦菜农家庭的朱江洪，1970年毕业于华南工学院机械系，朱江洪毕业后就职于广西百色矿山机械厂。
在百色，从一名普通工人到技术员、部门副主任，1982年，所在的工厂濒临倒闭，职工吃饭成了问题，朱江洪被500名职工投票当选厂长。任职第二年，厂子就有了利润。第五年，该厂产值达3000万元，利润800万元，跃居全国同行业的“老大”。
1988年，正当企业红火时，厂长也当得意气风发，朱江洪想到远在珠海的父母，18年都没回家陪父母过一次年，他决意辞职回珠海。
朱江洪回到珠海的5个月后，成为特区发展总公司(格力集团前身)下属的冠雄塑胶厂总经理，不过面对的是一个问题诸多的企业。
上任后，他发现该厂曾有过一段辉煌的历史，后因管理上的混乱，再加上得罪了一个大客户，导致处境不佳。于是他主动登门拜访，给客户道歉，对方见他言辞诚恳，答应再给冠雄一次机会。
就这样一步一步梳理，朱江洪到任的第二年，冠雄公司历史性赚得70万元，1990年成为总公司纳税大户。
朱江洪又一次因扭亏为盈而声名鹊起，这一年，总公司旗下另一家生产空调的企业，即海利空调厂又陷于困境濒临倒闭，总公司出面要求海利和冠雄合并，朱江洪兼任海利的厂长，这是朱江洪第三次取而代之成为企业一把手。
1991年，珠海市政府把冠雄塑胶与海利空调合并，想把空调业务做大，新企业更名为“珠海格力电器股份有限公司”，并由朱江洪出任总经理，格力电器由此正式成立。
由于不是制冷专业出身，朱江洪通常在晚上，将冠雄的骨干召集在一起，在车间过道中，坐着小板凳补习，请海利的技术人员上课。10年之后，格力于2001年在珠海建成了全国单体产量最大的“空调王国”。
格力之父为何公开发声
作为“格力之父”，无疑朱江洪的自传将焦点拉回到公众的视线中。
为格力电器千亿规模打下了坚实基础、执掌格力24年为格力注入了“科技是企业脊梁”的灵魂、一手提拔了格力电器现任董事长董明珠，这些幕后的故事一一浮出水面。
在格力，朱江洪非常欣赏董明珠的能力，从做经营部部长、大区经理、副总、总裁，直到退休时，把她推上格力的董事长位置。
其实，在相当长一段时间里，格力的“朱董配”成为业界的佳话。一个个性内敛，一个个性张扬;朱江洪为人厚道、从善如流;董明珠敢做敢当，不怕得罪人，两人巧妙地做到了相得益彰。“朱董配”的威力让竞争对手十分嫉妒，一直企盼着“朱董配”分道扬镳，不过直到朱江洪退休时，对手们都未能如愿。
那么，这一次，朱江洪在自传里，又是如何谈及董明珠的呢?
也许“朱董之争”是本书宣传的一个噱头罢了，但朱江洪的《我执掌格力的24年》，全书共21万字，提及“董明珠”三个字仅13次。并且，大多数提及董明珠的内容都主要集中于最后一章“功成身退”。",媒体新闻,12276169253145574150_0_590346,朱江洪抖出格力的24年 “朱董之争”谜团更甚,格力电器,1
"　　对于格力来说，他们希望把员工福利放在第一位，继之前去年11月旗下7万员工每人每月加薪1000元之后，现在新的福利又来了。
　　从格力发出的新公告看，今天开始他们将向全体全员，集体发放旺季高温一次性补贴1000元。
<IMAGE SRC=""http://www.cs.com.cn/ssgs/kj/201708/W020170807485735983594.jpg"" >
　　需要注意的是，此次发放的高温补贴是在原有的补贴基础上发放的，二者并不冲突，所有在职1个月以上的总部和各子公司员工均可享受。
　　对于人员众多的公司来说，想要涨薪或者发福利需要很大的勇气，董大姐依旧霸气十足。
<IMAGE SRC=""http://www.cs.com.cn/ssgs/kj/201708/W020170807485736114766.jpg"" >",媒体新闻,5264418734682674145_0_589746,董大姐霸气！格力员工集体涨薪后 再发千元福利,格力电器,1
"　　证券时报网（www.stcn.com）08月07日讯
　　据腾讯科技报道，格力今天发布全员公告，8月8日向全员发放旺季高温一次性补贴1000元。据悉，此次发放的高温补贴是在原有的补贴基础上发放的，二者并不冲突。公开资料显示，此次发放高温补贴，是继去年11月格力给7万员工每人每月加薪1000元之后，又一次发放福利。
　　（证券时报·e公司）",媒体新闻,4032956167504424015_0_55423,格力发放高温补贴：现有基础上每人额外发1000元,格力电器,1
"<IMAGE SRC=""http://ep.ycwb.com/epaper/xkb/res/2017-08/07/31/xkb6593627_kmggcd_1502014269883_b.jpg"" >
■制图/廖木兴
■新快报记者 陈学东
2017冷冻年度刚刚过去，但格力与美的之间的专利官司，仍在胶着之中。一如这两个家电巨头之间的争斗，二十年来从未停止过。
今年的空调行业收获颇丰，在全国很多地区持续高温的作用下，空调市场异常火爆，一些领先品牌甚至出现供货不足的状况，这也让格力和美的两家巨头的专利战更加吸引眼球。这个夏天，格力美的就相互提起了四起空调专利侵权诉讼，累计索赔金额总计近亿元。
“不选价格战，那就只能选择技术战，专利战在所难免。”有业内人士表示，从过去的价格战向专利战转变，凸显了格力和美的在常规价格战难以为继的情况下，通过专利战寻求更多市场空间。
市场天花板引发白热化竞争
国内空调市场从7月开始重拾旺销行情，2017年度空调行业的高增长已成定局，预计国内市场的年度出货量接近8000万台，大量空调品牌的销售规模都创下了历史新高。
据产业在线数据披露,2017年6月空调行业销量1413万台,同比增长41.4%,其中出口458万台,同比增长7.3%,内销955万台,同比增长66.8%。其中，格力6月销量同比增长39%,出口同比增长5.3%,内销同比增长55.0%；美的销量同比增长79.5%,出口同比增长13.3%,内销同比增长192.9%。尽管7月份的统计数据还没出来，但7月炎热的天气带来需求的提升,有望使空调行业增速继续超预期。
值得注意的是，今年3月，整个空调行业总库存还高达4000万台。入5月后持续的高温天气让空调销售走热，也逐渐化解了行业高库存的压力。
不过，从长期趋势看，整个空调行业的增速将是向下走的。从国内空调市场近三十年的历史看，大年之后是小年属常态，连续两个年度出现大行情仅有两次，但从来没有连续三个大年。因此，未来一年出现需求稳定甚至是下滑是一个大概率事件。
增量萎缩迫使挤压式增长
同为国内家电巨头，格力和美的恩怨由来已久，近几年更是频繁互怼，火药味十足。其背后是国内空调市场增量空间的不断萎缩。
根据产业在线数据，2016年格力家用空调国内市场占有率达到42.73%；美的集团2016年年报显示，美的空调产品线下零售额占有率为23.9%，排名第二。奥维云网发布的2016年空调市场年度分析报告显示，格力、美的、海尔为线下第一阵营的品牌格局稳固。
从整个行业格局看，在2000年左右，中国空调企业大约有400家，而目前市场上知名的只剩10多个空调品牌。空调行业寡头垄断的竞争态势已基本形成，行业龙头企业的竞争日渐白热化。
中怡康市场研究公司品牌中心总经理左延鹊表示，“国内市场留给格力、美的两大巨头的蛋糕是有限的，要想在份额上取得增长就必须从对手处掠取，形成挤压式增长，这让两者面临激烈的正面竞争。”
今年夏天，格力、美的展开了你来我往的“专利”攻击：6月19日，格力起诉美的和其销售公司北京天昂伟业，称美的“制冷王”系列空调侵害其实用新型专利，索赔5000万元；6月21日，美的空调起诉格力空调侵犯其“轴流风轮”的发明专利，要求格力即刻停止相关侵权行为，并支付侵权赔偿金等费用3000万元；6月26日，美的空调起诉格力空调侵犯其两项实用新型专利，要求格力停止侵权行为，并合计向格力索赔1000万元。
在空调乃至白电领域，行业竞争激烈，专利成为了主要“卖点”之一，格力、美的、海尔均在提及自身企业竞争力的时候着重提及了专利。身处业已成熟的空调产业，专利早已成为空调厂商的又一个常用竞争武器。
此次格力和美的密集的专利大战，则是建立在双方都拥有庞大的专利池基础上，是势均力敌的对手。据公开资料显示，截至2016年，美的累计拥有授权专利已达26000余件，其中2016年全集团申请的发明专利5562件。截至2016年底，格力累计总授权专利达15862件，2016年全年申请专利5976项，其中发明专利3662项，授权发明专利871件。
奥维云网（AVC）研究院院长张彦斌认为，打专利战客观上可以起到吸引眼球作用，或许可达到投放几千万元广告费都达不到的广告效应。拥有数量庞大的高质量专利，既是一家企业科研和技术创新能力的肌肉秀，也是一个品牌在市场竞争力的体现。知识产权的竞争，是更高级别的商业竞争。这也从一个侧面说明，中国家电业的竞争已经告别最原始的口水战，脱离最原始的排名之争，转而追求有技术含量的较量。
其实，在消费电子领域，专利已经成为企业间竞争的有力武器之一。专利已不仅仅是一个法律问题，而是逐渐演变成了企业商业竞争的策略之一，成为影响游戏结果的一个新的筹码。
某知识产权服务机构副总裁王剑锋认为，“价格战无疑是伤敌八百、自损一千的行为。不选价格战，专利战在所难免。随着市场竞争越发激烈，空调领域的专利大战只会愈演愈烈。”
链接
格力美的 “宿怨”已久
在中国家电圈，格力和美的实力相当，明争暗斗从未间断。一次次对簿公堂，口水战、商标战、价格战、专利战……自2008年开始，这两家公司已多次对簿公堂，在一波未平一波又起的中国式商战背后，格力和美的上演了一出荡气回肠的家电圈“江湖恩仇录”。
2008年，格力就美的空调“舒睡”功能侵犯其“按照自定义曲线运行的空调器及其控制方法”提起诉讼，法院判决美的停止销售相关产品，并赔偿格力200万元损失。
2012年，格力起诉美的侵犯其“可拆装式空调室内机管路安装挡板”实用新型专利，2014年广东省高院终审判决不构成侵权，驳回上诉。
2013年，格力又起诉美的“五谷丰登”商标侵权，2015年格力终审胜诉，广东省高院判令美的公司停止侵权、赔偿格力公司合理的维权费用，但原审法院判决美的公司赔偿格力公司经济损失380万元，属认定事实不清，适用法律错误，高院予以纠正。
而格力与美的的竞争也不仅局限在侵权之争。在“法院见”之外，双方的言论也火药味颇浓。
2016年初，格力、美的双双举报对方学术造假。格力称美的2014年获得国家技术进步二等奖的节能技术造假，美的则举报格力变频技术造假，并双双起诉对方工程师名誉侵权。
（《格力VS美的空调专利大战越演越烈》由金羊网为您提供，转载请注明来源，未经书面授权许可，不得转载或镜像。版权联系电话：020-87133589，87133588）",媒体新闻,9690871309225132858_0_1968,格力VS美的空调专利大战越演越烈,格力电器,1
"　　每人1000元！董明珠再撒钱：格力为全员发放额外高温补贴。
<IMAGE SRC=""http://www.cs.com.cn/xwzx/201708/W020170807577381114324.jpg"" >
　　8月7日，格力电器发布全员公告，给全体员工发放旺季高温补贴1000元，这次津贴是在原有的高温补贴基本上额外发的。
　　格力电器在公告中称，时值高温酷暑，空调需求出现井喷式增长。为了给全国消费者送去一片清凉，全体格力员工团结协作，战高温，夺高产，及时满足市场需求，为公司经营发展作出重要贡献。为了激励员工再接再厉，继续拼搏，同时也为了体现员工的劳动价值，经公司研究决定，现对全体员工发放高温补贴。
　　通知称，在现有高温津贴的基础上，每人额外一次性发放1000元，统一发放至工资卡。发放的范围包括珠海总部以及各子公司全体工作时间满一个月以上的在职员工。
　　去年11月份，格力电器给全体员工每月加薪1000元，理由是与公司共享创新发展劳动成果，提升员工幸福感。",媒体新闻,16067794517718649710_0_25253,董明珠再撒钱：格力为全员发放额外高温补贴 每人1千,格力电器,1
"<IMAGE SRC=""http://hqpick.eastmoney.com/k/0006512.png"" >
　　朱江洪：“有媒体炒作‘没有朱江洪就没有董明珠’，这话或许有一定道理。至于‘没有董明珠就没有格力’，恐怕就值得商榷了。”瞬间，“朱江洪开撕董明珠”的新闻刷爆了朋友圈。
　　近日，格力电器创始人、前任董事长朱江洪出版的一本自传《我执掌格力的24年》在业界掀起不小的浪花。
　　一向处事异常低调的朱江洪，突然浮出水面，变得高调起来。先是在书中回应“谁是格力创始人”，后是开办新书签售会，再是举办“格力老员工见面会”。
　　不过有意思的是，原定“格力老员工见面会”由于自传引发一些争议，从而被迫取消。也正是这一举动把格力新老领导推向舆论风口。
　　其实，无论在位，还是调休期间，朱江洪都选择低调姿态，为何选择在这个时候高调出现？这一次的出现是主动还是被动？
　　朱江洪的前半生
　　1945年出生于珠海郊区一个贫苦菜农家庭的朱江洪，1970年毕业于华南工学院机械系，朱江洪毕业后就职于广西百色矿山机械厂。
　　在百色，从一名普通工人到技术员、部门副主任，1982年，所在的工厂濒临倒闭，职工吃饭成了问题，朱江洪被500名职工投票当选厂长。任职第二年，厂子就有了利润。第五年，该厂产值达3000万元，利润800万元，跃居全国同行业的“老大”。
　　1988年，正当企业红火时，厂长也当得意气风发，朱江洪想到远在珠海的父母，18年都没回家陪父母过一次年，他决意辞职回珠海。
　　朱江洪回到珠海的5个月后，成为特区发展总公司(格力集团前身)下属的冠雄塑胶厂总经理，不过面对的是一个问题诸多的企业。
　　上任后，他发现该厂曾有过一段辉煌的历史，后因管理上的混乱，再加上得罪了一个大客户，导致处境不佳。于是他主动登门拜访，给客户道歉，对方见他言辞诚恳，答应再给冠雄一次机会。
　　就这样一步一步梳理，朱江洪到任的第二年，冠雄公司历史性赚得70万元，1990年成为总公司纳税大户。
　　朱江洪又一次因扭亏为盈而声名鹊起，这一年，总公司旗下另一家生产空调的企业，即海利空调厂又陷于困境濒临倒闭，总公司出面要求海利和冠雄合并，朱江洪兼任海利的厂长，这是朱江洪第三次取而代之成为企业一把手。
　　1991年，珠海市政府把冠雄塑胶与海利空调合并，想把空调业务做大，新企业更名为“珠海格力电器股份有限公司”，并由朱江洪出任总经理，格力电器由此正式成立。
　　由于不是制冷专业出身，朱江洪通常在晚上，将冠雄的骨干召集在一起，在车间过道中，坐着小板凳补习，请海利的技术人员上课。10年之后，格力于2001年在珠海建成了全国单体产量最大的“空调王国”。
　　格力之父为何公开发声
　　作为“格力之父”，无疑朱江洪的自传将焦点拉回到公众的视线中。
　　为格力电器千亿规模打下了坚实基础、执掌格力24年为格力注入了“科技是企业脊梁”的灵魂、一手提拔了格力电器现任董事长董明珠，这些幕后的故事一一浮出水面。
　　在格力，朱江洪非常欣赏董明珠的能力，从做经营部部长、大区经理、副总、总裁，直到退休时，把她推上格力的董事长位置。
　　其实，在相当长一段时间里，格力的“朱董配”成为业界的佳话。一个个性内敛，一个个性张扬；朱江洪为人厚道、从善如流；董明珠敢做敢当，不怕得罪人，两人巧妙地做到了相得益彰。“朱董配”的威力让竞争对手十分嫉妒，一直企盼着“朱董配”分道扬镳，不过直到朱江洪退休时，对手们都未能如愿。
　　那么，这一次，朱江洪在自传里，又是如何谈及董明珠的呢？
　　也许“朱董之争”是本书宣传的一个噱头罢了，但朱江洪的《我执掌格力的24年》，全书共21万字，提及“董明珠”三个字仅13次。并且，大多数提及董明珠的内容都主要集中于最后一章“功成身退”。
　　传递的意思非常明确，这是朱江洪执掌格力的24年。
　　在书中，朱江洪回忆了对董明珠的提拔和任用过程。据朱江洪的描述，1994年，倚重科研创新的朱江洪为了平衡技术和销售人员的待遇水平，大幅降低了销售的提成比例。此举引发了销售人员的大批出走，经营部正部长之位空缺出来。就在此时，朱江洪力排众议，破格提拔董明珠担任经营部部长一职。
　　此后，朱江洪又先后举荐董明珠升任销售副总和上市公司总经理等要职。2012年，朱江洪退休，董明珠取代他成为格力集团新一任董事长。
　　不过，从书中所述来看，董明珠最后接替朱江洪成为格力董事长这一结果，是朱江洪之前所没有准备的。2012年5月，珠海市领导向朱江洪传达格力新一届人事安排，决定由董明珠接任格力电器董事长兼总裁、格力集团董事长一职。5月25日，换届股东大会后，朱江洪收拾东西，一个人悄悄离开公司。
　　江湖传言的迷雾
　　尽管，在《我执掌格力的24年》里提及董明珠的内容字数有限，但从书里的部分文字描述，不得不令人联想到叱咤于商界的董小姐。“在格力任职的二十多年中，曾有人劝我搞汽车，(我)不干；有人劝我搞太阳能，(我)不干。”“在各种诱惑面前，不够专一，想法太多，太花心，总认为别人的饭好吃，没有集中有限力量，使自己的产品在技术上得以提高……最终就是大浪淘沙，直至退出历史舞台。”
　　同时，在书中第287页，朱江洪写道：“有媒体炒作‘没有朱江洪就没有董明珠’，这话或许有一定道理。至于‘没有董明珠就没有格力’，恐怕就值得商榷了。”瞬间，“朱江洪开撕董明珠”的新闻刷爆了朋友圈。
　　还有，更令人意外的是，在谈及企业广告策略时，朱江洪顺带“夸”了小米。
　　“小米从来不在媒体上做广告，但在中央电视台设下的‘赌局’，让好赌的中国人分外关注。把它作为茶余饭后的谈资，一夜之间让小米家喻户晓。”
　　众所周知，近年来小米似乎已经成为董明珠的“死敌”。2013年“中国经济年度人物”颁奖典礼上，小米创始人雷军发出“5年之内营业额击败格力”与董明珠立下10亿元的赌约。此后两人开启了“互怼”模式，董明珠曾多次公开炮轰小米。
　　特别是在朱江洪卸任这五年时间，董明珠以张扬高调的个人风格成为网红企业家“董小姐”。甚至，在不少人眼里，董明珠这三个字就是格力的代名词。",媒体新闻,17383417129773053592_0_584796,格力创始人朱洪江为何公开发声？朱董之争谜团更甚,格力电器,1
"<IMAGE SRC=""http://hqpick.eastmoney.com/k/0006512.png"" >
　　8月7日，格力电器发布全员公告，给全体员工发放旺季高温补贴1000元，这次津贴是在原有的高温补贴基本上额外发的。
　　格力电器在公告中称，时值高温酷暑，空调需求出现井喷式增长。为了给全国消费者送去一片清凉，全体格力员工团结协作，战高温，夺高产，及时满足市场需求，为公司经营发展作出重要贡献。为了激励员工再接再厉，继续拼搏，同时也为了体现员工的劳动价值，经公司研究决定，现对全体员工发放高温补贴。
　　通知称，在现有高温津贴的基础上，每人额外一次性发放1000元，统一发放至工资卡。发放的范围包括珠海总部以及各子公司全体工作时间满一个月以上的在职员工。
<IMAGE SRC=""http://z1.dfcfw.com/2017/8/7/20170807144511588863548.jpg"" >
　　此前，格力电器披露的一季报显示，公司营收296.82亿元，同比增20.46%；净利润40.15亿元，同比增27.05%。股东方面，前海人寿持股未变；香港中央结算有限公司持股由年报的1.43亿股增至2.42亿股；董明珠持股由4432万股小幅增至4445万股。社保基金一零一组合新晋第十大股东，持股3891万股；年报持股1.25亿股的证金公司则大幅减持，一季报已退出前十大股东。
<IMAGE SRC=""http://z1.dfcfw.com/2017/8/7/20170807144511686735353.jpg"" >
　　格力电器发布的2016年年报显示，去年格力电器实现营业收入1083.03亿元，同比增长10.8%，实现净利润154.21亿元，同比增长23.05%。按照业务划分，家电板块营收932亿元，同比增长6%，其中空调业务仍是格力绝对核心业务，营收占公司总营收的八成，约为881亿元，同比增5.22%。格力方面表示，2016年海外经济回暖，推动国内家用空调出口量增长，是致使格力业绩增长的一大因素。2016年，格力电器海外业务明显扩张，外销营收达162亿元，同比增约22%，约占总营收的15%。
　　根据2016年年报，格力电器在职人员人数为71610人。照此计算，格力电器此次高温补贴将总计支出7161万元。
　　这并不是董明珠第一次派发红包。经第一财经记者证实，去年11月份，格力电器在现有月工资的基础上，格力电器将对入职满三个月的全体员工(特殊议薪人员除外)，每人每月加薪1000元。关于加薪的原因，文件中表示格力的发展离不开员工的辛勤付出，为了和劳动者共享创新成果，提供员工幸福感才作出这个决定。
<IMAGE SRC=""http://z1.dfcfw.com/2017/8/7/20170807144512930327829.jpg"" >",媒体新闻,16734010668069222716_0_584796,董小姐又霸气了！格力给全体员工发放高温补贴1000元,格力电器,1
