"    江西煌上煌集团食品股份有限公司成立于1999年4月，其前身是1993年2月由现任集团董事局主席徐桂芬女士一手创建的“南昌皇上皇烤禽社”，1996年3月成立的“江西煌上煌实业有限公司”，是以畜禽肉食品加工为主的大型民营企业。
    2012年9月5日，煌上煌在深圳证券交易所正式挂牌上市。至此，中国酱卤肉制品领域第一股——煌上煌隆重诞生，同时该公司也是南昌县第一家上市企业。
    近年来，煌上煌坚持“立足江西，布局全国”的连锁经营模式，不断扩展，营销网络扩展覆盖江西、广东、福建、辽宁、北京、上海、河南、安徽、广西等全国20多个区域市场，连锁专卖店发展到近3000家。2015年，煌上煌搬迁了新加工园，投入巨资建设了标准化的厂房车间，在酱卤行业率先建立了十万级洁净车间。2016年，投资近2000万元从德国进口6条预包装生产线，实现技术转型升级，确保从生产源头上控制产品质量安全。同时，加大科技研发投入，投资3000万元打造国家级的研发检测中心，计划今年上半年全面通过国家3S技术认证，加强食品安全检测，提高食品质量，增强企业核心竞争力。
    目前，该集团已先后顺利通过ISO9001:2000国际质量体系认证、食品生产许可和市场准入质量安全(QS)认证及HACCP食品安全管理体系认证，并被国家有关单位和部门列为“中国肉类食品行业50强”“中国食品工业100强”“中国民营企业500强”和“农业产业化国家重点龙头企业”等。",媒体新闻,1898710983543681762_0_1739,煌上煌之路,煌上煌,1
"<IMAGE SRC=""http://hqpick.eastmoney.com/k/0026952.png"" >
　　东霖食品(834020)发布公告称，公司以7.2元/股的价格发行股票2015.67万股，募集资金总额为1.45亿元。
　　本次股票发行对象为银川君度尚左股权管理合伙企业(有限合伙)、宁波梅山保税港区君度德瑞股权投资管理中心(有限合伙)、煌上煌集团有限公司、谭德胤、中房基金(大连)有限合伙企业、王文长，其中机构投资者4名，自然人投资者2名。
　　公告显示，煌上煌(002695)投入近3000万元现金认购416.67万股，占本次增资股本比例的20.67%。
　　东霖食品表示，募集资金用于偿还部分已发生的即将到期的银行贷款和补充流动资金。",媒体新闻,1332013592992651860_0_584796,东霖食品完成1.45亿元定增 煌上煌认购3000万元,煌上煌,1
"　　听语音
　　看视频
<IMAGE SRC=""http://e.thsi.cn/img/44cb69591ea7893d"" >
　　1 理财有道，炒股有方 
　　大家好，欢迎来到《财金在线》！最近我们看到指数的上涨趋势没有变化，但是在过程中总是反反复复，而热点也不是特别明显。在这种情况下，很多朋友就感叹赚不了钱。其实，面对这样的行情，我们不妨换一种思路：指数我们不去过度重点关注，反而应该去关注资金的动向。
　　说到资金，今天我给大家讲的不是国家队，也不是中小机构，而是游资在近期开始活跃起来了。
<IMAGE SRC=""http://e.thsi.cn/img/12367adcb9e591f4"" >
　　2 “火箭炮”游资重出江湖 
　　“火箭炮”这支游资，非常的凶悍。在今年的3月份成功的打造了西部建设（002302），沉寂3个月之后，在6月初以来，又成功的打造了两档短线牛股，在我的节目中，我已经为大家免费送出了：
<IMAGE SRC=""http://e.thsi.cn/img/27dee6c483faf2ee"" >
<IMAGE SRC=""http://e.thsi.cn/img/57c817a1fcf55115"" >
　　从西部建设和煌上煌（002695），我们就不难看出他们有一个共同的特点：这家游资是非常的快、狠，不介入则已，一旦介入这类个股短线涨幅都比较大。
　　最近，我们又继续跟进这家游资，我们发现7月份他又选中了一档个股，这档个股有望成为7月份又一支短线飙涨的牛股：
　　2017年7月游资1号绝地出击
　　基本面
　　(投资亮点)
<IMAGE SRC=""http://e.thsi.cn/img/a13beae8e5e05882"" >
　　技术面 
　　该股自今年3月分以来持续下跌，当前技术上明显超跌，而估值上更是严重低估，最主要6月中旬被喻为“火箭炮”的这家游资集中建仓后，在近两周又边洗盘边吸筹，而近两日成交量异动，预示该股启动在即。从该游资历史操作风格来看，一旦启动，该股将有望连续大涨，如果6月份你已错过西部建设和煌上煌的投资者，这支被同一游资锁定的个股不容错过，留给我们建仓的时间已不多，希望大家好好把握！
　　",媒体新闻,2214749511533781742_0_590324,成功打造西部建设、煌上煌的“火箭炮”游资重出江湖 瞄准该股 只为缔造下一个神话！,煌上煌,1
"　　煌上煌002695什么时候复牌？煌上煌002695复牌时间公布　　南方财富网为大家介绍煌上煌什么时候复牌，具体如下：
　　本公司及董事会全体成员保证公告内容真实、准确和完整，没有虚假记载、误导性陈述或者重大遗漏。
　　特别提示：公司股票将于 2017年 6月20日开市起复牌。
　　一、股票交易价格异常波动停牌核查情况介绍
　　江西煌上煌集团食品股份有限公司（以下简称：“公司”或“本公司”）股票近日涨幅较大，股价异常波动。为保护广大投资者合法利益，根据《深圳证券交易所股票上市规则》的相关规定，经公司向深圳证券交易所申请，公司股票（股票简称：煌上煌，股票代码：002695）于2017年 6月15日上午开市起停牌，具体内容详见2017年 6月15日刊登于《证券时报》、《证券日报》、《中国证券报》、《上海证券报》及巨潮资讯网（http://www.cninfo.com.cn）上的《关于股票交易价格异常波动自查停牌公告》（公告编号：2017-035）。
　　停牌期间公司董事会就前期披露的信息是否需要补充更正，是否存在或知悉应披露而未披露的重大事项，在股价涨幅较大期间是否存在买卖公司股票行为等事项进行了自查并向公司董事、监事、高级管理人员进行了问询核查，并得到了公司内部董事、监事、高级管理人员的书面回复确认及外部独立董事电话回复确认。
　　同时公司就控股股东、实际控制人是否存在关于公司应披露而未披露的重大事项，是否存在关于公司包括但不限于重大资产重组、重大资产购买等应披露而未披露的处于筹划阶段的重大事项、是否在股票异常波动期间购买公司股票及建议他人购买公司股票等事项问询了公司控股股东煌上煌集团有限公司及实际控制人徐桂芬女士、褚建庚先生、褚浚先生、褚剑先生，并得到了书面回复。
　　二、公司关注并核实相关情况
　　经核查，公司董事会就有关情况说明如下：
　　1、公司不存在违反公平信息披露规定的情形，前期所披露的信息亦不存在需要更正、补充之处。
　　2、公司未发现近期公共传媒报道了可能或已经对公司股票交易价格产生较大影响的未公开重大信息。
　　3、公司近期经营正常，经营情况及内外部经营环境未发生重大变化。公司于2017年4月27日披露了2017年一季度经营业绩及2017年1-6月盈利预测：公司2017年一季度营业收入33，622.08万元，同比增长13.18%，2017年一季度归属上市公司股东净利润3527.00万元，同比增长85.88%。公司预计2017年1-6月归属上市公司股东净利润为 6670.09 万元—8，099.39 万元，同比增长 40%—70%。
　　4、公司、控股股东和实际控制人不存在关于本公司应披露而未披露的重大事项，也不存在关于本公司应披露而未披露的处于筹划阶段的重大事项。
　　5、经查询，公司控股股东、实际控制人、董事、监事和高级管理人员在公司股票交易异常波动期间未买卖本公司股票，也未建议其他人买卖本公司股票。
　　三、是否存在应披露而未披露信息的说明
　　本公司董事会确认，本公司目前没有任何根据《深圳证券交易所股票上市规则》等有关规定应予以披露而未披露的事项或与该事项有关的筹划、商谈、意向、协议等；董事会也未获悉本公司有根据《深圳证券交易所股票上市规则》等有关规定应予以披露而未披露的、对本公司股票交易价格产生较大影响的信息；公司前期披露的信息不存在需要更正、补充之处。
　　四、风险提示
　　公司郑重提醒投资者注意：应充分了解股票市场风险及公司披露的各种风险因素，提高风险意识，审慎决策，理性投资。
　　公司特别提醒投资者注意以下风险因素：
　　1、市盈率风险。
　　截至2017年6月14日收盘，公司股票价格为22.73元，对应的市盈率为
　　128.85倍，远高于中小板公司平均市盈率40.82倍，也远高于深市中小板公司
　　行业平均市盈率40.45倍。投资者应理性投资，切勿盲目跟风“炒作”。
　　2、行业竞争加剧的风险
　　随着我国快捷消费食品安全的标准越来越高，行业进入门槛不断提高；同时随着市场竞争的不断深入，中国酱卤肉制品及佐餐凉菜快捷消费食品行业市场份额呈现逐步集中的趋势。本公司现为江西省农副产品深加工行业的龙头企业，但随着竞争对手投入力度的加大、管理与营运水平逐步提升，若公司不能尽快增加投入，通过加强管理、扩展市场营销网络、发挥规模效应和提高研发水平等方式来持续提高核心竞争力，公司将面临行业竞争加剧的风险。
　　公司郑重提醒投资者注意：《证券时报》、《中国证券报》、《证券日报》、《上海证券报》和巨潮资讯网（www.cninfo.com.cn）为公司法定信息披露媒体，公司所有信息均以在上述指定媒体刊登的信息为准。
　　公司将严格按照有关法律法规的规定和要求，及时做好信息披露工作。敬请广大投资者理性投资，注意投资风险。
　　特此公告。
　　江西煌上煌集团食品股份有限公司 董事会
　　2017年6月20日　　南方财富网微信号：南财",媒体新闻,13803601302346572289_0_590276,煌上煌002695什么时候复牌？煌上煌002695复牌时间公布,煌上煌,1
"　　中国证券网讯（记者 史文超） 煌上煌19日晚间公告，经核查，公司、控股股东和实际控制人不存在关于公司应披露而未披露的重大事项，也不存在关于公司应披露而未披露的处于筹划阶段的重大事项。公司控股股东、实际控制人、董事、监事和高级管理人员在公司股票交易异常波动期间未买卖公司股票，也未建议其他人买卖公司股票。
　　公司提醒，截至6月14日收盘，公司股票价格为22.73元，对应的市盈率为128.85倍，远高于中小板公司平均市盈率40.82倍，也远高于深市中小板公司行业平均市盈率40.45倍。投资者应理性投资，切勿盲目跟风“炒作”。 公司股票将于6月20日起复牌。",媒体新闻,1824035442956292601_0_588887,煌上煌：不存在应披露而未披露事项 20日复牌,煌上煌,1
　　煌上煌（002695）6月19日晚间公告，公司股票前期交易价格异常波动，经自查公司目前没有任何应予以披露而未披露的事项。公司股票20日起复牌。煌上煌14日停牌前已连续九天上涨，以6月2日最低价14元计算，累计涨幅已逾60%。煌上煌强调，公司当前市盈率为128.85倍，远高于中小板公司平均市盈率40.82倍，投资者应理性投资，切勿盲目跟风“炒作”。,媒体新闻,11884414367862096786_0_39558,煌上煌：无应披露而未披露事项 明起复牌,煌上煌,1
"　　近期类似去年中报高送转老龙头002695煌上煌（002695）是又开始一波行情，从14块多涨到了22.73多涨幅高达55%多，说明有资金开始做中报行情了。
<IMAGE SRC=""http://e.thsi.cn/img/44e18e7013920191"" >
　　煌上煌
　　有些新股民不知道中报行情，这里简单说一下，中报行情是指上市公司在发布半年的中期业绩报告，一般上半年业绩预增很多或者中报有高送转，比如10送或转10、15、20之类的股票，市场经常会炒一下，从而引发行情，类似这种布局中报的行情我们称为中报行情。
<IMAGE SRC=""http://e.thsi.cn/img/9de4e14edd1ae2d3"" >
　　中报行情时间点
　　今年中报行情或将更大
　　1、今年上半年整体来说监管还是比较严的，年报高送转基本就没什么炒，除了最近类似002837英维克（002837）、002822中装建设（002822）等炒填权的，其他就没怎么动。后续监管预期是会放松些，那类似中报行情业绩预增和高送转就更有机会。
　　2、周末特别在家里统计了一下，现在中报预披露数据来看，有1159家披露了，业绩预增大概有755家，业绩预增翻倍大概是有156家。可以看到今年业绩大幅预增还是比较少，主要是今年经济还是不太好，这时候业绩预增少，资金就会更加重点集中。
　　3、今年上半年IPO量很大，而次新股里面业绩预增 高送转的概率来看也是最大；同时，今年次新股不少跌得很多，预计7、8月次新股行情会不错，尤其是在超跌低位 业绩预增 高送转潜力的个股。
　　所以，根据这3大因素综合分析，掘金预计今年中报行情会不错。
　　重点挖掘中报行情
　　第一、挖掘中报业绩大幅预增
　　现在可以通过中报业绩预增来排名，具体挖掘思路，挖掘的思路是自上而下：
　　业绩预增集中行业》公司业绩预增排行》基本面研究》技术面筛选
　　今天大体看了，行业里面今年不少锂电池、有色里面的小金属、供给侧改革概念、OLED概念、次新股等这些行业里面业绩预增还比较多。可以重点挖掘，等后面再给大家专门分享这块的。
　　第二、中报业绩预增 高送转潜力
　　中报高送转是中报行情的重点，一般来说业绩预增、每股资本公积越高、每股未分配利润越高、总股本越小的，尤其是年报预期有高送转但后面还是没高送转，这类中报高送转潜力就越高。掘金，根据业绩根据“业绩增长(净利润同比大于30%、大于1000万)、公积金大于3、每股未分配大于2、市值小于60亿”，从A股里面选出了15只，可以说是小盘精华！如下图，通过选股器，可以选出高送转潜力个股出来：
<IMAGE SRC=""http://e.thsi.cn/img/1224c1cfa2dd7b12"" >
　　选股条件
　　具体的名单如下：
　　这个名单是按市盈率来排序的，类似利民股份（002734）、九华旅游（603199）、建艺集团（002789）这3个应该是年报有高送转预期，但年报都没实施高送转，类似这种中报高送转潜力会更大些。
<IMAGE SRC=""http://e.thsi.cn/img/953316fa85f6441f"" >
　　高送转潜力个股
　　中报行情可以说是后面2个多月比较有机会的板块，也是值得潜伏的。今天主要是分享挖掘思路及具体的高送转潜力选股方式。中报行情是每年6、7、8月研究的重点，等后面掘金再给大家详细的分享研究成果。
<IMAGE SRC=""http://e.thsi.cn/img/cf4376d0f9781a9c"" >",媒体新闻,445022814417115231_0_590325,错过了特力A、煌上煌？中报预增又一批黑马来袭！,煌上煌,1
"　　节奏上,各大权重板块最近基本轮动了一轮,接下来是投资者要“慧眼识股”,而最近妖股补涨也是说明热点表现不及预期,所以,最近追涨的朋友就吃亏了。昨夜补涨老妖股势头被浇灭,资金将会出现选择回流,那么我们主要抓强势补涨个股低吸机会较好。
　　翻开最近讲解,古言俊一直提醒教大家做上升回档类型的个股,如周一讲解的证通电子（002197）以涨停板突破智能辅助线,扭转下跌趋势,回档支撑就是介入机会,在看看这3天逆势还是翻红的,持有的依旧有利润,这就是强者恒强的道理。
<IMAGE SRC=""http://u.thsi.cn/fileupload/data/Input/2017/e1b948525dddeec2769220b08a2663ca.jpeg"" >
　　大盘经历普涨之后,市场个股分进行分化,在回调过程中,重点选择底部放量突破后,资金进场的个股,今日讲解的重点就是一只 雄安新龙头并且有机构游资锁仓的潜力标的:龙泉股份（002671）
<IMAGE SRC=""http://u.thsi.cn/fileupload/data/Input/2017/546886d2f776adeb3ed30fa9f326c203.jpeg"" >
　　选股指标:上升通道 13天内涨停 流动资金三天翻红。
　　从趋势来看,股价处辅助线上方,中线趋势走好,短线均线粘合,指标向好。从筹码分布可以看到主力资金介入明显,B点右侧为持仓区,流动资金持续翻红量价齐升,放量涨缩量跌,后市还将飙升值得重点关注。资金持续流进,股价呈现缩量回调的类型,回荡到智能辅助线支撑时买入。把握不好的朋友不建议你自己盲目操作。
　　再次提醒:目前属于中级超跌反弹,各种曾经活跃的股,在严重超跌后容易反攻,这是由其股性所决定的。下午讲一下股价跑赢大盘的技术逻辑!
<IMAGE SRC=""http://u.thsi.cn/fileupload/data/Sns/2016/3f8d5b002f9429dd531a5ab8ba08261a_258_258.jpg"" >
古言俊分析
古言俊分析
gptj1991",媒体新闻,15630166046401542742_0_590324,煌上煌“老妖”被浇灭后 雄安新龙头遭游资13000万锁仓 有望强势暴涨,煌上煌,1
"摘要
上证50指数跌逾1%，沪指走弱，高送转分化，老妖股特力A、煌上煌等纷纷涨停。
　　上证50指数跌逾1%，沪指走弱，高送转分化，老妖股特力A、煌上煌等纷纷涨停。截止午盘，沪指下跌0.58%，创业板上涨0.05%。辽宁整合港口资源，锦州港等涨停。昨日大涨的锂电池、高送转分化，龙头科泰电源、同为股份等继续涨停。
　　东北证券：
　　上周支持反弹的动力来至于机构群体，散户对后市更偏谨慎。按上周的结算金规模测算，缩量底部对应两市日均成交额还是在3200亿附近，上周前两个交易日的成交已经降至0.25的低点，但后续过快的放量一定程度上透支了反弹可以持续的时间和空间，市场出现2个月左右的反弹行情还需要等待市场交易热情降至低位。昨日一个较好的现象是市场上涨但成交却相对收缩，从上周三至昨日，两市成交规模逐日衰减，有望进一步收缩至博弈/存量指标下轨，正式开启新一轮反弹行情。近期我们的指标大多出现一个相似的信号：以沪深300指数为代表的权重股超涨现象比较明显，短期上涨潜力受到抑制，甚至存在回落的风险。
　　银河证券：
　　连降两个月的融资融券规模近期出现企稳回升势头。上周两市融资余额在经历连续7周净流出后首次净回流，本周一，两市融资融券余额进一步回升至8671.49亿元，创出本月以来的新高。这或可表明市场情绪正在逐步回暖。当前经济总体较为稳定，继续关注主题性、结构性机会。市场仍呈现结构性行情特征，继续关注国家发展战略、供给侧改革、国企并购重组及PPP等主题。
　　方正证券：
　　近日，国企改革概念股不时盘中走强，成为市场不多的亮点之一。国企改革是国家既定方针，不因金融降杠杆而改变，国企改革是A股未来走牛的基础之一，不因市场几轮调整而改变，并购重组是证券市场永恒主题，不因IPO加快而改变，随着市场各项政策的逐步落实，随着金融降杠杆告一段落，国企改革将引领大盘重现辉煌。短线大盘蓄势运行，构筑“头肩底”右肩，双向“跷跷板”现象依旧。操作上，轻指数、重个股，逢低关注国改、混改、智能装备及处于底部的低价二线蓝筹，回避或逢高减持近
　　川财证券：
　　市场仍是存量博弈的状态。股市在2015年牛转熊后，资金主要配置在大盘蓝筹股上，这些股票分布在家电，金融，食品饮料里。因此这一类行业在牛转熊后一般都能取得超额收益。随着时间的推移，对家电，食品饮料，金融板块持续的超额收益的持续性产生担忧，而对那些持续大幅度跑输大盘的板块产生恐惧。市值占比反应的是这个市场中该行业的重量，估值反应的是市场的“价位”。大金融板块中非银估值较历史仍偏低，并且市值占比仍有上升空间。我们建议继续关注大金融板块中非银板块的投资机会，而对白酒，家电则要保持一份清醒。
(责任编辑：DF118)",媒体新闻,8069371813600821437_0_590208,上证50指数跌逾1%  老妖股特力A、煌上煌等纷纷涨停,煌上煌,1
"【煌上煌：股价涨幅异常 明起停牌核查】连续三个交易日涨停的煌上煌(002695)6月14日晚间公告，股票近日涨幅较大，股价波动异常。公司股票将于6月15日起停牌，公司将就股票交易异常波动情况进行必要的核查。（证券时报）
<IMAGE SRC=""http://hqpick.eastmoney.com/k/0026952.png"" >
　　连续三个交易日涨停的煌上煌(002695)6月14日晚间公告，股票近日涨幅较大，股价波动异常。公司股票将于6月15日起停牌，公司将就股票交易异常波动情况进行必要的核查。",媒体新闻,1772879838429126794_0_584796,煌上煌：股价涨幅异常 明起停牌核查,煌上煌,1
