"　　公司公布17年中报，17年上半年实现营收56.2亿元，同比+25.0%；归母净利润11.5亿元，同比+18.4%；EPS0.34元／股。
　　投资要点：
　　毛利率下降，净负债率提升。17年上半年公司实现营收56.2亿元，同比+25.0%；归母净利润11.5亿元，同比+18.4%。综合毛利率48.7%(同比降9.8个pc，但较16年全年增1.5个pc)，利率20.5%(同比降2.8个pc)。截至17年6月底，在手货币资金37.2亿元，短债缺口56.7亿元（16年末66.6亿元），预收账款30.0亿元。三费费率12.8%，同比+2.3个pc。净负债率110%(+31个pc)，资产负债率74%(+5个pc)。截至16年末，公司整体平均融资成本仅4.39%，处于行业低位。
　　持有在营物业租金稳增，租赁收入持续增长。17年上半年实现租赁收入合计20.21亿元（同比+24_3%），其中表内16.56亿元（同比+32.3%），营收占比达26%(16年20%)。截至17年6月底，在营物业总建面164万方（于16年末持平）、在建面积超221万方：甲级写字楼出租率99%、租金7.82元／方／天（16年97.5%、7.64元／方／天），高品质研发楼出租率99%、租金5.32元／方／天（16年97.4%、5.11元／方／天）。
　　现有可售项目全部出清，新获苏州土储。17年上半年住宅物业销售面积2205方，合同金额0.94亿元，去化率为100%，均价4.26万元／方；去年同期签约面积7.5万方，合同金额24.1亿元，均价3.21万元／方；销售面积、金额大幅下滑主要由于现有在售项目可售面积较低且已全部出清。5月9日公司公告联合华宝信托完成收购苏州绿岸95%股权，新增苏州17块土地建面约108.41万方的储备。公司以小量资金控制大额项目，继布局天津后再次“走出上海”，获取大型成片开发项目。
　　公司持有陆家嘴区域办公物业、商铺物业接近400万方，占陆家嘴全部商业物业约30%，租金收入未来三至五年超50亿元无忧，新获苏州大量土储，持续受益集团资产证券化率的提升，“以房地产为核心，以金融和商业零售为两翼，以陆家嘴、天津、苏州为三城”发展格局正在逐步形成。RNAV40.1元／股提供高安全边际。预计17-19年营业收入为154、183、208亿元；17-19年最新摊薄EPS0.97、1.24、1.41元，对应当前股价PE26、20、18倍，6个月目标价30元，对应17年PE31倍，长期看好陆家嘴区域优质商业地产增值潜力及租赁收入的稳步提升以及国改加速带动新的优质资产注入，维持“强烈推荐”评级。
　　风险提示：资产重组效果不及预期、园区开发进展不及预期。",媒体新闻,11664582528030384515_0_590318,租赁收入稳增，一核两翼三城逐步形成,陆家嘴,1
"　　事件：公司近日发布半年报，2017H1实现营业收入56.2亿（+25.0%），实现归属于上市公司股东净利润11.5亿（+18.4%），加权平均ROE为5.9%，相比上年同期增加了2.2个百分点。
　　“地产+金融”龙头标的，存量运营时代发展优势突出。当前A股地产板块中，公司在营和在建的办公商业体量很大，而且从租金水平、出租率和稳定性看也十分优质。截止到2017年上半年末，公司在营商办建面164万方，权益建面144万方，在建面积221万方。公司在2016年底完成收购陆金发88.2%股权，获得“保险+信托+证券”3家持牌金融机构，初步构建“商业地产+商业零售+金融投资”的发展格局。在房地产从增量开发到存量运营的趋势下，公司的商业地产板块有望和金融板块产生真实的业务协同效应，比较优势突出。
　　跨区域布局取得实质性进展，品牌辨识度显著提升。2017年5月9日公司发布重大资产重组实施完成公告，联合华宝信托收购苏州绿岸95%的股权实施完成。苏州绿岸在苏州高新区持有17幅地块，土地性质包括住宅、商办、工业（研发）等，规划总建面约108万方。公司以小体量资金代价获取了项目的控制权，是继天津之后走出上海的又一大型成片开发项目。此外，公司在上海进军前滩国际商务区，参与临港亚太运营中心项目，跨区域布局取得实质性进展。
　　在营商办面积有望持续放量，零售业务多点发力。2016年公司在营物业租金收入（含合并报表外）为36.4亿，2017H1为20.3亿，公司在建面积扣除出售部分建面约197万方，明显超过当前在营面积，未来租金收入放量可期。公司正在加大中短期产品的运营，房产开发项目（含商业及办公等类）开发成功后整体转让或将成为公司经常性的业务。
　　盈利预测与投资建议。预计2017-2019年EPS分别为1.08元、1.40元、1.70元，未来三年归母净利润将保持29%的复合增长率，给予公司2017年26倍估值，对应目标价28.08元，首次覆盖给予“买入”评级。
　　风险提示：项目开发进度或低于预期、地产+金融协同优势或不显著。",媒体新闻,8015183682186666093_0_590318,2017年半年报点评：跨区域布局、“地产+金融”龙头标的,陆家嘴,1
"　　事件：
　　公司7月29日公布2017年半年报。报告期内，公司实现营业收入人民币56.23亿元，较2016年上半年的人民币44.99亿元上升48.44%；实现归属于股东的净利润人民币11.54亿元，较2016年上半年的9.74亿元同比上升30.84%；稀释EPS为每股0.29元，同期上升18.39%。
　　观点：
　　营业收入和净利润均实现大幅增长。2017年上半年，公司实现营业收入人民币56.23亿元，较2016年上半年的人民币44.99亿元上升25.00%；实现归属于股东的净利润人民币11.54亿元，较2016年上半年的0.74亿元同比上升18.39%；上半年，公司实现住宅销售合同金额0.94亿元，销售面积2205平方米，在售项目的整体去化率为100%。总体来看，2017年上半年大幅好于去年同期，得益于房产销售收入和租赁收入的增长。
　　重大资产重组接连助力“地产+金融”双轮驱动战略，“一核两翼三城”发展格局正在逐步形成。2016年底，公司实施完成现金收购陆家嘴集团、上海前滩国际商务区投资集团限合计持有的陆金发88.20%股权的重大资产重组，获得了爱建证券、陆家嘴国际信托和陆家嘴国泰人寿3家金融机构的实际控制权，形成“证券+信托+保险+股权投资”业务格局，在“国企改革”与“跨界融合”中实现“地产+金融”双联动。
　　5月9日，陆家嘴又完成了85亿收购苏州绿岸95%股权的重大资产重组，成功竞得苏州绿岸项目17块国有土地，为公司未来的发展提供了极有价值的土地与项目储备。该项目土地使用权面积为65.96万平方米，土地性质为住宅、商办、工业（研发）等，项目规划总建筑面积108.41万平方米。目前公司商业地产开发项目主要集中于上海、天津两地，通过此次交易，公司商业地产业务将进入苏州市场，成为公司继天津之后第二个“走出上海”的大型成片开发项目。以房地产为核心，以金融和商业零售为两翼，逐渐形成以陆家嘴、天津、苏州为三城的“一核两翼三城”发展格局正在逐步形成。
　　商业地产价值稀缺性凸显，带来长期增值潜力。公司不仅在陆家嘴核心区域拥有大量高端优质经营物业，地理位置优越、建筑品质卓越，布局办公、商铺、酒店、会展等，并且将发展的触角也延伸到了上海前滩国际商务区、天津以及苏州，为公司的长期稳健经营打下了坚实的基础。截至上半年末，公司在营物业面积达到164万平米，其中公司长期运营的甲级写字楼总建面积115万平米，高品质研发楼总建筑面积21万平方米，目前在建的经营物业项目总建面221万平米。
　　土地和项目储备为未来房地产业绩提供有力保障。虽然公司上半年住宅可售面积仅有2205平方米，其中天津地区1238平方米，上海地区967平方米，两区域楼盘整体去化率均为100%，但公司借助金融杠杆收购苏州绿岸95%股权，土地和项目储备获得实质性突破，将为未来的营业收入和销售业绩的增长提供有力支撑。
　　从当前收入结构来看，房产销售收入占比逐渐提升，并且近五年上半年房地产销售毛利率均在35%以上，这种快周期的产品将为公司不断增加的大量优质物业提供资金支持，实现了公司总资产周转的长短期限互补。预期公司仍会继续重点投入房地产产品的开发建设与租售运管，从而在保障公司业绩稳定增长的基础上，实现资产规模的快速扩张。
　　结论：
　　公司作为陆家嘴金融核心区办公物业最大业主，持有大量优质商业地产，公司资产增值潜力无限。重大资产重组标的接连为公司增加“金融”元素和“地产”元素，落实“地产+金融”战略，“以房地产为核心，以金融和商业零售为两翼，以陆家嘴、天津、苏州为三城”的“一核两翼三城”发展格局正在逐步形成。其中苏州绿岸项目的收购使得公司商业地产业务进入苏州市场，成为公司继天津之后第二个“走出上海”的大型成片开发项目，土地和项目储备获得实质性突破，为公司未来业绩的增长提供了有力支撑。我们预计公司2017年-2019年营业收入分别为147.6亿元、179.1亿元、229亿元，每股收益分别为0.99元、1.14元和1.52元，对应PE分别为23.01、20.04和15.05，维持“强烈推荐”评级。",媒体新闻,4874803312315246117_0_590318,2017年半年报点评：进军苏州，打开新发展格局,陆家嘴,1
"　　■本报记者 张淑贤
　　在对区域内互联网资管、私募基金、P2P网贷等新兴金融机构排摸基础上，记者获悉，上海自贸区陆家嘴管理局搭建了“陆家嘴金融风险防范系统”，开发“企业信用大数据监测平台”，实时监控企业的动向，同时倡议创设“陆家嘴楼宇公约”，从源头把控、事中监测到事后处置等方面对楼宇金融风险防范提出操作流程，构建起了“企业-楼宇-协会-监管部门”四级网络，牢牢扎紧金融风险防控篱笆。
　　《楼宇公约》从源头把控金融风险
　　近年来，新型的金融平台、投融资中介服务机构蓬勃发展，但同时也出现了不少风险企业，这些企业有的不具备经营资格，有的缺乏起码的风险控制体系，还有的借创新之名行非法之实。记者了解到，已暴露出风险的企业尽管没有在陆家嘴注册，但也不同程度地波及到陆家嘴的商办楼宇，包括因资金链断裂突然跑路被相关部门查封造成长时间空置、出现群访事件严重损害楼宇品质等。
　　那么，企业入驻时以及企业入驻后，陆家嘴区域的商办楼宇如何防范金融风险？由管理局发起倡议，陆家嘴金融贸易区楼宇协会、陆家嘴互联网金融协会和各楼宇共同创设的《陆家嘴金融城楼宇公约》则提供了参考依据。目前，签约“陆家嘴楼宇公约”的商办楼宇已达55家，基本覆盖整个陆家嘴金融贸易区中心区，这一区域也是新兴金融机构入驻较多的区域。
　　记者获悉，《楼宇公约》共八条，从源头把控、事中监测到事后处置对楼宇金融风险防范提出了具体操作流程建议。主要内容包括：一是在引进类金融企业的初始阶段，通过重点查看予以甄别。对于申请入驻的企业需通过股东背景、经营团队、业务模式、宣传内容、目标客户、担保资质六个维度进行综合评判，对于存疑企业，楼宇协会、互联网金融协会将协助参约楼宇进行审核，从源头把控，杜绝风险企业，引进有发展潜力、规范运作、经营正常的金融企业。
　　二是加强对已入驻类金融企业的日常监测。一方面楼宇协会、互联网金融协会利用大数据监测系统协助参约楼宇做好入驻企业的金融风险监测；另一方面参约楼宇在日常管理中提高对非法金融活动的警惕性，特别是对老人频繁进出、擅自转租等异样情况保持高度警惕，及时向楼宇协会、互联网金融协会反馈可疑企业，三方通过信息互通、外围核查，共同使风险防范关卡前移。
　　三是建立稳妥有序的处置机制。对于已经明确的风险企业，参约楼宇在楼宇协会和互联网金融协会的指导下，协同应对，化解楼宇金融风险，同时楼宇协会和互联网金融协会积极协调资源，协助参约楼宇尽快恢复正常运营。
　　针对资产管理机构识别困难等问题，《楼宇公约》中加入了《陆家嘴楼宇资产管理机构入驻指引》，从定义和范围、六维度综合评价、三类正面因素和八项负面指标四个方面，让参约楼宇在企业入驻和日常服务中对资产管理机构能有基本的识别和判断能力，一方面能识别出持有资产管理相关牌照、具备资金存管体系和有效的风控制度的优质资管机构；另一方面列出了潜在风险企业的特征和要素，供楼宇对入驻的类金融企业进行辨别及日常监测。
　　监测平台实时更新区域企业动态
　　去年7月以来，根据市、区统一部署，上海自贸区陆家嘴管理局开展了区域内互联网资管、私募基金、P2P网贷等三类企业的排摸工作。在此基础上，今年4月起，在市金融办开发的类金融机构监测分析平台的支持下，陆家嘴管理局搭建了陆家嘴金融风险防范系统，在陆家嘴楼宇协会和陆家嘴互联网金融协会的配合下，联合相关职能部门，线上线下双管齐下，全面开展金融风险防控工作，主动将摸排范围从在陆家嘴注册进一步延展到在陆家嘴办公的企业。
　　针对金融风险，为了进一步做到早识别、早预警、早发现、早处置，记者获悉，陆家嘴互联网金融协会已委托冰鉴信息科技有限公司开发“陆家嘴企业信用大数据监测平台”，从企业基本信息、舆情、合规信息、法律诉讼、经营状况、无形资产、第三方信息等多维度对企业进行全方位风险预测和信用评估，迅速生成稳定、标准、准确的企业分级分析报告。
　　冰鉴科技相关负责人向记者表示，“陆家嘴企业信用大数据监测平台”的创新之处是采用冰鉴科技自主开发的舆情监控系统，根据目标企业的关键词，系统定期从各大门户网站、论坛、社交媒体抓取相关新闻、消息、评论等内容，对其语境和语义进行正、负面程度的分析，实时更新目标企业的舆情指数。目前，平台已覆盖了陆家嘴区域的4000多家新型金融机构。
　　此外，该平台还引入分级监控的功能，针对不同信用评级的企业实行差异化的监控频率和措施。对信用评级较高的优质企业，降低监控频率；对信用评级较差的企业，则提高频率至每日一次；对于在相邻监控周期内信用评级发生明显变化的企业，加入重点监控。
　　上海自贸区陆家嘴管理局金航处副处长徐金华表示，陆家嘴企业信用大数据监测平台为陆家嘴片区金融风险防范工作提供了详实、准确的判断依据和数据支撑，结合实地尽调，在实际工作中取得了积极的成效。",媒体新闻,5532805151022499405_0_2340,陆家嘴出新招防范金融诈骗风险,陆家嘴,1
"　　■本报记者 张淑贤
　　一幢楼宇就是一个“站着的”金融街，这说的即是陆家嘴。记者从昨日召开的陆家嘴金融城楼宇工作会议获悉，高端商务楼宇大量集聚已成陆家嘴金融城最显著的特征。截至今年6月底，区域内共有249幢商办楼宇，总建筑面积达1284万平方米，平均出租率在95%以上。其中，税收亿元楼已达93幢，去年合计产税600多亿元，占区域总体税收的七成。
　　新区逾八成亿元楼集聚在陆家嘴
　　在陆家嘴税收亿元楼中，10亿元以上的楼宇有15幢，20亿元以上的楼宇有10幢，40亿元以上的楼宇有两幢。
　　“小陆家嘴有1.7平方公里，区域内的办公面积约有437万平方米，如果把这些楼宇的面积平铺开，相当于有2.5到2.6个小陆家嘴。”上海自贸区陆家嘴管理局经济发展处负责人梁庆接受记者采访时表示，新区绝大多数税收亿元楼都在陆家嘴。
　　来自新区相关部门的一份数据显示，目前浦东税收亿元楼约有110幢，而陆家嘴已有93幢。这意味着，逾八成的税收亿元楼都集聚在陆家嘴。
　　楼宇经济“节节高”背后是高端金融机构和总部企业的集聚。目前，陆家嘴区域已集聚了银证保持牌类机构800多家，功能性要素市场13个，总部型企业300多家，其中跨国公司地区总部90多家。
　　“国金中心已入驻了100多家高端金融机构，包括汇丰银行、德意志银行等外资银行，华安基金和富国基金等公募基金，以及律师事务所等专业服务机构。”新鸿基企业管理（上海）有限公司写字楼销售租赁部助理总经理潜力接受记者采访时表示。
　　作为新鸿基地产在国内的旗舰项目，国金中心为租户提供了丰富的联谊活动，包括足球赛、篮球赛和登高比赛等。“租户间的交流多了，感觉像处于一个社区中，营商环境营造好了，企业集聚规模自然增加了，经济体量也就上来了。”潜力说。
　　国金中心是昨日获得综合环境杰出贡献奖的楼宇或企业之一，其余六家分别为上海中心、环球金融中心、金茂大厦、东亚银行大厦、金砖大厦和陆家嘴集团。
　　“楼宇经济有强大的‘虹吸效应’，这个效应体现在资金流、人流和物流等方面。”梁庆向记者表示，“核心企业进驻楼宇可带来产业集聚，从而形成‘雨林生态’。这种生态是未来陆家嘴楼宇经济所需要的，是可以比肩全球顶尖商务区或集聚区的。”
　　记者获悉，陆家嘴未来将把楼宇招商与优化区域产业功能布局相结合，强化产业链、价值链、生态链招商，大力引进总部型、龙头型、功能型、创新型企业和机构，将金融城每一幢楼宇都打造成更为强劲的经济增长极。
　　多举措提升楼宇经济的功能和能级
　　为进一步优化陆家嘴综合营商环境，促进楼宇经济健康发展，在上海自贸区陆家嘴管理局的倡议下，陆家嘴金融贸易区楼宇协会、陆家嘴互联网金融协会和各楼宇共同创设了《陆家嘴金融城楼宇公约》，首批签约的商办楼宇达55家，通过签约的形式加强事中事后监管和楼宇业主自治自律，进一步提升企业楼宇服务的满意度，实现楼宇得成长、企业得机会、区域得发展的“三赢”。
　　此外，在昨日的楼宇工作会议上，陆家嘴金融城楼宇网络社区也正式上线，涵盖楼宇信息查询、BBS社区等，旨在线上整合区域内各类资源，多方联手推进，更好地服务楼宇入驻企业，营造更适宜企业发展、白领生活的金融城生态环境。
　　值得一提的是，为提升楼宇经济运行质量和发展能级，浦东日前正式下发了《“十三五”期间促进楼宇经济发展财政扶持办法》，入驻企业在新区形成的年度经济贡献不少于1亿元的商务楼宇（园区），按照其当年入驻年度经济贡献增量，对楼宇（园区）业主或其委托的经营管理单位给予一定的奖励。据上海自贸区陆家嘴管理局局长王华透露，陆家嘴目前正在制定相关细则。
　　据透露，陆家嘴还将建立陆家嘴楼宇信息系统，完善楼宇服务工作机制，包括分级分层，逐幢对接，建立陆家嘴楼宇服务机制；建立楼宇方联络员队伍，适时对楼宇及企业信息进行更新等。下一步，陆家嘴将持续加快推进各类商办楼宇建设，保障机构和企业集聚的空间需求，不断释放楼宇空间容量。“十二五”期间，陆家嘴区域释放楼宇空间容量近300万平方米，预计“十三五”期间释放楼宇空间容量基本与“十二五”时期持平。",媒体新闻,2779425060305983324_0_2340,陆家嘴金融城坐拥93幢亿元楼,陆家嘴,1
"　　陆家嘴金融城教楼宇识高风险P2P企业：需警惕老人频繁出入
　　澎湃新闻见习记者 张赛男 来源：澎湃新闻
　　“楼宇在日常管理中提高对非法金融活动的警惕性，特别是对老人频繁进出，擅自转租等异样情况保持高度警惕，及时向楼宇协会、互联网金融协会反馈可疑企业。”中国（上海）自由贸易试验区管理委员会陆家嘴管理局副局长过志英表示。
　　过志英是在7月31日于浦东召开的陆家嘴金融城楼宇工作会议上作出以上表述的。当天，陆家嘴管理局与55家商办楼宇签订了《陆家嘴金融城楼宇公约》（以下简称“楼宇公约”）。公约从源头把控、事中监测到事后处置对楼宇中金融风险防范提出了操作建议，帮助楼宇识别新型资产管理机构资质。
　　具体而言，“楼宇公约”提出，在引进类金融企业的初始阶段，通过重点查看予以甄别，并且加强对已入驻类金融企业的日常监测，建立稳妥有序的处置机制。此外，还帮助楼宇业主从定义及范围、六维综合评价、三类正面因素和八项负面指标等四个方面提高对新型资产管理机构的识别判断能力。
　　过志英在会上表示，在初始阶段，对于申请入驻的企业进行股东背景、经营团队、业务模式、宣传内容、目标客户、担保资质等六个维度上的综合评判；对已入驻类金融企业加强日常监测，利用大数据监测系统协助参约楼宇做好入驻企业的金融风险监测，同时提高对非法金融活动的警惕性，特别是对老人频繁进出，擅自转租等异样情况保持高度警惕；对于已经明确的风险企业，积极协调各类资源，协同应对，化解风险。
　　半个月前召开的全国金融工作会议提出，要促进金融服务实体经济、防控金融风险、深化金融改革。在此背景下，陆家嘴金融城“楼宇公约”应运而生。
　　中国金茂（集团）有限公司总经理助理张玮在接受媒体采访时表示，公约的出台有助于进一步防范金融风险，帮助业主识别一些资质不全的P2P公司。
　　陆家嘴管理局局长王华透露，要保持陆家嘴楼宇“高大上”的形象，就要和一些P2P高风险的企业保持一定距离。“这方面有些楼宇做得非常好，比如上海中心大厦在招租时就把一些高风险的P2P企业拒之门外，其中有一家企业最后上百亿资金盘子就爆掉了。”
　　张玮表示：“集团（编注：中国金茂）在以往的招商引资过程中，会请第三方机构对引进公司的资质、背景等方面做背景调查，进一步防范风险，给予好的公司一定的租赁条件优惠。集团在优先引进500强企业、央企、国企，以及办公人员素质较高的企业，如会计事务所、律师事务所等专业性的服务机构。而对金融机构，如从事高风险投资的股票、基金、期货等受市场行情影响大的企业会比较慎重。”
　　据了解，楼宇经济已成为陆家嘴的金字招牌。王华在会上表示，2016年，仅93幢亿元楼宇就合计产税625亿元，占区域总体税收的70%。金融城核心区主要楼宇的平均出租率长期保持在95%以上。
　　但是，王华也坦言，陆家嘴的楼宇经济体量与国际相比仍然存在一定差距，金融市场综合整治也将在短期内影响楼宇市场，加上上海其他区域释放巨量空间资源，陆家嘴金融城招商、招租方面的竞争压力也有所体现。
　　那么，如何应对市场？王华认为，要有科学的市场定位，我们的目标客户群体应该是那些具有长期和稳定的给付能力、具有市场影响力的高品质客户。与此同时，王华认为要加强协同，政府和楼宇要形成综合优势，开展综合招商。从区域综合营商环境和楼宇的物业环境两个方面为区内企业提供良好的综合环境。
　　值得注意的是，前不久上海浦东出台了“十三五”期间促进楼宇经济的扶持政策，澎湃新闻从上述会议了解到，陆家嘴管理局正在研究细则，总的想法是希望楼宇能够及时提供楼宇空置信息以及在谈项目信息，使得楼宇经营地和注册地一致，楼宇和政府联手服务好入驻企业。同时，鼓励楼宇出资改造，定向引进纳税大企业，在楼宇政策之内，给予企业相关资金补贴。",媒体新闻,8696150641714709143_0_589478,陆家嘴金融城教楼宇识高风险P2P企业:警惕老人频出入,陆家嘴,1
"　　中新网上海7月31日电 (缪璐 邓家嘉)在31日召开的陆家嘴金融城楼宇工作会议上，首批55家商办楼宇签署了《陆家嘴金融城楼宇公约》，从源头把控、事中监测到事后处置方面，对楼宇金融风险防范提出了具体操作流程建议。
　　截至2017年6月底，陆家嘴共有249幢商办楼宇，总建筑面积1284万平方米。近年来，陆家嘴依托高度集聚的各类甲级、超甲级商办楼宇，不断优化综合营商环境，全力推进楼宇经济发展，目前共培育产生了93幢税收亿元楼，可以说，陆家嘴金融城每一幢商办楼宇，都已经形成一条垂直的“金融街”。
　　其中《陆家嘴金融城楼宇公约》共八条，其中主要内容包括，一是在引进类金融企业的初始阶段，通过重点查看予以甄别。对于申请入驻的企业需通过股东背景、经营团队、业务模式、宣传内容、目标客户、担保资质六个维度进行综合评判，对于存疑企业，楼宇协会、互联网金融协会将协助参约楼宇进行审核，从源头把控，杜绝风险企业，引进有发展潜力、规范运作、经营正常的金融企业。
　　二是对已入驻类金融企业的日常监测。一方面楼宇协会、互联网金融协会利用大数据监测系统协助参约楼宇做好入驻企业的金融风险监测；另一方面参约楼宇在日常管理中提高对非法金融活动的警惕性，特别是对老人频繁进出，擅自转租等异样情况保持高度警惕，及时向楼宇协会、互联网金融协会反馈可疑企业，三方通过信息互通、外围核查，共同使风险防范关卡前移。
　　三是建立稳妥有序的处置机制。对于已经明确的风险企业，参约楼宇在楼宇协会和互联网金融协会的指导下，协同应对，化解楼宇金融风险，同时楼宇协会和互联网金融协会积极协调资源，协助参约楼宇尽快恢复正常运营。
　　此次创设“楼宇公约”新模式具有重要的现实意义，据上海陆家嘴管理局局长王华介绍，发挥楼宇业主“近水楼台先得月”的优势，推动楼宇业主自治自律，第一时间发现问题、报告问题，协同有关部门有效解决入驻企业遇到的各类实际困难，将为陆家嘴区域金融行业创造良好的营商环境，让企业安心经营和发展，切实为金融创新发展奠定坚实基础；也必将对政府公共治理机制做进一步的补充和优化；更是一次业界力量合力的成果，是陆家嘴金融城“业界共治”理念的直接体现，借助陆家嘴金融贸易区楼宇协会、陆家嘴互联网金融协会等行业协会的力量，讲进一步完善楼宇公约签订之后的公共服务和共治平台。
　　据悉，此次参与首批“陆家嘴楼宇公约”签约的商办楼宇，基本覆盖整个陆家嘴金融贸易区中心区。通过签约的形式加强事中事后监管和楼宇业主自治自律，进一步提升优质企业的楼宇服务感受度和营商环境体验满意度，实现楼宇得成长、企业得机会、区域得发展的“三赢”。(完)",媒体新闻,11095868872020369952_0_590223,上海陆家嘴金融城签署“楼宇公约”防范金融风险,陆家嘴,1
"　　每经记者 曾剑 每经编辑 叶峰
　　陆家嘴(行情600663,诊股)7月29日发布2017年半年度报告，上半年，公司实现营业收入56.23亿元，同比增长25%。其中房地产(行情000736,诊股)业务收入49.75亿元；金融业务收入6.48亿元。上半年实现归属上市公司净利润11.54亿元，与2016年同期相比增加18.39%。
　　股东层面最大变化在于：证金公司持股从1季度末的3962.25万股（持股比例1.18%）增至7494.93万股（持股比例为2.23%）。《每日经济新闻》记者注意到，证金公司于2015年三季度进驻陆家嘴，持股数量为5041.12万股，持股比例为2.70%。此后，证金公司一度减持了不少持股。不过，自2016年二季度以来，证金公司一直持续增持陆家嘴股份。对于2017年下半年的经营工作计划，陆家嘴表示，公司将确保年内实现竣工面积110万平方米，确保220万平方米在建项目稳步推进。",媒体新闻,2657139880442959012_0_491374,证金公司持续增持陆家嘴,陆家嘴,1
"7月28日，上海陆家嘴金融贸易区开发股份有限公司发布2017 年半年度报告披露，上半年，该公司实现归属上市公司净利润11.54亿元，与2016年同期相比增加18.39%，其中基本每股收益0.3432元，同比增加18.39%。 
公告显示，2017年上半年陆家嘴累计合同销售面积2205平方米，合同金额0.94亿元，在售项目的整体去化率为100%。该公司实现各类房产销售收入及现金流入合计5.41亿元，其中住宅物业实现销售收入3.93亿元，主要来自于陆家嘴红醍半岛、天津河庭二期尾盘销售及回款，以及其它零星存量房的销售。
同时，根据公告，2017年上半年，由于该公司房地产销售、租赁业务及金融业务收入均比上年同期增加，公司录得上半年营业收入56.23亿元，比上年同期增加25%。其中，房地产业务收入49.75亿元，金融业务收入6.48亿元。而具体构成方面，房地产销售占比53%，房地产租赁占比26%，酒店业占比1%，物业管理占比8%，金融业收入占比12%。
观点地产新媒体查阅了解，陆家嘴上半年已初步完成“地产+金融”双轮驱动的战略构建，“以房地产为核心，以金融和商业零售为两翼，以陆家嘴、天津、苏州为三城”的“一核两翼三城”发展格局正在逐步形成。",媒体新闻,17562264545619516194_0_344212,陆家嘴2017年中期净利润11.54亿元 按年增长18%,陆家嘴,1
"7月28日，上海陆家嘴金融贸易区开发股份有限公司发布的2017年第二季度公司房地产业务主要经营数据显示，1-6月，该公司住宅物业销售签约面积2205平方米，合同金额9408万元，实现住宅销售现金流入3.93亿元，同比增长20%。
根据公告内容，至二季度末，该公司持有的主要在营物业总建筑面积达164万平方米，其中甲级写字楼的总建筑面积115万平方米，高品质研发楼的总建筑面积21万平方米，商铺物业的总建筑面积超10万平方米，住宅物业的总建筑面积9万平方米，酒店物业的总建筑面积8万平方米。1-6月，实现房地产租赁相关现金流入16.3亿元，同比增加31%。
同时，至二季度末，该公司在售的住宅项目主要为上海和天津地区的尾盘及零星存量房源，以在售面积为基础计算的去化率达100%。
观点地产新媒体查阅获悉，该公司于二季度新增房地产项目地块1个。2017年5月2日，其下属子公司竞得的苏州绿岸房地产开发有限公司95%股权项目完成交割，从而持有苏地2008-G-6号地块上的17块国有建设用地使用权，该项目土地使用权面积为659,514.6平方米，项目规划总建筑面积1,084,101.74平方米，主要规划有住宅、商业、金融、教育等多种业态。",媒体新闻,3567835421131592432_0_344212,陆家嘴1-6月住宅销售回款3.93亿 同比增长20%,陆家嘴,1
