"　　近半年，A股不少公司都意淫将明星资本化，明星光环笼罩，自带流量，韭菜容易买账。数钱的感觉当然哈皮，霸特，如果玩砸了该如何是好啊？
　　这个答案，东方网络(行情002175,诊股)会告诉你。
    一、明星大合唱
　　2016年5月16日，东方网络发布关于筹划重大资产重组的停牌公告。2016年7月6日，东方网络公告中披露本次重大资产重组的标的资产为山东嘉博文化发展有限公司（以下简称“嘉博文化”）和上海华桦文化传媒有限公司（以下简称“华桦文化”），拟通过发行股份及支付现金购买标的公司。
　　2016年9月27日，公告中披露重大资产重组的标的有稍许变化，增加为嘉博文化、华桦文化以及北京元纯传媒有限公司（以下简称“元纯传媒”），三家公司均拟通过发行股份及支付现金购买标的公司100%的股份。
　　嘉博文化拟收购价格为16.29亿元，溢价1053.94%，承诺收购完成后，2016年、2017年和2018年三年完成业绩不低于12000万元、15000万元和19500万元。
　　华桦文化拟收购价格为10.92亿元，溢价960.58%，承诺收购完成后，2016年、2017年和2018年三年完成业绩不低于8000万元、10400万元和13000万元。
　　元纯文化拟收购价格为8.15亿元，溢价200025.97%，承诺收购完成后，2016年、2017年和2018年三年完成业绩不低于6000万元、7800万元和10000万元。
　　溢价这么多说到底是为了明星们的一张脸，总价35.36亿元收购的三家公司确是星光熠熠，嘉博文化的股东中出现了许晴、陈建斌、王学兵、蒋勤勤等人，华桦文化与嘉博文化拥有共同股东上海易晴投资有限公司与深圳新视界宏富投资基金合伙企业。
　　而元纯传媒对外投资的8家公司主要分布在文化、影视传媒领域，且成立时间大都不超过两年，也就是说大部分子公司都成立于收购前夕，且2014年、2015年的净利润都是负数。
　　东方网络肯花这么多银子收购这么几个亏货，当然不是冲着公司来的，人家稀罕的，是那几张明星脸。这年头，公司本身不值钱，但是明星的脸，值钱。
    二、迫不得已的“减肥”
　　看见东方网络与众明星眉来眼去跃跃欲搞的样子，监管层看不下去了。2016年11月14日，深交所下发了问询函，对收购的合理性进行问询。
　　注意了，这是一个很尴尬的时期，大约同期，赵薇出手以30.6亿元的天价收购万家文化(行情600576,诊股)（600576.SH）29.135%的股份，其中自有资金6000万元，其余30亿元全部来自借款（借款方就不探究了，毕竟过得不太太平），50倍杠杆的生意简直是空手套白狼，上交所连发17道问询函，一时闹得满城风雨，被迫走到台前的某系族更是生存状况堪忧。明星资本化一时成了过街老鼠人人喊打。
　　在监管趋严的大环境下，东方网络的收购案也不顺遂，2017年4月8日，东方网络修改了重大资产重组的收购标的，放弃收购嘉博文化100%股权。
　　7月10日，东方网络拟以自有及自筹资金 28，050.00 万元收购华桦文化51%的股权，拟以自有及自筹资金 26，354.00 万元收购北京元纯40%的股权。
　　华桦文化承诺2017 年度、 2018 年度及 2019 年度实现的经审计扣除非经常性损益后归属于母公司股东的净利润分别不低于人民币5000 万元、5400 万元、5900 万元。
　　北京元纯承诺媒 2017年度、2018 年度及 2019 年度实现的经审计扣除非经常性损益后归属于母公司股东的净利润分别不低于人民币 6500 万元、8400 万元及 11300 万元。
　　东方网络原本想搞一出明星大合唱，谁知道没遇上好时节，最终搞成了一出单口相声。
    三、股价大跳水
　　吃饭防噎，走路防跌，收购也得防玩儿砸了。想当初风云君（ID:mvlegend）不得不去卖血，就是因为买的某产业家股票重组失败了。最近看着东方网络股价大跳水，风云君就心疼小绿蔬菜们。
　　7月13日，东方网络复牌，当头四棒，就来了四个跌停。
　　7月13日，收盘价为14.74元/股，跌幅为10.01%；
　　7月14日，收盘价为13.27元/股，跌幅为9.97%；
　　7月17日，收盘价为11.94元/股，跌幅为10.02%；
　　7月18日，收盘价为10.75元/股，跌幅为9.97%
　　……
　　跌起来也是没完没了，一直绿了下来。截至7月18日收盘，东方网络已经由3月8日的收盘价16.38元/股，下跌了6.14元/股，一不小心市值蒸发了46.28亿元。
    四、大股东出手相救
　　东方网络实控人彭朋也是资本玩家，早在2011年2月11日，彭朋通过深圳证券交易所大宗交易系统出售股份410万股，占公司总股本的4.80%，成交均价为13.28元，成交金额为5444.80万元，先拿走一笔。
　　当然那个时候东方网络还叫做广陆数测，主营业务为机床工具大行业的产业主导方向和坚持电子数显量具量仪产品，2015年7月13日，广陆数测更名为东方网络，增加了影视、动漫、游戏等相关业务。
　　亲儿子的亲爸爸，总不能让股价这么一直跌下去。
　　7月18日，彭朋承诺在未来一年（即2017年7月18日至2018年7月18日）不减持其所持有的通过认购公司2014年重大资产重组配套融资所获得的股份。截至本公告日，彭朋先生持有公司股票 91，233，383 股，占公司总股本比例为 12.10%。本次承诺不减持的股份数量为 26，375，107 股，占公司总股本的比例为 3.50%。
　　7月20日，彭朋于2017年7月18日以自有资金通过深圳证券交易所交易系统合计增持公司股份 700000 股，交易均价 10.753 元/股。本次增持过后，彭朋持有东方网络12.20%的股份。
　　承诺不减持继而增持，都没能拉回股价，东方网络从暴跌模式改成阴跌模式。
　　不过也没事儿，年中考就要到了，真能实现业绩钻天猴式增长，股价没准能回来。风云君还是指望价值投资的，毕竟不想再卖一次血了。",媒体新闻,17465560988788830871_0_55423,东方网络：上市公司炒作“明星概念”引发的血案,东方网络,1
"　　■本报见习记者 余若晰 
　　
　　7月19日晚间，东方网络发布公告称，近日，公司收到控股股东、实际控制人彭朋先生的通知，彭朋先生基于基于对公司未来持续稳定发展的信心，以及对公司价值的认可，并看好国内资本市场长期投资的价值。
　　为提振市场信心，积极维护广大股东特别是中小股东利益，公司控股股东、实控人彭朋于7月18日以自有资金通过深圳证券交易所交易系统合计增持公司股份70万股, 增持比例0.1%，交易均价为每股10.753元，估算成交额752.5万元。
　　本次增持前，彭朋先生持有公司股份9123万股，占公司总股本的12.10%;本次增持后，彭朋先生持有公司股份9193万股，占公司总股本12.20%。本次增持前后，彭朋先生都是东方网络的董事长以及第一大股东。
　　此外，彭朋先生计划于六个月内，继续增持公司股份，累计总金额高于1000万元。增持所需的资金来 源为自有资金或自筹资金。彭朋先生将在本次增持计划期间视市场情况以法律法规许可的方式继续增持公司股份。
　　东方网络表示，本次股份增持计划的实施不会导致公司股权分布不具备上市条件，不影响公司上市地位，也不会导致公司控股股东、实际控制人发生变化。
　　与此同时，彭朋先生还承诺，在增持股票完成后六个月内不减持本次所增持的股票。
　　东方网络近日披露终止重大资产重组计划，转以现金收购方式购买标的公司股权并于13日复牌。",媒体新闻,12802410005785047049_0_1972,"东方网络获实控人增持
计划不低于1000万元",东方网络,1
证券时报网（www.stcn.com）07月19日讯东方网络(002175)7月19日晚间公告，为提振市场信心，公司实控人彭朋昨日增持公司股份70万股，增持比例0.1%，增持均价10.75元/股，估算成交额752.5万元。此外，彭朋计划于六个月内，增持公司股份，累计总金额高于1000万元。东方网络近日披露终止重大资产重组计划，转以现金收购方式购买标的公司股权并于13日复牌，复牌后至今日，公司股票累计跌幅约37%。,媒体新闻,1242484056825877569_0_65984,东方网络：获实控人小幅增持 计划以不低于1000万元继续增持,东方网络,1
"　　证券时报网（www.stcn.com）07月18日讯
　　交易所盘后数据显示，东方网络(行情002175,诊股)、同花顺(行情300033,诊股)、拓维信息(行情002261,诊股)、同有科技(行情300302,诊股)机构席位大举卖出，东方网络、同花顺、拓维信息净卖出金额在1亿元以上。以同花顺为例，五机构席位卖出1.59亿元，一机构席位买入2950万元，机构席位合计净卖出1.29亿元。另外中天金融(行情000540,诊股)、东诚药业(行情002675,诊股)、紫光国芯(行情002049,诊股)机构净卖出金额在3000万以上。
　　（证券时报网快讯中心）",媒体新闻,2695011508701428964_0_54757,机构席位大举卖出东方网络、同花顺,东方网络,1
"  
昨日晚间，东方网络（002175）发布公告称，公司于今日和河北广电网络集团保定有限公司（以下简称“保定广电”）达成战略伙伴关系，双方通过签署战略合作协议，拟就保定市无线城市运营业务展开合作。
公告显示，双方拟成立合资公司，本着优势互补的原则，在无线城市运营中进行全方位的合作，对保定无线城市进行运营。双方将共同进行无线城市和门户App的总体规划和顶层设计。
此次和东方网络合作，双方希望能够汇合双方优势，在内容和渠道方面进行深入合作，希望凭借保定广电拥有保定无线城市物理网络以及东方网络在商业运营、公共服务应用、大数据资源开发整合等方面所具备的经验和优势，更好地推动保定智慧城市建设和公共文化服务建设。
据公开资料显示，2016年10月份保定市正式确定实施《保定市无线局域网建设方案》，今年国家公布设立雄安新区的战略部署后，保定市在无线城市领域的建设进度逐步加快，目前已经完成了对主城区无线区域网的覆盖。该项目涵盖“基层综合文化服务中心平台、应急指挥体系及应急广播平台、综合视讯平台平台、教育扶贫及教育资源均衡平台”等四大主要项目，不仅仅是智慧城市建设的重要内容，同时也是信息惠民、信息兴业、信息强政的重要措施和手段。
东方网络是国内知名的文化传媒行业上市公司。近年来，公司通过大力发展“沙发院线”内容聚合平台、推广“超级娱乐家”品牌、推出“超鱼TV”APP、参股国广东方等方式，不断加快在广电系统、电信网络及移动互联网的渠道及平台建设，积累了丰富的运营经验。目前，公司通过多年的布局和发展，已经在线上端的广电系统、电信网络、移动互联网及其他新媒体领域构建了全方位的数字发布网络，并在线下端大力发展文旅、智能电视硬件及VR体验业务，构建起线上线下联动的、多层次立体式的发布渠道。
此次东方网络与保定广电达成合作，意味着东方网络在传媒渠道业务再下一城，既去年12月携手国广东方开展手机电视业务后，东方网络将首次进军无线城市运营项目，为接下来在京津冀地区的业务布局奠定坚实基础。",媒体新闻,1962413855834162762_0_156958,东方网络与保定广电达成合作 移动互联领域又下一城,东方网络,1
"　　金融界网站讯 7月18日， 东方网络( 002175,诊股)再度跌停，自7月13日复牌以来，东方网络股价已连续4个交易日一字跌停。
　　公司昨日晚间发布股价异动公告称，目前经营情况正常，内外部经营环境未发生重大变化，不存在应披露而未披露的重大事项或处于筹划阶段的重大事项。注：东方网络于今年3月9日起停牌，公司7月10日早间公告，公司决定将发行股份及支付现金购买资产并募集配套资金变更为现金收购华桦文化及元纯传媒的部分股权。
　　7月10日早间，东方网络发布公告称，拟以自有及自筹资金2.8亿元收购上海华桦文化传媒有限公司（下称“华桦文化”）总计51%的股权，拟以自有及自筹资金2.64亿元收购北京元纯传媒有限公司（下称“元纯传媒”）总计40%的股权。上述交易完成后，华桦文化将成为上市公司的控股子公司，元纯传媒将成为上市公司的参股公司。
　　去年11月，东方网络曾经宣布，计划以发行股份及支付现金相结合方式购买嘉博文化、华桦文化、元纯传媒三家公司的100%股权，意在积累影视文化产业上游资源。根据最新发布的公告，公司拟用现金收购的方式，分别收购华桦文化以及元纯传媒两家公司51%和40%的股权。",媒体新闻,14710156578113544976_0_602731,东方网络连续4个交易日一字跌停,东方网络,1
"　　证券时报网（www.stcn.com）07月17日讯
　　自7月13日复牌以来，东方网络(行情002175,诊股)股价已连续3个交易日一字跌停，公司今晚发布股价异动公告称，目前经营情况正常，内外部经营环境未发生重大变化，不存在应披露而未披露的重大事项或处于筹划阶段的重大事项。注：东方网络于今年3月9日起停牌，公司7月10日早间公告，公司决定将发行股份及支付现金购买资产并募集配套资金变更为现金收购华桦文化及元纯传媒的部分股权。
　　（证券时报·e公司）",媒体新闻,9775592252778925304_0_55423,东方网络连续三日一字跌停 无应披露而未披露的重大事项,东方网络,1
"　　东方网络重组终止+限售解禁 东方网络跌停
　　公司决定将发行股份及支付现金购买资产并募集配套资金变更为现金收购华桦文化及元纯传媒的部分股权。公司于2017年7月9日召开董事会通过关于终止发行股份及支付现金购买资产并募集配套资金事项改为现金收购的相关议案。另外，07-10解禁2637.51万股，占总股本比例3.50%，占流通股比例5.10%。
　　公司战略转型进入文化传媒领域，成为国内快速成长的融合媒体内容增值服务商。公司先后收购了乾坤时代、东方华尚、水木动画等国内一线传媒文化公司，不断加强文化传媒主业，致力于成为国内最大、世界最有影响力的多元化的中国文化传播公司。
　　二级市场走势：该股今日大幅下跌，资金出逃明显，短线注意风险。　　南方财富网微信号：南财",媒体新闻,4898138562674880696_0_322943,东方网络重组终止+限售解禁 东方网络跌停,东方网络,1
"　　东方网络(行情002175,诊股)近日公告，公司决定将以现金收购华桦文化及元纯传媒两家公司分别51%和40%的股权，此前，公司原筹划以发行股份及支付现金的形式购买上海华桦文化传媒有限公司之100%股权及北京元纯传媒有限公司之100%股权并募集配套资金。交易方案调整后，上市公司以现金收购标的公司部分股权的金额未达到重大资产重组的标准，本次交易不构成上市公司重大资产重组。
　　公告显示，通过本次交易，上市公司将进一步完善其在文化传媒领域的产业布局，加速其在内容端的拓展，并激发内容资源与公司其他业务板块的协同效应。华桦文化和元纯传媒两家公司均处于产业链上游，具备丰富的IP资源和内容积累，上市公司通过收购或参股该等标的公司将进一步丰富其在电影、电视剧及电视节目的内容储备。同时，借助在渠道端、实体端近年来积累的优势，上市公司将通过本次交易进一步贯彻“内容+渠道”、“线上+线下”的协同发展，实现内容端与渠道端、文旅实体投资的相互促进，并能够极大程度上增加上市公司在文化传媒领域的竞争力。
　　与此同时，标的公司也将依托于上市公司在资源、渠道、平台、实体投资方面的优势快速推进自身业务的发展，进一步提升内容产品的综合开发价值，深度挖掘IP沉淀价值及复用潜力，最大限度上发挥本次交易带来的协同效应，并通过优异的业务盈利能力为上市公司股东带来丰厚的业绩回报。
　　据公开资料，东方网络主要从事数字电视运营、IP综合开发、影视内容投资制作及影视版权的采购与分销、动漫制作发行、文化旅游业务的投资及开发等业务，目前已拥有较为稳定的盈利能力，在内容、渠道、平台、用户、线下实体等方面均已形成一定的影响力。公司希望通过本次交易，引入在影视内容制作方面有优势的优质资产，进一步强化内容端实力，同时激发各业务板块的协同价值，更好地实现公司主营业务成长，保障股东的利益。
　　如果交易顺利完成，华桦文化将成为上市公司控股子公司，元纯传媒将成为上市公司的参股公司。同时，通过标的公司业务与上市公司原有业务的整合，激发各业务板块协同效应，创造新的业务增长点和盈利点，实现主营业务的加速发展，上市公司的竞争实力和盈利能力将得到显著增强。",媒体新闻,5159269079007158612_0_55423,东方网络拟收2家公司股权 望“内容”+“渠道”联合发力,东方网络,1
"　　全景网7月12日讯   东方网络（002175）关于终止重大资产重组改为现金收购说明会周三上午在全景·路演天下举行，公司董事长彭朋在路演中介绍，随着国民文化消费支持的提高以及消费升级到来，公司正积极推进主题乐园项目在各地的落地。目前，公司在贵阳、温州等地的项目都已经进入在建阶段，接下来计划在今年争取动工2-3个新项目。
　　此外，彭朋表示，5月5日，石家庄市委、市政府领导曾经赴东方网络考察交流。（全景网）
　　更多详细资讯，请关注全景·路演天下：东方网络关于终止重大资产重组改为现金收购说明会
　　活动网址：http://rs.p5w.net/roadshowLive/index.shtml?roadshowId=0001C7733B7A17F5451BAEE56186DA34B5AF",媒体新闻,10041297357401640724_0_590067,[路演]东方网络：贵阳温州等地项目进入在建阶段,东方网络,1
