"　　南京港地处长江与东部沿海“T”型经济发展战略带结合部，具有承启东西、贯通南北的区位优势，是长江中下游的重要枢纽。2016年，南京港完成货物吞吐量超过一亿吨，成为长江沿线第一家突破亿吨的港口企业，集装箱吞吐量也突破了300万标箱。
　　杨联宏告诉记者，南京港（集团）有限公司将通过大力打造“中亚、中欧班列”黄金干线，充分发挥南京港“零距离”对接“一带一路”和“长江经济带”国家战略实施的优势，为区域和流域经济发展贡献自己的力量。
　　杨联宏介绍说，“南京-中亚”铁路集装箱班列自2014年8月7日开通以来，迅速在国际国内市场形成了良好反响，南京港铁水联运“零公里--无缝对接”比较优势凸现，通过南京发往中亚的集装箱量呈现爆发式增长态势，年均增幅达到了300%以上。2017年1月至5月，南京港共完成了36列1804车的发运，是2014年总发运量的3.5倍。
　　据记者了解，南京港是长江中下游地区唯一实现水铁联运无缝对接的港口，能够快速地将京津冀、两广、江浙沪等沿海各地货物发往中亚及欧洲等国。
　　以2016年6月29日成功开通的“南京-莫斯科”国际班列为例，从南京出发经满洲里口岸出境，途经新西伯利亚等多个俄罗斯远东城镇，全程约1万公里。
　　相对于其他国际物流方式，“南京-莫斯科”国际班列只需要15天即可到达莫斯科，比传统方式节省10天左右。运输成本上，减少了陆运铁路和水路直接短驳成本，水运上减少了中间港的中转环节，从而大幅降低了货物运输物流成本。南京港国际班列为“一带一路”沿岸国家和地区进出口贸易企业提供了便利，也正逐步成为“丝绸之路经济带”上名副其实的“黄金干线”。
　　江苏省环保厅陈志彭副厅长认为，“将水水连城，水陆联运统筹起来，会在长江经济带的交通运输上发挥更好的效益作用。”南京港正在长江经济带区域发展中大放异彩。
　　以南京港为支点的区域港口群发展有了新的阶段，南京港与泸州、合肥、马鞍山、淮安等港口建立了区域港口群合作的平台。
　　据记者了解，南京港与长江下游七家港口企业共同发起建立协调例会制度，对接长江上游重庆、云南、贵州、四川等省市，对接东部海港合作推动江海联运服务中心建设，有助于更好地服务区域和流域经济发展，形成上中下游良性互动发展格局。另外，南京港还在长江沿线建立若干个办事处，和当地企业组建物流公司打通新的物流通道，把物资能够更好的通过南京港转运到沿海或者国外。目前，南京港开辟了近洋航线直通日本、韩国，今后还会开辟通往台湾海峡和东南亚的航线。
　　与此同时，南京港紧扣长江经济带绿色生态发展理念。节能灯具、太阳能、风能、变频调速技术等一大批环保节能技术在南京港得到了广泛的推广应用，目前集团已建成岸电设施18套，总容量达到3000千瓦，成为省内目前投入岸电设备最多的港口码头，预计每年可节约燃料1800吨，减排氮氧化物104.8吨，二氧化硫57.8吨，细颗粒物4.8吨。同时，南京港集团在2009年开始着手研究“油改电”技术，对原有全部场桥进行改造，改造后年节约能源37%，节约成本76%，全年减少二氧化碳排放2220吨，减少二氧化硫排放7.55吨。来源：中青在线",媒体新闻,6236766843075776863_0_29488,【共舞长江经济带】通江连海，南京港打造服务“一带一路”和长江经济带区域发展重要支点-中青在线,南京港,1
"　　江苏拟培育特大型港航集团南京港涨停
　　江苏省政府日前印发了《关于深化沿江沿海港口一体化改革的意见》，通过3-5年的努力，基本形成具有区域枢纽功能的航运物流中心，培育国内外具有影响力的特大型港航集团。
　　南京是华东地区重要的交通枢纽城市和物流中心，受南京长江大桥通航净空高度的限制，南京港成为万吨级海轮进入长江后能靠泊的最远的港口，使公司具备比其他竞争港口更优越的集疏运条件。
　　二级市场走势：该股今日强势上涨，后市有望继续冲高。　　南方财富网微信号：南财",媒体新闻,10281356024596592760_0_322943,江苏拟培育特大型港航集团 南京港涨停,南京港,1
"　　证券时报网（www.stcn.com）07月06日讯
　　今日早盘，港口水运板块快速走强，截止发稿，南京港(行情002040,诊股)涨8.73%，盘中一度涨停，连云港(行情601008,诊股)涨4.78%，北部湾港(行情000582,诊股)，广州港(行情601228,诊股)，大连港(行情601880,诊股)，锦州港(行情600190,诊股)，中远海特(行情600428,诊股)，天津港(行情600717,诊股)，厦门港务(行情000905,诊股)等股跟风上涨。
　　消息上，江苏省政府日前印发了《关于深化沿江沿海港口一体化改革的意见》，通过3－5年的努力，基本形成具有区域枢纽功能的航运物流中心，培育国内外具有影响力的特大型港航集团。
　　（证券时报网快讯中心）",媒体新闻,7772428906227983581_0_54757,港口水运板块快速走强 南京港涨8.73%,南京港,1
"　　中国证券网讯 6日早盘，港口股直线拉升，截至发稿，南京港(行情002040,诊股)大涨8.90%，连云港(行情601008,诊股)涨5.48%，北部湾港(行情000582,诊股)、大连港(行情601880,诊股)、广州港(行情601228,诊股)、厦门港务(行情000905,诊股)等个股纷纷拉升。",媒体新闻,10972543055430247960_0_54757,港口股直线拉升 南京港大涨近9%,南京港,1
"　　金融界网站讯 7月6日早盘， 南京港( 002040,诊股)股价涨停，并带动港口股异动拉升。
　　消息面上，江苏省政府日前印发了《关于深化沿江沿海港口一体化改革的意见》，通过3-5年的努力，基本形成具有区域枢纽功能的航运物流中心，培育国内外具有影响力的特大型港航集团。",媒体新闻,7645979492670240594_0_602731,江苏拟培育特大型港航集团 南京港涨停,南京港,1
"<IMAGE SRC=""http://image.sinajs.cn/newchart/png/min/new_min/n/sz300014.png"" >
热点栏目
资金流向千股千评个股诊断最新评级模拟交易客户端
　　新浪财经讯 7月6日消息，今日早盘，锂电池板块活跃，截止发稿，亿纬锂能涨超6%，双杰电气、雅化集团均涨超5%。",媒体新闻,15828534252468065237_0_104928,快讯：锂电池板块活跃 亿纬锂能涨超6%,南京港,1
"<IMAGE SRC=""http://finance.workercn.cn/html/files/2017-07/05/20170705131605090605239.png"" >
　　南京港龙潭港区
　　中工网讯（记者 陈思南）7月4日，“共舞长江经济带——探访长江经济带区域协同生态发展之路”网络主题活动记者一行走进南京龙潭港区，近距离感受这区域航运物流中心。
<IMAGE SRC=""http://finance.workercn.cn/html/files/2017-07/05/20170705131627732744474.png"" >
　　岸上的集装箱
　　南京港是长三角唯一实现集装箱铁路与水路无缝对接的港口，国家实施12.5米深水航道延伸至南京工程，南京一跃成为最深入内陆的国际型深水海港。
--------------------------------------
--------------------------------------
<IMAGE SRC=""http://finance.workercn.cn/html/files/2017-07/05/20170705131638507678175.png"" >
　　停靠的船舶
　　龙潭港整个岸线长8公里，是整个长江港区当中规模最大、吞吐能力最强、辐射能力最强的核心港区。“十二五”期间，随着长江-12.5米深水航道二期工程的建设，龙潭港区5万吨级海轮可常年通航，10万吨级海轮可乘潮进港，为龙潭港区打造江海联运的枢纽经济国际物流平台、临港产业基地打下坚实基础。
--------------------------------------
<IMAGE SRC=""http://finance.workercn.cn/html/files/2017-07/05/20170705131646645526546.png"" >
　　南京港集团有限公司副总经理杨联宏在介绍南京港情况
　　熟悉南京的人们还记得，之前南京港主要的码头其中在主城区，而现在都建在离城区比较远的地方。南京港龙潭港区是中国是由中国港口协会命名的第一批“四星级绿色港口”。港口无论是在老港口搬迁、技术升级、产品改进方面，都遵循着绿色循环、低碳环保的原则，大力发展码头能源的油改电、油改气的工程，充分体现了南京政府对于建立绿色码头的决心。
--------------------------------------
<IMAGE SRC=""http://finance.workercn.cn/html/files/2017-07/05/20170705131654869382380.png"" >
　　龙潭港区分布图
　　",媒体新闻,4513338433160909214_0_492727,【共舞长江经济带】四星级绿色港口——南京港龙潭港区,南京港,1
"摘要
【江苏省港口集团成立 南京港连云港等并入】5月22日，江苏省港口集团有限公司在南京正式成立。此次纳入港口集团有南京港、连云港、苏州港、南通港、镇江港等，盐城港和无锡（江阴）港尚未纳入。力争通过3至5年的努力，使省港口集团达到智慧型、国际化港口应当具备的条件和综合服务水平，做强上海国际航运中心北翼港口群，促进长三角一体化和江苏经济社会转型发展。（中国证券网）
　　5月22日，江苏省港口集团有限公司在南京正式成立，南京、连云港等沿江沿海8市国有港口企业整合并入。
　　江苏省港口集团的定位是实施江苏沿江沿海港口、岸线以及相关资源一体化整合的重要平台，沿江沿海主要港口、省级航运企业和临港产业等领域的国有资本投资运营主体，具有区域枢纽功能的重要港口集群，全省航运服务中心、大宗物资储运交易中心和现代物流中心。力争通过3至5年的努力，使省港口集团达到智慧型、国际化港口应当具备的条件和综合服务水平，做强上海国际航运中心北翼港口群，促进长三角一体化和江苏经济社会转型发展。
　　江苏沿江沿海地区共布局10个港口，其中，连云港港、南京港、镇江港、苏州港、南通港为国家主要港口，扬州港、无锡(江阴)港、泰州港、常州港、盐城港为地区性重要港口。此次纳入港口集团有南京港、连云港、苏州港、南通港、镇江港等，盐城港和无锡(江阴)港尚未纳入。数据显示，2015年，纳入省港口集团的资产总额达987亿元；全集团集装箱吞吐量1235万标箱，占全省76.7%，列全国第七位；货物吞吐量6.94亿吨，占全省36.9%，居全国第二位。
　　据介绍，港口集团成立后，将坚持走生态优先、绿色发展之路，努力促进、引领全省沿江沿海地区经济转型升级，建设“扬子江城市群”，提升江苏作为“一带一路”和长江经济带交汇点的战略优势地位，同时继续深入推进全省港口和岸线资源整合进程，进一步提高规模效益和市场核心竞争力，着力打造全新的现代物流服务商，开创高端服务产业。
(责任编辑：DF350)",媒体新闻,9086551979922403067_0_60158,江苏省港口集团成立 南京港连云港等并入,南京港,1
"　　每经记者 查道坤 每经编辑 赵 桥
　　5月20日，南京港（002040，SZ）和连云港（601008，SH）双双发布公告称，筹划已久的江苏港口集团将在5月22日挂牌成立。江苏港口集团成立后，南京港（集团）55%股权将以折价入股方式进入江苏省港口集团。
　　此外，连云港港口集团持有上市公司连云港5.09亿股股份，占其股本总额的50.11%，该部分股权同样将以折价入股方式进入江苏省港口集团。
　　值得注意的是，江苏是继辽宁、河北、浙江、广西和海南之后，再次宣布组建港口集团的省份。在业内人士看来，江苏组建港口集团可以有效地避免同质化竞争，发挥规模效应，有利于对接“一带一路”的机遇。
　　连云港港口集团相关负责人鞠海涛在接受《每日经济新闻》记者采访时亦表示，“江苏港口集团的组建，实现了港口资源的整合并抱团发展，有利于壮大江苏港口实力，抢抓‘一带一路’带来的机遇。”
　　繁忙的南京港 图据视觉中国
　　●整合两大港口上市公司
　　今年3月，江苏省委、省政府提出，为加大江苏省沿江沿海港口整合力度，深化沿江沿海港口一体化改革要求，拟将江苏省沿江沿海各设区市国有港口集团或码头企业股权整合成立江苏省港口集团。
　　作为江苏港口的两大上市公司，南京港和连云港无疑是此次港口整合的两大重要港口。5月20日，南京港和连云港公告称，筹划已久的江苏港口集团将在5月22日挂牌成立。
　　根据公告内容，江苏省港口集团成立后，南京港（集团）55%股权将以折价入股方式进入江苏省港口集团，届时南京港（集团）将作为省港口集团控股企业进行管理。同样作为上市公司控股股东的连云港港口集团，持有连云港5.09亿股股份，占其股本总额的50.11%，该部分股权同样将以折价入股方式进入江苏省港口集团。在股权交割法定程序完成后，两上市公司控股股东均不会发生变化，但是实际控制人将变为江苏省国资委。
　　在此之前的5月12日，江苏省政府官网公布了《江苏省沿江沿海港口布局规划（2015~2030年）》（以下简称《规划》），被视为未来江苏省港口集团规划布局的风向标。
　　上述《规划》明确指出，从2015年到2030年，江苏省将采取分层次港口布局规划：规划省内港口形成以连云港、南京港、镇江港、苏州港、南通港为主要港口，扬州港、无锡（江阴）港、泰州港、常州港、盐城港为地区性重要港口，分工合作、协调发展的分层次发展格局。
　　其中，《规划》将连云港定位为“中哈物流中转基地、上合组织成员国出海口、东中西合作示范区和区域性国际枢纽港”。在集装箱运输方面，连云港作为沿陇海线地区集装箱运输的主要口岸，将发展成为集装箱运输的干线港；在外贸进口铁矿石方面，连云港作为沿陇海线外贸进口铁矿石的重要口岸，将布局20万吨级以上专业化矿石接卸码头。
　　而南京港则被定位为“区域性航运物流中心”。在集装箱运输方面，南京港作为支线港，将以发展近洋、内贸集装箱运输为主；在外贸进口铁矿石方面，南京港将以工程船接卸转运码头为主，布局7万吨级以下矿石接卸码头；在煤炭运输方面，南京港将以布局7万吨级及以下泊位为主；在商品汽车物流运输方面，南京港将布局商品汽车码头，辐射周边分销网络。
　　港口行业专家罗德明对《每日经济新闻》记者分析称，“以前连云港和南京港之间竞争非常激烈，新规划将南京港和连云港重新定位发挥各自优势，这也是成立港口集团的最大优势。”
　　●抢抓“一带一路”机遇
　　实际上，组建港口集团，江苏并不是第一个吃螃蟹的省份。在江苏之前，辽宁、河北、浙江、广西和海南已经宣布组建自己的港口集团。
　　罗德明表示，“与其他组建港口集团的省份不一样，江苏是同时拥有沿海和长江岸线两种不同港口资源的省份，并且这些港口还有民营企业参股，导致江苏港口资源整合存在一定的难度，所以江苏组建港口集团晚于其他省份。”
　　据了解，江苏港口的实力排在国内前列。2016年，江苏省港口累计完成货物吞吐量24.1亿吨，同比增长3.3%；规模以上港口共完成货物吞吐量21.6亿吨、外贸吞吐量4.5亿吨、集装箱吞吐量1621.6万标箱，分别同比增长3.7%、12%和1%。
　　其中，苏州港、连云港、南京港、南通港、镇江港、扬州港、泰州港、江阴港的货物吞吐量均超过1亿吨，是国内拥有最多亿吨大港的省份。
　　“除了南京港和连云港之外，其他包括南通港、泰州港等6个港口实力均较为强劲，这也导致了江苏港口之间同质化竞争非常激烈，组建港口集团后有利于差别化经营，避免同质化竞争，形成抱团发展的趋势。”罗德明说道。
　　值得注意的是，目前江苏已经有“一带一路”、长江经济带、苏南国家现代化示范区以及长三角区域一体化等多个国家战略。其中，“一带一路”在江苏被赋予了新定位，即利用“一带一路”建设及辐射带动沿线地区发展成为重要的开放门户、综合交通枢纽和国际商贸物流中心、产业合作创新区和人文交流深度融合区。
　　鞠海涛对《每日经济新闻》记者表示，“江苏港口集团的组建，实现了港口资源的整合并抱团发展，有利于壮大江苏港口实力，抢抓‘一带一路’带来的机遇。并且，连云港是‘一带一路’的出海口，港口集团成立之后，其他港口可以利用连云港在‘一带一路’出海方面的优势，对接‘一带一路’沿线国家，增强江苏港口的整体实力。”",媒体新闻,9201072863612998517_0_55423,江苏港口集团将挂牌成立  整合南京港、连云港对接“一带一路”,南京港,1
"　　中国证券网讯（记者 骆民） 南京港19日晚间公告，公司于2017年5月19日收到控股股东南京港（集团）有限公司转发的江苏省港口集团有限公司筹备组《关于成立江苏省港口集团有限公司涉及上市公司重大事项的通知》，根据通知，省港口集团计划于2017年5月22日在南京市挂牌成立。省港口集团成立后，南京港（集团）有限公司55%股权将以折价入股方式进入省港口集团，届时南京港（集团）有限公司将作为省港口集团控股企业进行管理。如上述事项得到相关监管机构批准，公司实际控制人将变为江苏省国资委。
商务合作|网站简介|网站地图|会员注册|诚聘英才|隐私保护|版权声明|上海证券报刊例
上海证券信息有限公司版权所有。本网站提供之资料或信息，仅供投资者参考，不构成投资建议。
Copyright 2014 Shanghai Stock Information Service Corp. All rights reserved.
联系电话：400-820-0277 地址：中国上海 浦东杨高南路1100号 E-MAIL:webmaster@cnstock.com
沪B2-20060328
<IMAGE SRC=""http://static.cnstock.com/article_2014/images/gs.gif"" >",媒体新闻,9449961429894724780_0_79300,南京港：江苏省港口集团有限公司将于5月22日挂牌,南京港,1
