"　　[摘要]
　　行业动态信息工业企业产出需求稳定服装类PPI温和上涨。
　　国家统计局最新数据显示，过去两年间中国工业企业利润总额累计同比变化与PPI同比变化趋势相近，两者经历了近一年半的增速上升周期后于今年年初起增速放缓，但目前工业企业利润累计同比与全部工业品PPI当月同比仍处于快速增长的阶段，分别大于20%和5%，体现出总量扩容。工业企业主营业务收入稳中有升，累计同比增长仍处于10%以上区间，体现出价格水平变动下消费者需求的稳定性。
　　国家统计局细分项目数据显示，衣着类PPI同比增速在过去两年间温和上涨，反映了服装制造企业向消费者的成本转嫁能力不断改善。2017年1-5月纺织业利润总额同比增长5.3%，增幅与1-4月持平，纺织服装、服饰业利润总额同比增长9.4%，较之前四个月有所提升。
　　李宁发力童装业务，将推新品牌“李宁YOUNG”。李宁公司在2018年春季订货会上透露将于2018年1月1日正式推出旗下自营童装品牌李宁YOUNG，预计明年店铺数量在500家左右，超过六成分布在二三线城市。李宁童装运营模式将在现有经销渠道基础上逐步转向零售模式。李宁YOUNG在规模较大的门店内还会开辟亲子核心区。电商也将成为该品牌的重要补充渠道。
　　爆款单品热卖推动优衣库6月份在日本本土市场销售继续反弹。优衣库6月同店销售增长主要受益于新的广告宣传、无钢圈胸围和男装Kando短裤等夏季产品的热销，其日本市场6月份销售收入同比增长3.8%，737间直营店实现4.1%的同店销售增长。其中主要受8.1%的客流量增长刺激，客单价则下降4.0%。
　　Gucci正式开通针对中国用户的在线销售服务。在Coach与Burberry之后，Gucci成为第三个在中国内地全方位开展电子商务活动的传统奢侈品品牌。Gucci为了更好的满足中国消费者需求，其在中国的电商平台基本实现了支付、配送的本地化。除了可以用传统的银行卡支付外，也支持支付宝、微信支付两种主流支付方式。通过提交邮件方式，消费者即使不注册成为会员，同样可以实现在线购物。该服务的上线距离品牌母公司——法国奢侈品集团KeringSA(KER.PA)开云集团在4月底一季度财报上首次宣布此事的时间仅两个月。",媒体新闻,16152368782875482963_0_589738,服装纺织：太平鸟推股权激励显增长信心 荐9股,太平鸟,1
"　　投资建议:公司品牌力较优、梯度良好,看好未来男装、童装的发展空间,考虑到股权激励考核标准较高,激励提升团队积极性以及对业绩的推动作用,调整公司盈利预测2017年至2019年EPS为0.95、1.38和1.74元。前期股价回调充分,以及2018-2019盈利预期提升,上调至买入-A评级,6个月目标价35元,相当二2017年-2019年29倍、20倍、和16倍的动态PE。
　　风险提示:1.行业消费复苏低于预期;2.公司终端销售低于预期;3.公司外延开店低于预期。",媒体新闻,2200768688701196988_0_590061,"太平鸟:股权激励提升团队积极性,高业绩标准彰显信心",太平鸟,1
"　　事件：公司发布限制性股票激励计划草案，计划拟授予限制性股票数量988.37万股，占总股本的2.08%，授予价格13.65元/股（现价50%）。业绩考核目标为2017/2018/2019年净利润分别不低于4.5/6.5/8.5亿元。公司将于7月5日复牌。
　　点评：
　　激励方案高业绩目标，虽显信心达标仍需努力。我们认为，此次方案设立的2018-19年业绩考核目标较高，虽充分彰显公司发展信心，仍需多方努力。若不考虑品牌外延并购，增长可能来源于：1.童装和乐町快速增长（预计太平鸟男装和女装保持10%左右的稳健增长。）；2.公司严控和压缩销售费用，销售费用率持续下降（2016年销售费用率34.88%）；3.存货减值影响有望于2018年弱化，减值损失稳中有降。2015年存货高企致库龄两年及以上产品的跌价损失较高（2.24亿元）；该因素恐仍将影响2017年净利润，而随着过季产品的跌价影响逐渐消化（过季一年以上的跌价准备占87%），预计到2018年影响有望弱化。
　　渠道结构均衡发展，商品优化成效初显。渠道方面，公司实行小区域、网格式的扁平化营销网络管理模式，目前整体渠道结构均衡（街边店/百货/购物中心/线上），其中购物中心渠道增长更快，2017年公司计划净增600家店（其中直营/加盟分别为150/450家），随着直营店收入比例增加、购物中心店崛起，品牌触达用户路径缩短，有助于培育品牌粘性。商品管理方面，公司启用智能商品系统，最大化门店产销率，提高售罄率（启用后终端平均售罄率同比提升8-10PCTs至70%-80%）；同时，通过中央云仓保证畅销款式能在最佳生命周期中完成销售。此外，基于对时尚趋势和消费者的充分理解，公司在设计上不断开展品牌跨界合作，包括国际知名设计师（Dior御用花艺师、Chanel合作等）、热门IP（小黄人）、国际品牌（百事合作款）等。
　　盈利预测：公司目前已经拥有多品牌矩阵，同时深谙时尚品牌营销和运营法则，全渠道均衡运营能力下男女装稳健发展、乐町和童装处于快速成长期。公司推出限制性股票激励，彰显对后续发展信心。考虑到2017年减值损失恐仍有影响，维持2017年净利润预测4.5亿元（yoy5.6%）；综合考虑2018年存货减值影响的弱化，以及激励费用（2018/19年分别约2331/1123万元），预测2018/19年净利润6.0/7.56亿元（yoy32.7%/26.2%）、对应EPS0.95/1.26/1.59元（考虑激励摊薄后为0.93/1.24/1.56元），现价对应2017/18年PE分别为30/23倍。维持“增持”评级。
　　风险提示。宏观经济疲软，消费低迷，影响终端销售表现。商品管理策略落地低于预期，去库存进展缓慢，由此带来存货跌价风险。初创品牌运营效果低于预期，亏损状态持续风险。",媒体新闻,14287589652652907186_0_590318,股票激励高增长显信心，达标仍需努力,太平鸟,1
"　　公司公告拟实施限制性股票计划，计划授予988.37万股，占总股本2.08%，授予价格为13.96（元/股），覆盖人数共412人，包括公司中层管理人员281人，核心业务人员131人。计划分三期解锁，解锁比例分别为30%/30%/40%，解禁条件要求2017/18/19年净利润分别不低于4.5/6.5/8.5亿元，与2016年4.3亿归母净利润相比，增幅分别为5%/52%/99%，2016-19年复合增速为26%。股权激励计划累计摊销总费用为5086.88万元，2017-20年分别摊销1236.39/2331.49/1123.35/395.65万元。
　　若公司在2017-19年按4.5/6.5/8.5亿元完成业绩承诺，三年的业绩增速分别为5%/44%/31%。其中2017年是公司进行调整的一年，新风格的产品逐渐获得市场认可，前期旧货逐步清理，我们认为公司新产品的市场接受度将有所提升，下半年销售状况或转好，全年收入有望实现小幅增长，完成业绩承诺概率高。预计2018年的增长由两方面原因形成：1）零售增速改善及费用控制；2）存货跌价计提减少。一方面，公司产品在泛95后消费群中影响力提升后零售将有望加速增长，带来收入端增长，同时2016年公司计提存货跌价2.01亿元，计提比例充分，我们预计2017年将继续保持计提比例，2018年计提数量将明显减少，2018年实现承诺可期。公司作为国内多品牌运作典范，有能力通过继续扩品牌增加新的增长点，中长期业绩将由现有品牌内生增长及新品牌扩张驱动。
　　作为中国中档时尚服饰领军企业，公司麾下品牌产品囊括男装、女装、童装多品类，核心主品牌PEACEBIRD女装和PEACEBIRD男装稳步发展，新兴品牌包括女装乐町LED’IN和童装品牌MiniPeace加速扩张，在此基础上，2013/2014年新创女装品牌MATERIALGIRL以及男装AMAZINGPEACE开拓细分消费者市场，实施公司梯度品牌战略。
　　公司深耕中国时尚文化，引领前沿设计，在过去2年中重点加强产品时尚感，将品牌重定位在泛95后消费人群，新的产品形象逐步吸引大量年轻消费者。此次限制性股票计划彰显公司对未来发展的信心，主品牌将持续经营稳健，同时不断实践自主开发新品牌能力。
　　盈利预测与估值。考虑到公司发展战略清晰，产品具备美誉度，我们保持17年业绩预测不变，上调2018-19年业绩至6.52/8.55亿元（原4.94/5.48亿元），EPS1.37/1.80元，考虑到公司品牌力强，我们给予2018E市盈率25X，略高于行业均值，目标价34.32元，“买入”评级。
　　风险提示。终端零售疲弱。",媒体新闻,16474283156906488598_0_590318,推限制性股权激励计划，未来三年高增长可期,太平鸟,1
"　　事件
　　公司公布2017年限制性股票激励计划（草案），拟授予的限制性股票988.37万股，约占公司股本总额47500万股的2.08%。
　　简评
　　绑定利益立足长远发展
　　此次限制性股票激励对象为中层管理人员和核心业务人员合计412人，授予价格为每股13.96元。限售期为自限制性股票授予登记日起12个月，限售期满后12月、24月、36月内可解除限售比例分别为30%、30%、40%。业绩考核目标为2017-2019年净利润分别不低于4.5亿、6.5亿、9.5亿元。此次业绩考核目标较高，随着去库存持续推进及库存减值充分计提，公司产品设计、渠道结构、供应链管理等不断优化，净利润率水平有望修复，同时，公司主品牌调整到位，新品牌陆续培育就绪，锋芒渐露。
　　继2011年成立禾乐投资员工持股平台后，此次股权激励覆盖高管和核心业务人员，以公司业绩和个人层面的双重考核办法绑定利益，有助于进一步推动激励到位，促进公司各品牌事业部长期健康发展。
　　多品牌助力收入增长，期间费用、过季存货拖累利润
　　公司2017Q1实现营业收入15.14亿元，同比增长11.47%；营业利润5727万元，同比下降23.22%；归母净利润2.52亿元，同比下降4.60%。公司采取多梯度、多品牌战略，各大品牌收入占比相对稳定。成熟品牌中，女装核心品牌经2016年设计调整，占比略降1.71PCT，但其收入在2017年一季度有所好转，同比增长6.59%，男装收入略增3.94%；新兴品牌乐町、Minipeace分别同比增长16.62%和41.40%；而以MaterialGirl为主的新兴品牌占比小升1.02PCT，收入仍保持87.82%的高速增长。同时，公司主要品牌毛利率继2016年保持稳健增长，贡献综合毛利率上升1.02PCT。
　　由于公司2016年扩品类、扩直营渠道等因素，2017年Q1销售费用和管理费用同比分别增长11.93%、14.55%至5.50亿元、1.05亿元，财务费用同比下降19.19%至618万元，影响相对较小，期间费用率与上年同期基本持平。但由于当期过季商品较去年同期增加较多，加之公司采取较为严格的存货跌价计提标准，资产减值损失大幅上涨58.06%至0.91亿元。受此影响，公司一季度归母净利润同比下降4.60%至2.52亿元。
　　去库存持续推进，多渠道稳步调整
　　近年来公司通过产品精准开发、提升新品产销率、电商处理过季商品等方式积极降低库存，2017年一季度存货余额14.14亿元，较期初下降12.77%，存货占流动资产比例也由2015年的50.30%下降到35.27%，公司预计2017H1库存将进一步改善。应收账款方面，本期期末大幅下降27.61%。存货与应收账款双双下降有望提高公司营运效率，也有助于公司小批量、多批次快反能力的发展。
　　线下渠道方面，公司进一步对直营店、加盟店和联营店进行管理和调整，2017年Q1线下门店数量同比增长9.05%至4,145家，三类门店营业收入均实现增长。线上渠道持续稳步发展，收入占比、毛利率进一步提升至24.53%、46.36%，同比增加3.54PCT和1.20PCT。
　　投资建议
　　公司作为国内终端休闲服饰龙头公司，多品牌、多梯度、全品类布局成效渐显，后继发展有力。同时公司通过全渠道布局，降低库存，增强快速反馈能力和供应链柔性化水平。我们预计公司2017-2018年实现营业收入分别为72.42、79.68亿元，同比增长14.6%、10.0%，归母净利润4.59、6.50亿元，同比增长7.4%、41.6%，EPS分别为0.97、1.37，对应PE分别为29、21倍，我们认为太平鸟具有成为国内快时尚领军企业的潜质，长期看好，上调至“买入”评级。",媒体新闻,6603348806179491941_0_590318,去库存调渠道多品牌发力，激励落地业绩待展翼,太平鸟,1
"　　本文来自“中国服装网”，作者：yoyo
　　屡战屡败，屡败屡战，五年三次闯关IPO的服装品牌拉夏贝尔（06116）终在这个6月如愿以偿。而此时，同样聚焦大众时尚的服装品牌太平鸟已A股上市半年。
　　截止6月22日收盘，太平鸟总值127.06亿元，市盈率（TTM）达29.92。反观冲击A股不成后转投港股于2014年底上市的拉夏贝尔，目前总值48.85亿元，市盈率（TTM）为8.21，当天每股报收9.89港元，相较当初IPO发行价13.98港元已跌破近30%。
　　近年同被看好的大众时尚品牌，两者分别在两地上市后，无论是市值还是受行情走低、业绩下滑等因素影响的市场反应都有着明显反差。
　　都知道港股估值偏低，但彼时拉夏贝尔港股上市正值其业绩的高增长期。据国际知名机构欧睿发布的市场统计分析报告显示，2014年拉夏贝尔在大众休闲装前十品牌排名中位列第四，市场销售份额已超过Zara、H&M，而在女装前十品牌排名中，拉夏贝尔的市场份额一举超过优衣库，位列第二。
　　可从市场反应来看，拉夏贝尔先是新股认购遇冷，未获市场足额认购，接着股价在短暂攀高至20港元后很快回落，之后持续下跌，不到一年的时间就已跌破发行价。期间，即便拉夏贝尔出资1.2亿港元回购自有股权以证经营向好，但依然没有起到提振股价的效果。
　　到2016年7月，拉夏贝尔的股价一度跌至7港元。照此趋势，就资本逐利而言，且不论拉夏贝尔自身，其投资方就要先不答应，比如君联资本。
　　这个从2009年起就开始以资本的力量助推拉夏贝尔快速发展，令企业业绩连年以倍速递增，并凭借先后注资的近亿元一手促成其上市的前第二大股东，在今年4月以低于前一收盘日14.7%的价格，连续两日售空所持有的27.32%股权，清仓式套现4.64亿港元。
　　而于2013年6月以3亿元价格购得5%股份的高盛，在2014年拉夏贝尔初登H股时，企业估值几乎是相当，但随着股价的下挫，两年多来高盛的账面始终是浮亏。若非此次拉夏贝尔获批A股上市才令其转亏为盈，后续是否亦会赴君联资本后尘尚未可知。
　　再看太平鸟，上市首日即毫无悬念地封停在涨停板上，以每股30.67元的价格创下A股新股首日交易最高涨幅43.99%，并凭三个连续涨停令太平鸟总市值最高攀升至205亿元。
　　之后虽经历A股震荡下行及财报披露去年和今年一季度公司净利润连续下滑，到6月22日仍报收26.75元，对应总值127.06亿元，超过美邦服饰等多数服装上市公司规模。
　　对比两地市场的估值水平及流动性，A股市场的资本诱惑对于拉夏贝尔而言显然更胜一筹。仅就A股成功挂牌来说，今后它就有可能以更高的价格减持套现股份，以实现利益的最大化。这或解释了它为何如此执着地要回归A股。
　　而在招股书中拉夏贝尔亦明言，H股融资成本较高且面临外汇风险，拉夏贝尔目前的融资渠道及经营业务主要集中于境内市场，回归A股建立境内股权融资平台，将有助于其提高境内融资渠道的多样性，降低债务融资风险。
　　纵观拉夏贝尔近年来的发展，其无论是上市前还是上市后，融资后主要做的一件事就是开店。据其招股书披露，此次登陆上交所拟募资的16.4亿元中有15.56亿元是用于零售网络的扩建，打造新零售信息系统则计划投资8400万元。按照其规划，三年内将新建3000个线下零售网点，实现门店总数超1万家。
　　如此跑马圈地之势很容易让人拿其与以前也曾疯狂开店扩张的美邦服饰相比较，众所周知彼时本意气风发的美邦偏遭屋漏又下雨，终致业绩持续下滑关店频频，近年始终在摸索转型中。据其一季度财报显示，转型成效并不明显，企业净利润大跌近50%。
　　反观拉夏贝尔，2016年凭借着直营门店的快速扩张，它才能在服装业整体行情疲软之际，实现营收85.5亿元、净利润5.7亿元的逆势增长，但同样也因此才导致销售费用过高、毛利率下降、净利率下降，拖累净利润首次下滑13.07%。
　　分析其原因，在2012年到2016年间，拉夏贝尔的直营门店数从3340家猛增至8907家，这虽在一定程度上带动营收增长，但受这一时期服装行业整体销售不振及企业成本持续上涨等多重因素制约，营收增幅远不及门店扩张所产生的销售管理、租金等费用增幅高。
　　数据显示，在2015年度拉夏贝尔专卖网点增幅19.64%、收入增幅16.34%，到2016年度专卖网点增幅上升到39.74%、收入增幅虽亦升至27.92%，但仍不及网点增幅。租金方面，因门店几乎全部是直营，2016年仅租金费用就比2015年多支出3.35亿元，达27.72亿元。
　　同样的问题目前也反映在太平鸟。据4月其发布的上市首份年报显示，2016年度公司营收63.2亿元，同比增长7.06%;净利润4.28亿元，同比下降20.22%。对此，太平鸟表示业绩下滑主要是受国内经济增长放缓、零售渠道变化、销售费用率上升、品牌销售不及预期等多重因素影响所致，并指今年计划净增门店约600家。
　　扩张门店其实是太平鸟上市募集资金的主要用途之一。据招股书显示，其募资的5.79亿元将用于营销网络建设，优先发展华中、华北销售渠道，重点稳定拓宽直辖市、省会城市销售网络，以此带动周边城市销售网络发展。
　　从数据来看，截至2016年底太平鸟先后闭店700家，新开店1185家，共有门店4279家，其中直营店1198家。而在报告期内连续营业12个月的门店中，直营店、加盟店和代理店的平均单店营业收入分别同比下滑3.92%、7.35%和2.32%。到今年一季度报告期末，太平鸟门店数减少为4145家，其中新开直营店38家、关闭直营店35家，直营店总数基本与2016年底持平，但直营店毛利率同比减少0.89%。
　　特别是2016年太平鸟的存货天数不仅较上年增加27天达到198天，而且因为存货跌价产生的资产减值损失增加5539万元。在今年第一季度，又因过季商品占比增多，引起存货跌价准备计提大幅增加致使资产减值损失扩大至9106万元，增幅达58.06%。对此，中信建投在研报中直指太平鸟存货同比上涨，公司营运能力有所下降。
　　不过不可否认的是，随着近年拉夏贝尔、太平鸟门店数的快速扩张，消费者对于其品牌印象也是越来越熟悉，甚至知道“就是那个说要做‘中国ZARA’的服装品牌”。
　　年初，本刊曾做过相关服装品牌的一线商圈调查。在更面向大众消费的购物中心荟聚里，既有ZARA、H&M、优衣库、GAP、Forever21、C&A等国际时尚品牌，也有Ochirly、VERO  MODA、JACK&JONES、拉夏贝尔、PEACEBIRD男装、乐町等国内时尚品牌。
　　据观察，虽从人气上国内品牌尚有不及，但差距已不明显，且从品牌矩阵上看已有犄角之势，再不是一边倒的局面。不少消费者在逛店时既会进ZARA、H&M、优衣库等店，也会关注拉夏贝尔、乐町等国内服装品牌店。
　　拉夏贝尔的集合店延续了其一贯的购物中心大店模式，宽敞明亮，聚集旗下La Chapelle、Puella、CAndie’s、7m、LaBAbité等多品牌，而太平鸟旗下各品牌则以单店形式呈现。记者发现，从年初到现在还不到半年的时间，太平鸟在原有男装、乐町、童装店基础上又新开了女装店。
　　应该说这几年太平鸟所带给人的犹如是脱胎换骨似的变化。无论是举办时装发布秀、音乐节等活动，还是与国际超模、时尚博主等跨界合作，抑或是每年考察世界知名时尚品牌把脉最新潮流趋势、洞察消费者需求高频次更新，20岁的它正努力地让自己变得更年轻，由此带给消费者的最直接感受是品牌变得越来越潮了，有不少年轻消费者都是因此慢慢发展为品牌的拥趸。而如何持续这一优势，真正做到让每一个消费者都尽享时尚的乐趣，显然还有待时间的考量。
　　（编辑：肖顺兰）",媒体新闻,13625198595428286323_0_588770,想成为中国ZARA 拉夏贝尔VS太平鸟哪个更强劲？,太平鸟,1
"　　事件：
　　公司公布限制性股票激励计划，拟以13.96元/股价格向412名员工授予988.37万股，约占公司总股本2.08%。
　　投资要点：
　　本次限制性股权激励面向中层员工，覆盖面广、力度大，业绩考核目标体现公司对未来发展信心。本次限制性补票激励计划涉及激励对象412人，其中中层管理人员281人，核心业务人员131人，覆盖面较广；同时平均每人授予2.40万股，授予价格13.96元/股，激励力度较大；从解禁考核目标来看，2017/2018/2019年归母净利润不低于4.5/6.5/8.5亿元，三年复合增速达到35%以上，对应目前市值市盈率为29.5/20.5/16.5倍，高业绩增长目标体现公司对于自身发展的充足信心。
　　公司上市前曾通过员工持股平台进行高层激励：2011年，公司控股股东太平鸟集团及125位公司高级管理人员共同出资成立禾乐投资（当年确认7463.35万元管理费用进入上市公司报表），目前禾乐投资持有公司8.52%股份。禾乐投资的成立及本次限制性股权计划推动下，高层管理人员+中层管理及技术人员激励到位。公司组织架构本身就具备充分授权的特征，男装/女装/童装/乐町/MG分属五个事业部，充分授权与充分激励结合保证了公司各个品牌品类均能快速健康成长，在货品组织和终端零售方面近几年在时尚领域一直走在行业前列。
　　IPO以后，公司的在保留原有的机制体制下，战略重心逐步转向内部提效，重点提升的方面包括存货的管理系统、供应链组织体系、设计创意平台等极具协同效应的环节。
　　对于未来的成长空间，主要来源于两个方面：
　　（1）在整体提效前提下的门店扩张，从单品牌品类角度出发，门店最多的太平鸟女装门店总数仅1,600家，成长空间仍较大。
　　（2）内部提效——库存管理能力提升、供应链组织高效化等等都将带来效率的提升，从而影响毛利率及净利润率，公司16年终端零售63亿，净利润4.3亿，净利润率6.8%，正常快时尚品牌净利润率能达到10%，太平鸟的提效战略有望助推公司净利润率的逐步攀升。
　　此外，公司16年净利润4.3亿，但其中包含了2.23亿的存货减值损失，主要是历史上产品风格调整所遗留的问题，从存货结构来看，我们认为这一历史情况将于2017年得到有效改善。
　　投资建议及盈利预测：我们认为随公司渠道扩张及内部管理理顺，作为快时尚龙头投资价值将逐步体现，限制性股权激励业绩指标的可实现性较强，预计2017/2018/2019年EPS为0.98/1.38/1.80元/股，对应目前市值市盈率28.6/20.3/15.5倍，综合考虑成长性与估值水平，首次覆盖给予“买入”评级。
　　风险提示：多品牌协同不及预期，库存管理及供应链管理能力提升不及预期，终端销售不振。",媒体新闻,10729917798267807234_0_590318,股权激励方案高增长指引，快时尚龙头投资价值明显,太平鸟,1
"　　事件
　　公司发布2017年限制性股票激励计划（草案），拟授予412人合计988万股限制性股票，授予价格13.96元。
　　评论
　　股票激励方案的主要内容：本激励计划拟授予的限制性股票数量988.37万股，占公司总股本2.08%。激励对象共计412人，包括公司中层管理人员281人和核心业务人员131人。授予价格为13.96元／股。本次限制性股票的分3年解锁，解锁比例分别为30%、30%、40%。考核要求为2017-2019年净利润分别不低于4.5亿元、6.5亿元、8.5亿元。考核结果以公司面系数和个人层面系数共同决定。激励对象个人当年实际解除限售额度=公司层面系数×个人层面系数×个人当年计划解除限售额度。当公司业绩未达到当年考核要求的90%时，系数为0，业绩达到90%-100%时系数为50%，等于或超过100%时，系数为1。
　　授予范围广、业绩考核标准高：本次股权授予范围广，覆盖大部分中层管理人员和核心业务人员，有效绑定管理层、业务人员和公司的利益，提升团队积极性，目标统一地提升公司业绩。从本次激励计划的解锁条件来看，业绩要求高，除2017年业绩要求4.5个亿，相对于2016年增长5%，增幅较低外，2018年、2019年业绩要求增长44%和31%，远高于此前市场对公司的业绩预期。我们认为，2017年由于公司上市费用以及前期的库存消化，导致业绩增长压力较大外，2018-2019年的高增速要求体现了公司对未来发展的信心。此外，本次股权激励需要摊销的总费用为5086.88万元，2017-2019年分别需摊销1236.39万元、2331.49万元、1123.35万元。
　　渠道下沉、受益于购物中心客流量提升的快时尚品牌：公司定位在于二、三线城市的中端休闲服饰，截至2016年底，拥有门店4279家。公司街边店、百货商场店、购物中心店、电商等各类销售渠道同步发展，2016年四大销售渠道共实现零售额98.95亿元，其中，公司在购物中心开设门店的零售额从2014年的14.96亿元增长至2016年的24.7亿元，年均复合增长率28.48%。我们认为，公司在二、三线城市中品牌认知度较高，在研发、设计以及快速反应客户需求等供应链上具备优势，未来将持续受益于购物中心客流量回升带来的终端零售额提升。目前公司太平鸟品牌女装、男装门店分别为1626家和1196家（2016年底），考虑到我国约5000家的购物中心数量，未来还存在较大的市场外延空间，此外，公司童装板块也将成为带动整体收入增长的亮点。
　　投资建议：公司品牌力较优、梯度良好，看好未来男装、童装的发展空间，考虑到股权激励考核标准较高，激励提升团队积极性以及对业绩的推动作用，调整公司盈利预测2017年至2019年EPS为0.95、1.38和1.74元。前期股价回调充分，以及2018-2019盈利预期提升，上调至买入一A评级，6个月目标价35元，相当于2017年-2019年29倍、20倍、和16倍的动态PE。
　　风险提示：1．行业消费复苏低于预期；2．公司终端销售低于预期；3．公司外延开店低于预期。",媒体新闻,8990426618575145553_0_590318,股权激励提升团队积极性，高业绩标准彰显信心,太平鸟,1
"宁波太平鸟时尚服饰股份有限公司监事会
关于公司2017年限制性股票激励计划相关事项的核查意见
根据《中华人名共和国公司法》（以下简称“《公司法》”）、《中华人民共
和国证券法》(以下简称“《证券法》”)、《上市公司股权激励管理办法》（以下
简称“《管理办法》”）等法律、法规及《宁波太平鸟时尚服饰股份有限公司章
程》（以下简称“《公司章程》”）的规定，宁波太平鸟时尚服饰股份有限公司
（以下简称“太平鸟”或“公司”）监事会对公司《宁波太平鸟时尚服饰股份有
限公司2017年限制性股票激励计划激励对象名单》核实后，发表如下意见：
一、监事会关于《宁波太平鸟时尚服饰股份有限公司2017年限制性股票激
励计划（草案）》及其摘要的审核意见
监事会对公司《宁波太平鸟时尚服饰股份有限公司2017年限制性股票激励
计划（草案）》及其摘要认真审核后认为：
1. 公司不存在《管理办法》等法律、法规规定的禁止实施限制性股票激励
计划的情形，公司具备实施限制性股票激励计划的主体资格；
2. 公司本次的激励计划的内容符合《管理办法》等有关法律、法规的的规
定，对各激励对象限制性股票的授予安排、解除限售安排（包括授予额
度、授予日期、授予价格、限售期、解除限售条件等事项）未违反有关
法律、法规的规定，不会损害公司及其全体股东的利益；
3. 公司不存在向激励对象提供贷款、贷款担保或任何其他财务资助的计划
或安排；
4. 公司实施限制性股票激励计划可以健全公司的激励机制，完善激励与约
束相结合的分配机制，使经营者和股东形成利益共同体，提高管理效率
与水平，有利于公司的可持续发展。
二、监事会对《宁波太平鸟时尚服饰股份有限公司2017年限制性股票激励
计划激励对象名单》的审核意见
监事会对《宁波太平鸟时尚服饰股份有限公司2017年限制性股票激励计划
激励对象名单》认真审核后认为：
 
1. 公司本次激励计划的激励对象符合《公司法》、《证券法》、《管理办法》
等有关法律法规、规范性法律文件和公司章程规定的激励对象条件，其
作为本次激励对象的主体资格合法、有效；
2. 列入公司本次限制性股票激励计划激励对象名单的人员具备《公司法》、
公司章程等法律、行政法规和规范性文件规定的任职资格，不存在最近
12个月内被证券交易所认定为不适当人选的情形；不存在最近12个月
内被中国证监会及其派出机构认定为不适当人选的情形；不存在最近12
个月内因重大违法违规行为被中国证监会及其派出机构行政处罚或者采
取市场禁入措施的情形；不存在具有《公司法》规定的不得担任公司董
事、高级管理人员情形的情形；不存在法律法规规定不得参与上市公司
股权激励的情形；不存在中国证监会认定的其他不得参与激励计划的情
形；符合《管理办法》、《宁波太平鸟时尚服饰股份有限公司2017年限制
性股票激励计划（草案）》规定的激励对象范围，其作为公司本次限制性
股票激励对象的主体资格合法、有效；
3. 本激励计划的激励对象不包括公司监事、独立董事；单独或合计持有公
司5%以上股份的股东或实际控制人及其配偶、父母、子女未参与本激励
计划。
（以下无正文）",媒体新闻,7856165604493813585_0_588940,[监事会]太平鸟:监事会关于公司2017年限制性股票激励计划相关事项的核查意见,太平鸟,1
"　　中国证券网讯（记者 尚海）太平鸟(行情603877,诊股)29日晚间公告，公司部分全资子公司、孙公司于2017年6月19日至2017年6月29日期间陆续收到政府各类大额补贴合计5,346.67万元。
　　公司表示，根据《企业会计准则第 16 号—政府补助》的相关规定，上述款项作为营业外收入计入公司当期损益，预计对公司 2017 年度损益产生一定积极影响，具体会计处理以会计师年度审计确认后的结果为准。敬请广大投资者注意投资风险。",媒体新闻,10313478773252310897_0_491374,太平鸟收到政府各类大额补贴合计5346.67万元,太平鸟,1
