"　　我想问一句，应该没有人在珠海港（000507）上亏钱吧？既然昨天强烈推荐了，那今天就应该没有人在珠海港上亏钱把？昨天既然强烈推荐，那今天必定能吃肉！可惜最后没有涨停，差了一口气，和大盘的氛围有关。
　　早盘雄安一度非常凶猛，同济科技（600846）秒板，青龙管业（002457）在昨日利空的情况下三连板，这两日的雄安也好还是今日的创业板其实都是炒的低位超跌股，只是雄安有理由让市场资金更容易相信接受一点， 这个版块今日去接的可能会比较难受，这也是为什么盘中雄安一度回落，尾盘大湾能够拉升的原因。大湾的拉升，也意味着雄安进入尾声。
　　今天周期资源股的走势分为三大类，一种是钢铁保持强势，以华菱钢铁(ST华菱)、凌钢股份（600231）为代表，第二种是的是以华友钴业（603799）和中国铝业（601600）为代表的有色——冲高回落，第三种是以沧州大化（600230）、易成新能（300080）为代表的的化工、新材料——直线下降。这种调整方式比我想象中的已经好太多了，我原本以为今天的资源股会一片崩盘。原因可能在于大量的机构资金深扎在钢铁和有色之中，要知道这些资金的持股时间是比较长的，不会像游资一样打一枪换个地，因为这些周期股、资源股离见顶还早，所以没有着急退场，并未带来巨大振幅。
　　然后说下今天创业板的网金，我个人是不太看好这个板块，超跌反弹，没有趋势，只是短线资金一下子没有去处发动。就我而已，让我去网金我还不如去券商。
　　今天这种盘面，我是很难判断今天真正的热点在哪。直到下午青龙管业涨停，作为两市唯一三连板，还是要尊重一下，所以我暂且还是认下雄安。但明天再去接力就很困难了。所以我预计明天要出新热点，但短线资金现在有点像无头苍蝇，建议明天空仓观望，这是一个比较好的选择。
　　明天关注个股：厦门港务（000905）、第一创业（002797）、ST华菱。这三只股分别代表3个板块，我预计明天热点在这三个板块中出。最后再次提一下索通发展（603612），开板的话无脑买入！",媒体新闻,12782651484424294369_0_590324,【8月3日操作回顾】珠海港小赚一笔 分析后续资金走向！,珠海港,1
"　　每经记者 曾剑 每经编辑 叶峰
　　8月3日，粤港澳概念异军突起。深赤湾A(行情000022,诊股)、盐田港(行情000088,诊股)、东旭蓝天(行情000040,诊股)、珠海港(行情000507,诊股)均有不错表现。其中，涨幅超过7%的深赤湾A与珠海港俨然有成为龙头之势。
　　深交所披露的数据显示，深赤湾A在今日获得一机构专用席位大举买入，该席位以1231.22万元位居买一位置。不过，著名游资席位华泰证券(行情601688,诊股)深圳益田路荣超商务中心趁机卖出1207.06万元。综合来看，主力资金净买入金额偏小，介入不是十分明显。
　　粤港澳概念的兴起，从消息面上看，主要源于国土部中国地质调查局组织、广州海洋地质调查局牵头编制的《粤港澳大湾区自然资源与环境图集》正式印刷。图集显示，该地区资源丰富，开发利用潜力很大。此前，有消息称《粤港澳大湾区城市群发展规划》已于6月底上报国家相关部门，种种迹象表明粤港澳大湾区规划落地已进入倒计时阶段。各种消息汇聚之下，致使粤港澳大湾区主题投资卷土重来。",媒体新闻,2914424512558634826_0_588764,粤港澳概念受捧 深赤湾A获机构加仓,珠海港,1
"　　新华网北京8月1日电 1日早盘，港口航运板块持续走高，其中，珠海港涨逾6%，海峡股份涨逾4%，盐田港、深赤湾A、广州港、南京港等均有所拉升。
　　有分析认为，在宏观经济稳中向好、国内外航运市场总体回暖的带动下，港口生产也迎来了较快增长。今年上半年，港口货物吞吐量延续了去年下半年以来稳中向好的态势，规模以上港口货物吞吐量完成62.6亿吨，同比增长7.7%。",媒体新闻,8270930642912792121_0_590098,港口航运板块早盘持续走高 珠海港涨幅居前,珠海港,1
"　　港口航运板块早盘行情再现，截至发稿，该板块整体涨近1%。个股方面，珠海港(行情000507,诊股)涨逾5%，盐田港(行情000088,诊股)涨逾3%，广州港(行情601228,诊股)涨逾2%，深赤湾A(行情000022,诊股)、南京港(行情002040,诊股)、日照港(行情600017,诊股)均现上涨。
　　分析认为，在宏观经济稳中向好、国内外航运市场总体回暖的带动下，港口生产也迎来了较快增长。今年上半年，港口货物吞吐量延续了去年下半年以来稳中向好的态势，规模以上港口货物吞吐量完成62.6亿吨，同比增长7.7%。",媒体新闻,2265998632419968586_0_588763,港口货物吞吐量稳中向好 港口航运板块明显上涨,珠海港,1
"<IMAGE SRC=""http://i8.hexun.com/2017-07-18/190096246.png"" >
珠海港高管列表
　　和讯股票（微信号：istocknews）消息 珠海港7月18日晚间公告， 根据《公司法》和《公司章程》等有关规定，经公司职工代表民主选举，黄一桓先生当选公司职工代表监事，任期至公司第九届监事会届满。
　　公告显示，黄一桓 男，32岁，硕士研究生学历，主要工作经历：2010年7月—2012年2月，任职于珠海港控股集团有限公司；2012年2月—2014年2月，任珠海港股份有限公司投资者关系专员；2014年3月—2015年5月，历任广西保利置业集团有限公司行政中心经理、行政中心高级经理；2015年6月至2017年2月，任珠海港股份有限公司董事局秘书处副主任；2015年6月至今，任珠海港股份有限公司证券事务代表；2017年3月至今，任珠海港股份有限公司董事局秘书处主任。
（责任编辑：陈晓伟 HF093）",媒体新闻,6111966102519027091_0_588860,珠海港选举黄一桓为职工监事 现任公司证代,珠海港,1
"　　粤港澳概念股早盘活跃，截至发稿，珠海港涨逾5%；塔牌集团涨逾4%；恒基达鑫、深赤湾A、盐田港等涨逾3%；粤高速A、深天地A、世荣兆业、深物业A等涨逾2%；广州港、珠江实业、广百股份、光弘控股等涨逾1%，其他多股亦有不错的表现。
　　消息面上，据《经济参考报》消息，《粤港澳大湾区城市群发展规划》已初步成型，日前正式上报至国家发改委。这意味着，打造世界第四大湾区渐行渐近。业内人士表示，粤港澳大湾区建设在“一带一路”、京津冀协同发展和长三角经济带的背景下，弥补了中国南部城市群版图，完善了国家区域战略。
　　责编：海闻
--------------------------------------------------------------------",媒体新闻,7322137501721236240_0_595922,粤港澳概念股早盘活跃 珠海港领涨,珠海港,1
"证券时报网（www.stcn.com）07月11日讯
今日早盘，粤港澳大湾区概念股活跃走强，截至发稿，塔牌集团涨4.82%，珠海港涨4.49%，盐田港，粤高速Ａ，恒基达鑫，深赤湾Ａ，格力电器，天健集团，深物业A，中远海特，珠江实业，广州港等股均跟风上涨。
消息上，7月7日，港珠澳大桥主体工程将实现全线贯通，接下来还将进行基础设施建设。目前，人工岛和海底隧道已经进入最后冲刺阶段，大桥的桥面铺装工作基本完成。港珠澳大桥是世界最长的跨海大桥，全长55公里，由桥岛隧和粤港澳连接线组成。
另外，据经济参考报获悉，《粤港澳大湾区城市群发展规划》已初步成型，日前正式上报至国家发改委。
业内人士表示，粤港澳大湾区建设在“一带一路”、京津冀协同发展和长三角经济带的背景下，弥补了中国南部城市群版图，完善了国家区域战略。相关概念股有望长期受益。可关注：天健集团、深物业A、塔牌集团、华发股份、华联控股等。
（证券时报网快讯中心）",媒体新闻,1855486864363591734_0_598326,粤港澳大湾区概念股活跃走强 塔牌集团涨超4%,珠海港,1
"　　2017-07-11 09:52:00 来源：中国经济网
　　分享
　　字号: 大 中 小
　　摘要：港口股早盘拉升，截至发稿，珠海港涨逾6%；盐田港、深赤湾A涨逾3%；北部湾港、广州港、南京港、厦门港务等涨逾1%，其他多股跟涨。业内人士称，向港口物流服务商转型是发展趋势，随着国内港口人才、服务等软环境的改善，将迎来快速发展的“新港口时代”。
　　港口股早盘拉升，截至发稿，珠海港涨逾6%；盐田港、深赤湾A涨逾3%；北部湾港、广州港、南京港、厦门港务等涨逾1%，其他多股跟涨。
　　消息面上，7月10日，港口与城市转型发展论坛在浙江宁波举行，论坛旨在解决近年来港口的高速发展和城市快速扩张之间产生的不协调问题，建立摆脱无限扩张、强化精明增长的港口与城市空间新格局，探索港口、城市双转型背景下的港城关系新模式。业内人士称，向港口物流服务商转型是发展趋势，随着国内港口人才、服务等软环境的改善，将迎来快速发展的“新港口时代”。
　　责编：海闻
<IMAGE SRC=""http://statics.haiwainet.cn/tpl/2015-10-26/images/hud02.gif"" >
　　赞
<IMAGE SRC=""http://statics.haiwainet.cn/tpl/2015-10-26/images/hud01.gif"" >
　　踩
<IMAGE SRC=""http://statics.haiwainet.cn/tpl/2015-10-26/images/hud03.gif"" >
　　路过",媒体新闻,5492078876221916558_0_595922,港口股早盘拉升 珠海港大涨6%,珠海港,1
"　□本报记者 常仙鹤
　
　珠海港7月5日晚间公告称，为积极拓展资源，以金融资本助推主业发展，公司拟与广发信德、广发信德智胜和珠海康远投资以及其他合作方共同设立“广发信德珠海港股权投资合伙企业（有限合伙）”。投资基金拟定规模5亿元，其中公司拟以自有资金出资2亿元，占基金份额的40%。基金投资方向为服务与消费升级产业链及新能源环保产业链。基金存续期7年。其中，3年投资期，2年退出期，2年预留期。
　公司表示，上述投资方向与公司主营业务关联性强，有助于公司借助金融资本的力量，以较小投入撬动更大资源，加快公司在主业领域的产业培育和投资运作。",媒体新闻,4108818386457119296_0_627,"珠海港
拟联合设立5亿元产业基金",珠海港,1
"　　珠海港(行情000507,诊股)（000507-CN）5日公告，公司拟与广发信德、广发信德智胜和珠海康远投资及其他合作方共同设立“广发信德珠海港股权投资合伙企业（有限合伙）”。投资基金拟定规模5亿元，其中公司拟以自有资金出资2亿元，占基金份额的40%。基金投资方向为服务与消费升级产业链及新能源环保产业链。",媒体新闻,3838904649637604783_0_491374,珠海港(000507-CN)拟与专业投资机构合作设立股权投资基金,珠海港,1
"　　珠海港发布2016年年报。2016年公司实现营业收入18.01亿元(-11.0%),毛利率上升至22.4%(+3.1pct),归属于母公司净利润1.04亿元(+32.6%),EPS为0.13元。公司拟每10股派发现金红利0.2元(含税)。
　　营收下滑,净利润提升明显。2016年公司实现营业收入18.01亿元,同比下降11.0%,主要原因是物流贸易业务大幅下滑53.1%。但受益于毛利率提升3.1%和资产减值损失的大幅减少,公司最终实现归母净利润1.04亿元,同比增长32.6%。
　　公司风电主业不断发展壮大。公司风电业务目前主要按照“并购为主,新建为辅”的原则不断发展壮大,据公告披露,其风电整合平台珠海港昇已于2016年3月登陆新三板市场,并在2016年收购内蒙古辉腾锡勒风电机组,加上原来的高栏岛、达里、黄岗梁和科啸公司等风场,形成了南北共五个风电场的发展格局。2016年实现上网电量3.94亿度,同比增长27.1%,最终公司综合能源板块实现收入3.09亿元,同比增长32.8%,毛利率为45.9%。
　　粤港澳经济湾区推进,利好公司港口物流业务。李克强总理在4月11日提出中央政府今年将研究制定粤港澳大湾区发展规划,经济湾区的建设将首先带动货流的增加,我们认为公司将充分受益。此外公司通过成立跨境电商实体企业积极对接横琴自贸区政策利好,现已取得实质进展。未来随着横琴新区的建设与港珠澳大桥通车以及经济湾区的推进,横琴港区开展跨境电商业务的区位优势将进一步放大。
　　投资建议:目前公司已经形成了港口物流、综合能源和港城配套三大业务板块,协同作用明显。我们预计公司2017-2018年EPS分别为0.16元和0.21元,给予“买入-A”评级,六个月目标价12.2元。",媒体新闻,394143828627146669_0_589534,珠海港三板块协同发力 粤港澳发展带机遇,珠海港,1
