"    实际控制人中国中材集团有限公司 （以下简称“中材集团”）承诺的解决上市公司同业竞争问题迟迟未能实现，上交所最终出手下发了监管工作函。
    在昨日，祁连山收到了上交所下发的《关于对甘肃祁连山水泥集团股份有限公司实际控制人承诺事项的监管工作函》。据了解，在2010年9月7日，中材集团为消除集团内水泥业务潜在的同业竞争，曾做出过承诺：用五年的时间，逐步实现对水泥业务的梳理，并将水泥业务整合为一个发展平台，从而彻底解决水泥业务的同业竞争。然而，在2015年9月23日，祁连山召开临时股东大会，关于实际控制人中材集团延期一年履行承诺的议案未获通过。随后在2015年10月21日，祁连山又收到函，称中材集团将在2016年9月7日前履行前述解决同业竞争的承诺。
",媒体新闻,18025728761885017293_0_490792,实控人屡食言 祁连山收监管函,祁连山,1
"祁连山（600720）预计盈利1.8亿元,同比扭亏,本期业绩预盈的主要原因:一是上半年区域水泥市场需求回暖,水泥销量和价格同比均有所上升;二是公司持续加强成本管控力度,上半年主要产品毛利率同比上升。
    咱们说中报操作热点中,同比扭亏是有可介入性的,何为扭亏,就是指原来出现了亏损,现在事情发生了扭转,扭转了亏损的局面,一般中报中出现扭亏的,股价有望开启新的上涨行情
    
    
    从图上的走势中可以看到,祁连山前期一直处于下跌走势中,下跌走完后出现横盘且横盘过程中量能较低,直至出现了中报扭亏消息,在利好的冲击下放量开启了一波上涨信号,今天直接高开高走强势封住涨停,明显的多头行情,并有加速上涨的迹象,该股股价较低,上方的上行空间已被打开,成长空间也较大,若有回调或者低开的走势时,可以逢低介入,介入的同时要把止盈点带好,防止获利遭回撤,如果走势节奏把握好点的朋友,可以适当的去做波段操作。
    我们再来看看其他的中报出现扭亏后个股的走势,了解其走势和更清楚的把握其中的入场机会
    怡球资源出现扭亏后开启了一波上涨,直接打开了上方的上行空间
    
    *ST华菱（000932）前期一直大幅下跌,出现大幅扭亏后,走势直接反转,今天已封住涨停
    
    杭氧股份出现扭亏后也开启了一波上涨行情
    
    沧州大化出现扭亏后也走出了一波行情
    
    从上图可看出,一般情况下经历了一波下跌后,然后出现扭亏消息的个股,一般情况下都会开启一波上涨行情,当然,这个扭亏也要看它的扭亏程度,大幅扭亏的上涨空间会大些,尤其是大幅扭亏为盈的个股,可以逢低介入。
    
    股易得
    原味缠论
    原味缠论，解密真正的缠论
",媒体新闻,6583532077252862693_0_590324,祁连山：绝地反击,祁连山,1
" 公司2017上半年预计归母净利润1.8亿，EPS预计0.2319元，相比上年同期扭亏（2016H1亏损1864万元，EPS为-0.0240元）。
    2017H1保持2016年下半年以来的回升趋势，表观业绩受减值影响
    公司2017上半年（归母净利润1.8亿）相比去年同期（亏损1864万元）扭亏明显。2016年Q3归属净利润2.22亿元，同比+127%，业绩出现转折；2016年Q4归属净利润亏损3722万元，同比转亏（2015同期1.16亿元），主要原因是子公司红谷祁连山、夏河祁连山、甘谷祁连山以及天水祁连山计提资产减值大幅增加所致，2016Q4计提资产减值1.32亿元（2016全年计提1.54亿元），剔除减值影响后（以20%所得税率计）净利润为4438万元，同比-57%；2017Q1继续计提资产减值1790万，剔除减值影响后（以20%所得税率计）净利润为-1.29亿元，同比减亏（2016同期-2.26亿元）。
    盈利回升背后是区域量价齐升，受益景气回暖，盈利改善趋势明显
    从区域销量来看，青海和西藏地区水泥销量从去年下半年以来处于增长趋势，甘肃相比其他两地回升幅度略小，但相比2015年有所好转。从水泥价格来看，甘肃和青海水泥价格2016年以来上升幅度显著且目前仍处于高位。受益于区域量价齐升，公司2016年水泥熟料销量2179万吨，同比+5.8%，2016年吨毛利67元/吨，同比上涨15元/吨，2016下半年吨净利8元/吨，相比2016上半年-2元/吨由负转正，盈利改善明显。
    投资建议：维持“买入”评级
    公司2009-2016年吨净利中枢为26元/吨，2010年吨净利高点一度达到63元/吨。2016年公司业绩已经出现底部拐点，2017年上半年表现良好，供需关系改善，全年业绩弹性有望进一步显现。预计公司2017-2019年EPS分别为0.88、1.04、0.96元，且存在超预期可能。
    风险提示
    基建开工不达预期、价格大幅下降、产量不达预期。
",媒体新闻,2133795066460081834_0_590318,业绩预告点评：2017上半年业绩继续上升，全年弹性有望进一步显现,祁连山,1
"金融界网站讯    7月11日，建材股早盘大涨，开盘不多久即放量涨停，此后均未开板，截至收盘，报收9.17元/股，上涨9.95%。消息面上，10日晚间，祁连山(行情600720,诊股)发布中期业绩预告，称上半年将同比大幅扭亏。多家机构从供需、成本的角度认为，水泥价格下半年或进一步提高，煤炭价格也或将回调。
    业绩预喜助推涨停
    7月10日晚间，祁连山称预计其2017 年上半年，将实现约1.8亿元盈利，这个额度远远超过2016年同期1864万元的亏损额。
    市场或受此消息影响，11日开盘，祁连山股价即快速上涨，并伴有大额成交量，早盘盘中即上封涨停板，此后均未开板。
    根据光大证券(行情601788,诊股)11日发布的报告中的数据，通过上述预期盈利数据，可以预计祁连山第二季度单季实现的净利润为3亿元，这个数据仅次于祁连山2014年同期3.4亿元的净利润。
    此外，据光大证券陈浩武分析师此前在研报中表示，祁连山的实际控制人为中材集团，该股存在一定的资产整合预期。
    祁连山在10号的业绩预告中表示，业绩的大幅增长，源于上半年区域水泥市场需求回暖，水泥销量和价格同比均有所上升，以及持续加强成本管控力度，上半年主要产品毛利率同比上升。
    事实上，当天祁连山所在的建筑材料板块内的其他一些个股涨势也不错，其中，宁夏建材(行情600449,诊股)虽然盘中有过几次开板，但最终依旧以涨停板收盘，11号收盘，同是水泥股的宁夏建材报收11.25元/股，上涨9.97%。
    水泥行业下半年或继续向好
    根据祁连山上述关于业绩预增原因的表述，主要是由于成本降低导致毛利率上升和当地水泥销量、价格上升。
    6月底，国家发改委表示坚决抑制煤炭价格过快上涨，近期，多地煤炭价格涨幅也出现收窄。有专家表示，日前，“煤炭价格上行主要受季节性因素影响，短期上涨后或将回调“。而这也或将降低水泥行业的成本。
    7月11号当天，光大证券出具研报称，2017年上半年，兰州地区高标号水泥均价同比上涨50%。并同时预测，宁夏建材的2017年中报也会有比较喜人的业绩预告。
    据悉，祁连山位于甘肃省兰州市，主要从事水泥、混凝土等产品的生产、加工和销售。上述同行业涨势较好的个股宁夏建材也主要从事水泥及水泥熟料和商品混凝土的制造与销售，在地理区位上，也同属于中国西北部。
    根据广发证券(行情000776,诊股)邹戈的分析，这些地区处于“一带一路“的重要节点区位位置，有着基础建设的需求。
    国信证券(行情002736,诊股)建材研究团队称，因为夏季错峰生产以稳定物价的安排，一些省市地区将在5-9月开展不同程度的停窑安排，以及深入推进去产能，处置“僵尸企业”，此外，加上这些水泥行业的环保压力等，水泥行业在供给端将面临减少的趋势，这在一定程度上助涨了水泥价格。
    据悉，当前西北地区水泥价格走势总体呈上行趋势，6月初，价格开始向下缓慢回调，对此，国信证券研报指出，虽然如此，但这个价格还是依旧维持在一个较高的位置，并表示，到了下半年的旺季，水泥有望进一步提价。
    根据国信证券的数据，像陕甘宁地区，水泥的出货量当前保持在七成以上。
    中泰建材首席分析师黄诗涛也于日前表示， 今年水泥行业“淡季微幅下跌，旺季大幅上涨”， 7、8月份库存逐渐回落至5成左右，9月份旺季将迎来全年的第二波大幅上涨。7月有望看到水泥去产能政策规划和具体措施逐渐落地。并指出，水泥行业“全年高位震荡向上，四季度才是价格高点”。
    截至2017年一季度，祁连山亏损1.21亿元，同比增长37.34%",媒体新闻,3210137587620096978_0_439912,中期业绩预喜祁连山封涨停 水泥行业下半年或将继续向好,祁连山,1
" 祁连山上半年扭亏预计盈利约1.8亿 祁连山涨停
    经财务部门初步测算，预计公司 2017 年半年度经营业绩将实现盈利，实现归属于上市公司股东的净利润为18，000万元左右。
    公司是甘肃青藏地区最大的水泥生产企业，产能规模已经超过1000万吨。处于“一带一路”核心区域，随着沿线国家地产基建兴起，有望享受较高的盈利水平。
    二级市场走势：该股今日强势上涨，后市有望继续冲高。南方财富网微信号：南财
",媒体新闻,890755621665507901_0_322943,祁连山上半年扭亏预计盈利约1.8亿 祁连山涨停,祁连山,1
"新华网(行情603888,诊股)北京7月11日电 周二早盘，见诸材料板块快速拉升，祁连山(行情600720,诊股)开盘后快速涨停，截至发稿，宁夏建材(行情600449,诊股)、福建水泥(行情600802,诊股)、西部建设(行情002302,诊股)等个股纷纷拉升。
",媒体新闻,502822836622279127_0_54757,建筑材料快速拉升 祁连山涨停,祁连山,1
"祁连山(行情600720,诊股)预计公司2017年半年度经营业绩将实现盈利，实现归属于上市公司股东的净利润为18，000万元左右，上年同期亏损1863.76万元。本期业绩预盈的主要原因:一是上半年区域水泥市场需求回暖，水泥销量和价格同比均有所上升；二是公司持续加强成本管控力度，上半年主要产品毛利率同比上升。
",媒体新闻,2142071512255356188_0_55423,祁连山：预计半年度扭亏为盈,祁连山,1
"祁连山(600720)7月10日晚发布《2017年半年度业绩预盈公告》称，经财务部门初步测算，预计公司2017年半年度经营业绩将实现盈利，实现归属于上市公司股东的净利润为18,000万元左右。上年同期归属于上市公司股东的净利润为-1,863.76万元，每股收益为-0.0240元。
    公告表示，本期业绩预盈的主要原因：一是上半年区域水泥市场需求回暖，水泥销量和价格同比均有所上升；二是公司持续加强成本管控力度，上半年主要产品毛利率同比上升。
    业内人认士分析，祁连山属于建材行业，主营业务为水泥、商品混凝土的研发、制造、销售，现有水泥产能2800万吨，商品混凝土产能635万立方米，余热发电装机容量98MW，其水泥主要布局在甘肃、青海两地。1季度属于区域淡季，但今年下游开工情况相对较好，区域需求约有5%的增长，而该公司销量增长更高，同比约增20%。从价格看，青海地区今年3月以来累计上涨60元/吨(20%的幅度)，甘肃地区今年3月底至今累计上涨25元/吨(8%的幅度)，涨价的时点和执行情况都明显好于往年。近期该公司在产能接近完全释放的情况下基本处于产销平衡状态，区域需求不错。目前区域库位仍偏低，预计后续价格仍将保持良好状态。从成本看，尽管去年下半年以来煤炭等主要原材料价格持续上升，但水泥售价涨幅覆盖了成本端的上涨。该公司今年一季度营业收入增长同比43.4%，营业成本上涨14.2%，该公司毛利率较上年同期提高17.75个百分点。从产能看，青海已三年没有新增产能，甘肃去年新增产能仅78万吨，投产后影响相对有限。而受基建投资及一带一路拉动，需求方面则有望保持稳定增长。综合看，该公司下半年业绩仍可看好。
",媒体新闻,10625749187115116067_0_584796,祁连山：预计上半年经营业绩将实现扭亏为盈,祁连山,1
"一带一路两大产业链股票介绍：一带一路基建、高铁、通信及电力股龙头名单
    近期市场大幅调整，为一带一路概念股提供了不错的进场机会。而一带一路两大产业链备受关注，一条是“一带一路”基建链，另一条就是优势产能输出链。
    “一带一路”基建链包括海外工程、建材、机械、交运四个方面。海外工程可关注北方国际（26.92 +3.06%，买入）、中工国际（25.00 -0.32%，买入）、中钢国际（17.24 -3.04%，买入）等；建材可关注天山股份（15.12 -1.05%，买入）、青松建化、宁夏建材（10.82 -2.61%，买入）、祁连山（8.24 -2.83%，买入）、金圆股份（10.82 -2.08%，买入）等；机械设备可关注徐工机械（3.52 -1.68%，买入）、柳工（8.25 -0.36%，买入）、三一重工（6.78 -0.59%，买入）、达刚路机（20.75 -2.08%，买入）等；交运可关注中远海特（6.21 -1.27%，买入）、连云港（7.86 -4.15%，买入）、宁波港（5.46 -1.62%，买入）等。 南方财富网微信号：南财
    共2页:
    上页
    1
    2
    下页
",媒体新闻,722907403370206932_0_590281,一带一路两大产业链股票介绍：一带一路基建、高铁、通信及电力股,祁连山,1
"  戴花要戴大红花
    骑马要骑千里马
    唱歌要唱跃进歌
    听话要听党的话
    作为20年的老股民，老魔负责任的告诉你：炒股就一个诀窍，听党的话跟着政策走！
    昨儿《股言孤语》告诉大家不要恐慌，今儿沪指在3050点上方企稳反弹了。
    这是为什么呢？
    “路 透”(路边透露)的消息是这么说的：中国证券监管机构透过沪深交易所要求券商在一带一路峰会期间，管理好客户的交易行为。要求证券公司提醒所属活跃投资者、大资金量投资者和监控名单内的投资者，
    在5月8日至16日期间，一些对市场有影响的操作会受到更为严格的监管。
    这事在3月开两会的时候干过一档子，所以基本可以确定属实。3月3日至16日，10个交易日沪指上涨1.2%，振幅仅为2.37%。想来大家可以舒口气了...暂时不跌了！
    昨天收盘之后“路 透”报出一事儿，知情人士称，中国考虑将目前主要火电企业和核电企业，通过合并，重组为3家。重组的一个选项是：将神华、中广核和大唐合并为一家公司;将华电、国电和中核合并为一家公司;将华能和国电投合并为一家公司。
    预热了近一年的电力行业并购重组终于要来了，五大发电集团近些年没少干重复建设和无效投资的事，并购重组后有助于降低企业间的恶性竞争，降低内耗影响。据知情人士称，官方已经就该选项向相关企业征求了意见。这一选项并非最终方案，可能存在变数。据老魔分析，剔除另外两大电力集团,大唐集团、华能集团、华电集团同中煤集团、神华集团合并的概率更高。其中大唐集团同神华集团由于均拥有较多煤化工资产而更具想象空间。大唐集团资产规模近7500亿元，神华集团资产规模近万亿元，若加上中广核资产近4500亿元的资产...超级巨无霸就这样诞生了吗？想想当年中国中车（601766）的走势，就一个字：买！
    大唐发电（601991）A股盘中再度涨停，港股一度涨幅超过17%。老魔为什么说“再”呢？大唐发电今年以来分别于2月25日、3月30日和今天出现了三个涨停。一般而言，大唐发电涨停，内蒙华电（600863）、漳泽电力（000767）、闽东电力（000993）、华电国际（600027）必然联动上涨。
    从今天整体盘面上来看，中持股份（603903）、银龙股份（603969）和冀东装备（000856）涨停，带领雄安板块走出一波反弹；常熟银行（601128）涨停，刺激次新银行股反弹，杭州银行（600926）和张家港行（002839）涨幅超过5%；银行股护盘令资金开始尝试做多，高送转填权和次新股纷纷走高，清源股份（603628）、新宏泽（002836）和博天环境（603603）盘中涨停，盘面的赚钱效应慢慢显现。
    迎接明日的一带一路大会新疆板块尾盘直线拉升，一带一路板块震荡走高，龙头北新路桥（002307）结束了两个交易日的下跌，午后两点半直线拉升，收涨8.73%；神火股份（000933）、北方创业（600967）、达刚路机（300103）、福建水泥（600802）、祁连山（600720）、西部建设（002302）多股跟涨。
    创业板指在创出27个月新低后，走出了一波超跌反弹行情，科信技术（300565）超跌后强势涨停，北京君正（300223）尾盘封板，华灿光电（300323）、强力新材（300429）、濮阳惠成（300481）等多股盘中封停。
    从今日涨停的个股来看，主要分布在超跌和次新股板块。股指连续的下挫，短期内部分个股出现严重超跌，随着行情的反弹，也受到短线抄底资金追捧，如：英洛华（000795）、银河生物（000806）、强力新材、三江购物（601116）、科信技术、彩虹股份（600707）、游久游戏（600652）、北京君正等。
    目前来看，随着“政策”控制，后市沪指大概率维持在年线附近震荡，若能够站稳年线，或许能给场外资金带来入场的信心。不过，本轮调整中，个股跌幅巨大，尤其是创业板股、次新股和雄安股。要想解套，几无可能。
    “政策”控制令市场情绪面的恐慌得到有效缓解，但中长期而言在金融强监管告一段落前，难言市场底部。建议投资者切勿激进追高，寻找机会低价布局央企混改、军工、金融改革类个股。
    保监会消息值得关注，保监会网站显示，将开展险金运用风险排查专项整治工作，并重点关注重大股票股权投资。被保险资金举牌的概念股要小心规避了。",媒体新闻,1049449776681347475_0_39537,股言孤语：炒股诀窍 听党的话跟着政策走,祁连山,1
