"近日，神州信息成员企业神州数码融信软件有限公司自主研发的企业服务总线系统Sm@rtESB一路高歌猛进，连续赢得上海银行、河北银行、晋中银行、红塔银行、嘉兴银行、吴江农商银行和上海清算所等七家企业服务总线建设项目，助力提高IT架构灵活度、管理能力和创新能力，满足市场快速变化的业务需求和自主安全可控的要求。截止目前，加上四川金鼎、贵阳银行、中关村银行、阜新银行及青岛农商银行，今年神州信息ESB产品的新客户数已达12家，表明该产品持续领先，继续巩固了其市场排名第一的位置(源自IDC报告)。
当前，随着银行业务规模不断壮大，业务品种不断增多，经营管理改革也不断深化，对信息科技的要求也越来越高，信息科技水平必须快速提升才能满足业务发展战略的需要。上述银行及金融机构经过前期的技术调研，借鉴同行的成功经验，一致认为建立基于SOA松耦合体系的企业服务总线是解决这一问题的最佳途径，是未来流程银行、网点转型、互联网银行建设的必由之路。它将为全行多层次、条线化、松耦合的IT应用架构打下坚实基础，实现全行业务系统功能服务化，通过服务化的功能组件复用和灵活组合，快速响应市场变化，促进业务高速发展。
神州信息Sm@rtESB产品在总结近30年银行总体架构最佳实践的基础上，通过多年成功的ESB项目实践，拥有超过1500个以上异构系统的ESB集成经验，并在实际应用中表现卓越且可靠、稳定，充分满足平安银行、华夏银行、中信银行、浦发银行、北京银行、南京银行等数十家商业银行及金融机构的实际要求指标。根据第三方公司(IBM实验室、INTEL实验室)的测试，Sm@rtESB产品单机能够达到2000TPS以上，部署四路可达8000~10000TPS，满足日均8000万笔的交易量要求，遥遥领先于业内其他的ESB产品。
此次，神州信息将针对上海银行、河北银行、晋中银行、红塔银行、嘉兴银行、吴江农商银行和上海清算所的不同需求，基于Sm@rtESB产品进行差异化实施，全面解决各银行IT系统间异构问题，可降低技术集成的复杂度，实现各个产品系统功能服务化封装等功能，为全行服务化的应用架构奠定基础，并大幅提升全行IT架构的灵活度和业务创新的支撑能力，有利于银行创新业务的推出，全面提升银行科技管理水平和能力。
神州信息相关项目负责人表示，此次连续中标七家ESB建设项目，不仅表现了公司Sm@rtESB优秀的产品力和竞争力;同时，七家ESB的接连实施，也将反映出公司在快速实施和交付上的卓越能力。相信未来，神州信息的ESB产品将继续深耕市场，打造ESB第一品牌，为更多银行和金融机构提供优异的产品和服务。
（免责声明：此文内容为本网站刊发或转载企业宣传资讯，仅代表作者个人观点，与本网无关。仅供读者参考，并请自行核实相关内容。）
<IMAGE SRC=""http://tx1.cdn.caijing.com.cn/2014-03-27/114048455.jpg"" >
编辑：admin
关键字：",媒体新闻,3231202042627914320_0_589288,神州信息Sm@rtESB再连中七标，巩固市场领先地位,神州信息,1
"作为国内领先的大数据服务商，神州信息目前已经在智慧城市、农业、金融、运营商、制造等多个行业完成大数据布局。下面将围绕这些行业应用，从不同的角度追踪这一大数据先行者的足迹。
没有最热，只有更热!昨天最热，“神州农业云”更热!一年中最热的天气是三伏，2017年最热的新闻是三农大数据!
农业篇
“原来农业是靠天吃饭的，现在我们多了一朵‘神州云’，是靠大数据分析和预测来‘知天’吃饭的。”
总理命名的“神州云”让无数农业创业者激动不已。“让我国农业插上翅膀，飞向全国，走向世界!”成为了我们共同的目标。神州信息在智慧农业的前瞻性战略布局中，三农大数据和农科服务平台最受瞩目。它们为什么霸屏媒体头条，下面为您揭晓!
一、神州信息农业领域的核心成果——三农大数据指挥舱
<IMAGE SRC=""http://www.zhiliangcn.com/ueditor/php/upload/image/20170718/1500344654991354.png"" >
三农大数据指挥舱的作用是通过农村管理服务、农业生产服务、农业交易服务三大服务，来建立三类农业领域最广泛的连接。
精准扶贫监管平台
个人全景画像
二、农科服务是什么?——为政府和企业提供农业科技服务
<IMAGE SRC=""http://www.zhiliangcn.com/ueditor/php/upload/image/20170718/1500344756686415.png"" >
杨凌农业大数据中心
农科服务是基于农业大数据中心和杨凌农业云服务平台，为政府和企业提供农业科技服务，包括：农业专家、农技培训、农技智库、病虫害诊断等。在云平台上，一方面为用户提供各地各类农产品零售价格信息及价格走势，还可以为用户提供各类农事、农情、政策等相关信息的精准推送。此外，为用户提供各类最新品种及相关农业技术和为用户、专家、合作社、农企等提供农技人才的供需对接服务，以上信息均可免费获取哦。
三、为农服务有哪些?——农业专家、在线农技培训、农技智库、病虫害诊断
“专家—农技员—农户”互动平台
农业专家
农科专家是以杨凌两所农业大学专家教授为基础，同时整合全国各地农业专家，通过在线坐诊的方式，为种养殖农户提供实时农业技术在线咨询解答，突破了地域性和空间性限制。现已有千名在线专家，覆盖了水果、蔬菜、畜牧、家禽等各种种养殖行业。
农科专家APP：农技服务新模式
<IMAGE SRC=""http://www.zhiliangcn.com/ueditor/php/upload/image/20170718/1500344877277465.png"" >
农科专家APP
农科专家APP是农业专家移动端的重要应用，它整合杨凌及全国丰富的农科教资源，通过新一代的信息技术帮助广大农户解决种养殖问题，通过农户与专家间的有效互动，解决了农业种植养殖过程中农户获取技术服务难、找寻专家难的现实问题，同时也发挥了农业专家在生产过程中的指导价值，进而降低农户对农业科技的获取成本，建立多元化的良性农业生态。
农技培训：在线农技学习窗口
农技培训
以大数据为基础，整合各类农技知识，为农户提供在线农技学习的一个窗口。
农技智库：在线农技咨询解答
农技智库
以大数据、机器学习等为技术手段，以专家和用户在线交流数据为基础，整合互联网各种农技文章，建立一个包罗万象的农业知识库，最终通过智能化的手段为用户提供服务。
病虫害解决方案专家
病虫害诊断
以大数据分析和挖掘，利用人工智能技术，通过病虫害的特征属性，系统自动地推荐出匹配的病虫害诊断和相应的处理方法及专家，为用户提供实时的、在线的、自动化的、智能的病虫害解决方案。
国务院 《关于加快转变农业发展方式的意见》中提出，建设农业科技服务云平台，提升农技推广服务效能。作为中国信息化产业专家的神州信息，2014年以“新四化融合”为理念，开始从城市跨界到乡村，展开“互联网+农业”的布局和探索。“聚力现代农业，点亮智慧农村，造福一代农人”，用最先进的互联网技术来改变最古老的农业，强农、惠农、富农，让农民和城里人一起进入小康社会，共建美丽中国，享受幸福生活。",媒体新闻,4868046147989346468_0_588956,神州信息农业云——耕者为农，“云”为锄,神州信息,1
"　　7月10日，国家领导人顶着40度的高温视察了陕西杨凌农业高新技术产业示范区，神州信息（000555）的“三农大数据”成果展示成为其考察中的重要内容之一。在听取了神州信息董事长郭为的重要汇报后，国家领导人对神州信息三农大数据的前瞻性布局给予了高度评价，指出农业可以不再靠天吃饭了，我们多了一朵“神州云”，可以靠大数据分析和预测使农业靠“知天”来吃饭，并寄语农业创新“插上翅膀，飞向全国，走向世界”。
　　近年来，前沿技术的快速应用为传统农业插上了起飞的翅膀。随着技术应用的逐步深入，大数据与“三农”的结合形成了巨大风口，国务院及农业部也密集发布了一系列推动农业现代化和信息化发展的政策举措。2015年12月农业部农市发〔2015〕6号文件《关于推进农业农村大数据发展的实施意见》正式发布，提出“以深入推进农业供给侧结构性改革为主线”，全面做好农业农村工作，加快培育农业农村发展新功能，连续14年聚焦“三农”。
　　在三农领域耕耘二十年的神州信息，随着农业新一轮改革及现代化发展，正迎来巨大的发展机遇。目前，其智慧农业（000816）布局和三农大数据积累，已覆盖农村管理、农业生产、农业交易等专业化服务领域，为中国的农业现代化提供了产业链各环节的大数据服务和精准管理决策支持。
　　“一网一库三大服务” 构建智慧农业服务生态
　　当前，全球范围内云计算正在成为主流的IT模式，而大数据将成为最重要的核心资源，对产业发展发挥更大价值。神州信息依托“一网一库三大服务”构建的智慧农业服务体系，也正是基于这些趋势。
　　“一网”即智慧农业云平台。神州信息通过多年在农业领域的深耕细作，实现了对农业、农村、农民的产业链各环节的软件应用覆盖，并以此为基础，整合管理服务、生产服务、交易服务三大业务需求，聚服务于云端，形成农业生态信息网络。
　　“一库”是神州信息构建的三农大数据库。通过挖掘和分析农村人、财、物及衍生的各类交易数据，反哺农业云平台，为农业生产提供标准化的生产模式和准确的预测预警。
　　“三大服务”实质是数据应用的基础和场景，囊括了农村管理服务、农业生产服务和农业交易服务，由此构成一个以数据驱动农业现代化发展的生态圈。
　　农业管理服务：让权力在阳光下运行
　　神州信息农业云平台能否为三农发展贡献智慧，提供现代化服务，关键点就在于能建立多少连接。神州信息的“一网一库”是农业云平台发挥价值的基础，通过三大服务来建立三农最广泛的场景和连接。据悉，目前神州信息农业服务已覆盖了全国31个省、2000多个县、45万个村组。
　　在农地确权这片“蓝海”中，神州信息一直是引领者，无论从软件市场占有率还是确权市场占有率，已连续4年稳拔头筹。目前，通过自主研发的平台、多种服务端的全方位应用架构，神州信息已经形成了2项国家级平台、7个整省和总数近700个县的用户群体，累计测绘近5000万亩土地。其农地确权电子政务云已经成为覆盖全国的土地管理平台。
　　在农村管理服务方面，神州信息树立了行业标杆。累计帮助5.8万个村初见股权改革成效，农村管理服务惠及31个省市，应用于10余个部级项目和上千个市县级项目。专家预测，未来3-5年，神州信息智慧农业云平台有望成为我国农村管理服务的第一云。
　　农业生产和交易服务：助力农业精准种养殖，提高农村资源和资产的配置效率
　　农业物联网是实现智慧农业的关键所在。作为IT+农业的创新践行者，神州信息云平台所提供的农业生产服务，是用物联网监测的精准数据来促进农业生产的标准化和管理的现代化，促进农业产品的品牌化发展及溯源。神州信息不仅拥有智能硬件产品和数据分析云平台，还利用自主研发的丰富应用以及APP,为农业经营者提供智能操控和管理决策支持。有关统计显示，神州信息提供的农业生产服务已经覆盖全国31个省市自治区，拥有2万多个智能采集点，建立了10余个市县级综合农业云服务平台。
　　在农业交易服务中，神州信息为土地交易搭建了农村综合产权流转交易平台，为产权流转交易提供服务，让土地增值，并激活了农村土地金融。神州信息为农业交易服务搭建的农业全程社会化服务平台，则是为新农人、新型农业经营主体等提供的专业服务供需对接平台。该平台能够为农业生产经营活动中的技术、管理、营销、产业化、品牌化等需求提供多种解决方案和资源整合，从而推动实现农业生产的标准化、管理的信息化、营销的平台化、决策的数据化。
　　搭建中国农业现代化的智慧祥云
　　神州信息用云服务和大数据成功搭建了一座连接智慧农村和智慧城市的信息虹桥，通过三大服务的应用布局，有效积累各类三农数据，逐步建立起农业单品大数据、农业交易大数据、农业地理信息大数据等，并组建数据交换共享中心。
　　农业大数据支撑的这一新型“三农生态圈”，可以让农民更富裕、让农业生产更精准、让农业管理更高效。大数据将改变农业的生产方式，使职业农民越来越多；创新农业的经营模式，更加高效、绿色和可持续；也必将改变农民的生活方式，让农民生活更加幸福。
　　国家领导人在考察神州信息农业云时曾寄语农业创业者：让我国农业插上翅膀，飞向全国，走向世界。而现在我们有理由相信，在这朵“神州云”的庇护下，我们的农业将更快地开出“智慧的花朵”，实现美丽乡村和智慧农业。
责任编辑：ztl",媒体新闻,2991239250383737629_0_578345,神州信息“三农大数据”获总理好评,神州信息,1
"　　2017年6月21日至22日，中国电子工业标准化技术协会信息技术服务分会（以下称ITSS分会）组织召开了ITSS云服务能力评估的专家评审会，对试点企业云服务能力进行评估和颁证工作。国内领先的IT服务企业神州信息(行情000555,诊股)凭借过硬的技术和全方位的云服务能力荣获当前ITSS云计算服务能力测评最高等级证书（二级），领跑私有云IaaS服务商。
　　作为国家ITSS总体组副组长单位、IT运维专业组组长单位，神州信息自2009年起就持续参与了国家ITSS各项标准的研究制定、标准验证以及应用试点推广等工作，是国内首家通过ITSS运维服务标准评估的企业。此次在云计算服务能力评估中荣获最高资质，也是神州信息把握IT产业云计算发展趋势，持续推进云服务创新的实力展现。此次资质评审，全面体现了神州信息在私有云负载均衡、弹性伸缩上的技术优势，以及一站式方便快捷的云服务体验，从而获得了目前ITSS云计算服务能力测评的最高级别资质。
　　作为国家IT服务标准制定的重要参与者和支持者，近年来神州信息也结合自身的业务实践，积极参与了国家相关云计算服务标准的制定工作，在《云资源监控总体技术要求》、《云服务采购指南》、《云计算服务质量评价指南》等多个国家云服务标准的制定中发挥了重要的作用。同时，神州信息也在自身的业务发展中积极贯彻执行国家标准，通过大量的行业私有云建设项目，持续提升私有云建设和运营服务等综合能力。
　　早在十余年前，神州信息就开始布局云服务领域。通过坚持不懈的努力和创新，目前公司已具备了云技术产品供应商、云服务提供商和第三方云平台运营商三位一体的云计算服务能力，为行业用户提供本地私有云、托管私有云、管理私有云等全新的服务内容和模式，以云架构规划咨询为抓手，以云建设服务为基础，以自有云技术软件为核心，以云管理服务为依托，形成了多元的云服务业务布局。公司目前在自动化云环境监管、可视化云资源管理、智能化云运营分析、模板化云服务提供、专业化云服务保障等领域均保持着行业领先优势，成为我国金融、电信运营商、政府及公共事业等行业最为重要的混合云服务合作伙伴,并成功落地建设了各行业600多个大型企业云计算项目。
　　近年来，在云计算日益普及的趋势下，行业私有云、混合云建设越来越受到一些行业大客户的重视和追捧。究其原因，虽然公有云的应用日趋广泛，技术和服务也开始趋于成熟，但金融、电信等重点因涉及国计民生的重要服务，对于云的安全性和隐私保护有着严格的要求，而国内外公有云不时发生的数据误删、数据泄漏等事故还是会让他们望而生畏。而私有云属于安全可控的局域网架构，更适合行业定制化的场景和应用，也不受带宽影响访问效率更高，特别能保证重点行业核心业务流程和数据的存储和应用。因此，当前对于金融、电信运营商、政企等对安全性要求较高的行业而言，私有云已是必须的IT基础设施,混合云将是IT发展的必然趋势。
　　今年4月，神州信息隆重发布了新的企业发展战略，努力成为云时代的新型IT服务商和数据时代的产业互联网平台企业。其中，在云服务方面，公司将重点发力云规划咨询、IT基础设施云化、应用现代化及托管云等重要服务领域，为行业用户的云计算转型发展提供有力的支持。神州信息在我国金融、电信、政企等行业领域有30余年的信息化服务经验和积累，深谙各行业业务及信息化发展历程,能够为行业用户制定最适合的云化战略及上云路径，帮助用户构建符合实际情况和发展战略的安全混合云平台，并可为云平台提供持续、专业的运维保障服务，优化用户上云的总体成本收益。此次荣获国内目前最高等级的云服务能力认证，是神州信息云服务发展的一个重要里程碑，也体现了公司在云时代继续引领产业发展的能力和创新意识，推动我国ITSS云服务标准进入更实战的应用领域，打造行业云化的服务典范，助力我国重点行业在云时代下的业务升级和IT重塑。",媒体新闻,10143144320873023231_0_54757,神州信息荣获中国云计算服务最高等级资质,神州信息,1
"近日，神州数码融信软件有限公司（简称：神州数码融信，神州信息成员企业）捷报频传：其已连续赢得中关村银行、宜宾商行、泉州银行和晋中银行的智慧网点类建设项目，助力四家银行提升客户体验、降低运营成本、提高管理效率，实现银行网点从内到外、从传统到智慧的完美转身。这也标志着神州数码融信自主研发的智慧银行网点解决方案已深获客户认可，并进一步巩固了公司在该领域的领先地位。
近年来，受渠道电子化，产品同质化，利率市场化以及互联网金融、金融脱媒等诸多因素的影响，银行网点遇到了客户忠诚度下降、传统业务的赢利空间骤减少等问题。业界共识，网点依然是复杂业务办理、获取金融咨询服务的重要场所，是银行重要的收入来源，而如何充分发挥优势，建设新型网点，满足新时代下的营销和服务要求，就成了银行网点创新发展的重要课题，智慧银行网点建设因突破了传统网点的发展瓶颈，迎来了旺盛的市场需求。
在神州数码融信看来，智慧银行网点的建设核心是自主和智能，是网点内人、机器和业务活动的统一协同，线上线下的完美响应，以及便利、主动、高效的金融营销和服务体验。基于对建设智慧银行网点的深刻认识和理解，神州数码融信提供了从咨询到应用的一整套智慧银行网点解决方案，涉及从前端展示到后台应用等各个层面，包含智能综合前端系统Sm@rtTeller、自主全能交易系统Sm@rtVRBank、移动服务营销系统Sm@rtMarketer、智能排队系统Sm@rtGuider、智能电子填单系统Sm@rtFilling、单点登录系统Sm@rtSSO等。
神州数码融信智慧银行网点解决方案依托先进理念，提供优秀的用户体验和软硬一体化支持，对业务具有强大的预判、监控及预警功能，有效支撑网点的智能化、自动化管理和运维。目前，该解决方案已在恒丰银行、石嘴山银行、晋商银行、乌鲁木齐银行、青海银行、廊坊银行等多家股份制银行、城市商业银行、农村商业银行相继落地和应用。其中，石嘴山银行“智能银行项目”获得了国际权威机构IDC的认可，一举摘得“2016年度中国金融行业创新奖”。
也正是凭借领先的技术理念、成熟的强势产品、高素质的专业团队、众多的成功案例以及敬业的服务意识，在中关村银行、宜宾市商业银行、泉州银行和晋中银行智慧网点建设项目招标中，神州数码融信在众多竞争厂商中脱颖而出，最终赢得客户的信任。
据悉，神州数码融信将根据这四家银行的自身特点、服务群体、周边环境等进行差异化实施，以主动式、差异化服务及营销为核心理念，依托大数据分析、智能洞察、生物识别、移动互联等先进技术，将网点厅堂内的人员、设备、机具等进行统一整合，相互间直接进行数据交换和协同运作，实现全行集中、统一和立体的网点智能化服务，从而将网点厅堂转变为一个智能化、自动化的“以客户为中心”服务场所。",媒体新闻,3622451448008256359_0_578336,神州信息连下四城，智慧银行网点建设真火,神州信息,1
"2017年6月16日，北京市首家民营银行中关村银行启动内部试营业工作，标志着该行历时4个半月建设的分布式核心正式投产上线。至此，中关村银行已迈上全新里程，并拟定下个月正式对外营业。
中关村银行携手神州数码融信软件有限公司(神州信息成员企业)共建分布式核心，并一举成功，不仅充分验证了银行采用分布式架构进行核心建设的可行性，亦对民营银行乃至银行同业具有一定的示范效用，将为银行分布式核心及架构发展提供借鉴与参考。同时，该项目也是神州数码融信分布式核心产品的首个成功案例，里程碑意义重大。
中关村银行是中国银监会批复筹建的北京市首家民营银行，由用友网络、碧水源等中关村地区的11家知名上市公司共同发起设立，注册资本40亿元人民币。该银行定位于“开放式生态型科技创新特色银行”，服务对象主要为科技创新型中小微企业及个人，希望打造引领未来趋势的科技金融综合服务平台，支持和促进科技创新型中小微企业和创业者成长。
科技金融是中关村银行最鲜明的特色，这也决定了中关村银行既不是传统银行，也不是纯互联网银行，而是线上线下融合、数据驱动的网络银行、创投银行和生态银行。为满足中关村银行快速开业以及战略、业务发展的需要，神州数码融信凭借领先的设计理念、自有的创新产品、经验丰富的实施团队，高效、高质、有序、完整地实现了分布式核心的投产，为中关村银行的顺利开业以及未来的发展奠定了坚实的IT基础。
神州数码融信分布式核心系统由6个主功能模块以及数百个微服务组成，在业务处理与会计核算有效分离的基础上，通过积木式方式将银行的基础金融服务搭建成了最适合中关村银行发展的金融实时服务系统，而且可以不断按照未来业务发展变化展现出更多的灵活功能。通过分布式技术的引入，该系统实现了业内长久以来“将银行关键性业务分离并行处理”的理想，极大提高了银行核心业务处理性能，同时银行业务部门在系统动态的产品工厂运行模式的帮助下，可以尽可能通过对金融服务细节的包装，形成能够无缝融入客户生活、生产场景的千变万化的金融产品，帮助银行不断进行金融产品的创新。整个分布式核心系统围绕对客户的金融服务进行了底层服务模型和数据模型的设计，真正引领了互联网时代飞速变化、围绕客户的金融创新，充分响应中关村银行成为网络银行、创投银行和生态银行的发展需要。
据悉，中关村银行在试营业阶段，已实现包括核心、信贷、总账、财务、监管报送、增值税、人力管理等11个业务系统以及企业服务总线、数据平台、统一身份认证等6个技术平台的顺利投产，该行近期也将陆续投产统一支付平台、企业网银、移动APP、全渠道客服系统等。目前，该行已基本完成传统银行经过几年建设才能完成的IT架构体系，创造了民营银行开业IT系统的最“全”记录。",媒体新闻,16101457049258493417_0_590333,神州信息分布式核心在北京首家民营银行落地,神州信息,1
"<IMAGE SRC=""http://chart.jrjimg.cn/pngdata/kpic/pic430/603701.png"" >
69 位投资顾问已告知德宏股份(603701)后市如何操作立即查看
　　金融界网站讯德宏股份(行情603701,诊股)6月5日晚间公告称，公司正在筹划重大事项，该事项可能涉及重大资产重组或发行股份购买资产。鉴于该事项存在重大不确定性，为保证公平信息披露，维护投资者利益，避免造成公司股价异常波动，根据《上海证券交易所股票上市规则》等有关规定，公司股票已于2017年6月5日紧急停牌，经公司申请，本公司股票自2017年6月6日起连续停牌。",媒体新闻,5861668122824048315_0_439933,德宏股份筹划重大事项 6日起连续停牌,神州信息,1
"　　星期六最新消息_星期六002291停牌原因揭秘　　南方财富网为大家介绍星期六最新消息，具体如下：
　　本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。
　　星期六股份有限公司（以下简称“公司”）拟筹划非公开发行股票事项，鉴于该事项尚存在不确定性，为维护广大投资者利益，保证信息披露的公平，避免公司股价异常波动，根据《深圳证券交易所股票上市规则》、《深圳证券交易所中小企业板信息披露业务备忘录第 14号：上市公司停复牌业务》等规定，经公司向深圳证券交易所申请，公司股票（证券简称：星期六，证券代码：002291）自2017年6月5日（星期一）上午开市起停牌，预计停牌时间不超过10个交易日，待公司通过指定媒体披露本次非公开发行股票的相关公告后复牌。
　　停牌期间，公司将严格按照相关规定及时履行信息披露义务，每五个交易日公告事项进展情况。公司指定的信息披露媒体为《证券时报》、《中国证券报》和巨潮资讯网 （http://www.cninfo.com.cn），敬请广大投资者及时关注公司相关公告并注意投资风险。
　　特此公告。
　　星期六股份有限公司董事会
　　二一七年六月二日　　南方财富网微信号：南财",媒体新闻,12431421665236073204_0_590276,星期六最新消息_星期六002291停牌原因揭秘,神州信息,1
"　　近年来我国农业已经基本摆脱“靠天吃饭”的困局，前沿技术的快速应用为传统农业插上了想象的翅膀。随着应用的逐步深入，大数据与“三农”的结合趋势日益明显，也让公众开始将目光聚焦到与“三农”密切关联的大数据服务商上。
　　据了解，目前神州信息在三农领域已经完成了相当全面的布局，不仅拥有精准的三农数据积累，而且能够为农村管理、农业生产、农业交易提供专业化服务，最终形成了农业生态闭环，为中国的农业数字化发展标识出了尤为具象的目标。在2017中国国际大数据产业博览会上，深谙三农服务的神州信息在展区内重点围绕三农大数据，立体地呈现出了一个现代农业聚合生态圈，成为展会一大吸睛焦点。
　　市场需求异常强烈 政府重大政策加持
　　大数据时代已经来临，农业作为第一产业，面临着基础性的变革，服务新型农业经营主体的信息化、智能化平台将会拥有广阔的市场，大数据带来的技术突破为智慧布局带来了良机，也有望推动农业迈向全面的信息化时代。
　　所幸，国务院及农业部开始密集发布各类涉及农业现代化、信息化专项政策的一连串举措。2017年中央一号文件正式发布，提出“以深入推进农业供给侧结构性改革为主线”，全面做好农业农村工作，加快培育农业农村发展新功能，并将连续14年聚焦“三农”工作。这一政策的出台，再次成为三农发展的有力加持。
　　应用涵养三农大数据 大数据反哺三农云应用
　　当前，云计算正在成为主流的IT运行模式，而大数据会成为其中最重要的核心资源。神州信息将服务三农的业务发展定位于“一网一库三大服务”，也正是基于这一点。
　　“一网”即智慧农业云平台。神州信息通过多年在农业领域的深耕细作，实现了包括农业、农村、农民的全产业链软件应用积累，并以此为核心，整合管理服务、生产服务、交易服务三大业务形态，聚服务于云端，形成农业生态信息网络。
　　“一库”是神州信息组建的三农数据库。通过挖掘和分析农村人、财、物为基础衍生的各类交易数据，反哺农业云平台，为农业生产提供标准化的生产模式和准确的预测预警。
　　“三大服务”实质是数据支持的基石，囊括了农村管理服务、农业生产服务和农业交易服务，由此构成一个以数据驱动农业发展的生态圈。
　　让农村管理标准化 让权力在阳光下运行
　　“农业云平台能否为三农贡献智慧，提供智能化服务，关键点就在于我们能建立多少连接。所以一网一库是农业云平台发挥价值的基础，我们通过三大服务来建立三农最广泛的连接。其中，通过农村管理服务，我们链接人与管理者。”神州信息副总裁、农业板块负责人张丹丹对此做了深入的剖析。她介绍，目前神州信息产品服务已覆盖了全国31个省、2000多个县、45万个村组。
　　在农地确权这片“蓝海”中，神州信息一直是引领者，无论从软件市场占有率还是确权市场占有率，已连续4年稳拔头筹。目前，通过自主研发平台，多种服务端全方位的应用架构，神州信息已经形成了2项国家级平台，7个整省和总数近700县的用户群体，累计测绘近5000万亩土地。其农地确权电子政务云已经成为农业部指定、覆盖全国的土地管理平台。
　　在农村管理方面，神州信息也以显著成果树立了行业标杆的积极形象。累计帮助5.8万个村初见股权改革成效，管理服务惠及31个省市，应用于10余个部级项目、几十个升级项目和上千个市县级项目。行业专家预测，未来3-5年，神州信息智慧农业云平台有望成为农村管理服务第一云。
　　精准数据助力智慧农业 让专业的人做专业的事
　　众所周知，农业物联网是实现智慧农业的关键所在。作为IT+农业的创新践行者，神州信息所呈现的农业生产服务，是用精准的数据来促进农业生产标准化，促进农业产品品牌化；神州信息不仅拥有智能硬件设备和指挥中心，还利用自主研发丰富的产品以及APP，为农场主提供智能操控和决策支撑。有关统计表明，神州信息提供的农业生产服务已经遍及全国31个省市自治区，拥有2万多个智能采集点，建立了10余个市县级综合农业云服务平台。
　　在农业交易服务中，神州信息被比作一个“专业的人”，面向土地交易，搭建了农村综合产权流转交易平台，让土地增值，并为产权流转交易提供整体解决方案，激活了农村土地金融。神州信息还搭建了农业全程社会化服务平台，是为新农人、新型农业经营主体等量身定制的供需对接平台。该平台能够为生产、经营活动中的技术、管理、营销、产业化、品牌化的需求提供多种解决方案，实现生产的标准化，管理的信息化，营销的平台化，决策的数据化，新农人可以从平台中便捷得享受到专业的农业服务。
　　神州信息用云服务和大数据成功搭建出了一座连接智慧农村和智慧城市的信息虹桥，通过三大服务的应用布局，有效积累了各类三农数据，逐步建立起农业单品大数据、农业交易大数据、农业地理信息大数据，并组建数据交换共享中心。
　　未来已来 “三农生态圈”的远大初心
　　神州信息智慧农业板块的“一网一库三大服务”，实现的是让农民更幸福、让农业更精准、让管理更高效的初心；三农生态圈的构建，正是以数据驱动农业，助力产业升级的理想模式。这样的努力让我们已经看到或者即将看到以下的变化：
　　大数据变革了农民的生产方式，专业农民越来越多；
　　大数据创新了农业的经营模式，让农民更加职业；
　　大数据改变了农民的生活方式，生活更加丰富多彩。
　　智慧农业，未来已来。
　　（白宝玉）",媒体新闻,6140166883456904792_0_439912,神州信息构建三农大数据生态圈 用智慧生“金”,神州信息,1
"　　每经记者 黄霞 每经编辑 宋思艰
　　2月，神州信息（000555，SZ）第三大股东中新创投抛出一份减仓计划。按照公司计划，这份为期“3个月”的减持将回收至少2.4亿元资金。然而，让人大跌眼镜的是，如今减持期限已至，中新创投当初拟减持股份竟然一股都没卖出去。
　　《每日经济新闻》记者注意到，归根结底，源于其当初定下的减持价格下限太高。上市公司股价自始至终都没能达到这个标准。但吃一堑长一智，中新创投立刻抛出一份全新的减持计划，其中最大的变化便是减持价格下限。
　　1股没卖 原减持计划作废
　　据神州信息6月1日晚间发布的《关于持股5%以上股东减持股份实施情况的公告》显示，自3月1日到5月31日止，公司股东中新创投没有减持公司股份。
　　此前，中新创投于2月7日向上市公司发来《关于神州数码信息服务股份有限公司的股份减持计划告知函》。中新创投计划自公告之日起15个交易日后的3个月内，以集中竞价方式减持其持有的神州信息股份不超过963.43万股（占比1%）。
　　既然中新创投当初明确要减持套现，为何在减持期间却纹丝不动？
　　事实上，并非中新创投不想套现，只怪其当时在减持计划中承诺：减持价格将不低于每股25元。
　　25元是一个什么概念？《每日经济新闻》记者注意到，2016年12月9日，神州信息股价便已经跌破25元关口，在中新创投抛出减持计划之时，神州信息股价已经很长时间在20元左右徘徊。2月中旬到3月中旬，神州信息股价也曾有过小幅上涨，一度超过23元。然而，上涨仅仅是昙花一现，自3月下旬以来，公司股价持续下挫，目前已经不足17元。
　　下调减持价格下限至18元
　　有意思的是，对于上一次减持的“失利”，中新创投迅速总结出了经验。6月1日，神州信息的公告显示，中新创投拟3个月内，减持神州信息股份不超过963.43万股，即不超过公司股本的1%。减持价格将不低于18元。
　　虽然中新创投大幅下调减持价格下限，但其能否顺利实施减持仍是一个未知数。截至6月1日收盘，神州信息股价已跌破16.84元。中新创投只有期望于上市公司股价反弹。
　　实际上，中新创投持有的神州信息股票成本相对比较低廉，其早已赚得盆满钵满。
　　公开资料显示，2013年末，太光电信吸收合并神州信息，其中向中新创投以9.44元/股发行了5295.65万股股份，价值约5亿元。2015年9月，上市公司实施了10转10的中期送转方案，中新创投的持股数量也相应增长。2016年4月19日～2016年10月18日，中新创投通过集中竞价累计减持神州信息股份997.15万股，占公司总股本的1.09%，减持价格为每股28.86元～38.23元。单是这轮减持，其已回收2.88亿元资金。
　　截至目前，中新创投合计持有神州信息8786.64万股股份，约占公司总股本的9.12%，市值近15亿元。",媒体新闻,14454077132740890066_0_55423,股价下跌“闷杀”套现计划   神州信息第三大股东下调减持价格下限,神州信息,1
